LGA_CODE_2016,C06_SH_0b_NPGH_2,C06_SH_0b_NPGH_3,C06_SH_0b_NPGH_4,C06_SH_0b_NPGH_5,C06_SH_0b_NPGH_6_mor,C06_SH_0bTotal,C06_SH_1b_NPGH_2,C06_SH_1b_NPGH_3,C06_SH_1b_NPGH_4,C06_SH_1b_NPGH_5,C06_SH_1b_NPGH_6_mor,C06_SH_1b_Tot,C06_SH_2b_NPGH_2,C06_SH_2b_NPGH_3,C06_SH_2b_NPGH_4,C06_SH_2b_NPGH_5,C06_SH_2b_NPGH_6_mor,C06_SH_2b_Tot,C06_SH_3b_NPGH_2,C06_SH_3b_NPGH_3,C06_SH_3b_NPGH_4,C06_SH_3b_NPGH_5,C06_SH_3b_NPGH_6_mor,C06_SH_3b_Tot,C06_SH_4mb_NPGH_2,C06_SH_4mb_NPGH_3,C06_SH_4mb_NPGH_4,C06_SH_4mb_NPGH_5,C06_SH_4mb_NPGH_6_mor,C06_SH_4mb_Tot,C06_SH_NB_NS_NPGH_2,C06_SH_NB_NS_NPGH_3,C06_SH_NB_NS_NPGH_4,C06_SH_NB_NS_NPGH_5,C06_SH_NB_NS_NPGH_6_mor,C06_SH_NB_NS_T,C06_SH_Tot_NPGH_2,C06_SH_Tot_NPGH_3,C06_SH_Tot_NPGH_4,C06_SH_Tot_NPGH_5,C06_SH_Tot_NPGH_6_mor,C06_SH_T_T,C06_SDRTHT_0b_NPGH_2,C06_SDRTHT_0b_NPGH_3,C06_SDRTHT_0b_NPGH_4,C06_SDRTHT_0b_NPGH_5,C06_SDRTHT_0b_NPGH_6_mor,C06_SDRTHT_0bTotal,C06_SDRTHT_1b_NPGH_2,C06_SDRTHT_1b_NPGH_3,C06_SDRTHT_1b_NPGH_4,C06_SDRTHT_1b_NPGH_5,C06_SDRTHT_1b_NPGH_6_mor,C06_SDRTHT_1b_Tot,C06_SDRTHT_2b_NPGH_2,C06_SDRTHT_2b_NPGH_3,C06_SDRTHT_2b_NPGH_4,C06_SDRTHT_2b_NPGH_5,C06_SDRTHT_2b_NPGH_6_mor,C06_SDRTHT_2b_Tot,C06_SDRTHT_3b_NPGH_2,C06_SDRTHT_3b_NPGH_3,C06_SDRTHT_3b_NPGH_4,C06_SDRTHT_3b_NPGH_5,C06_SDRTHT_3b_NPGH_6_mor,C06_SDRTHT_3b_Tot,C06_SDRTHT_4mb_NPGH_2,C06_SDRTHT_4mb_NPGH_3,C06_SDRTHT_4mb_NPGH_4,C06_SDRTHT_4mb_NPGH_5,C06_SDRTHT_4mb_NPGH_6_mor,C06_SDRTHT_4mb_Tot,C06_SDRTHT_NB_NS_NPGH_2,C06_SDRTHT_NB_NS_NPGH_3,C06_SDRTHT_NB_NS_NPGH_4,C06_SDRTHT_NB_NS_NPGH_5,C06_SDRTHT_NB_NS_NPGH_6_mor,C06_SDRTHT_NB_NS_T,C06_SDRTHT_Tot_NPGH_2,C06_SDRTHT_Tot_NPGH_3,C06_SDRTHT_Tot_NPGH_4,C06_SDRTHT_Tot_NPGH_5,C06_SDRTHT_Tot_NPGH_6_mor,C06_SDRTHT_T_T,C06_FUA_0b_NPGH_2,C06_FUA_0b_NPGH_3,C06_FUA_0b_NPGH_4,C06_FUA_0b_NPGH_5,C06_FUA_0b_NPGH_6_mor,C06_FUA_0bTotal,C06_FUA_1b_NPGH_2,C06_FUA_1b_NPGH_3,C06_FUA_1b_NPGH_4,C06_FUA_1b_NPGH_5,C06_FUA_1b_NPGH_6_mor,C06_FUA_1b_Tot,C06_FUA_2b_NPGH_2,C06_FUA_2b_NPGH_3,C06_FUA_2b_NPGH_4,C06_FUA_2b_NPGH_5,C06_FUA_2b_NPGH_6_mor,C06_FUA_2b_Tot,C06_FUA_3b_NPGH_2,C06_FUA_3b_NPGH_3,C06_FUA_3b_NPGH_4,C06_FUA_3b_NPGH_5,C06_FUA_3b_NPGH_6_mor,C06_FUA_3b_Tot,C06_FUA_4mb_NPGH_2,C06_FUA_4mb_NPGH_3,C06_FUA_4mb_NPGH_4,C06_FUA_4mb_NPGH_5,C06_FUA_4mb_NPGH_6_mor,C06_FUA_4mb_Tot,C06_FUA_NB_NS_NPGH_2,C06_FUA_NB_NS_NPGH_3,C06_FUA_NB_NS_NPGH_4,C06_FUA_NB_NS_NPGH_5,C06_FUA_NB_NS_NPGH_6_mor,C06_FUA_NB_NS_T,C06_FUA_Tot_NPGH_2,C06_FUA_Tot_NPGH_3,C06_FUA_Tot_NPGH_4,C06_FUA_Tot_NPGH_5,C06_FUA_Tot_NPGH_6_mor,C06_FUA_T_T,C06_OD_0b_NPGH_2,C06_OD_0b_NPGH_3,C06_OD_0b_NPGH_4,C06_OD_0b_NPGH_5,C06_OD_0b_NPGH_6_mor,C06_OD_0bTotal,C06_OD_1b_NPGH_2,C06_OD_1b_NPGH_3,C06_OD_1b_NPGH_4,C06_OD_1b_NPGH_5,C06_OD_1b_NPGH_6_mor,C06_OD_1b_Tot,C06_OD_2b_NPGH_2,C06_OD_2b_NPGH_3,C06_OD_2b_NPGH_4,C06_OD_2b_NPGH_5,C06_OD_2b_NPGH_6_mor,C06_OD_2b_Tot,C06_OD_3b_NPGH_2,C06_OD_3b_NPGH_3,C06_OD_3b_NPGH_4,C06_OD_3b_NPGH_5,C06_OD_3b_NPGH_6_mor,C06_OD_3b_Tot,C06_OD_4mb_NPGH_2,C06_OD_4mb_NPGH_3,C06_OD_4mb_NPGH_4,C06_OD_4mb_NPGH_5,C06_OD_4mb_NPGH_6_mor,C06_OD_4mb_Tot,C06_OD_NB_NS_NPGH_2,C06_OD_NB_NS_NPGH_3,C06_OD_NB_NS_NPGH_4,C06_OD_NB_NS_NPGH_5,C06_OD_NB_NS_NPGH_6_mor,C06_OD_NB_NS_T,C06_OD_Tot_NPGH_2,C06_OD_Tot_NPGH_3,C06_OD_Tot_NPGH_4,C06_OD_Tot_NPGH_5,C06_OD_Tot_NPGH_6_mor,C06_OD_T_T,C06_DS_NS_NPGH_2,C06_DS_NS_NPGH_3,C06_DS_NS_NPGH_4,C06_DS_NS_NPGH_5,C06_DS_NS_NPGH_6_mor,C06_DS_NS_T,C06_Tot_NPGH_2,C06_Tot_NPGH_3,C06_Tot_NPGH_4,C06_Tot_NPGH_5,C06_Tot_NPGH_6_mor,C06_T_T,C11_SH_0b_NPGH_2,C11_SH_0b_NPGH_3,C11_SH_0b_NPGH_4,C11_SH_0b_NPGH_5,C11_SH_0b_NPGH_6_mor,C11_SH_0bTotal,C11_SH_1b_NPGH_2,C11_SH_1b_NPGH_3,C11_SH_1b_NPGH_4,C11_SH_1b_NPGH_5,C11_SH_1b_NPGH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPGH_2,C11_SH_2b_NPGH_3,C11_SH_2b_NPGH_4,C11_SH_2b_NPGH_5,C11_SH_2b_NPGH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPGH_2,C11_SH_3b_NPGH_3
LGA10050,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,0,0,59,218,60,20,7,0,297,63,28,27,21,11,135,11,0,0,0,0,7,344,92,47,23,11,512,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,0,0,63,12,7,0,0,0,22,3,0,0,0,0,10,0,0,0,0,0,0,78,6,0,0,0,91,3,0,0,0,0,3,9,0,0,0,0,9,215,3,6,0,0,221,36,8,6,0,0,49,4,0,0,0,0,4,3,0,0,0,0,3,261,13,7,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,686,114,54,28,11,891,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,64,258,63
LGA10130,0,0,0,0,0,0,3,0,0,0,0,3,60,0,3,0,0,64,131,48,18,3,0,192,46,14,32,6,0,94,4,0,0,0,0,3,240,59,44,5,0,351,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,43,11,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,55,4,3,0,0,63,0,0,0,0,0,0,5,0,0,0,0,5,78,3,0,0,0,83,12,8,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,4,95,7,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,392,74,51,5,0,528,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,0,50,132,41
LGA10250,0,0,0,0,0,0,5,0,0,0,0,8,57,0,0,0,0,63,123,26,10,4,3,166,68,20,6,5,0,98,3,3,0,0,0,7,259,48,21,8,4,341,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,33,28,9,3,0,0,42,0,0,0,0,0,0,3,0,0,0,0,3,62,11,3,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,76,3,0,0,0,85,30,15,4,0,0,51,4,0,3,0,0,4,6,3,0,0,0,9,121,19,12,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,3,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,22,0,0,0,0,21,0,0,0,0,0,0,465,80,34,8,4,593,3,0,0,0,0,3,3,0,0,0,0,5,40,0,0,0,0,40,138,29
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9,0,0,0,0,9,7,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,9,4,0
LGA10470,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,57,142,40,13,4,0,194,60,13,28,5,4,119,3,0,0,0,0,3,262,57,43,8,4,375,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,41,21,19,9,3,0,47,0,0,9,0,0,15,0,0,0,0,0,0,61,26,20,3,0,108,0,0,0,0,0,0,0,0,0,0,0,0,76,4,0,0,0,81,20,5,3,0,0,26,3,0,0,3,0,13,0,0,0,0,0,0,103,12,3,3,0,120,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,12,0,0,0,0,0,0,431,99,64,15,4,617,0,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0,55,149,35
LGA10550,0,0,0,0,0,0,0,0,0,0,0,5,53,4,0,0,0,53,118,5,4,0,0,127,25,4,3,0,0,29,9,0,0,0,0,9,192,11,11,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,44,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,58,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,266,11,10,0,0,292,0,0,0,0,0,0,4,0,0,0,0,4,58,0,0,0,0,58,113,13
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,65,6,0,0,0,66,20,3,0,0,0,22,0,0,0,0,0,3,115,9,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,130,9,0,0,0,142,0,0,0,0,0,0,3,0,0,0,0,3,32,0,0,0,0,32,72,6
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,27,4,0,0,0,28,7,0,0,0,0,11,4,0,0,0,0,4,56,7,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,71,4,3,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,23,0
LGA10750,0,0,0,0,0,0,8,0,0,0,0,13,121,5,4,0,0,133,795,68,21,5,0,897,266,66,41,23,10,400,35,3,0,0,0,44,1236,144,60,30,9,1478,0,0,0,0,0,0,3,0,0,0,0,3,48,0,0,3,0,52,150,28,11,6,3,196,17,0,0,0,0,21,5,4,0,0,0,8,225,31,12,9,3,273,3,0,0,0,0,7,10,0,0,0,0,10,106,7,6,0,0,119,12,0,3,0,0,15,0,0,0,0,0,3,5,0,0,0,0,10,136,9,6,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,22,0,0,0,0,0,0,1609,183,83,40,15,1927,3,0,0,0,0,5,12,0,3,0,0,15,142,6,0,0,0,147,776,114
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,9,0,0,0,0,15,5,0,0,0,0,10,0,0,0,0,0,0,26,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,15,3
