LGA_CODE_2016,C06_0_74_CF_NC,C06_0_74_CF_Cu15DS_,C06_0_74_CF_CU15_NDS,C06_0_74_CF_NCU15_DS,C06_0_74_CF_NDCO,C06_0_74_CF_T,C06_75_99_CF_NC,C06_75_99_CF_Cu15DS_,C06_75_99_CF_CU15_NDS,C06_75_99_CF_NCU15_DS,C06_75_99_CF_NDCO,C06_75_99_CF_T,C06_100_149_CF_NC,C06_100_149_CF_Cu15DS_,C06_100_149_CF_CU15_NDS,C06_100_149_CF_NCU15_DS,C06_100_149_CF_NDCO,C06_100_149_Co_fam_To,C06_150_199_CF_NC,C06_150_199_CF_Cu15DS_,C06_150_199_CF_CU15_NDS,C06_150_199_CF_NCU15_DS,C06_150_199_CF_NDCO,C06_150_199_CF_T,C06_200_224_CF_NC,C06_200_224_CF_Cu15DS_,C06_200_224_CF_CU15_NDS,C06_200_224_CF_NCU15_DS,C06_200_224_CF_NDCO,C06_200_224_CF_T,C06_225_274_CF_NC,C06_225_274_CF_Cu15DS_,C06_225_274_CF_CU15_NDS,C06_225_274_CF_NCU15_DS,C06_225_274_CF_NDCO,C06_225_274_CF_T,C06_275_349_CF_NC,C06_275_349_CF_Cu15DS_,C06_275_349_CF_CU15_NDS,C06_275_349_CF_NCU15_DS,C06_275_349_CF_NDCO,C06_275_349_CF_T,C06_350_449_CF_NC,C06_350_449_CF_Cu15DS_,C06_350_449_CF_CU15_NDS,C06_350_449_CF_NCU15_DS,C06_350_449_CF_NDCO,C06_350_449_CF_T,C06_450_549_CF_NC,C06_450_549_CF_Cu15DS_,C06_450_549_CF_CU15_NDS,C06_450_549_CF_NCU15_DS,C06_450_549_CF_NDCO,C06_450_549_CF_T,C06_550_649_CF_NC,C06_550_649_CF_Cu15DS_,C06_550_649_CF_CU15_NDS,C06_550_649_CF_NCU15_DS,C06_550_649_CF_NDCO,C06_550_649_CF_T,C06_650_749_CF_NC,C06_650_749_CF_Cu15DS_,C06_650_749_CF_CU15_NDS,C06_650_749_CF_NCU15_DS,C06_650_749_CF_NDCO,C06_650_749_CF_T,C06_750_849_CF_NC,C06_750_849_CF_Cu15DS_,C06_750_849_CF_CU15_NDS,C06_750_849_CF_NCU15_DS,C06_750_849_CF_NDCO,C06_750_849_CF_T,C06_850_949_CF_NC,C06_850_949_CF_Cu15DS_,C06_850_949_CF_CU15_NDS,C06_850_949_CF_NCU15_DS,C06_850_949_CF_NDCO,C06_850_949_CF_T,C06_950over_CF_NC,C06_950ov_CF_Cu15DS_,C06_950ov_CF_CU15_NDS,C06_950ov_CF_NCU15_DS,C06_950ov_CF_NDCO,C06_950ov_CF_T,C06_Rns_CF_NC,C06_Rns_CF_Cu15DS_,C06_Rns_CF_CU15_NDS,C06_Rns_CF_NCU15_DS,C06_Rns_CF_NDCO,C06_Rns_CF_T,C06_Tot_CF_NC,C06_Tot_CF_Cu15DS_,C06_Tot_CF_CU15_NDS,C06_Tot_CF_NCU15_DS,C06_Tot_CF_NDCO,C06_Tota_Coup_fam_Tota,C11_0_74_CF_NC,C11_0_74_CF_Cu15DS_,C11_0_74_CF_CU15_NDS,C11_0_74_CF_NCU15_DS,C11_0_74_CF_NDCO,C11_0_74_Coup_fam_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_CF_T,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Co_fam_To,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_CF_T,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_CF_T,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_CF_T,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_CF_T,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_CF_T,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_CF_T,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_CF_T,C11_950over_CF_NC,C11_950ov_CF_Cu15DS_,C11_950ov_CF_CU15_NDS,C11_950ov_CF_NCU15_DS,C11_950ov_CF_NDCO,C11_950ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_T,C16_0_74_CF_NC,C16_0_74_CF_Cu15DS_,C16_0_74_CF_CU15_NDS,C16_0_74_CF_NCU15_DS,C16_0_74_CF_NDCO,C16_0_74_CF_T,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_
LGA11250,52,7,34,5,0,93,12,3,8,0,3,25,74,9,75,0,6,168,35,5,41,0,3,76,4,4,11,0,0,12,3,0,3,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,10,181,22,171,9,17,401,35,0,20,3,5,62,4,0,4,0,0,10,37,3,17,3,10,64,62,3,61,3,5,139,34,3,28,0,0,67,25,6,23,0,0,54,5,0,26,0,0,32,4,0,9,0,0,13,0,3,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,19,237,17,193,6,25,484,37,3,23,0,3,63,12,0
LGA11300,33,5,22,8,4,73,3,0,0,0,0,9,30,0,5,0,3,39,56,4,18,0,3,80,64,7,37,3,3,113,142,9,90,11,18,274,293,25,208,24,38,590,139,15,146,34,27,355,28,8,25,15,4,74,12,3,6,0,0,29,4,5,4,0,3,12,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,3,22,0,14,4,3,41,832,82,579,99,107,1704,34,3,29,3,6,68,3,0,0,0,0,6,19,0,7,0,0,32,23,0,3,0,0,36,15,0,8,3,0,24,59,0,22,3,4,87,105,3,62,9,7,193,363,21,203,22,31,643,258,16,174,32,18,500,75,10,75,13,7,178,27,3,22,11,4,68,9,7,20,4,0,38,6,0,3,3,3,13,3,3,9,0,0,15,33,3,12,0,9,59,1042,70,638,106,93,1946,37,3,21,3,0,69,3,0
LGA11350,41,7,24,7,6,80,6,0,4,0,0,9,20,0,11,0,0,31,50,4,31,3,6,96,37,4,41,0,4,86,90,8,116,9,16,238,127,12,152,14,3,310,58,9,86,12,7,171,11,4,23,4,0,36,7,0,3,0,0,8,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,13,0,0,26,458,53,498,51,41,1099,37,0,26,0,3,76,7,0,0,0,0,7,18,0,3,0,3,18,21,0,14,3,3,35,21,0,13,0,3,37,44,3,18,5,3,68,86,8,91,7,10,196,176,24,199,20,16,435,58,16,90,5,6,173,22,11,53,6,0,94,8,3,13,0,0,32,3,0,5,0,0,10,0,0,3,0,0,3,3,0,6,0,0,14,11,6,18,0,3,34,517,74,547,52,46,1238,39,0,29,3,4,79,0,0
LGA11400,71,6,60,3,8,147,16,0,5,0,3,25,30,7,42,0,3,88,23,11,41,3,3,75,0,0,14,3,0,18,3,0,9,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,3,28,164,24,173,16,23,402,46,6,59,3,4,119,5,0,5,0,0,14,21,3,16,5,3,42,35,9,37,3,4,88,9,4,20,0,6,40,20,4,12,0,0,39,8,4,13,4,4,34,6,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,25,166,30,179,16,20,414,35,5,50,0,3,95,5,0
LGA11450,37,5,30,6,10,83,3,0,3,0,0,7,33,9,13,0,8,61,28,5,27,0,5,65,53,6,52,0,5,117,189,26,235,14,32,506,111,31,233,23,35,428,42,26,118,13,27,221,8,0,21,0,8,34,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,17,0,0,36,519,104,742,58,128,1558,30,3,32,3,11,76,4,0,0,0,0,4,20,0,13,0,3,41,24,3,14,3,0,41,23,0,5,5,3,36,39,9,20,0,14,76,111,26,132,11,17,297,188,48,283,31,56,610,65,50,214,27,43,402,18,15,34,13,11,90,4,0,3,0,0,10,0,0,3,0,0,5,0,0,0,0,0,0,6,0,3,3,3,13,21,9,10,4,6,40,545,160,764,110,164,1749,29,4,21,3,6,59,0,0
LGA11500,92,10,64,8,9,189,72,6,54,4,18,157,333,66,254,34,65,752,494,133,622,65,197,1515,444,86,616,55,118,1308,379,118,653,35,102,1283,76,45,156,16,39,333,24,14,45,6,15,99,0,0,6,0,0,11,3,3,0,0,0,5,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,11,3,6,3,8,38,37,20,62,9,14,150,1969,501,2546,243,586,5851,71,3,49,6,8,132,13,5,14,0,5,40,275,19,76,19,42,438,144,71,190,31,77,514,122,31,141,17,56,368,311,75,364,47,140,936,633,137,875,76,170,1894,326,122,593,70,100,1201,58,35,99,20,37,249,7,6,20,4,9,37,0,0,3,0,3,6,0,0,3,0,0,5,0,0,0,0,0,0,8,0,10,0,0,14,71,22,55,14,24,193,2044,521,2492,305,673,6035,68,5,40,9,14,127,15,0
LGA11520,59,3,61,7,7,132,11,0,0,0,3,18,74,3,27,3,6,101,65,3,37,4,3,123,47,5,11,9,4,77,137,6,60,10,10,232,631,18,267,34,48,994,758,38,403,35,46,1285,226,25,175,20,24,470,80,9,68,4,7,170,33,7,46,3,3,89,21,6,17,3,0,48,4,0,11,0,0,21,13,3,17,3,3,40,36,6,24,3,3,68,2196,128,1230,142,164,3860,56,9,55,13,8,134,10,0,0,0,0,9,49,0,5,0,3,56,42,3,11,7,9,69,53,0,28,0,4,82,44,0,25,0,3,73,121,7,64,8,11,199,477,17,251,18,23,786,771,30,451,41,40,1335,533,41,379,34,35,1025,197,13,205,28,15,452,90,7,114,23,13,253,44,8,54,8,3,125,43,7,60,9,15,139,55,6,24,6,9,101,2584,153,1723,196,184,4842,81,12,42,9,9,152,0,0
LGA11570,265,37,198,27,32,565,184,6,40,15,17,256,812,140,397,71,104,1523,1113,167,1314,106,169,2866,710,104,1020,90,130,2054,1054,277,1836,169,267,3601,766,275,1381,154,253,2821,241,87,441,60,79,910,23,7,43,11,11,101,7,6,13,0,0,28,0,0,11,0,0,9,0,0,4,0,0,4,0,0,0,3,0,6,36,6,39,0,4,94,167,35,177,16,40,428,5377,1153,6919,713,1111,15262,217,33,207,30,32,515,49,0,19,4,5,77,610,36,112,26,64,845,347,79,191,74,76,769,189,51,176,31,42,489,546,101,650,76,94,1461,1590,256,2298,195,245,4584,1438,450,2399,312,353,4950,460,259,952,129,178,1985,124,68,296,31,54,574,38,13,86,11,13,152,18,9,20,0,7,53,8,0,3,0,0,13,20,3,34,3,5,59,190,45,191,42,56,532,5844,1395,7627,972,1223,17065,227,26,199,27,35,510,51,0
LGA11600,34,3,35,3,9,82,4,0,5,0,0,9,3,3,7,0,4,18,8,0,8,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,9,59,12,67,4,7,143,26,7,29,0,0,67,3,0,0,0,0,3,6,0,12,0,0,21,16,4,5,0,0,28,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,17,61,10,54,3,0,133,25,9,34,0,0,68,3,0
LGA11650,253,17,134,9,29,450,96,3,18,3,10,129,474,24,164,20,50,738,842,55,613,46,111,1656,867,73,830,58,132,1951,1172,178,1591,102,202,3250,577,149,840,82,108,1758,163,53,278,36,41,581,27,20,49,9,11,115,16,3,9,7,4,41,3,0,7,0,0,9,4,0,3,0,0,13,0,0,0,0,0,0,11,3,12,3,3,37,112,10,72,4,17,211,4625,590,4621,383,710,10930,185,25,149,17,20,393,56,3,8,0,3,63,331,5,55,12,14,427,338,34,148,23,43,588,359,20,219,26,59,684,920,98,760,71,109,1966,1660,232,1754,109,245,4009,828,275,1340,145,242,2832,205,92,336,31,62,733,48,42,104,25,22,234,22,10,33,10,3,84,14,0,10,3,0,28,3,0,4,0,0,9,23,3,13,0,3,50,134,9,97,24,18,278,5132,857,5031,492,853,12363,179,16,91,12,19,320,15,0
LGA11700,40,0,26,0,3,77,3,0,3,0,0,7,6,3,26,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,5,56,3,61,4,6,136,36,0,28,0,0,76,0,0,4,0,0,7,15,8,26,0,3,51,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,62,9,65,3,3,146,15,3,22,0,5,37,0,0
LGA11720,33,7,38,3,9,87,19,0,9,3,0,34,110,8,81,6,22,223,188,25,271,18,40,538,62,14,131,3,8,214,44,7,75,3,6,136,18,9,38,0,0,65,3,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,11,24,0,11,0,11,48,513,76,660,32,87,1368,39,11,30,6,0,92,8,0,3,0,0,12,61,5,20,4,6,94,97,6,79,11,24,214,72,10,73,0,17,169,149,20,200,13,22,407,156,25,218,14,30,446,89,13,149,9,10,262,10,0,14,0,0,23,3,0,3,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,5,14,3,21,0,6,45,699,98,807,52,117,1780,34,3,23,3,5,74,9,0
LGA11730,73,10,80,9,6,176,34,7,19,3,3,70,167,16,99,10,33,328,240,34,243,25,35,570,87,16,108,5,16,225,59,24,99,4,7,196,6,3,14,0,0,27,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,13,18,0,17,0,9,44,680,108,702,56,112,1666,52,12,59,3,3,130,8,0,0,0,4,12,63,6,31,4,9,116,141,3,68,6,20,232,92,6,75,4,9,193,155,22,178,8,27,392,148,40,211,20,14,433,36,11,60,4,3,121,6,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,18,0,15,0,3,36,723,103,712,56,100,1689,49,7,48,6,10,121,4,0
LGA11750,26,8,30,3,3,66,11,3,4,0,4,17,48,7,43,4,4,101,30,3,38,3,3,79,4,3,7,0,0,15,6,0,5,0,0,13,0,0,6,0,0,11,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,8,120,27,132,7,16,309,24,3,22,3,3,55,4,0,4,0,0,12,25,3,25,4,3,66,27,4,31,3,0,65,16,0,4,0,0,25,12,3,19,0,9,42,4,3,16,0,0,26,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,7,0,0,13,126,14,143,13,14,311,23,0,19,0,0,47,8,0
LGA11800,79,3,44,4,9,135,34,0,7,0,0,46,190,22,72,6,21,319,295,31,196,10,47,578,176,14,187,9,25,415,229,55,343,39,26,697,108,41,216,14,16,390,27,13,53,9,6,102,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,15,32,3,17,3,3,55,1187,184,1143,100,149,2765,62,3,39,7,8,124,3,0,3,0,0,7,112,3,23,0,5,148,127,12,54,9,18,216,114,4,68,3,12,209,247,25,174,21,32,497,370,58,422,22,32,900,191,82,369,50,34,728,41,19,88,4,13,171,4,0,25,3,3,33,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,12,0,8,3,0,15,34,0,28,3,4,75,1316,209,1312,126,167,3127,48,9,27,3,3,87,0,0
LGA12000,20,0,25,0,0,45,4,0,3,0,0,11,12,3,13,0,0,25,4,0,12,0,0,23,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,51,3,0,110,18,0,12,3,0,28,5,0,4,0,0,9,15,0,11,0,0,23,11,0,11,0,0,25,0,0,3,0,0,10,7,0,7,0,0,9,5,0,0,0,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,56,5,50,3,4,113,16,3,6,3,0,31,4,0
LGA12150,33,4,27,0,0,71,6,0,6,0,0,18,13,7,24,0,3,52,7,0,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,4,0,0,17,73,14,72,5,8,172,34,4,22,0,6,70,3,0,0,0,0,5,20,0,12,0,5,39,11,0,15,0,0,26,0,0,0,0,0,3,4,0,0,0,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,0,4,0,0,13,80,13,64,6,11,173,22,0,14,0,3,45,0,0
LGA12350,34,3,34,6,3,78,16,0,9,0,0,31,47,3,27,0,4,87,68,14,80,9,10,177,9,3,23,0,0,38,3,0,9,0,0,14,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,18,189,29,192,15,19,450,23,0,25,0,3,54,7,0,3,0,0,14,34,4,23,0,4,61,90,13,54,6,8,174,26,0,28,0,4,66,14,3,19,3,3,44,10,3,6,3,0,19,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,17,217,30,172,18,21,456,26,0,31,4,0,57,3,0
LGA12380,132,10,106,18,20,284,97,0,21,3,7,133,378,67,221,37,45,747,524,67,605,50,74,1329,533,94,782,62,95,1559,1167,270,1772,157,182,3549,524,202,758,94,155,1734,80,39,115,16,23,271,15,3,30,3,3,52,8,6,7,0,0,18,4,3,3,0,0,12,3,0,6,0,0,9,0,3,0,0,0,3,15,3,18,0,3,46,116,19,107,17,22,280,3595,791,4558,457,625,10018,131,29,108,11,13,295,34,0,19,0,0,50,309,6,67,20,34,435,204,42,147,35,32,470,116,19,120,13,21,295,323,62,339,39,52,810,1050,157,1467,129,169,2968,1454,332,2253,269,238,4546,391,146,555,88,77,1259,58,23,108,26,24,239,14,8,18,6,3,52,4,0,8,3,0,20,3,0,5,0,0,6,11,6,19,0,3,43,134,25,140,24,38,366,4238,853,5376,676,712,11855,137,25,121,16,33,330,34,0
LGA12700,14,4,24,0,3,46,3,3,3,0,0,4,24,3,15,0,3,48,24,3,32,0,7,67,5,3,13,0,3,25,7,0,0,0,3,9,3,0,4,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,10,89,19,100,3,24,230,25,0,18,0,3,52,3,0,0,0,0,8,12,0,6,0,3,28,16,3,16,0,4,43,11,0,14,0,7,35,11,0,21,0,3,36,7,5,16,4,0,23,6,0,9,0,0,14,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,101,12,97,13,23,242,11,0,15,0,4,27,0,0
LGA12730,39,9,35,0,3,75,12,0,5,0,3,20,41,10,27,3,4,84,39,6,38,4,0,84,3,0,4,0,0,8,0,0,3,0,0,8,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,5,0,10,0,0,14,143,21,124,5,13,312,23,3,30,3,5,60,7,0,0,0,0,4,35,3,17,0,0,56,40,0,28,0,6,79,14,0,15,3,0,30,10,5,14,0,0,34,0,0,10,0,0,16,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,12,144,22,116,8,10,297,16,0,17,0,0,33,3,0
LGA12750,63,4,54,0,3,128,18,0,15,0,3,41,108,5,53,7,17,195,190,20,117,13,17,358,97,11,111,9,10,243,92,17,143,16,10,273,16,13,41,4,3,83,0,0,3,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,25,0,9,0,3,42,620,77,561,54,71,1383,52,5,41,3,0,98,4,0,3,0,3,11,57,3,33,3,8,107,97,3,33,4,8,150,81,8,59,4,16,169,180,27,137,14,28,383,120,18,162,15,16,329,48,19,67,14,8,151,7,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,7,19,3,16,0,5,40,677,84,557,50,101,1464,52,5,18,3,3,74,5,0
LGA12850,139,19,111,16,22,300,105,7,23,4,8,142,563,85,384,88,107,1232,621,109,741,104,233,1801,316,119,510,88,168,1197,456,227,955,165,220,2023,128,104,286,68,113,705,30,18,51,10,17,136,3,0,13,0,3,20,0,0,3,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,6,14,3,9,51,106,23,84,22,37,271,2493,712,3176,575,937,7886,114,21,113,21,25,298,14,0,11,8,4,36,350,14,59,43,52,525,231,60,145,58,60,554,164,38,153,41,65,457,418,79,460,62,127,1144,588,161,887,151,253,2041,536,389,1198,232,301,2659,91,90,212,63,88,541,30,15,38,7,21,105,4,3,6,7,0,23,0,0,4,0,3,9,0,0,0,0,0,3,7,6,10,6,3,36,97,34,98,24,47,304,2638,912,3398,728,1048,8725,136,23,125,18,35,334,23,0
LGA12870,34,5,36,3,0,80,8,0,3,0,0,8,61,3,19,0,0,86,58,3,55,6,10,127,17,3,32,3,5,56,6,3,13,0,0,20,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,6,0,4,0,0,13,204,22,160,16,17,412,30,5,29,3,0,62,8,0,3,0,0,17,39,0,13,0,0,52,42,3,23,0,0,68,20,0,26,3,0,62,39,5,47,4,0,98,12,0,26,4,3,40,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,6,0,8,0,0,15,209,20,177,13,7,432,25,4,26,0,0,50,3,0
LGA12900,44,4,32,4,3,85,9,0,0,0,0,12,39,3,16,0,0,69,43,10,49,5,3,106,5,0,5,0,0,12,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,10,3,9,0,0,27,149,21,122,15,12,322,33,6,24,3,0,57,3,0,3,0,0,7,35,0,9,3,0,50,61,5,43,3,3,111,13,0,18,0,0,34,4,0,14,0,0,20,3,0,10,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,11,3,9,0,3,22,162,14,125,9,8,322,36,3,24,3,0,69,0,0
LGA12930,90,15,82,11,8,219,27,0,4,0,0,34,112,14,42,20,12,202,211,20,135,18,16,398,343,25,217,20,25,632,648,59,558,61,89,1413,760,103,743,101,111,1825,279,65,329,65,77,809,46,13,57,21,25,154,17,7,23,4,3,54,12,3,7,6,0,29,3,0,4,4,0,8,0,0,3,0,0,8,14,4,17,4,3,35,63,3,48,12,10,132,2634,329,2266,340,380,5952,106,14,81,15,16,230,5,0,3,0,0,14,93,0,16,5,8,125,94,17,34,13,7,169,74,10,40,5,12,139,162,12,85,8,20,286,526,43,413,39,53,1070,1162,89,924,130,131,2436,539,102,554,90,99,1384,177,38,196,35,38,490,51,21,59,13,18,159,18,4,28,14,3,68,8,3,13,0,3,33,11,3,13,3,0,38,95,7,75,19,21,219,3128,369,2545,402,434,6867,119,10,79,11,11,230,12,0
