LGA_CODE_2016,C06_OO_DS_Sep_house,C06_OO_DS_SemiDRTHT,C06_OO_DS_FUA,C06_OO_DS_OD,C06_OO_DS_NS_,C06_Owned_Outright_Tot,C06_OWM_DS_Sep_house,C06_OWM_DS_SemiDRTHT,C06_OWM_DS_FUA,C06_OWM_DS_OD,C06_OWM_DS_NS_,C06_Owned_with_mortgage_Tot,C06_R_REA_DS_Sep_house,C06_R_REA_DS_SemiDRTHT,C06_R_REA_DS_FUA,C06_R_REA_DS_OD,C06_R_REA_DS_NS_,C06_R_Real_Estate_Agent_Tot,C06_R_STHA_DS_Sep_house,C06_R_STHA_DS_SemiDRTHT,C06_R_STHA_DS_FUA,C06_R_STHA_DS_OD,C06_R_STHA_DS_NS_,C06_R_ST_House_Auth_Tot,C06_R_PNISH_DS_Sep_house,C06_R_PNISH_DS_SemiDRTHT,C06_R_PNISH_DS_FUA,C06_R_PNISH_DS_OD,C06_R_PNISH_DS_NS_,C06_R_Psn_NI_SameHsehld_Tot,C06_R_HCCCG_DS_Sep_house,C06_R_HCCCG_DS_SemiDRTHT,C06_R_HCCCG_DS_FUA,C06_R_HCCCG_DS_OD,C06_R_HCCCG_DS_NS_,C06_R_HCCCG_Tot,C06_R_OLT_DS_Sep_house,C06_R_OLT_DS_SemiDRTHT,C06_R_OLT_DS_FUA,C06_R_OLT_DS_OD,C06_R_OLT_DS_NS_,C06_R_Oth_Llord_Type_Tot,C06_R_LT_NS_DS_Sep_house,C06_R_LT_NS_DS_SemiDRTHT,C06_R_LT_NS_DS_FUA,C06_R_LT_NS_DS_OD,C06_R_LT_NS_DS_NS_,C06_R_Llord_Type_NS_T,C06_R_Tot_DS_Sep_house,C06_R_Tot_DS_SemiDRTHT,C06_R_Tot_DS_FUA,C06_R_Tot_DS_OD,C06_R_Tot_DS_NS_,C06_R_T_T,C06_OTT_DS_Sep_house,C06_OTT_DS_SemiDRTHT,C06_OTT_DS_FUA,C06_OTT_DS_OD,C06_OTT_DS_NS_,C06_OTT_Tot,C06_TT_NS_DS_Sep_house,C06_TT_NS_DS_SemiDRTHT,C06_TT_NS_DS_FUA,C06_TT_NS_DS_OD,C06_TT_NS_DS_NS_,C06_TT_NS_T,C06_Tot_DS_Sep_house,C06_Tot_DS_SemiDRTHT,C06_Tot_DS_FUA,C06_Tot_DS_OD,C06_Tot_DS_NS_,C06_T_T,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_FUA,C11_OO_DS_OD,C11_OO_DS_NS_,C11_OO_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_FUA,C11_OWM_DS_OD,C11_OWM_DS_NS_,C11_OWM_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_FUA,C11_R_REA_DS_OD,C11_R_REA_DS_NS_,C11_R_REA_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_FUA,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS_,C11_R_STHA_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemiDRTHT,C11_R_PNISH_DS_FUA,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS_,C11_R_PNISH_Tot,C11_R_HCCCG_DS_Sep_house,C11_R_HCCCG_DS_SemiDRTHT,C11_R_HCCCG_DS_FUA,C11_R_HCCCG_DS_OD,C11_R_HCCCG_DS_NS_,C11_R_HCCCG_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemiDRTHT,C11_R_OLT_DS_FUA,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS_,C11_R_OLT_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemiDRTHT,C11_R_LT_NS_DS_FUA,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS_,C11_R_LT_NS_T,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemiDRTHT,C11_R_Tot_DS_FUA,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS_,C11_R_T_T,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_FUA,C16_OO_DS_OD,C16_OO_DS_NS_,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_FUA,C16_OWM_DS_OD,C16_OWM_DS_NS_,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_FUA,C16_R_REA_DS_OD,C16_R_REA_DS_NS_,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_FUA,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS_,C16_R_STHA_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemiDRTHT,C16_R_PNISH_DS_FUA,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS_,C16_R_PNISH_Tot,C16_R_HCCCG_DS_Sep_house,C16_R_HCCCG_DS_SemiDRTHT,C16_R_HCCCG_DS_FUA,C16_R_HCCCG_DS_OD,C16_R_HCCCG_DS_NS_,C16_R_HCCCG_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemiDRTHT,C16_R_OLT_DS_FUA,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS_,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemiDRTHT,C16_R_LT_NS_DS_FUA,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS_,C16_R_LT_NS_T,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_FUA,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS_,C16_R_T_T,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT
LGA10850,992,8,0,12,0,1020,787,6,0,3,0,797,192,3,51,6,0,247,52,0,11,0,0,70,129,0,6,4,0,141,0,25,3,0,0,25,32,0,3,0,0,38,22,0,0,3,0,30,429,31,70,12,0,540,10,0,0,0,0,13,80,0,3,0,0,82,2291,45,76,29,0,2446,960,10,3,11,3,981,906,12,0,0,0,922,238,21,34,3,0,299,48,6,0,0,0,53,143,4,0,3,0,151,5,5,9,0,0,23,34,3,0,10,0,41,29,0,0,0,0,31,493,37,50,16,0,598,17,0,0,0,0,18,132,3,3,0,0,141,2514,63,55,26,5,2663,988,4,0,11,0,999,914,3,0,3,3,925,269,11,49,0,0,335,39,0,4,0,0,41,162,4,0,3,3,173,0,0,0,0,0,0,29,0,0,9,0,37,24,0,0,0,0,26,531,20,54,9,3,617,20,0
LGA10900,9823,289,80,12,0,10209,10813,72,36,16,0,10940,2947,241,281,15,0,3484,196,74,144,0,0,412,1062,48,69,8,0,1188,80,47,28,0,0,155,94,3,3,3,0,99,121,4,20,0,0,143,4498,412,545,29,0,5484,91,119,24,0,0,236,1281,69,79,13,4,1448,26509,960,772,68,5,28308,10051,455,79,9,8,10594,11191,186,50,11,3,11435,2788,328,238,10,3,3370,166,139,48,0,0,352,1108,81,68,13,3,1272,82,80,35,0,0,199,92,14,9,3,0,115,113,9,6,0,0,141,4343,653,418,24,9,5450,167,102,26,0,0,292,1363,111,55,69,0,1608,27116,1505,623,106,20,29377,10836,425,43,16,25,11348,11162,132,50,17,20,11379,2656,334,263,10,17,3282,161,143,87,0,0,394,1105,88,49,7,17,1261,60,86,53,0,4,207,73,8,7,12,10,106,82,6,3,0,4,103,4136,677,464,35,43,5356,124,136
LGA10950,445,0,0,18,0,467,276,0,0,7,0,284,48,0,7,0,0,56,49,0,13,0,0,63,80,0,11,4,0,95,8,0,3,0,0,9,46,3,7,6,0,64,34,0,3,0,0,37,264,6,48,7,0,328,4,0,0,0,0,8,29,0,0,3,0,37,1021,7,52,31,0,1119,428,0,0,19,4,452,233,0,0,4,0,242,58,3,0,3,0,63,50,4,5,0,0,57,76,3,5,4,0,98,12,0,3,0,0,13,60,11,10,10,0,97,23,0,0,4,0,28,277,20,29,25,0,354,9,0,0,0,0,14,91,4,8,5,3,114,1037,25,32,62,12,1167,383,4,0,7,7,402,224,0,0,0,0,220,47,3,0,0,0,50,46,0,4,0,0,47,80,4,4,4,3,100,12,4,3,0,0,16,47,18,8,8,0,82,20,0,0,0,0,21,249,29,28,13,3,317,7,0
LGA11100,2711,478,793,12,3,4003,1698,582,1162,13,3,3453,474,293,2057,34,6,2862,186,414,793,0,0,1394,215,81,364,21,0,675,22,4,21,0,0,52,18,38,54,3,0,116,47,23,68,0,0,137,956,848,3362,59,4,5229,24,10,29,0,0,68,325,135,619,8,0,1086,5725,2055,5964,97,7,13844,2593,505,889,10,3,3996,1872,745,1736,9,11,4376,492,280,2169,28,9,2980,170,343,884,0,3,1404,218,70,388,20,3,704,33,21,45,0,0,98,23,36,44,3,0,108,32,11,45,0,0,81,969,759,3573,52,26,5373,29,16,41,0,0,83,321,130,601,10,0,1052,5786,2154,6832,79,32,14885,2461,454,1063,10,10,4000,1916,775,1988,16,10,4707,564,285,3790,60,30,4739,112,462,798,0,0,1371,207,73,522,18,14,830,25,14,38,0,0,83,17,25,109,3,4,155,19,14,34,0,0,67,936,874,5302,88,46,7244,39,19
LGA11150,286,0,0,65,0,349,229,4,0,9,0,237,29,0,3,0,0,29,63,0,5,0,0,76,86,0,0,7,0,92,49,0,0,0,0,54,111,10,19,11,0,152,33,0,5,6,0,43,374,12,29,21,0,438,16,0,0,0,0,17,106,0,3,36,3,147,1015,13,38,121,4,1191,294,0,0,26,3,321,198,0,0,0,0,204,10,0,0,0,0,15,61,0,9,0,0,70,98,0,5,6,0,112,44,0,0,0,0,41,117,3,13,6,0,137,29,0,0,0,0,29,354,3,27,15,0,403,14,0,0,7,0,22,148,0,6,106,0,263,1012,3,42,149,8,1206,238,0,0,61,3,307,181,0,0,3,5,190,34,3,7,0,0,40,60,9,7,0,0,73,76,0,0,0,0,83,39,0,4,0,0,39,83,9,8,16,3,112,14,0,0,0,0,12,296,18,31,17,4,366,11,0
LGA11200,166,4,0,13,0,181,55,0,0,0,0,53,6,0,0,0,0,11,50,0,13,0,0,60,40,0,0,4,0,40,109,0,4,0,0,120,56,0,12,0,0,61,26,0,0,0,0,26,290,0,26,3,0,322,13,0,0,0,0,12,50,0,0,0,0,54,566,9,28,15,0,619,150,0,0,7,0,159,64,0,0,0,0,69,3,0,0,0,0,7,58,0,3,0,0,63,40,0,4,0,0,47,101,0,14,0,0,121,59,0,17,0,0,78,29,0,3,0,0,33,297,0,40,3,0,344,15,0,0,0,0,15,39,0,4,0,0,44,568,0,45,8,8,628,140,0,0,4,0,143,50,0,0,0,0,46,10,0,0,0,0,10,50,0,12,0,0,64,37,0,0,0,0,42,136,0,11,0,0,153,51,3,9,0,0,63,13,0,0,0,0,20,303,3,38,0,0,338,9,0
LGA11250,3753,109,29,95,3,3985,1982,44,14,19,0,2060,311,15,57,4,0,385,92,10,34,0,0,136,454,23,66,6,0,543,21,3,21,0,0,51,193,8,23,30,0,251,63,6,15,3,0,84,1128,63,214,44,3,1451,44,4,16,7,0,62,508,11,53,21,0,591,7409,223,332,174,4,8151,3286,7,69,106,3,3470,2126,5,46,6,7,2181,602,12,64,0,0,677,71,5,23,0,0,106,486,21,62,0,0,566,32,3,0,0,0,34,152,11,30,24,0,220,51,0,6,0,0,55,1395,58,179,23,3,1659,44,7,6,8,0,61,560,36,54,23,0,679,7411,115,354,167,10,8056,2994,31,9,68,5,3108,2122,14,0,3,3,2150,568,53,43,0,0,671,64,21,28,0,0,112,569,34,34,4,4,646,17,4,25,0,0,47,179,9,23,15,3,226,53,0,6,0,0,66,1460,117,153,16,8,1765,30,0
LGA11300,2884,272,537,8,0,3701,1626,295,503,4,0,2426,613,259,1787,8,0,2671,27,26,259,0,0,314,244,83,218,15,0,556,17,11,35,0,0,68,24,19,26,0,0,70,51,3,22,0,0,77,976,404,2342,29,0,3752,26,4,15,0,0,42,415,92,443,7,0,960,5931,1058,3842,48,0,10886,2754,357,521,11,0,3657,1700,358,705,8,0,2776,622,246,1848,23,7,2741,23,75,213,0,0,311,252,92,318,18,3,677,46,7,30,0,0,84,34,8,55,4,0,100,31,13,27,0,0,73,1013,442,2492,40,12,3991,37,8,30,0,0,71,286,76,363,24,3,750,5797,1240,4112,83,13,11238,2302,706,617,5,9,3634,1403,640,810,7,11,2857,542,313,2549,24,28,3460,20,106,204,0,0,338,216,99,599,6,16,940,29,13,43,0,3,90,32,25,95,4,3,157,25,18,27,0,4,69,859,581,3515,41,57,5051,27,15
LGA11350,3443,179,102,309,0,4026,2789,148,75,26,0,3035,1041,259,309,37,0,1655,96,32,71,0,0,201,1036,134,176,68,0,1413,18,3,11,0,0,33,54,9,11,72,0,146,83,12,9,11,0,116,2331,447,583,193,4,3554,63,8,7,13,0,93,802,96,128,198,0,1229,9424,878,898,734,6,11943,3569,208,85,153,4,4017,2947,234,61,14,6,3266,1065,335,230,9,4,1631,72,38,52,0,0,168,1214,164,144,62,9,1598,31,17,12,0,0,73,62,8,10,75,0,162,119,13,10,6,0,146,2566,581,459,154,20,3774,90,11,10,3,0,119,597,105,88,434,0,1222,9767,1137,710,755,29,12404,3667,161,148,297,86,4363,2960,171,91,35,32,3291,977,295,214,24,22,1526,64,22,74,0,3,164,1243,131,151,80,29,1631,33,13,18,0,0,59,57,5,3,63,13,142,95,13,14,3,0,118,2463,476,470,175,64,3645,103,10
LGA11400,2041,3,0,45,0,2091,1415,0,3,20,0,1442,191,0,22,7,0,211,33,4,8,0,0,44,306,0,12,20,0,336,17,11,12,0,0,33,108,0,7,4,0,119,102,3,3,4,0,111,756,17,53,32,0,865,42,0,0,0,0,48,196,0,3,12,0,207,4454,26,62,112,0,4651,2028,8,9,34,0,2075,1564,4,3,19,0,1586,240,25,18,4,0,285,28,0,0,0,0,28,351,8,7,12,0,383,5,11,17,0,0,38,101,3,0,8,0,113,79,3,3,3,0,85,806,48,49,26,0,935,51,0,3,3,0,61,165,3,9,5,0,174,4607,65,72,77,3,4826,1968,4,3,16,7,2003,1639,0,5,7,7,1662,253,6,24,5,0,293,22,3,4,0,0,30,350,8,7,4,3,372,7,4,16,0,0,28,102,0,0,5,0,106,58,0,3,3,0,63,795,23,51,20,5,890,38,0
LGA11450,3834,116,55,37,0,4042,8017,90,13,10,0,8132,1749,135,63,4,0,1950,218,37,57,0,0,316,568,19,16,11,0,615,23,9,3,0,0,38,67,4,0,5,0,78,69,0,4,0,0,73,2694,202,152,27,0,3071,56,73,18,0,0,142,673,67,32,72,0,846,15277,542,271,140,4,16235,4236,251,69,126,3,4687,9064,320,27,6,12,9435,1871,172,87,0,0,2130,214,78,32,0,0,328,638,44,32,3,0,715,25,25,4,0,0,60,65,0,0,12,0,88,43,5,5,0,0,60,2857,327,160,20,8,3372,55,87,13,3,0,159,629,70,35,17,0,752,16836,1054,304,179,24,18408,5450,305,40,49,17,5861,12162,350,20,5,18,12556,3205,403,63,0,19,3693,237,80,31,0,0,341,663,69,11,6,3,755,29,22,0,0,3,54,116,7,0,18,0,137,56,5,0,0,4,64,4300,582,107,23,27,5047,97,119
LGA11500,9787,936,103,11,3,10842,17460,1582,140,10,5,19193,4032,1657,586,14,4,6294,3165,2460,210,7,7,5842,1313,308,78,10,0,1704,116,75,5,0,0,193,123,26,13,0,3,161,184,78,20,0,0,283,8935,4603,910,29,8,14482,155,43,31,3,0,235,2172,703,178,20,3,3074,38510,7861,1363,70,21,47823,10205,985,230,46,3,11465,17611,2084,274,63,3,20035,4228,1717,557,21,0,6519,3194,1758,342,0,5,5307,1510,356,117,10,0,1991,120,93,53,0,0,270,164,23,21,3,0,211,120,27,16,3,0,168,9326,3979,1110,39,9,14460,178,53,114,0,0,355,1957,590,199,15,4,2765,39278,7697,1937,159,23,49080,10694,1125,300,18,18,12151,17207,2051,329,22,20,19629,5774,2145,1055,32,31,9042,2707,2038,173,0,6,4926,1483,345,80,5,9,1931,111,117,39,0,0,266,159,34,19,0,4,209,146,33,8,0,0,188,10378,4716,1369,42,52,16555,229,137
LGA11520,6438,701,1757,30,0,8928,4073,900,2119,14,0,7110,1251,611,3558,48,0,5465,106,124,424,0,0,647,472,138,624,32,0,1263,22,3,40,0,0,65,31,71,77,3,0,179,88,22,48,7,0,168,1959,969,4772,88,5,7790,70,11,53,0,0,133,855,184,1136,14,0,2183,13395,2765,9839,149,7,26147,6210,862,2233,14,12,9331,4303,1170,3231,13,11,8723,1255,812,4469,60,32,6621,88,170,483,0,0,747,455,170,810,33,3,1476,14,23,80,0,0,120,42,77,164,3,0,288,60,14,63,3,0,149,1922,1267,6061,105,34,9390,70,18,59,0,0,151,623,205,1267,34,4,2143,13126,3527,12856,168,63,29736,6068,805,3021,33,26,9953,4232,1064,4112,55,19,9489,1242,641,7008,150,46,9079,89,193,461,0,4,746,403,112,1096,54,20,1689,23,15,106,0,8,158,29,59,160,3,7,256,50,17,68,3,3,139,1834,1044,8892,208,87,12073,48,13
LGA11570,28915,2967,2705,112,17,34709,19580,4140,4365,73,9,28168,5517,2471,9227,172,9,17407,3368,1264,3419,4,3,8064,2629,695,1241,68,7,4643,226,160,252,0,0,640,455,110,192,37,0,788,403,92,237,6,0,738,12610,4785,14571,300,25,32286,311,121,133,0,0,568,4342,1068,3140,84,9,8649,65762,13077,24908,566,68,104382,27591,3001,2984,79,52,33706,21439,5187,5460,55,63,32210,5867,2579,9366,209,85,18107,3001,1569,3447,0,9,8020,2741,781,1434,83,22,5056,205,264,425,4,0,887,483,134,282,44,6,942,307,87,170,4,3,564,12600,5406,15122,339,121,33587,396,99,210,6,0,711,3786,1053,2965,110,14,7929,65811,14755,26742,588,254,108151,25925,3481,3097,90,42,32638,20296,6374,5179,93,81,32031,6736,3329,12568,284,125,23049,2611,2140,3545,5,12,8312,2935,896,1633,85,58,5599,199,283,418,3,5,904,562,147,290,26,15,1036,334,99,154,7,6,599,13381,6889,18613,407,219,39507,342,135
LGA11600,430,0,3,43,0,475,230,0,0,5,0,230,14,0,0,0,0,16,5,0,4,0,0,13,107,0,16,5,0,134,3,0,3,0,0,7,77,0,8,29,0,120,53,0,0,4,0,60,269,0,34,32,0,338,18,0,0,0,0,22,73,0,10,6,0,86,1020,0,48,91,0,1153,406,0,0,21,0,432,212,0,0,3,0,217,11,0,3,0,0,13,10,0,5,0,0,19,116,3,9,7,0,130,3,0,9,0,0,12,100,4,8,16,0,133,25,0,0,0,0,25,267,5,31,29,0,326,13,0,0,3,0,18,55,0,0,9,0,60,954,5,29,65,0,1055,387,0,0,7,4,401,183,0,0,5,0,185,18,0,6,0,0,29,14,0,0,0,0,16,138,0,5,0,3,151,9,0,3,0,0,9,103,0,11,12,0,125,25,0,0,0,0,32,315,0,25,14,6,357,20,0
LGA11650,34108,3973,1868,856,36,40841,34633,1483,604,77,12,36807,11650,3096,2459,199,3,17404,1674,1114,846,0,0,3633,4314,628,466,110,0,5516,223,186,192,3,0,605,532,68,66,283,3,955,509,106,83,26,0,731,18896,5206,4109,631,3,28839,549,696,397,17,0,1661,5574,1070,1045,176,25,7889,93756,12425,8024,1756,76,116037,33778,4468,1961,712,24,40933,37222,2194,876,68,33,40394,12592,3498,3104,116,55,19361,1486,1267,1010,4,0,3763,4966,761,548,92,21,6390,204,211,247,0,0,667,585,103,70,361,5,1134,437,111,82,20,3,652,20263,5950,5068,598,88,31965,479,702,332,17,0,1538,4544,1106,991,278,24,6932,96290,14415,9228,1667,159,121762,34669,5142,2153,380,115,42458,37966,2072,1134,119,61,41343,13205,3586,3585,347,137,20862,1307,1422,860,6,8,3606,4543,724,586,99,50,6000,167,299,196,0,11,676,596,112,65,189,39,1004,381,94,68,19,8,561,20191,6227,5361,658,258,32705,459,992
LGA11700,288,0,3,51,0,338,75,0,0,3,0,77,0,0,0,0,0,0,41,3,3,0,0,48,33,0,0,3,0,38,80,0,0,0,0,78,70,7,3,12,0,92,29,0,0,3,0,34,252,14,7,20,0,294,22,0,0,3,0,21,59,3,0,13,0,74,694,15,12,85,0,807,246,0,10,51,23,339,71,0,0,4,3,79,0,0,0,0,0,3,78,0,4,0,12,100,39,0,6,5,6,55,32,0,0,0,0,33,93,0,16,22,8,141,26,0,3,3,0,28,271,0,29,30,27,354,21,0,0,3,4,35,70,0,3,15,4,92,680,0,44,110,55,891,243,0,0,4,4,254,45,0,0,0,3,53,3,3,0,0,0,7,74,3,8,0,0,81,38,0,0,0,0,42,38,0,0,0,0,43,64,8,3,3,0,76,24,0,0,0,0,22,239,14,10,5,0,269,20,3
LGA11720,6418,89,42,51,14,6618,5683,17,22,22,10,5752,1708,136,254,8,5,2112,416,33,110,0,0,560,716,14,44,14,0,789,30,3,15,0,0,48,129,8,10,15,0,152,101,4,3,3,0,110,3090,192,437,41,4,3768,93,19,6,20,0,141,842,21,42,49,3,960,16137,336,551,181,35,17231,6182,126,57,35,3,6400,6544,50,35,13,3,6645,2058,442,236,3,4,2747,419,74,156,0,0,640,826,41,34,8,4,915,20,33,4,0,0,60,114,30,3,25,3,174,95,17,3,3,0,120,3534,637,441,42,8,4665,94,32,0,9,0,129,989,80,54,24,4,1159,17341,922,588,121,19,18999,6134,239,9,16,31,6428,6740,79,12,9,26,6871,2630,708,153,16,25,3538,358,196,75,0,3,627,893,69,28,8,11,1011,15,38,0,0,0,56,99,25,3,4,3,135,92,5,0,3,0,105,4091,1046,259,27,43,5463,99,32
LGA11730,7487,310,256,606,3,8653,4763,127,68,79,0,5034,1285,236,489,21,0,2031,337,59,78,0,0,467,1079,78,219,42,0,1409,126,30,30,0,0,176,174,7,25,128,0,329,154,11,13,14,0,198,3148,418,847,204,0,4620,80,7,15,16,0,121,717,55,111,99,3,985,16187,911,1298,1014,6,19416,7754,255,223,493,5,8721,5219,77,71,61,0,5433,1717,260,521,19,5,2523,293,41,100,0,0,432,1101,106,183,31,0,1423,107,27,21,0,11,171,155,9,32,114,4,312,142,4,12,7,0,172,3518,450,862,177,18,5022,109,3,14,11,7,144,739,52,88,293,5,1174,17340,839,1256,1029,29,20499,7814,313,209,736,68,9136,5059,90,64,73,27,5315,1814,358,451,28,15,2670,234,73,72,0,0,388,1166,119,148,37,19,1482,120,73,18,3,0,210,139,22,21,141,13,332,108,19,9,6,3,146,3579,669,711,218,53,5226,112,12
LGA11750,531,0,3,51,0,590,423,3,0,4,0,430,106,0,53,0,0,162,98,0,10,0,0,103,82,7,25,9,0,123,34,0,17,0,0,50,166,0,52,13,0,234,34,0,3,0,0,37,520,10,157,21,0,708,22,0,0,4,0,22,147,3,36,22,0,206,1647,16,206,96,0,1962,530,0,3,55,20,607,440,0,0,0,0,443,153,9,55,3,0,220,79,0,7,0,0,85,83,0,5,18,0,109,39,0,14,0,0,50,172,8,45,11,0,235,28,0,8,0,0,36,544,20,134,34,0,737,14,0,0,3,0,12,128,0,6,26,0,161,1658,21,143,118,21,1962,512,0,3,61,0,576,412,0,0,3,0,423,155,7,40,4,0,206,67,3,4,0,0,74,79,0,11,3,0,90,27,0,12,0,0,46,159,8,32,17,0,216,24,0,7,0,0,32,509,24,108,20,3,663,14,0
LGA11800,7533,731,511,772,8,9550,6400,343,256,55,0,7048,2038,846,1102,9,0,3994,596,301,272,0,0,1172,1236,245,297,60,0,1841,73,53,19,8,0,151,141,27,40,214,0,416,140,33,32,16,0,224,4223,1500,1764,306,0,7798,110,96,55,21,0,288,730,193,281,138,0,1345,18999,2855,2868,1295,11,26025,7783,694,412,847,0,9740,6892,400,222,36,0,7548,2516,931,1129,18,3,4598,577,291,285,0,0,1156,1294,258,277,62,4,1894,79,71,75,3,0,232,144,34,42,230,3,452,123,24,30,11,0,196,4740,1617,1842,326,13,8537,158,113,50,27,3,348,899,180,255,102,0,1435,20473,3003,2782,1350,17,27614,8137,879,487,707,96,10306,6997,453,269,34,48,7807,2454,1078,1263,16,54,4865,514,309,267,0,3,1104,1208,267,238,36,41,1794,82,83,37,3,3,207,141,35,26,173,30,406,100,17,15,12,7,152,4506,1799,1846,239,132,8525,185,87
LGA12000,744,0,5,17,0,764,425,0,0,3,0,437,18,0,4,0,0,24,6,0,6,0,0,20,108,0,10,3,0,123,3,0,4,0,0,7,29,0,3,0,0,35,19,0,0,0,0,26,192,0,28,3,3,225,18,0,0,0,0,17,58,0,0,3,0,57,1428,3,37,27,5,1501,667,0,14,10,0,694,474,0,0,0,0,486,36,0,0,0,0,39,9,0,3,0,0,15,143,0,4,4,0,151,0,0,5,0,0,7,15,0,4,0,0,26,9,0,3,0,0,18,222,4,23,4,0,256,14,0,4,0,0,20,88,0,9,3,0,105,1467,3,60,22,0,1553,661,0,4,4,8,680,461,0,0,0,3,470,74,3,4,0,0,85,3,0,13,0,0,13,126,0,0,0,3,133,0,0,0,0,0,0,25,0,0,0,0,23,20,0,3,0,0,28,255,3,19,0,3,285,20,0
LGA12150,678,4,5,25,0,710,338,0,3,4,0,349,12,0,5,0,0,23,75,0,14,0,0,88,147,0,16,4,0,170,36,0,8,0,0,47,81,0,20,11,0,108,59,0,0,3,0,59,412,0,71,21,0,496,18,0,3,0,0,26,68,0,5,6,0,76,1517,3,89,48,0,1656,645,9,0,17,0,671,324,3,0,3,0,330,66,0,5,0,0,67,78,3,0,0,0,82,139,4,15,4,0,155,32,4,10,0,0,44,78,6,9,4,0,94,43,0,0,0,0,49,433,17,41,11,0,497,21,3,0,0,0,23,109,0,4,7,0,121,1529,37,39,41,3,1642,541,3,8,21,4,581,300,0,0,3,3,303,49,0,12,0,0,57,72,0,3,0,0,87,141,3,16,0,0,155,27,0,3,0,0,32,62,3,15,4,0,83,30,0,3,0,0,36,385,5,49,3,3,443,20,0
LGA12350,2002,26,23,40,0,2088,1309,3,12,8,0,1333,342,32,129,4,0,506,210,0,40,0,0,253,225,14,22,10,0,268,19,11,0,0,0,36,72,3,8,16,0,91,54,3,0,3,0,57,925,61,192,27,0,1203,41,10,0,0,0,49,167,15,20,6,0,199,4433,114,249,80,0,4877,1959,32,18,24,3,2038,1266,8,3,13,0,1292,413,37,112,3,0,565,138,8,27,0,0,173,280,14,25,4,0,328,18,14,4,0,0,36,69,3,3,12,0,88,34,0,7,0,0,44,959,78,178,24,0,1236,25,16,0,0,0,44,344,15,36,13,50,451,4553,148,236,75,53,5062,1945,46,26,33,29,2072,1279,17,10,4,17,1322,415,54,117,3,3,597,152,4,22,0,0,181,290,17,26,3,8,353,27,4,11,0,0,42,53,0,3,14,0,73,38,3,5,0,0,48,981,83,190,19,15,1288,25,15
