LGA_CODE_2016,C06_SH_FH_CF_no_ch,C06_SH_FH_CF_w_ch,C06_SH_FH_One_PFam,C06_SH_FH_oth_fa,C06_SH_FH_Tot,C06_SH_LP_H,C06_SH_GH,C06_SH_OH,C06_SH_Tot,C06_SDRTHT1S_FH_CF_no_ch,C06_SDRTHT1S_FH_CF_w_ch,C06_SDRTHT1S_FH_One_PFam,C06_SDRTHT1S_FH_oth_fa,C06_SDRTHT1S_FH_Tot,C06_SDRTHT1S_LP_H,C06_SDRTHT1S_GH,C06_SDRTHT1S_OH,C06_SDRTHT1S_Tot,C06_SDRTHT2S_FH_CF_no_ch,C06_SDRTHT2S_FH_CF_w_ch,C06_SDRTHT2S_FH_One_PFam,C06_SDRTHT2S_FH_oth_fa,C06_SDRTHT2S_FH_Tot,C06_SDRTHT2S_LP_H,C06_SDRTHT2S_GH,C06_SDRTHT2S_OH,C06_SDRTHT2S_Tot,C06_SDRTHT_FH_CF_no_ch,C06_SDRTHT_FH_CF_w_ch,C06_SDRTHT_FH_One_PFam,C06_SDRTHT_FH_oth_fa,C06_SDRTHT_FH_Tot,C06_SDRTHT_LP_H,C06_SDRTHT_GH,C06_SDRTHT_OH,C06_SDRTHT_Tot,C06_F_u_a_1_2_FH_CF_no_ch,C06_F_u_a_1_2_FH_CF_w_ch,C06_F_u_a_1_2_FH_One_PFam,C06_F_u_a_1_2_FH_oth_fa,C06_F_u_a_1_2_FH_Tot,C06_F_u_a_1_2_LP_H,C06_F_u_a_1_2_GH,C06_F_u_a_1_2_OH,C06_F_u_a_1_2_Tot,C06_F_u_a_3_FH_CF_no_ch,C06_F_u_a_3_FH_CF_w_ch,C06_F_u_a_3_FH_One_PFam,C06_F_u_a_3_FH_oth_fa,C06_F_u_a_3_FH_Tot,C06_F_u_a_3_LP_H,C06_F_u_a_3_GH,C06_F_u_a_3_OH,C06_F_u_a_3_Tot,C06_F_u_a_4m_FH_CF_no_ch,C06_F_u_a_4m_FH_CF_w_ch,C06_F_u_a_4m_FH_One_PFam,C06_F_u_a_4m_FH_oth_fa,C06_F_u_a_4m_FH_Tot,C06_F_u_a_4m_LP_H,C06_F_u_a_4m_GH,C06_F_u_a_4m_OH,C06_F_u_a_4m_Tot,C06_F_u_a_a_h_FH_CF_no_ch,C06_F_u_a_a_h_FH_CF_w_ch,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch
LGA10050,3723,4765,1695,158,10334,2623,512,416,13887,232,65,122,14,431,544,77,56,1104,32,6,14,0,63,74,20,20,172,266,73,139,16,495,617,91,79,1281,399,103,220,35,757,1429,244,204,2631,13,7,17,4,42,105,16,12,174,22,5,13,8,41,123,28,23,215,3,0,0,0,4,6,0,3,20,434,121,247,42,844,1661,286,237,3033,28,12,9,0,52,55,0,49,153,0,0,0,0,0,3,0,7,9,12,6,0,0,24,25,6,3,56,43,18,11,3,74,78,3,57,218,3,0,0,0,8,8,0,0,10,4468,4975,2094,217,11760,4985,891,795,18430,4184,4698,1798,127,10808,3045,553,450,14856,196,58,92,16,361,532,65,50,996,22,16,14,3,54,38,16,6,109,219,73,105,15,414,567,79,57,1106,419,189,262,30,905,1818,184,217,3129,12,3,5,0,23,69,9,11,117,0,0,3,0,6,16,3,3,23,3,0
LGA10130,2316,2742,1003,94,6154,1877,351,299,8679,72,23,36,6,136,227,60,26,445,13,0,10,0,24,30,4,6,56,82,23,46,6,159,252,63,29,499,103,38,49,12,198,487,103,72,866,0,0,0,0,3,8,0,9,19,0,0,0,0,3,0,0,0,4,11,0,3,0,13,14,0,3,32,111,42,49,12,218,515,107,81,917,8,7,11,0,22,29,3,33,84,0,0,0,0,0,0,0,4,5,11,4,0,0,18,6,7,4,39,21,12,9,0,47,42,8,37,132,0,0,0,0,0,0,0,0,3,2528,2825,1113,106,6574,2684,528,442,10233,2548,2603,1059,84,6295,2006,328,358,8980,88,33,46,0,168,254,30,37,491,12,7,3,0,19,36,3,8,74,99,42,50,0,192,297,33,47,562,130,83,72,13,294,533,100,122,1049,0,7,3,0,18,15,3,13,46,0,0,0,0,0,0,0,0,0,3,0
LGA10250,3492,3493,1141,88,8211,1864,341,282,10698,324,143,159,7,630,627,45,26,1325,150,93,129,5,371,234,34,29,666,466,235,283,13,1004,861,76,51,1993,365,190,262,17,843,924,122,128,2022,33,4,11,0,53,42,19,19,129,10,0,0,0,14,20,0,20,58,5,3,8,0,23,12,0,0,35,419,203,286,19,931,1005,149,167,2252,182,35,39,11,269,339,12,210,827,3,0,0,0,7,3,0,0,18,14,8,5,0,31,8,13,3,52,206,46,44,7,301,351,21,210,891,0,0,0,0,5,3,0,0,8,4580,3981,1757,136,10451,4084,593,713,15841,3771,3513,1259,91,8631,2135,326,290,11385,303,128,209,13,646,567,60,68,1331,172,133,144,3,457,216,55,30,759,471,261,351,15,1099,776,113,98,2091,374,148,221,16,752,994,85,90,1918,34,6,11,0,52,22,3,17,92,19,3,5,0,32,29,10,28,90,0,0
LGA10300,255,271,77,8,616,196,19,48,883,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,3,0,7,34,0,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,34,0,7,46,0,0,0,0,0,8,0,10,19,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,13,4,0,3,0,10,17,0,10,31,0,0,0,0,0,0,0,0,0,260,277,88,8,634,246,22,66,968,243,249,71,12,575,177,13,54,823,0,0,0,0,0,18,0,0,23,0,0,0,0,3,0,0,0,3,0,0,0,0,5,18,0,0,24,3,3,0,0,9,17,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,3039,3811,1211,95,8160,2115,375,336,10995,132,63,95,14,308,357,72,37,770,26,18,27,3,75,38,33,19,163,158,84,117,13,381,391,108,54,930,114,27,66,22,233,519,117,41,914,3,3,3,0,10,26,3,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,19,120,31,78,22,246,562,120,47,980,5,4,0,0,17,28,0,15,56,3,0,3,0,3,3,0,0,12,14,7,3,0,28,30,12,0,71,22,12,9,0,41,60,12,20,134,6,16,10,3,32,10,0,0,45,3344,3965,1429,138,8869,3143,617,463,13089,3374,3953,1382,119,8830,2436,397,437,12095,135,76,118,15,339,407,60,56,865,42,30,31,3,104,71,21,24,220,176,105,142,15,439,480,86,78,1083,129,32,49,12,223,549,59,115,943,0,0,0,0,0,19,10,3,34,0,0,0,0,0,3,0,0,7,4,9
LGA10550,3552,3083,1070,65,7774,2101,216,320,10406,106,35,29,8,174,158,10,13,358,45,26,17,0,83,35,0,11,134,150,54,44,4,257,198,11,24,489,209,77,89,6,377,586,52,89,1105,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,5,3,7,0,12,15,0,0,26,212,76,95,6,394,599,60,86,1132,75,25,14,0,110,122,5,217,454,15,13,9,0,37,9,0,15,60,12,11,3,0,24,17,0,0,52,100,50,22,0,176,150,7,234,568,4,3,0,0,6,15,0,10,25,4013,3270,1237,78,8608,3056,292,673,12629,3884,2874,1102,60,7915,2327,264,425,10927,118,25,48,3,191,268,16,19,498,159,41,34,0,236,149,12,29,418,280,60,86,3,425,415,23,47,916,212,74,101,10,398,563,47,88,1102,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,3,3
LGA10600,1395,1232,607,34,3275,984,122,144,4530,0,6,7,0,15,21,0,3,40,12,5,8,0,19,20,0,0,43,13,15,10,0,36,41,0,0,82,33,3,12,0,44,142,5,9,205,8,0,0,0,8,10,0,6,19,0,0,0,0,0,0,0,0,0,3,0,3,0,7,3,0,0,7,42,3,19,0,61,157,5,11,237,16,4,7,3,30,87,3,84,205,3,6,0,0,9,10,0,0,18,8,13,3,0,27,8,0,0,32,26,19,7,4,63,102,9,82,257,0,0,0,0,0,0,0,0,0,1467,1272,650,42,3430,1284,142,245,5097,1464,1183,635,25,3310,1035,152,132,4626,6,4,7,0,17,41,5,3,68,12,7,0,0,14,20,3,0,38,18,8,8,0,38,67,6,3,108,15,3,14,0,38,131,4,7,177,3,0,3,0,5,18,0,0,24,0,0,0,0,0,0,0,0,0,4,0
LGA10650,995,790,245,14,2047,640,63,52,2796,32,10,6,0,48,48,0,0,93,0,0,0,0,0,0,0,0,0,32,10,6,0,48,46,0,0,94,48,6,13,0,68,120,7,4,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,13,0,68,120,7,4,201,20,6,0,0,25,36,0,12,81,0,0,0,0,4,3,0,0,3,4,6,6,0,12,8,0,3,21,27,12,3,0,39,46,3,16,106,3,5,0,0,5,0,0,0,10,1097,825,263,19,2206,851,79,73,3210,1045,712,244,27,2020,784,51,79,2934,32,3,0,0,35,94,0,7,139,6,7,0,0,15,0,0,0,13,35,9,0,0,46,97,0,7,148,32,9,10,0,50,106,4,14,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,14552,34077,11104,897,60621,10014,1478,2491,74610,811,1379,888,62,3138,1095,87,211,4528,804,1622,1094,80,3599,967,187,208,4956,1620,2998,1982,138,6737,2064,273,416,9487,134,60,111,4,306,878,24,90,1293,222,322,186,33,766,539,54,232,1595,250,293,167,32,739,285,71,102,1195,14,14,9,3,38,45,7,4,93,618,690,472,77,1849,1743,155,429,4178,111,35,56,3,200,323,15,78,618,3,3,0,0,7,10,0,0,20,19,21,10,0,47,36,6,8,91,126,62,67,3,255,364,22,85,728,6,13,4,0,20,3,0,3,24,16928,37831,13620,1111,69488,14188,1927,3427,89030,15440,36845,12079,970,65335,10752,1588,2007,79683,705,1239,678,61,2681,1106,84,137,4004,1151,2984,1315,92,5546,1126,175,245,7101,1862,4225,1988,157,8228,2229,259,382,11102,140,57,54,9,265,914,26,91,1298,305,426,204,45,979,478,87,91,1640,489,611,242,57,1397,416,102,114,2029,30,16
LGA10800,702,701,187,15,1606,515,29,52,2203,11,0,3,0,16,44,3,5,62,0,0,0,0,0,0,0,0,0,11,3,3,0,12,42,3,5,63,9,4,3,0,13,34,4,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,8,4,3,0,11,36,5,3,60,3,0,0,0,3,19,0,42,66,0,0,0,0,0,0,0,0,0,10,4,0,0,13,3,0,0,23,8,7,0,0,16,25,0,49,89,0,0,0,0,0,0,0,0,0,732,713,194,15,1652,618,40,103,2412,709,642,172,12,1533,554,41,56,2181,0,0,0,0,4,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,16,8,0,5,0,12,68,4,12,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
