LGA_CODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
LGA10050,0,0,13,5583,6484,2662,2449,1024,415,18617,3664,5719,2429,2409,1009,400,15634,1780,766,232,99,24,13,2907,245,114,32,18,0,0,416,2031,886,260,111,30,12,3324,196,61,32,3,0,0,293,38,12,5,3,0,0,52,16,5,0,0,0,0,29,0,0,0,0,0,0,3,249,84,37,10,0,0,376,38,17,3,0,0,0,69,0,0,0,0,0,0,0,5,9,10,0,0,0,25,46,30,16,0,0,0,96,31,16,7,0,3,3,68,6020,6738,2740,2541,1041,417,19495
LGA10130,0,0,12,2906,3612,1419,1305,647,309,10200,2096,3241,1300,1198,579,277,8689,408,214,70,58,12,3,771,88,33,11,5,4,0,144,496,249,79,65,15,4,910,314,117,32,18,9,3,486,29,7,5,5,0,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,129,35,21,9,9,540,17,10,4,0,0,3,34,0,3,0,0,0,0,3,5,3,0,0,0,0,11,22,16,6,0,0,3,51,37,25,12,3,6,0,84,2983,3663,1432,1288,603,295,10276
LGA10250,0,0,4,4260,6091,2163,1933,794,361,15597,2182,4548,1725,1719,731,313,11223,1036,680,220,127,49,10,2129,633,527,190,100,27,0,1486,1675,1208,411,223,80,17,3612,280,211,53,25,3,5,579,73,64,16,3,0,0,158,25,27,4,0,0,0,55,7,3,0,0,0,0,7,385,295,73,31,3,5,798,295,138,16,8,0,0,454,3,0,0,0,0,0,3,7,10,3,3,0,0,27,312,144,15,12,0,0,483,43,29,13,6,10,0,105,4594,6229,2241,1988,828,332,16220
LGA10300,0,0,0,223,300,116,101,58,29,828,177,270,102,77,70,38,734,12,3,0,0,0,0,15,0,3,0,0,0,0,3,12,3,0,0,0,0,22,24,5,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,3,0,0,0,34,11,3,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,7,6,4,0,0,0,0,19,0,3,0,0,0,0,3,224,287,109,79,73,38,807
LGA10470,3,0,31,3546,4757,2029,1957,916,447,13657,2607,4244,1956,1995,917,449,12166,600,353,106,58,10,7,1137,174,98,30,19,7,0,327,775,454,140,76,15,7,1460,360,165,30,18,5,3,581,4,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,363,166,33,17,5,3,590,6,6,0,0,3,0,20,3,3,0,0,0,0,6,8,7,3,0,4,0,21,17,17,3,0,3,0,41,124,21,6,3,0,0,155,3884,4903,2135,2090,946,452,14411
LGA10550,0,0,15,3465,5306,1635,1372,629,264,12675,2727,4713,1431,1245,536,283,10934,505,260,40,21,5,0,834,242,195,54,10,4,0,499,744,452,91,30,10,0,1336,333,137,36,14,4,0,526,8,12,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,151,40,14,4,0,553,115,56,13,0,0,0,185,22,9,0,4,0,0,40,19,21,5,3,0,0,46,161,85,13,8,0,0,270,40,64,10,5,3,3,131,4018,5467,1590,1298,558,284,13222
LGA10600,0,0,4,1381,1964,680,604,266,114,5009,1159,1784,626,549,224,115,4466,96,52,17,20,3,0,184,20,17,9,9,0,0,53,111,67,23,27,3,0,233,87,31,6,4,0,0,125,11,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,29,6,4,0,0,136,56,23,3,3,0,0,79,3,0,0,0,0,0,3,3,4,0,0,0,0,3,57,24,3,3,0,0,90,11,18,5,3,0,3,47,1440,1926,664,585,232,114,4970
LGA10650,0,0,3,1028,1323,336,314,162,91,3246,850,1193,309,305,160,80,2904,76,28,0,0,0,0,107,0,0,0,0,0,0,0,76,28,0,0,0,0,107,80,27,5,0,0,0,118,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,27,5,0,0,0,126,43,28,4,6,0,0,78,0,0,0,0,0,0,0,15,17,6,8,0,0,40,58,41,8,10,3,0,120,3,0,0,0,0,0,6,1075,1300,323,320,162,82,3265
LGA10750,6,0,73,15099,24208,18242,19835,9642,6627,93656,10579,19288,15479,17863,8881,6682,78774,1251,1543,1184,1418,542,297,6231,1512,2152,2231,2477,1043,645,10055,2759,3697,3415,3891,1586,935,16286,803,308,185,176,63,27,1563,249,212,122,70,23,11,687,646,936,704,466,128,63,2951,26,10,7,3,0,3,45,1726,1468,1014,718,222,104,5247,138,62,14,7,0,0,225,33,15,3,9,6,6,67,31,49,39,23,13,9,161,194,127,54,40,19,18,452,102,82,76,46,24,14,346,15362,24663,20040,22561,10724,7755,101107
LGA10800,0,0,0,645,860,266,236,151,104,2262,587,792,241,203,159,81,2066,6,4,0,0,0,0,9,0,0,0,0,0,0,0,6,4,0,0,0,0,9,54,3,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,0,0,0,56,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,3,0,0,0,10,7,6,3,0,0,0,13,16,9,4,4,4,0,36,664,810,253,210,159,81,2185
