LGA_CODE_2016,C06_SH_0b_NPFH_2,C06_SH_0b_NPFH_3,C06_SH_0b_NPFH_4,C06_SH_0b_NPFH_5,C06_SH_0b_NPFH_6_mor,C06_SH_0bTotal,C06_SH_1b_NPFH_2,C06_SH_1b_NPFH_3,C06_SH_1b_NPFH_4,C06_SH_1b_NPFH_5,C06_SH_1b_NPFH_6_mor,C06_SH_1b_Tot,C06_SH_2b_NPFH_2,C06_SH_2b_NPFH_3,C06_SH_2b_NPFH_4,C06_SH_2b_NPFH_5,C06_SH_2b_NPFH_6_mor,C06_SH_2b_Tot,C06_SH_3b_NPFH_2,C06_SH_3b_NPFH_3,C06_SH_3b_NPFH_4,C06_SH_3b_NPFH_5,C06_SH_3b_NPFH_6_mor,C06_SH_3b_Tot,C06_SH_4mb_NPFH_2,C06_SH_4mb_NPFH_3,C06_SH_4mb_NPFH_4,C06_SH_4mb_NPFH_5,C06_SH_4mb_NPFH_6_mor,C06_SH_4mb_Tot,C06_SH_NB_NS_NPFH_2,C06_SH_NB_NS_NPFH_3,C06_SH_NB_NS_NPFH_4,C06_SH_NB_NS_NPFH_5,C06_SH_NB_NS_NPFH_6_mor,C06_SH_NB_NS_T,C06_SH_Tot_NPFH_2,C06_SH_Tot_NPFH_3,C06_SH_Tot_NPFH_4,C06_SH_Tot_NPFH_5,C06_SH_Tot_NPFH_6_mor,C06_SH_T_T,C06_SDRTHT_0b_NPFH_2,C06_SDRTHT_0b_NPFH_3,C06_SDRTHT_0b_NPFH_4,C06_SDRTHT_0b_NPFH_5,C06_SDRTHT_0b_NPFH_6_mor,C06_SDRTHT_0bTotal,C06_SDRTHT_1b_NPFH_2,C06_SDRTHT_1b_NPFH_3,C06_SDRTHT_1b_NPFH_4,C06_SDRTHT_1b_NPFH_5,C06_SDRTHT_1b_NPFH_6_mor,C06_SDRTHT_1b_Tot,C06_SDRTHT_2b_NPFH_2,C06_SDRTHT_2b_NPFH_3,C06_SDRTHT_2b_NPFH_4,C06_SDRTHT_2b_NPFH_5,C06_SDRTHT_2b_NPFH_6_mor,C06_SDRTHT_2b_Tot,C06_SDRTHT_3b_NPFH_2,C06_SDRTHT_3b_NPFH_3,C06_SDRTHT_3b_NPFH_4,C06_SDRTHT_3b_NPFH_5,C06_SDRTHT_3b_NPFH_6_mor,C06_SDRTHT_3b_Tot,C06_SDRTHT_4mb_NPFH_2,C06_SDRTHT_4mb_NPFH_3,C06_SDRTHT_4mb_NPFH_4,C06_SDRTHT_4mb_NPFH_5,C06_SDRTHT_4mb_NPFH_6_mor,C06_SDRTHT_4mb_Tot,C06_SDRTHT_NB_NS_NPFH_2,C06_SDRTHT_NB_NS_NPFH_3,C06_SDRTHT_NB_NS_NPFH_4,C06_SDRTHT_NB_NS_NPFH_5,C06_SDRTHT_NB_NS_NPFH_6_mor,C06_SDRTHT_NB_NS_T,C06_SDRTHT_Tot_NPFH_2,C06_SDRTHT_Tot_NPFH_3,C06_SDRTHT_Tot_NPFH_4,C06_SDRTHT_Tot_NPFH_5,C06_SDRTHT_Tot_NPFH_6_mor,C06_SDRTHT_T_T,C06_FUA_0b_NPFH_2,C06_FUA_0b_NPFH_3,C06_FUA_0b_NPFH_4,C06_FUA_0b_NPFH_5,C06_FUA_0b_NPFH_6_mor,C06_FUA_0bTotal,C06_FUA_1b_NPFH_2,C06_FUA_1b_NPFH_3,C06_FUA_1b_NPFH_4,C06_FUA_1b_NPFH_5,C06_FUA_1b_NPFH_6_mor,C06_FUA_1b_Tot,C06_FUA_2b_NPFH_2,C06_FUA_2b_NPFH_3,C06_FUA_2b_NPFH_4,C06_FUA_2b_NPFH_5,C06_FUA_2b_NPFH_6_mor,C06_FUA_2b_Tot,C06_FUA_3b_NPFH_2,C06_FUA_3b_NPFH_3,C06_FUA_3b_NPFH_4,C06_FUA_3b_NPFH_5,C06_FUA_3b_NPFH_6_mor,C06_FUA_3b_Tot,C06_FUA_4mb_NPFH_2,C06_FUA_4mb_NPFH_3,C06_FUA_4mb_NPFH_4,C06_FUA_4mb_NPFH_5,C06_FUA_4mb_NPFH_6_mor,C06_FUA_4mb_Tot,C06_FUA_NB_NS_NPFH_2,C06_FUA_NB_NS_NPFH_3,C06_FUA_NB_NS_NPFH_4,C06_FUA_NB_NS_NPFH_5,C06_FUA_NB_NS_NPFH_6_mor,C06_FUA_NB_NS_T,C06_FUA_Tot_NPFH_2,C06_FUA_Tot_NPFH_3,C06_FUA_Tot_NPFH_4,C06_FUA_Tot_NPFH_5,C06_FUA_Tot_NPFH_6_mor,C06_FUA_T_T,C06_OD_0b_NPFH_2,C06_OD_0b_NPFH_3,C06_OD_0b_NPFH_4,C06_OD_0b_NPFH_5,C06_OD_0b_NPFH_6_mor,C06_OD_0bTotal,C06_OD_1b_NPFH_2,C06_OD_1b_NPFH_3,C06_OD_1b_NPFH_4,C06_OD_1b_NPFH_5,C06_OD_1b_NPFH_6_mor,C06_OD_1b_Tot,C06_OD_2b_NPFH_2,C06_OD_2b_NPFH_3,C06_OD_2b_NPFH_4,C06_OD_2b_NPFH_5,C06_OD_2b_NPFH_6_mor,C06_OD_2b_Tot,C06_OD_3b_NPFH_2,C06_OD_3b_NPFH_3,C06_OD_3b_NPFH_4,C06_OD_3b_NPFH_5,C06_OD_3b_NPFH_6_mor,C06_OD_3b_Tot,C06_OD_4mb_NPFH_2,C06_OD_4mb_NPFH_3,C06_OD_4mb_NPFH_4,C06_OD_4mb_NPFH_5,C06_OD_4mb_NPFH_6_mor,C06_OD_4mb_Tot,C06_OD_NB_NS_NPFH_2,C06_OD_NB_NS_NPFH_3,C06_OD_NB_NS_NPFH_4,C06_OD_NB_NS_NPFH_5,C06_OD_NB_NS_NPFH_6_mor,C06_OD_NB_NS_T,C06_OD_Tot_NPFH_2,C06_OD_Tot_NPFH_3,C06_OD_Tot_NPFH_4,C06_OD_Tot_NPFH_5,C06_OD_Tot_NPFH_6_mor,C06_OD_T_T,C06_DS_NS_NPFH_2,C06_DS_NS_NPFH_3,C06_DS_NS_NPFH_4,C06_DS_NS_NPFH_5,C06_DS_NS_NPFH_6_mor,C06_DS_NS_T,C06_Tot_NPFH_2,C06_Tot_NPFH_3,C06_Tot_NPFH_4,C06_Tot_NPFH_5,C06_Tot_NPFH_6_mor,C06_T_T,C11_SH_0b_NPFH_2,C11_SH_0b_NPFH_3,C11_SH_0b_NPFH_4,C11_SH_0b_NPFH_5,C11_SH_0b_NPFH_6_mor,C11_SH_0bTotal,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3
LGA10050,0,0,0,0,0,0,13,4,3,5,0,29,562,112,47,9,0,720,2684,1396,1123,324,96,5614,1075,712,1051,724,305,3869,58,21,11,5,5,99,4388,2245,2228,1066,403,10334,0,0,0,0,0,0,15,0,0,0,0,15,240,34,9,0,0,281,111,35,20,3,4,168,10,4,5,0,3,15,4,0,0,0,0,6,378,73,30,4,4,495,3,0,0,0,0,3,39,0,0,0,0,44,426,76,28,3,0,536,120,46,35,9,0,208,19,4,11,3,4,38,22,3,0,0,0,23,625,131,71,10,0,844,3,0,0,0,0,3,13,0,0,0,0,12,10,0,0,0,0,15,19,12,4,3,0,33,0,3,3,0,0,7,0,0,0,0,0,0,48,13,8,3,0,74,3,0,0,0,0,8,5441,2466,2347,1090,416,11760,0,3,3,0,3,9,16,0,0,0,0,24,544,103,30,4,3,684,2944,1255
LGA10130,3,0,0,0,0,6,21,3,0,0,0,30,325,66,31,11,0,431,1502,707,597,211,65,3080,842,512,593,391,210,2544,36,7,7,6,6,67,2729,1285,1232,626,281,6154,0,0,0,0,0,0,6,0,0,0,0,9,92,16,0,0,0,110,24,9,6,0,0,35,0,5,0,0,0,5,0,0,0,0,0,0,117,28,6,0,3,159,0,0,0,0,0,0,12,4,0,0,0,18,86,27,10,0,0,129,33,14,3,0,0,54,5,7,6,0,3,14,0,0,0,0,0,3,139,58,16,0,4,218,3,0,0,0,0,3,0,0,0,0,0,0,11,6,0,0,0,17,3,3,8,0,0,14,5,0,3,0,0,9,0,0,0,0,0,0,30,9,7,0,0,47,0,0,0,0,0,0,3008,1382,1268,627,287,6574,3,0,0,0,0,7,40,0,4,4,0,46,357,73,43,3,3,483,1521,655
LGA10250,0,0,0,0,0,0,30,4,0,0,0,36,322,76,49,9,3,465,2129,838,745,196,78,3975,1345,654,862,568,226,3654,50,11,9,3,5,79,3877,1584,1668,777,308,8211,0,0,0,0,0,0,9,0,0,0,0,11,286,70,9,3,3,373,282,163,72,19,7,547,15,7,24,6,4,58,18,0,0,0,0,20,608,243,104,35,17,1004,0,0,0,0,0,0,18,3,0,0,0,22,325,87,15,4,0,437,213,102,72,12,4,406,24,9,12,7,4,56,12,0,0,0,0,20,592,200,99,29,9,931,5,0,3,0,0,13,37,6,0,0,0,39,127,19,3,0,0,147,62,10,10,0,0,79,4,0,5,3,3,15,7,0,0,0,0,7,243,32,17,5,4,301,0,0,0,0,0,5,5320,2061,1896,844,335,10451,0,0,0,0,0,6,41,6,0,0,0,48,412,78,31,15,0,531,2216,836
LGA10300,0,0,0,0,0,0,4,0,0,0,0,3,34,14,4,3,0,53,169,51,69,33,11,329,72,36,48,35,18,216,6,0,0,3,0,10,293,106,128,69,28,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,303,108,126,70,28,634,0,0,0,0,0,0,0,0,0,0,0,5,34,14,3,0,0,57,167,58
LGA10470,3,0,0,0,0,3,44,10,0,3,0,55,384,101,33,5,6,531,1836,817,676,208,64,3604,1207,753,1021,584,314,3883,47,9,18,4,4,84,3522,1693,1750,806,392,8160,0,0,0,0,0,0,6,0,0,0,0,6,91,16,5,0,0,115,104,60,21,18,8,209,12,6,17,3,3,45,4,0,0,0,0,3,224,81,44,22,9,381,0,0,0,0,0,0,18,0,0,0,0,17,129,30,7,0,0,164,33,8,3,3,0,54,0,0,0,0,0,4,3,0,0,0,0,3,184,44,19,3,0,246,0,0,0,0,0,0,4,0,0,0,0,4,9,3,0,0,0,10,6,3,3,3,0,18,3,3,0,0,0,9,0,0,0,0,0,0,26,7,5,7,0,41,10,15,12,0,4,32,3961,1839,1825,831,404,8869,7,0,3,0,0,12,37,11,3,0,0,51,393,100,39,6,7,548,1869,823
LGA10550,16,4,0,0,0,20,91,15,9,0,4,120,656,182,80,19,11,943,2170,818,694,206,69,3956,1008,453,610,371,205,2642,53,13,5,8,14,89,3983,1477,1405,601,303,7774,0,0,0,0,0,0,3,0,0,0,0,3,85,7,0,0,0,93,83,19,16,3,3,118,12,6,6,3,3,32,0,0,3,0,0,5,190,29,28,3,3,257,0,0,0,0,0,0,22,0,0,0,0,22,181,31,7,0,0,224,72,33,15,5,0,129,6,4,3,0,0,17,4,0,0,0,0,6,281,67,23,9,4,394,16,0,3,0,0,15,30,0,0,0,0,35,47,7,0,4,0,62,14,6,11,3,5,38,6,0,4,3,0,18,5,0,0,0,0,5,119,16,16,10,3,176,3,0,3,0,0,6,4578,1597,1477,632,317,8608,10,3,3,0,0,16,107,14,4,0,0,127,605,145,86,21,3,852,2356,770
LGA10600,5,0,0,0,0,9,43,11,3,3,0,67,306,88,45,12,8,444,871,371,295,76,35,1650,398,198,246,146,86,1069,19,3,3,0,3,31,1647,678,592,235,134,3275,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,19,6,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17,8,3,3,0,36,0,0,0,0,0,0,4,0,0,0,0,4,36,0,0,0,0,41,9,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,53,4,0,0,0,61,4,0,0,0,0,5,8,0,0,0,0,11,10,3,3,0,0,15,3,8,6,0,0,21,5,3,0,0,0,10,3,0,0,0,0,3,32,14,10,3,0,63,0,0,0,0,0,0,1754,701,608,238,130,3430,0,0,0,0,0,3,36,10,8,3,0,58,291,69,40,10,3,415,919,341
LGA10650,0,0,0,0,0,0,12,0,0,0,0,12,130,17,12,3,0,168,672,194,161,62,14,1110,274,126,138,121,67,728,10,9,3,3,0,22,1104,348,314,192,87,2047,0,0,0,0,0,0,3,0,0,0,0,3,22,0,0,0,0,27,5,0,0,3,0,10,0,0,0,3,0,5,0,0,0,0,0,0,33,5,0,3,0,48,0,0,0,0,0,0,3,0,0,0,0,3,30,0,0,0,0,28,21,5,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,56,4,4,0,0,68,3,0,0,0,0,3,5,0,0,0,0,5,14,0,0,0,0,13,9,0,3,4,0,17,0,0,0,0,0,5,0,0,0,0,0,0,29,3,5,4,0,39,3,0,0,0,0,5,1223,367,330,205,89,2206,0,0,0,0,0,0,8,0,0,0,0,11,141,11,5,0,3,161,694,174
LGA10750,9,11,4,13,6,50,78,37,27,17,3,155,1282,447,233,67,27,2055,11542,8195,7878,3009,1439,32064,4793,5124,7627,4641,3215,25393,336,171,175,106,122,910,18033,13985,15947,7849,4817,60621,7,0,3,4,0,14,41,3,0,0,3,52,405,168,74,27,6,687,1684,1386,1100,432,246,4844,193,207,265,183,148,1001,54,32,15,20,14,137,2385,1808,1468,661,419,6737,3,0,0,0,0,3,98,7,3,0,0,99,635,437,216,52,29,1374,98,80,62,29,13,274,7,9,3,5,3,23,38,23,11,3,3,75,869,547,293,87,48,1849,0,0,0,0,0,5,27,0,0,0,0,24,104,23,3,4,3,134,30,18,13,4,3,73,0,0,3,4,3,19,8,0,0,0,0,5,172,40,28,10,5,255,12,3,3,0,0,20,21475,16382,17735,8613,5290,69488,24,22,19,15,10,89,107,48,33,14,9,219,1244,498,281,112,32,2168,11366,8259
LGA10800,0,0,0,0,0,0,5,0,0,0,0,8,95,12,11,9,0,125,426,167,113,63,13,786,245,129,113,115,71,673,13,4,0,0,0,17,783,306,235,183,89,1606,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,8,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,6,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,0,16,0,0,0,0,0,0,814,312,242,184,89,1652,0,0,0,0,0,0,3,0,0,0,0,4,86,17,3,3,0,115,422,129
