LGA_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
LGA10050,920,16530,604,19412,0,0,0,108,13,120,132,16,19,101,12,270,85,28,14,35,8,170,374,122,63,243,10,815,1801,1178,779,14522,414,18696,214,10,40,3,4,279,38,17,7,98,0,155,457,213,108,2831,68,3678,147,41,15,120,12,334,67,15,8,14,0,112,358,18,15,13,8,407,338,265,148,5526,115,6390,255,133,39,601,18,1048,30,0,0,3,3,35,47,23,10,63,7,148,8,0,0,0,0,12,37,16,0,39,3,91,77,13,17,26,12,139,122,62,67,23,8,276,143,39,14,99,15,309,39,4,5,25,3,79,462,314,204,3961,69,5005,55,5,0,15,0,81,67,0,7,4,0,79,45,7,5,84,8,151,30,9,3,0,0,39,4,4,0,3,0,11,18,0,0,0,0,17,62,28,16,138,0,242,1294,224,133,466,64,2181,112,44,24,871,2025,3083,6047,2492,1649,34390,3231,47808,218,1322,922,17211
LGA10130,589,10708,296,12465,0,0,3,248,9,263,335,18,10,72,10,443,5,3,3,4,0,16,119,48,45,98,3,308,1051,674,492,8748,263,11227,64,3,17,4,4,92,46,15,7,67,0,134,249,73,58,1012,28,1425,23,9,0,34,0,68,34,10,0,14,0,59,93,9,4,12,3,116,193,166,97,3153,51,3651,53,29,15,194,6,293,13,0,0,3,0,13,21,7,8,36,0,70,0,0,0,0,0,0,11,5,4,19,0,38,38,8,7,8,0,63,84,37,43,16,0,180,36,9,9,43,0,100,32,3,3,19,0,60,298,199,138,2518,67,3210,4,0,0,0,0,3,57,13,10,3,0,83,22,4,5,28,0,59,30,6,4,0,0,46,5,3,0,4,0,13,51,0,0,0,0,50,37,16,10,91,8,161,1013,171,138,216,48,1584,46,26,14,486,1468,2040,3403,1397,1021,20565,2113,28503,112,786,615,10666
LGA10250,1020,13657,407,16569,0,5,3,269,3,281,122,16,22,72,3,231,32,17,9,19,0,77,308,83,62,124,10,586,2310,1262,937,12149,352,17009,90,3,22,5,0,117,66,14,10,109,0,195,293,93,88,1134,28,1637,40,21,8,71,8,149,40,10,4,7,0,66,60,12,6,23,0,99,396,321,222,4547,90,5577,250,126,33,577,19,1007,11,0,3,3,0,16,10,6,4,15,3,37,5,0,0,3,0,10,61,19,7,48,3,131,53,33,31,16,4,139,163,64,46,30,5,305,81,17,14,33,3,142,26,12,6,13,0,58,519,320,236,3140,80,4291,19,5,0,0,0,20,81,18,3,11,0,111,50,13,5,38,3,102,13,10,0,8,0,27,3,3,0,0,0,9,25,4,4,0,0,28,95,34,28,100,0,264,763,227,187,406,33,1622,91,46,34,655,1399,2227,5071,2547,1841,27577,2230,39272,146,1457,1081,13791
LGA10300,21,832,45,938,0,0,0,16,0,16,11,0,0,4,0,13,0,0,0,0,0,0,9,3,0,3,0,10,38,22,22,623,22,724,0,0,0,0,0,4,4,0,0,4,0,10,5,4,4,71,0,81,3,0,0,12,0,15,0,0,0,0,0,3,3,0,0,0,0,3,9,3,13,233,3,259,110,21,13,148,9,300,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,3,0,3,0,0,0,3,0,7,3,0,0,3,0,10,7,0,0,0,0,7,13,9,5,137,3,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,37,8,0,16,6,69,9,3,3,68,170,246,252,79,56,1654,243,2282,8,28,20,875
LGA10470,750,14626,389,16894,0,3,6,140,10,162,187,11,17,106,4,328,31,15,9,15,0,70,206,80,52,178,8,528,1390,960,733,11964,400,15445,89,8,35,10,3,140,39,11,3,108,3,165,242,108,57,902,15,1324,36,25,11,81,0,159,41,12,6,19,0,72,106,3,4,3,4,118,273,211,172,4852,110,5618,134,106,35,357,4,642,12,0,0,0,3,20,69,31,6,42,6,154,7,0,0,0,0,8,52,16,17,38,4,119,87,17,6,10,3,123,79,60,40,33,8,211,63,32,8,42,3,145,28,10,13,21,0,67,397,221,193,2871,70,3759,32,8,3,4,0,50,63,12,9,6,0,85,23,3,3,23,0,51,24,3,5,0,0,35,13,3,0,4,0,16,28,0,0,0,0,29,58,22,13,110,7,213,639,180,123,302,23,1264,69,24,33,806,2394,3326,3836,1947,1421,28061,3261,38517,149,1103,825,15510
LGA10550,761,11254,293,13436,0,3,0,116,11,129,56,15,9,53,0,140,36,10,3,12,0,56,363,99,82,136,12,686,2178,1033,751,9677,292,13930,74,0,20,0,0,100,47,12,12,100,3,170,400,91,82,1049,29,1642,47,7,11,42,8,116,46,15,6,16,0,79,32,3,4,13,0,52,348,219,140,3223,68,3998,151,73,24,262,14,519,8,4,0,0,0,12,11,3,0,19,0,33,10,5,0,3,0,11,60,8,5,22,0,96,44,23,8,16,0,91,112,56,37,16,3,211,91,19,8,37,3,156,35,7,0,17,0,64,479,267,172,2599,63,3588,10,0,0,0,0,11,58,3,3,8,0,75,20,0,3,15,0,43,6,4,0,3,0,15,3,0,0,0,0,3,19,3,0,0,3,29,75,18,14,87,3,196,601,152,110,337,17,1219,63,38,32,581,1245,1957,4624,1987,1404,22046,1888,31950,110,1089,816,11674
LGA10600,340,4450,130,5424,0,0,0,39,0,38,22,4,0,28,0,55,13,3,0,6,0,21,129,30,20,48,6,228,954,448,319,3758,102,5577,12,0,3,0,0,23,23,3,8,45,0,86,156,37,32,343,17,584,11,7,3,13,0,35,15,7,6,10,0,39,7,4,0,3,0,12,154,139,62,1390,40,1783,32,24,10,105,3,169,0,0,0,0,0,0,3,5,0,7,0,17,0,0,0,0,0,0,6,9,4,9,0,31,21,12,8,3,0,46,49,17,21,14,5,98,41,10,3,17,0,74,12,7,3,16,0,31,221,119,79,1073,19,1508,4,0,0,0,0,3,24,4,3,0,0,33,15,0,3,14,0,39,0,0,0,0,3,3,3,3,0,0,0,7,8,0,0,0,0,8,43,16,8,43,4,114,251,108,61,143,13,579,27,14,5,207,300,557,1839,882,593,8623,573,12515,37,504,322,4350
LGA10650,124,3169,75,3573,0,0,3,28,0,28,15,3,0,14,0,34,0,10,0,0,0,7,57,6,15,26,3,112,280,181,139,2662,97,3360,16,0,0,0,0,22,0,0,0,20,0,25,51,22,7,213,7,301,4,3,0,6,0,16,5,3,0,0,0,10,15,0,0,5,0,20,56,39,22,911,22,1051,34,21,3,88,0,151,4,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,3,3,3,0,4,0,15,18,0,0,0,0,17,20,9,3,8,0,38,9,0,0,5,0,15,8,0,0,0,0,9,87,55,35,701,14,890,0,0,0,0,0,0,9,4,0,0,0,10,3,0,0,6,0,12,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,11,0,29,102,25,11,51,3,189,24,3,8,166,303,503,738,353,237,6236,500,8067,22,203,149,3051
LGA10750,5785,56386,2131,76730,12,65,32,994,56,1159,8918,146,237,301,211,9808,2017,208,117,354,50,2757,1478,452,235,717,61,2938,14293,6091,4127,38722,2065,65300,24040,345,804,113,598,25904,603,54,53,293,20,1031,2421,563,357,2871,104,6313,1936,333,188,747,93,3299,950,137,58,167,28,1343,21185,221,151,99,420,22070,2686,1286,863,11771,408,17011,3656,1127,419,2420,174,7795,1482,5,29,12,39,1567,3220,633,229,505,132,4724,330,27,22,37,10,438,4945,972,473,2028,200,8623,2589,290,197,94,116,3281,1225,410,260,162,49,2104,2023,196,151,394,43,2807,665,57,43,156,21,938,2924,1268,939,7959,330,13424,991,68,25,75,29,1178,1133,113,63,29,14,1355,2121,117,87,154,58,2535,2336,60,41,38,31,2507,2042,124,108,98,69,2441,1093,25,20,16,28,1179,325,113,77,304,14,833,48031,2652,1626,1747,1466,55513,4109,356,262,2615,11586,18933,154113,16797,11248,99799,19144,301097,6227,9191,6172,53848
LGA10800,72,2551,76,2808,0,0,0,11,0,11,21,0,0,7,0,28,3,0,0,0,0,3,13,10,3,19,0,42,161,97,73,2050,52,2429,9,0,0,0,0,11,3,0,0,11,0,10,10,8,9,297,5,340,3,6,0,12,0,23,3,3,0,3,0,7,0,0,0,0,0,3,17,27,10,665,19,737,12,4,0,23,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,12,10,7,0,0,0,16,7,0,13,6,0,25,3,3,0,3,0,15,0,0,0,0,0,0,33,29,22,609,6,704,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,20,0,31,48,18,9,43,11,122,8,3,3,155,126,301,325,210,134,4941,259,5862,10,114,64,2426
