SA4_CODE_2016,C06_M_Post_Deg_15_19_yrs,C06_M_Post_Deg_20_24_yrs,C06_M_Post_Deg_25_34_yrs,C06_M_Post_Deg_35_44_yrs,C06_M_Post_Deg_45_54_yrs,C06_M_Post_Deg_55_64_yrs,C06_M_Post_Deg_65_74_yrs,C06_M_Post_Deg_75_84_yrs,C06_M_Post_Deg_85o,C06_M_Post_Deg_Tot,C06_M_GrDip_GrCe_15_19,C06_M_GrDip_GrCe_20_24,C06_M_GrDip_GrCe_25_34,C06_M_GrDip_GrCe_35_44,C06_M_GrDip_GrCe_45_54,C06_M_GrDip_GrCe_55_64,C06_M_GrDip_GrCe_65_74,C06_M_GrDip_GrCe_75_84,C06_M_GrDip_GrCe_85ov,C06_M_GrDip_GrCe_Tot,C06_M_BD_15_19,C06_M_BD_20_24,C06_M_BD_25_34,C06_M_BD_35_44,C06_M_BD_45_54,C06_M_BD_55_64,C06_M_BD_65_74,C06_M_BD_75_84,C06_M_BD_85o,C06_M_BD_T,C06_M_AdD_DL_15_19,C06_M_AdD_DL_20_24,C06_M_AdD_DL_25_34,C06_M_AdD_DL_35_44,C06_M_AdD_DL_45_54,C06_M_AdD_DL_55_64,C06_M_AdD_DL_65_74,C06_M_AdD_DL_75_84,C06_M_AdD_DL_85o,C06_M_AdD_DL_Tot,C06_M_CL_C_III_IV_15_19,C06_M_CL_C_III_IV_20_24,C06_M_CL_C_III_IV_25_34,C06_M_CL_C_III_IV_35_44,C06_M_CL_C_III_IV_45_54,C06_M_CL_C_III_IV_55_64,C06_M_CL_C_III_IV_65_74,C06_M_CL_C_III_IV_75_84,C06_M_CL_C_III_IV_85_ov,C06_M_CL_C_III_IV_Tot,C06_M_CL_C_I_II_15_19,C06_M_CL_C_I_II_20_24,C06_M_CL_C_I_II_25_34,C06_M_CL_C_I_II_35_44,C06_M_CL_C_I_II_45_54,C06_M_CL_C_I_II_55_64,C06_M_CL_C_I_II_65_74,C06_M_CL_C_I_II_75_84,C06_M_CL_C_I_II_85_ov,C06_M_CL_C_I_II_Tot,C06_M_CL_CL_nfd_15_19,C06_M_CL_CL_nfd_20_24,C06_M_CL_CL_nfd_25_34,C06_M_CL_CL_nfd_35_44,C06_M_CL_CL_nfd_45_54,C06_M_CL_CL_nfd_55_64,C06_M_CL_CL_nfd_65_74,C06_M_CL_CL_nfd_75_84,C06_M_CL_CL_nfd_85_ov,C06_M_CL_CL_nfd_Tot,C06_M_CL_T_15_19,C06_M_CL_T_20_24,C06_M_CL_T_25_34,C06_M_CL_T_35_44,C06_M_CL_T_45_54,C06_M_CL_T_55_64,C06_M_CL_T_65_74,C06_M_CL_T_75_84,C06_M_CL_T_85_ov,C06_M_CL_T_Tot,C06_M_LE_ID_15_19,C06_M_LE_ID_20_24,C06_M_LE_ID_25_34,C06_M_LE_ID_35_44,C06_M_LE_ID_45_54,C06_M_LE_ID_55_64,C06_M_LE_ID_65_74,C06_M_LE_ID_75_84,C06_M_LE_ID_85o,C06_M_LE_ID_Tot,C06_M_LE_NS_15_19,C06_M_LE_NS_20_24,C06_M_LE_NS_25_34,C06_M_LE_NS_35_44,C06_M_LE_NS_45_54,C06_M_LE_NS_55_64,C06_M_LE_NS_65_74,C06_M_LE_NS_75_84,C06_M_LE_NS_85_ov,C06_M_LE_NS_T,C06_M_Tot_15_19_yrs,C06_M_Tot_20_24_yrs,C06_M_Tot_25_34_yrs,C06_M_Tot_35_44_yrs,C06_M_Tot_45_54_yrs,C06_M_Tot_55_64_yrs,C06_M_Tot_65_74_yrs,C06_M_Tot_75_84_yrs,C06_M_Tot_85o,C06_M_T_T,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85o,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85ov,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85o,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85o,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85_ov,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85_ov,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85_ov,C11_M_CL_CL_nfd_Tot,C11_M_CL_T_15_19,C11_M_CL_T_20_24,C11_M_CL_T_25_34,C11_M_CL_T_35_44,C11_M_CL_T_45_54,C11_M_CL_T_55_64,C11_M_CL_T_65_74,C11_M_CL_T_75_84,C11_M_CL_T_85_ov,C11_M_CL_T_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85o,C11_M_LE_ID_Tot
101,0,0,156,431,458,481,199,71,8,1808,0,4,83,216,302,207,57,11,0,887,4,190,982,1238,1451,1160,535,280,38,5872,6,141,523,913,1046,916,484,227,47,4292,208,1132,2918,4264,4327,3430,2168,917,166,19529,57,109,137,127,87,73,38,8,0,630,33,58,128,178,250,188,94,65,5,993,295,1297,3178,4574,4664,3695,2301,988,171,21157,16,44,113,177,228,215,128,86,18,1030,841,510,1118,1282,1401,1310,1099,953,276,8784,1161,2196,6151,8825,9551,7968,4802,2620,562,43830,0,7,238,561,602,622,365,100,18,2513,0,6,102,248,309,348,129,27,7,1169,0,186,1011,1434,1431,1546,845,315,92,6859,13,130,583,1061,1183,1166,631,265,73,5094,260,1301,3071,4210,4775,4009,2604,1156,271,21654,78,136,152,128,133,101,40,11,0,781,24,50,107,163,187,245,133,64,14,986,364,1487,3337,4494,5091,4355,2770,1234,285,23419,15,39,89,135,179,186,140,83,23,881
102,0,3,157,389,483,383,192,93,9,1719,0,5,89,156,291,165,84,29,4,824,3,339,1462,1524,1753,1091,617,394,79,7262,20,300,1063,1480,1471,1002,657,464,101,6555,363,1826,4927,6560,6426,4795,3414,2170,420,30896,125,192,206,163,154,109,41,32,4,1022,45,136,216,295,334,325,174,120,19,1664,530,2159,5354,7017,6914,5227,3628,2316,439,33580,34,90,225,342,363,302,213,164,35,1777,1269,744,1350,1733,1783,1618,1778,2053,778,13100,1863,3635,9689,12637,13062,9791,7176,5513,1451,64812,0,9,237,460,605,543,306,113,24,2290,0,11,92,207,250,318,119,42,11,1046,0,428,1606,1987,1690,1658,888,411,144,8814,37,270,1133,1823,1740,1374,864,496,127,7870,377,2080,5202,6337,7012,5610,4109,2289,690,33715,141,198,296,195,153,138,76,34,4,1226,44,128,208,236,311,357,283,123,18,1706,558,2410,5709,6769,7475,6104,4458,2447,714,36641,28,71,186,244,271,291,218,137,70,1516
103,0,4,93,195,300,277,103,27,3,1009,0,3,53,103,175,124,29,6,0,494,3,191,819,911,1005,697,254,135,30,4038,4,93,455,706,743,595,293,127,20,3041,318,1375,3262,3942,3715,2750,1593,672,121,17743,94,172,154,132,106,85,31,9,0,784,31,50,138,169,255,206,102,34,6,992,441,1593,3556,4248,4079,3037,1725,710,127,19515,18,58,93,145,163,188,125,53,10,845,816,644,1230,1213,1204,1177,1077,915,253,8529,1285,2585,6297,7512,7672,6092,3606,1981,441,37470,0,4,107,230,283,324,178,60,7,1201,0,0,72,111,160,171,58,15,0,585,0,232,963,1125,902,957,445,158,49,4831,5,113,455,819,892,812,448,174,37,3748,299,1653,3562,3950,4200,3247,1979,907,184,19977,98,153,197,127,122,89,43,16,3,848,26,55,114,139,190,216,125,43,15,931,422,1863,3877,4221,4510,3555,2148,962,193,21753,17,36,77,112,149,139,109,52,18,712
104,0,0,36,119,159,187,61,29,3,595,0,3,36,77,153,98,43,8,0,419,0,100,494,602,882,580,246,134,37,3068,0,78,219,444,647,492,300,147,29,2363,121,575,1580,2546,3002,2351,1528,751,133,12595,56,87,100,72,82,40,27,7,0,473,14,35,79,97,138,133,74,29,9,612,190,700,1767,2718,3223,2530,1625,786,145,13677,21,41,60,117,172,133,90,57,13,708,558,295,503,684,725,662,708,688,266,5085,772,1219,3118,4760,5955,4672,3083,1841,486,25912,0,0,69,164,172,242,109,49,15,818,0,3,28,77,116,146,60,19,3,449,0,100,534,805,727,902,393,182,42,3684,0,88,250,513,659,709,408,175,30,2829,176,687,1733,2318,3151,2973,1894,905,227,14062,77,92,122,80,88,84,35,15,3,596,25,33,77,84,120,166,85,42,13,651,277,815,1932,2482,3359,3222,2012,969,250,15311,8,31,72,74,110,157,119,63,13,644
105,0,0,40,90,106,66,25,12,0,332,0,0,44,66,82,42,13,3,0,251,3,125,501,515,439,279,82,43,9,1996,6,46,295,358,374,253,133,51,10,1527,140,663,1674,2041,2119,1483,810,368,60,9353,41,85,71,69,62,25,9,0,0,373,15,40,83,109,86,81,40,10,0,474,204,791,1829,2220,2273,1588,860,385,55,10205,9,23,71,68,99,83,37,24,7,418,564,414,666,804,878,823,765,616,124,5652,784,1393,3444,4127,4244,3135,1911,1125,208,20380,0,0,70,94,111,87,32,14,4,407,0,3,45,63,65,66,13,3,0,249,3,93,535,510,426,408,117,45,13,2148,3,63,245,425,445,329,163,69,14,1748,177,816,1758,1970,2221,1779,1059,424,94,10297,47,61,106,89,63,52,10,7,0,443,20,36,73,99,91,77,57,20,7,480,240,919,1938,2159,2376,1906,1125,456,99,11225,9,21,47,50,70,73,40,17,3,334
106,0,3,83,208,267,227,78,26,3,906,0,3,53,114,198,113,34,14,0,528,5,254,876,980,1088,803,335,152,20,4506,6,169,671,1013,1103,780,410,167,34,4350,320,1774,4791,5924,5303,3904,2189,1010,149,25358,103,174,150,110,107,80,33,13,3,770,33,71,171,172,227,229,121,60,6,1095,455,2020,5119,6204,5631,4211,2339,1089,160,27228,22,64,141,188,192,208,126,71,11,1020,946,605,1262,1401,1285,1253,1129,1012,327,9222,1434,3111,8198,10115,9766,7595,4454,2527,555,47757,0,8,129,276,350,306,152,45,8,1258,0,3,50,136,173,169,70,13,0,614,3,272,1073,1193,1008,1076,612,182,43,5465,8,184,777,1253,1249,1114,566,213,48,5423,328,2291,5511,5964,6062,4672,2955,1210,253,29264,80,139,216,149,120,106,38,30,0,881,18,75,147,150,202,236,168,83,20,1101,429,2506,5881,6270,6388,5016,3165,1319,273,31245,14,33,117,129,165,161,128,65,10,828
107,3,65,491,711,802,537,183,55,4,2863,0,15,147,170,339,172,60,16,8,930,9,741,2248,1931,1909,1011,440,194,42,8525,24,473,1269,1552,1372,887,376,223,46,6226,296,1830,4986,5965,5623,4108,2703,1414,258,27182,96,198,195,137,141,85,46,19,3,923,23,115,210,240,328,300,133,63,9,1426,417,2146,5393,6335,6094,4495,2885,1496,274,29533,36,117,205,274,318,249,153,106,22,1468,1072,864,1292,1467,1444,1329,1369,1351,367,10553,1558,4427,11043,12443,12277,8691,5463,3446,764,60109,0,90,834,839,903,740,332,84,26,3849,0,20,184,230,291,320,83,35,3,1172,9,887,2550,2332,1925,1586,698,247,71,10303,53,542,1299,1925,1644,1250,585,273,92,7668,357,2030,5047,5731,6267,4809,3095,1740,447,29523,101,172,210,133,139,101,74,29,0,957,29,101,198,191,246,283,179,70,24,1321,487,2294,5454,6056,6654,5194,3347,1835,475,31802,22,83,169,198,236,248,153,84,26,1216
108,0,3,40,115,170,202,101,57,17,704,0,4,44,91,174,141,52,29,5,539,3,109,482,729,1035,807,451,247,34,3901,4,78,343,614,798,798,548,308,55,3547,221,915,2420,3823,4494,3912,2887,1599,262,20524,81,143,142,118,83,73,49,25,8,713,24,50,110,143,196,233,138,87,11,991,327,1111,2667,4083,4773,4218,3065,1701,276,22225,12,37,114,158,236,215,172,128,33,1101,747,412,791,986,1112,1109,1245,1384,447,8237,1102,1754,4486,6769,8298,7500,5637,3851,862,40261,0,0,66,186,200,283,190,72,12,1009,0,7,30,94,170,229,103,32,3,675,0,101,555,921,969,1168,701,300,77,4801,7,66,334,758,868,1112,727,370,90,4328,241,1061,2416,3556,4639,4526,3670,1908,465,22481,75,125,186,132,110,93,59,18,0,812,27,46,113,132,156,248,194,98,21,1037,341,1232,2722,3824,4899,4866,3925,2024,490,24324,23,25,83,107,179,218,192,115,41,986
109,0,0,44,96,119,63,45,9,4,377,0,4,47,83,83,72,10,8,0,307,3,138,602,538,596,317,121,61,9,2397,9,99,315,373,486,396,189,92,13,1974,167,791,1880,2228,2287,1542,958,451,74,10379,42,84,102,64,59,33,9,3,0,403,16,37,71,97,110,82,30,15,0,459,225,915,2048,2393,2455,1657,995,476,80,11237,3,21,62,79,90,95,59,38,7,453,516,235,464,576,637,623,697,691,154,4598,755,1419,3579,4132,4462,3229,2122,1370,269,21336,0,0,122,125,131,108,53,15,10,562,0,6,40,87,105,97,38,4,0,382,0,119,669,677,513,493,189,68,20,2750,3,103,326,438,470,490,268,125,21,2244,193,907,1849,2063,2354,1911,1244,584,111,11217,49,83,96,59,66,40,17,6,0,419,15,31,52,72,90,118,46,17,5,444,248,1019,2004,2194,2511,2071,1311,618,114,12090,9,19,38,56,67,81,73,31,5,383
110,0,5,92,239,314,305,139,63,12,1156,0,7,55,102,144,108,40,5,0,458,0,262,828,818,907,598,227,116,22,3765,16,126,471,602,639,512,252,115,15,2753,258,1054,2436,3094,3172,2430,1373,515,96,14425,86,150,156,130,79,56,18,9,3,687,37,73,116,185,156,161,71,25,3,821,379,1281,2704,3403,3410,2648,1461,549,103,15932,19,41,96,145,158,131,102,35,8,740,693,398,842,1045,1003,1058,1037,886,249,7214,1113,2114,5093,6350,6565,5355,3256,1768,409,32019,0,3,133,239,322,336,207,60,23,1332,0,5,67,113,113,144,48,11,0,510,0,210,909,923,805,886,350,127,47,4260,13,109,441,758,696,651,355,129,29,3179,285,1278,2733,2916,3439,2848,1765,676,150,16075,75,144,165,134,94,70,38,10,3,738,28,51,110,126,156,161,119,43,12,801,391,1477,3003,3179,3687,3072,1921,726,160,17618,14,35,77,84,113,130,84,38,10,574
