SA4_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
118,4,8,4,0,0,0,49,71,195,81,151,168,291,438,464,599,1381,1049,857,338,631,372,993,8011,767,261,330,255,896,886,1825,1906,5398,5050,6251,5094,8883,15988,7163,60959
119,13,14,3,3,0,0,194,274,819,280,833,782,1308,2005,2218,2371,4564,2880,1874,974,796,421,2497,24621,3231,1102,1837,1547,5085,5114,11123,9448,23183,17856,16675,10790,12250,10283,14856,144384
120,3,8,3,0,0,3,53,79,345,109,251,252,394,600,690,810,1829,1292,1013,490,607,327,993,10003,1367,456,533,424,1499,1444,3378,2927,8495,7306,8225,6168,9536,14031,7069,72869
121,5,0,3,0,0,0,32,52,504,159,277,211,319,559,621,766,2022,1611,1331,583,1030,678,1382,12055,1713,556,600,397,1304,1388,2905,3117,9645,9031,11293,8803,15767,29468,11893,107890
122,9,0,3,3,0,0,29,57,141,54,118,135,223,404,460,629,1514,1094,910,365,490,299,1054,7884,552,250,291,227,926,868,2185,2307,7193,6572,7688,6215,9400,14535,7786,66992
123,8,3,0,0,0,0,130,160,196,87,291,450,801,1223,1346,1293,2500,1514,929,454,343,147,1493,13085,714,309,527,605,1946,2117,4583,3969,10606,9604,9644,6598,6775,4337,7136,69474
124,10,8,0,0,0,0,93,130,208,88,306,461,825,1396,1440,1498,3091,1857,1215,574,425,187,1550,15126,691,273,537,620,1941,2225,5044,4478,12537,11215,11405,8079,8241,5440,7898,80615
125,14,4,3,0,3,6,148,204,588,193,638,567,950,1267,1548,1554,3283,2031,1360,652,503,271,1731,17126,2610,765,1358,1134,3713,3630,7606,6994,17986,14384,13706,8832,9897,7196,10733,110543
126,3,0,0,0,4,0,26,37,231,73,136,124,201,305,372,455,1056,793,575,294,339,220,559,5737,1075,350,360,258,935,884,2058,1908,5510,5059,5545,4167,6063,8303,4651,47132
127,17,7,5,0,3,3,244,305,626,213,863,848,1283,1767,2042,2192,3849,2298,1383,658,593,284,2111,21012,2056,704,1518,1345,4092,4007,8613,7029,16659,12994,11681,7877,8098,5188,10651,102519
128,4,3,0,0,0,0,27,47,125,60,131,163,269,441,539,693,1544,1127,827,437,393,247,957,7960,470,239,289,254,1000,971,2565,2494,7082,6321,7480,6346,8469,9056,6332,59369
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
