SA4_CODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
111,45,81,91,209,941,1981,715,134,55,61,4391,71,0,20,41,55,120,575,1466,726,172,70,50,3359,29,0,7,16,25,37,186,668,411,119,40,20,1564,19,5,19,22,14,34,126,403,466,190,122,30,1441,8,4,19,11,10,10,41,145,218,140,136,11,750,63,8,95,95,84,135,443,822,443,145,117,92,2535,53,25,196,108,54,56,107,100,27,9,12,184,921,1307,419,3454,2749,1894,3017,7742,11157,4257,1113,715,1142,38964
112,35,56,89,210,593,801,451,150,102,48,2621,67,3,18,42,29,88,297,544,308,152,98,36,1677,27,0,7,16,13,31,87,212,149,72,70,13,697,21,4,13,14,15,25,65,158,127,91,102,29,667,11,0,0,4,3,12,20,45,64,44,104,11,316,67,6,53,67,70,156,329,452,292,139,129,55,1816,35,3,98,104,52,73,93,62,26,3,16,129,704,1190,188,1656,2181,1628,3007,5402,5520,2529,997,863,867,26031
113,88,201,163,408,520,283,43,10,9,59,1945,114,9,36,140,90,219,353,242,37,3,11,36,1293,55,11,19,41,29,109,153,124,20,4,3,25,598,43,11,20,34,18,61,110,130,52,6,5,26,517,29,0,12,20,9,17,43,52,24,4,9,8,229,64,13,62,147,96,192,199,132,35,4,4,50,991,33,12,107,118,53,54,35,15,4,0,0,99,541,1410,324,1780,3119,1704,2836,3096,1513,277,53,78,607,16797
114,9,51,47,190,395,438,135,40,25,32,1429,50,0,6,22,33,97,219,310,109,36,29,20,927,25,0,0,5,14,50,65,138,77,22,16,6,414,17,0,9,10,9,13,46,106,74,34,32,12,366,12,4,4,3,3,7,24,49,37,18,40,10,211,37,3,23,49,37,118,209,211,76,30,32,41,870,29,8,50,70,31,25,64,33,4,3,3,85,403,659,130,667,1248,920,1886,3339,2702,751,255,249,471,13272
115,13,16,15,35,60,182,368,363,246,34,1395,44,0,6,7,12,31,50,117,395,466,367,23,1524,25,0,3,0,0,18,23,78,220,284,310,16,982,36,0,0,3,6,16,40,49,249,417,587,18,1414,31,0,3,0,5,7,19,31,113,258,750,15,1238,30,3,11,6,7,24,42,79,141,230,339,48,971,12,0,4,8,9,3,4,6,20,21,10,34,128,529,24,166,178,193,296,464,1057,2228,2681,3042,399,11272
116,33,53,54,130,619,2002,841,294,104,88,4279,41,0,25,34,23,96,389,1537,872,389,127,61,3590,26,0,12,12,17,32,156,703,522,262,119,38,1893,22,4,19,16,21,30,113,516,534,331,182,29,1820,14,3,5,9,9,11,45,205,212,236,193,22,964,46,11,82,102,76,120,284,699,389,197,109,152,2261,31,25,133,72,35,29,69,114,37,16,8,200,764,909,341,2381,1795,1017,1484,4552,11119,5033,2179,1040,1144,32992
117,36,58,70,134,413,1526,1842,1479,1996,179,7850,124,3,35,36,40,88,268,1004,2111,2126,2660,164,8658,41,0,9,9,23,56,99,297,869,1255,2028,85,4770,92,3,31,19,19,43,110,361,1121,1934,4753,125,8615,52,8,12,19,10,34,59,121,362,905,4989,127,6689,77,17,105,100,62,89,160,355,593,770,2674,258,5245,75,32,253,61,45,30,158,193,141,152,404,298,1845,1903,600,4263,1840,1230,1763,4448,8497,10338,11408,23980,2234,72500
118,20,28,37,73,177,669,1182,1107,1136,91,4643,81,3,9,16,16,42,103,447,1266,1492,1660,87,5241,42,0,4,8,11,23,57,148,649,897,1267,50,3160,92,3,12,14,21,39,86,206,712,1320,3320,74,5903,91,0,3,14,12,23,52,69,278,713,4611,102,5965,54,7,36,40,21,60,106,178,514,695,2036,161,3915,36,5,109,43,22,22,34,102,90,95,200,172,928,1324,241,1827,893,555,780,1591,4151,7280,8399,16848,1334,45223
119,51,88,100,162,625,2653,2294,1090,473,159,7894,129,9,27,61,36,104,335,1948,2142,1200,618,105,6708,91,3,10,24,35,55,116,855,1118,772,423,67,3571,73,3,30,30,24,33,119,592,1031,881,729,88,3635,41,4,19,16,8,19,44,179,389,470,577,34,1809,125,15,94,153,102,135,346,1080,1115,727,459,289,4641,67,19,196,76,32,47,67,152,118,59,43,258,1141,2307,554,4016,2670,1716,2040,5717,17673,14262,7881,4491,2333,65657
120,25,34,43,103,245,1322,1582,824,823,110,5231,105,0,18,27,19,83,161,988,1768,1143,1138,89,5555,38,3,14,17,18,38,75,393,958,688,865,53,3156,76,5,15,20,17,39,72,411,1071,1035,1898,65,4712,73,0,8,12,19,24,38,151,420,641,2456,49,3891,74,3,46,31,49,65,83,363,640,550,965,151,3021,25,15,73,41,17,12,28,64,80,45,77,108,590,1176,209,1546,968,662,1043,2064,7044,9744,6823,10094,1275,42637
121,24,21,34,67,157,1023,1835,1113,1154,116,5693,131,0,17,19,26,58,121,770,2217,1642,1697,103,6789,71,0,6,4,8,29,41,279,1004,941,1034,49,3473,119,0,10,17,10,40,77,340,1333,1772,3548,99,7361,97,3,3,16,16,32,39,126,521,1074,4633,80,6650,87,3,18,29,22,57,64,215,568,619,1561,149,3396,45,14,35,15,9,14,17,50,84,74,155,182,688,1444,185,1018,602,419,605,1342,5389,10661,9215,15844,1341,48065
122,9,10,16,31,90,399,918,540,745,52,2874,68,0,9,9,11,21,54,287,859,742,1011,51,3120,32,0,9,9,3,18,21,78,403,445,795,21,1840,40,0,7,4,12,22,28,77,393,555,1742,32,2912,38,0,3,10,3,16,22,46,131,251,2127,36,2678,38,3,18,14,12,21,40,103,280,301,858,80,1767,16,9,32,17,12,6,16,33,44,30,67,110,381,723,155,704,356,238,380,666,2347,4632,3728,8472,652,23037
123,25,44,47,83,404,1457,593,107,35,37,2874,45,5,16,23,34,65,270,967,620,149,40,41,2272,23,0,6,9,13,32,109,481,378,94,29,19,1201,20,0,9,10,10,18,59,309,349,132,42,23,973,9,0,8,10,3,7,21,101,162,107,37,10,478,35,12,50,91,59,74,201,544,315,108,44,74,1602,18,15,84,54,15,36,54,69,23,0,9,145,516,702,221,1709,1393,855,1118,3235,7804,3548,904,290,743,22523
124,20,31,50,181,585,2019,717,146,48,58,3931,43,3,5,23,32,115,377,1464,748,155,45,46,3058,15,0,6,12,9,50,122,625,420,124,23,15,1434,22,0,9,8,12,33,84,474,361,160,64,27,1265,20,0,4,9,5,10,37,136,158,115,71,9,571,44,0,32,51,31,116,235,688,332,106,47,81,1759,33,8,68,85,31,36,79,102,29,3,4,174,661,814,181,1174,1428,896,2044,4840,10881,4041,1041,407,868,28616
125,54,92,78,180,531,3156,2311,698,289,142,7675,88,6,30,59,46,123,324,2395,2362,784,332,112,6673,58,3,27,24,19,57,149,1071,1261,555,243,47,3500,68,13,38,23,22,59,118,901,1385,684,386,79,3769,33,4,18,16,15,18,57,317,615,482,369,35,1988,84,19,134,123,69,184,277,1110,1030,458,228,225,3961,45,26,186,78,26,28,63,145,128,40,41,267,1062,1772,591,3717,2483,1374,2089,4352,17784,14340,5325,2524,1945,58298
126,7,22,17,27,145,839,871,486,369,53,2901,53,0,5,12,16,47,98,674,832,529,383,47,2701,28,0,4,6,10,30,58,276,477,360,316,25,1598,41,0,8,10,20,29,37,259,508,501,576,39,2024,27,3,5,8,3,13,16,90,212,263,735,25,1402,35,6,18,24,31,41,48,210,281,236,330,74,1326,22,3,34,18,6,11,8,38,33,24,28,72,288,680,132,896,628,365,521,1064,4549,5004,3425,3489,690,21443
127,36,57,52,238,562,1421,1118,342,99,96,4122,75,0,21,30,30,138,376,922,1002,339,98,64,3080,53,0,4,16,20,104,159,446,539,249,84,31,1711,44,4,12,18,10,84,108,296,515,287,90,35,1501,22,0,6,12,9,22,36,113,203,184,96,14,719,77,20,83,116,80,179,370,747,613,230,85,173,2777,53,8,133,61,39,49,99,140,88,24,3,195,890,1369,374,2620,2132,1348,2373,6089,10056,7550,2336,771,1378,38391
128,11,18,18,45,108,742,613,300,237,37,2170,43,0,8,9,16,42,82,548,673,388,327,29,2159,25,0,0,0,7,26,25,254,356,284,247,19,1246,34,0,9,5,9,30,25,188,379,299,461,20,1444,17,0,0,3,0,18,8,59,123,180,465,15,892,27,7,6,21,17,62,39,190,239,169,274,56,1101,6,4,45,21,14,10,15,35,28,11,11,90,297,521,105,795,435,312,514,1018,4004,3514,2098,2368,516,16208
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
