SA4_CODE_2016,C06_15_19_Married_M,C06_15_19_Married_F,C06_15_19_Sep_M,C06_15_19_Sep_F,C06_15_19_Div_M,C06_15_19_Div_F,C06_15_19_Wid_M,C06_15_19_Wid_F,C06_15_19_Nvr_marrd_M,C06_15_19_Nvr_marrd_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Married_M,C06_20_24_Married_F,C06_20_24_Sep_M,C06_20_24_Sep_F,C06_20_24_Div_M,C06_20_24_Div_F,C06_20_24_Wid_M,C06_20_24_Wid_F,C06_20_24_Nvr_marrd_M,C06_20_24_Nvr_marrd_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Married_M,C06_25_29_Married_F,C06_25_29_Sep_M,C06_25_29_Sep_F,C06_25_29_Div_M,C06_25_29_Div_F,C06_25_29_Wid_M,C06_25_29_Wid_F,C06_25_29_Nvr_marrd_M,C06_25_29_Nvr_marrd_F,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Married_M,C06_30_34_Married_F,C06_30_34_Sep_M,C06_30_34_Sep_F,C06_30_34_Div_M,C06_30_34_Div_F,C06_30_34_Wid_M,C06_30_34_Wid_F,C06_30_34_Nvr_marrd_M,C06_30_34_Nvr_marrd_F,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Married_M,C06_35_39_Married_F,C06_35_39_Sep_M,C06_35_39_Sep_F,C06_35_39_Div_M,C06_35_39_Div_F,C06_35_39_Wid_M,C06_35_39_Wid_F,C06_35_39_Nvr_marrd_M,C06_35_39_Nvr_marrd_F,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Married_M,C06_40_44_Married_F,C06_40_44_Sep_M,C06_40_44_Sep_F,C06_40_44_Div_M,C06_40_44_Div_F,C06_40_44_Wid_M,C06_40_44_Wid_F,C06_40_44_Nvr_marrd_M,C06_40_44_Nvr_marrd_F,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Married_M,C06_45_49_Married_F,C06_45_49_Sep_M,C06_45_49_Sep_F,C06_45_49_Div_M,C06_45_49_Div_F,C06_45_49_Wid_M,C06_45_49_Wid_F,C06_45_49_Nvr_marrd_M,C06_45_49_Nvr_marrd_F,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Married_M,C06_50_54_Married_F,C06_50_54_Sep_M,C06_50_54_Sep_F,C06_50_54_Div_M,C06_50_54_Div_F,C06_50_54_Wid_M,C06_50_54_Wid_F,C06_50_54_Nvr_marrd_M,C06_50_54_Nvr_marrd_F,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Married_M,C06_55_59_Married_F,C06_55_59_Sep_M,C06_55_59_Sep_F,C06_55_59_Div_M,C06_55_59_Div_F,C06_55_59_Wid_M,C06_55_59_Wid_F,C06_55_59_Nvr_marrd_M,C06_55_59_Nvr_marrd_F,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Married_M,C06_60_64_Married_F,C06_60_64_Sep_M,C06_60_64_Sep_F,C06_60_64_Div_M,C06_60_64_Div_F,C06_60_64_Wid_M,C06_60_64_Wid_F,C06_60_64_Nvr_marrd_M,C06_60_64_Nvr_marrd_F,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_69_Married_M,C06_65_69_Married_F,C06_65_69_Sep_M,C06_65_69_Sep_F,C06_65_69_Div_M,C06_65_69_Div_F,C06_65_69_Wid_M,C06_65_69_Wid_F,C06_65_69_Nvr_marrd_M,C06_65_69_Nvr_marrd_F,C06_65_69_T_M,C06_65_69_T_F,C06_65_69_T_P,C06_70_74_Married_M,C06_70_74_Married_F,C06_70_74_Sep_M,C06_70_74_Sep_F,C06_70_74_Div_M,C06_70_74_Div_F,C06_70_74_Wid_M,C06_70_74_Wid_F,C06_70_74_Nvr_marrd_M,C06_70_74_Nvr_marrd_F,C06_70_74_T_M,C06_70_74_T_F,C06_70_74_T_P,C06_75_79_Married_M,C06_75_79_Married_F,C06_75_79_Sep_M,C06_75_79_Sep_F,C06_75_79_Div_M,C06_75_79_Div_F,C06_75_79_Wid_M,C06_75_79_Wid_F,C06_75_79_Nvr_marrd_M,C06_75_79_Nvr_marrd_F,C06_75_79_T_M,C06_75_79_T_F,C06_75_79_T_P,C06_80_84_Married_M,C06_80_84_Married_F,C06_80_84_Sep_M,C06_80_84_Sep_F,C06_80_84_Div_M,C06_80_84_Div_F,C06_80_84_Wid_M,C06_80_84_Wid_F,C06_80_84_Nvr_marrd_M,C06_80_84_Nvr_marrd_F,C06_80_84_T_M,C06_80_84_T_F,C06_80_84_T_P,C06_85o_Married_M,C06_85o_Married_F,C06_85o_Seprtd_M,C06_85o_Seprtd_F,C06_85o_Divorce_M,C06_85o_Divorce_F,C06_85o_Wid_M,C06_85o_Wid_F,C06_85o_Nvr_mard_M,C06_85o_Nvr_mard_F,C06_85o_T_M,C06_85o_T_F,C06_85o_T_P,C06_T_Married_M,C06_T_Married_F,C06_Tot_Sep_M,C06_Tot_Sep_F,C06_Tot_Div_M
101,18,33,3,3,4,5,6,12,6612,6226,6645,6271,12921,226,472,20,40,8,11,7,12,4538,3919,4794,4448,9248,1159,1697,55,111,47,77,6,17,3175,2607,4446,4507,8948,2621,3286,148,204,194,343,13,29,2540,1885,5513,5749,11258,3725,4457,244,370,434,624,10,41,2076,1540,6491,7033,13526,4498,4739,324,438,703,980,24,94,1724,1176,7276,7428,14698,4848,5017,421,422,1026,1140,57,140,1415,1005,7770,7717,15486,4777,4879,385,342,1119,1149,76,239,961,581,7320,7185,14500,5122,4970,393,256,1091,1117,132,342,619,340,7367,7017,14385,4454,4122,242,168,755,740,155,631,410,213,6015,5879,11894,3628,3042,192,123,553,525,230,841,315,147,4913,4678,9590,2746,2121,125,78,371,283,300,1148,245,137,3786,3761,7543,2103,1492,74,40,202,193,415,1474,193,101,2986,3294,6279,1193,771,45,27,91,92,412,1560,95,88,1836,2549,4379,572,249,16,5,47,68,442,1700,60,111,1135,2141,3271,41689,41340,2688,2633,6653
102,12,33,8,9,12,3,6,14,10419,9790,10454,9851,20303,314,681,18,60,15,19,9,8,7594,7018,7948,7787,15730,1887,2836,110,223,80,167,7,12,4969,4061,7057,7301,14356,4257,5076,242,488,291,564,6,40,3524,2952,8328,9121,17448,5559,6277,397,700,657,1187,16,66,2658,2085,9279,10316,19596,6282,6709,525,810,1125,1656,34,128,2164,1628,10126,10935,21062,6532,6839,643,813,1371,2067,55,216,1663,1178,10268,11116,21380,6250,6201,539,597,1503,1925,93,333,1057,751,9453,9802,19253,6019,5884,448,458,1443,1963,154,500,666,533,8718,9342,18063,5248,5109,353,341,1109,1484,217,854,522,337,7452,8123,15574,4717,4355,234,240,823,1107,281,1284,384,237,6435,7227,13664,4129,3586,178,131,570,758,490,1945,328,226,5688,6649,12336,3735,3044,123,99,419,538,758,2810,262,193,5298,6692,11986,2533,1731,79,60,201,297,840,3144,139,170,3793,5403,9202,1288,708,29,15,93,183,993,3560,98,166,2506,4627,7132,58767,59078,3906,5049,9711
103,14,21,3,3,14,6,3,8,7105,6574,7139,6615,13755,282,541,17,43,15,16,3,11,5103,4549,5422,5162,10581,1377,1858,79,120,54,95,3,16,3273,2535,4784,4630,9411,2800,3356,162,238,222,326,6,18,2333,1730,5524,5672,11196,3587,3989,215,354,395,586,11,48,1802,1298,6014,6278,12296,3988,4424,296,392,593,804,32,95,1585,1026,6493,6741,13232,4439,4493,361,398,837,912,51,139,1177,714,6863,6652,13513,4326,4367,337,276,879,916,77,240,829,432,6439,6231,12672,4575,4364,279,262,905,913,135,395,609,285,6507,6222,12728,3801,3512,219,193,690,625,154,619,430,241,5295,5186,10487,3149,2650,177,127,456,460,223,855,331,171,4337,4262,8600,2466,2038,111,66,313,276,308,1121,275,151,3472,3645,7112,1882,1367,78,48,186,162,392,1500,187,135,2722,3221,5945,1077,674,27,23,87,89,353,1645,122,110,1670,2536,4203,500,286,13,10,30,47,405,1870,73,133,1022,2352,3366,38267,37946,2366,2544,5671
104,18,14,3,3,3,0,3,3,4526,4305,4556,4327,8888,134,265,18,35,10,3,5,6,2630,2267,2790,2571,5367,552,857,37,85,21,65,3,6,1717,1516,2333,2528,4860,1348,1671,79,213,107,217,8,15,1408,1188,2949,3300,6248,1851,2242,160,267,274,460,3,34,1208,1001,3497,4001,7497,2390,2676,239,346,459,752,17,67,1116,842,4220,4682,8908,2821,3091,286,363,712,960,28,110,906,663,4743,5186,9931,2981,3053,271,275,800,934,57,145,637,384,4748,4785,9535,3071,2975,247,227,807,816,110,254,371,212,4606,4483,9091,2728,2605,154,137,542,586,99,354,256,125,3774,3801,7573,2316,2119,113,108,402,400,150,556,176,70,3157,3250,6401,1973,1590,91,52,272,246,200,784,152,83,2689,2758,5442,1591,1099,67,47,166,175,275,980,105,57,2205,2365,4569,900,611,34,14,72,100,312,1174,69,53,1386,1948,3332,496,241,16,10,36,53,340,1345,34,59,920,1703,2616,25163,25124,1807,2168,4680
105,13,9,3,3,5,3,9,13,3826,3554,3854,3584,7442,156,309,15,25,8,11,3,9,2809,2775,2995,3126,6118,707,1059,44,100,30,49,4,3,2046,1881,2837,3096,5932,1468,1739,102,149,120,169,3,13,1593,1367,3285,3447,6728,1941,2203,152,210,252,330,11,32,1257,1060,3615,3831,7441,2255,2456,192,231,380,451,16,33,1152,826,3990,4001,7988,2575,2675,242,270,502,575,23,88,916,632,4258,4239,8494,2461,2488,260,226,571,525,58,165,601,364,3954,3759,7713,2522,2412,225,168,576,498,75,245,457,229,3857,3557,7413,2082,1900,169,113,468,378,113,368,307,121,3145,2884,6027,1749,1601,101,75,326,210,160,564,274,102,2617,2546,5164,1391,1161,95,38,219,174,217,768,169,79,2088,2220,4306,1198,786,46,25,131,71,267,970,147,61,1786,1903,3694,581,327,11,10,52,49,206,925,62,48,909,1368,2279,231,145,17,8,25,25,233,1036,46,48,552,1263,1817,21340,21261,1669,1655,3667
106,20,31,0,0,5,3,5,0,8131,7610,8157,7647,15805,314,637,18,43,8,20,3,0,6238,5375,6580,6069,12651,1821,2561,102,183,71,113,3,13,4173,3180,6162,6047,12210,3703,4479,207,309,242,438,5,17,2851,2055,7014,7308,14322,4560,5121,319,463,565,799,14,55,2126,1545,7594,7987,15583,5090,5388,401,503,826,1168,50,79,1624,1071,7992,8214,16199,5494,5626,401,457,1073,1332,51,167,1119,664,8141,8246,16387,5342,5325,364,329,1058,1218,75,245,718,418,7557,7527,15078,5344,5172,327,290,961,1148,120,432,481,302,7229,7342,14575,4549,4199,228,205,804,734,201,584,339,179,6117,5900,12020,3523,3035,139,116,524,511,252,855,259,145,4697,4664,9358,2757,2304,95,69,285,288,278,1170,191,127,3605,3955,7559,2097,1509,67,40,200,184,375,1628,179,140,2918,3502,6417,1231,773,27,14,85,111,451,1703,82,81,1871,2696,4569,558,288,21,9,39,57,411,1836,55,100,1080,2294,3378,46394,46439,2720,3028,6745
107,18,29,3,8,7,4,3,9,9297,8836,9327,8888,18214,349,802,21,40,8,21,0,11,8991,7873,9373,8747,18114,2082,3061,92,176,71,174,4,15,5551,4128,7801,7557,15359,4434,5263,229,365,317,513,5,25,3430,2593,8417,8753,17170,5262,5950,316,500,565,878,8,57,2463,1749,8618,9135,17755,6164,6582,356,563,926,1277,35,111,2077,1377,9562,9903,19463,6232,6359,408,566,1194,1580,54,200,1537,999,9416,9707,19124,5860,6031,384,404,1154,1462,73,308,919,588,8380,8791,17167,5803,5343,326,331,1058,1269,146,464,599,290,7937,7701,15638,4732,4480,181,224,716,994,188,700,399,203,6211,6596,12815,4089,3805,164,126,546,656,289,1120,295,139,5383,5848,11232,3536,2913,108,139,318,415,422,1519,229,112,4616,5095,9712,2881,2084,68,60,196,276,558,2146,171,105,3869,4666,8536,1723,1122,44,32,105,152,552,2192,101,92,2519,3588,6105,731,375,14,9,45,76,548,2245,71,106,1414,2808,4223,53902,54196,2711,3530,7224
108,12,17,4,7,9,8,6,7,6386,5892,6416,5932,12350,175,389,22,41,15,17,12,12,3627,3033,3847,3486,7337,904,1282,54,132,46,67,4,12,2411,2051,3422,3541,6964,1924,2472,144,291,154,266,7,23,1927,1547,4153,4596,8746,2743,3298,243,410,373,620,6,57,1705,1363,5079,5755,10831,3534,4023,342,477,648,1040,28,78,1510,1142,6069,6756,12817,4123,4564,388,529,991,1377,47,159,1263,854,6818,7474,14293,4172,4270,416,418,1163,1308,62,255,875,552,6691,6803,13488,4790,4930,364,286,1156,1168,124,403,534,361,6966,7158,14123,4690,4620,279,240,938,960,192,730,399,239,6512,6793,13303,4335,3996,224,157,761,641,277,916,268,169,5855,5888,11747,3724,3099,138,100,505,397,395,1409,219,138,4977,5144,10123,3084,2344,122,68,290,277,592,1890,182,125,4274,4699,8973,1985,1265,47,17,142,163,606,2116,91,81,2874,3641,6519,898,486,22,21,68,82,630,2435,65,99,1680,3128,4812,41083,41054,2808,3197,7263
109,9,19,3,3,7,0,0,8,3907,3629,3932,3656,7585,119,270,12,18,3,10,0,7,2770,2727,2905,3029,5936,714,1091,46,59,29,58,7,8,1971,1551,2755,2768,5525,1597,1841,75,139,123,168,5,3,1312,993,3112,3153,6261,1953,2285,150,185,241,302,3,22,1024,799,3362,3597,6965,2343,2514,174,237,348,511,12,47,831,505,3710,3823,7536,2648,2867,232,267,495,595,29,75,619,390,4017,4191,8212,2651,2628,203,218,565,587,45,125,460,237,3922,3787,7714,2703,2536,177,145,506,506,71,203,299,149,3764,3541,7302,2223,2098,116,98,397,363,89,306,221,92,3048,2957,6002,1905,1719,99,61,283,241,133,490,185,83,2598,2598,5199,1521,1254,57,41,175,161,186,621,134,72,2073,2150,4230,1302,938,30,24,125,78,241,902,114,68,1815,2012,3825,749,470,20,0,34,56,280,947,78,55,1158,1531,2691,320,192,14,9,16,29,237,1106,35,60,615,1397,2014,22758,22729,1412,1514,3334
110,13,28,7,6,4,7,3,3,6286,6031,6311,6076,12391,242,487,11,39,3,16,5,13,4632,4258,4891,4817,9707,1118,1675,71,120,44,78,7,5,2897,2451,4135,4335,8470,2386,2934,126,231,154,259,9,17,2085,1689,4757,5127,9881,3117,3489,211,263,354,505,9,49,1645,1298,5334,5606,10938,3531,3923,285,366,535,744,27,78,1376,994,5758,6105,11860,3937,4165,301,425,749,922,50,114,1113,699,6146,6320,12465,3981,3956,320,315,797,816,78,183,734,455,5915,5731,11645,4115,3981,278,227,792,772,98,383,560,293,5845,5657,11501,3573,3317,189,168,621,555,171,557,384,174,4936,4765,9707,2910,2683,142,113,436,373,230,809,299,149,4018,4122,8144,2322,1782,120,53,268,226,289,1046,224,151,3211,3250,6468,1692,1208,49,39,163,129,347,1438,153,115,2411,2927,5342,989,583,39,25,55,65,321,1446,95,83,1492,2199,3690,498,241,21,3,25,37,358,1745,62,95,961,2130,3097,34425,34454,2164,2388,4998
