SA4_CODE_2016,Pakistan_C06_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Philippines_C06_M,Philippines_C06_F,Philippines_C06_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Poland_C06_M,Poland_C06_F,Poland_C06_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Singapore_C06_M,Singapore_C06_F,Singapore_C06_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,South_Africa_C06_M,South_Africa_C06_F,South_Africa_C06_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,Sri_Lanka_C06_M,Sri_Lanka_C06_F,Sri_Lanka_C06_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Thailand_C06_M,Thailand_C06_F,Thailand_C06_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,F_Y_R_o_Macedonia_C06_M,F_Y_R_o_Macedonia_C06_F,F_Y_R_o_Macedonia_C06_P,F_Y_R_o_Macedonia_C11_M,F_Y_R_o_Macedonia_C11_F,F_Y_R_o_Macedonia_C11_P,F_Y_R_o_Macedonia_C16_M,F_Y_R_o_Macedonia_C16_F,F_Y_R_o_Macedonia_C16_P,Turkey_C06_M,Turkey_C06_F,Turkey_C06_P,Turkey_C11_M,Turkey_C11_F,Turkey_C11_P,Turkey_C16_M,Turkey_C16_F,Turkey_C16_P,Unitd_Kingdom_C06_M,Unitd_Kingdom_C06_F,Unitd_Kingdom_C06_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unit_Sts_Amer_C06_M,Unit_Sts_Amer_C06_F,Unit_Sts_Amer_C06_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Vietnam_C06_M,Vietnam_C06_F,Vietnam_C06_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Zimbabwe_C06_M,Zimbabwe_C06_F,Zimbabwe_C06_P,Zimbabwe_C11_M,Zimbabwe_C11_F,Zimbabwe_C11_P,Zimbabwe_C16_M,Zimbabwe_C16_F,Zimbabwe_C16_P,Born_elsewhere_C06_M,Born_elsewhere_C06_F,Born_elsewhere_C06_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Country_birt_ns_C06_M,Country_birt_ns_C06_F,Country_birt_ns_C06_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
111,66,79,60,142,224,111,331,176,708,881,267,879,1149,407,1139,1548,328,420,745,231,333,562,184,291,474,84,81,163,78,94,176,101,151,255,335,382,716,493,509,1011,550,571,1120,123,127,248,156,146,297,195,185,385,55,147,204,83,244,325,163,378,545,530,509,1041,495,487,982,472,458,932,49,26,70,37,30,67,42,24,65,5341,5321,10662,5379,5270,10655,5451,5304,10758,349,370,716,456,484,939,518,594,1116,104,138,240,109,148,256,223,303,531,75,92,173,97,95,188,130,149,283,2664,2536,5197,3028,2997,6026,3320,3513,6833,9643,9868,19514,8160,7810,15974,8530,8754,17289,161355,168608,329959,167926,174679,342605,176033,183073,359106
112,24,17,15,29,37,24,58,87,440,529,126,530,661,186,745,934,65,66,131,56,72,126,61,84,141,41,42,84,50,55,104,54,64,117,263,255,516,354,372,725,436,441,870,34,28,69,41,42,82,51,48,99,51,131,179,70,212,278,86,291,371,11,6,17,7,7,12,8,3,14,11,9,21,19,11,23,20,13,31,5156,5242,10402,5423,5574,10997,5315,5325,10641,460,434,899,521,528,1044,487,547,1031,42,31,72,38,57,100,55,80,139,60,47,106,71,72,143,89,80,170,1412,1399,2804,1635,1696,3330,1874,2038,3911,6920,6956,13876,6277,6128,12404,10700,11160,21857,106949,112382,219328,110591,117026,227620,116256,123343,239604
113,96,80,63,144,137,98,240,43,185,228,148,308,455,400,523,922,28,37,71,29,34,61,27,19,46,13,26,37,17,22,47,24,30,54,119,127,248,244,209,451,257,250,503,48,61,109,71,73,146,127,76,199,17,45,63,17,68,88,36,102,138,5,5,12,0,11,8,0,12,11,71,51,118,69,52,120,61,42,98,1273,1253,2522,1253,1211,2469,1213,1185,2398,91,83,170,101,90,187,94,127,219,29,26,54,46,35,84,65,46,107,44,62,102,78,95,173,70,88,159,908,766,1677,1056,908,1968,1480,1274,2755,4261,4081,8342,4117,3941,8062,6808,6793,13601,74063,74135,148201,74871,75251,150119,77726,78206,155934
114,8,8,3,14,19,12,29,44,226,267,74,263,341,120,374,493,71,81,154,65,84,154,80,100,172,28,30,60,29,40,72,43,55,99,110,146,259,165,209,379,210,247,460,22,29,53,21,29,48,28,46,70,17,49,66,33,68,99,54,127,181,19,13,30,33,27,59,35,25,61,7,11,17,11,11,21,15,5,21,4143,4264,8403,4227,4348,8573,4244,4388,8633,157,196,355,201,237,441,232,264,496,30,38,71,32,47,81,69,77,138,13,25,43,20,23,49,35,44,77,1009,934,1945,1039,1085,2120,1248,1342,2585,4007,3993,8003,4048,3864,7909,5707,5801,11503,63758,66919,130682,66878,70130,137006,72084,75273,147363
115,394,294,270,563,442,423,870,1018,1321,2339,1026,1405,2438,1176,1604,2780,280,311,599,247,315,564,227,297,520,305,377,681,385,446,831,418,483,897,1151,1256,2408,1541,1631,3168,1698,1724,3430,964,1047,2013,1283,1374,2662,1507,1610,3118,61,135,200,88,174,262,132,279,412,35,39,80,29,29,63,27,22,49,123,127,251,138,148,288,144,139,277,5013,4847,9858,5132,4823,9952,4789,4512,9303,403,486,889,454,516,975,552,646,1195,192,235,425,263,303,566,312,375,692,100,105,207,129,134,262,142,137,282,3232,3464,6693,3622,3915,7537,4045,4412,8453,4328,4371,8700,3559,3535,7091,4258,4329,8581,98457,101074,199529,104020,106397,210411,112397,115348,227739
116,1604,1385,1209,2596,2191,1931,4125,7340,8837,16176,8853,10584,19436,9857,12127,21977,553,653,1200,498,631,1125,413,527,938,178,195,374,208,234,448,279,279,555,656,705,1362,853,916,1772,858,934,1793,1273,1281,2555,1824,1784,3602,2715,2385,5101,107,210,319,139,347,485,186,443,628,101,106,213,104,121,224,86,104,192,620,608,1229,654,682,1340,664,667,1339,4083,3817,7898,3811,3647,7461,3402,3211,6617,297,257,546,360,346,705,429,400,831,449,488,937,429,501,923,436,563,997,54,67,121,136,152,283,159,165,327,9412,9494,18907,10846,11178,22024,12715,13096,25816,9226,9041,18273,7263,6961,14223,9183,9454,18641,135940,137979,273920,150740,152784,303531,168934,170700,339637
117,283,200,102,300,309,131,443,838,1267,2106,1168,1630,2797,1498,2016,3515,299,392,687,353,466,817,403,471,873,579,554,1128,629,653,1280,709,764,1472,597,478,1075,803,639,1444,965,788,1750,191,179,367,296,228,525,339,272,611,1086,1477,2562,1708,2511,4215,3026,4734,7759,229,230,463,232,242,478,219,226,445,516,436,947,598,459,1056,576,427,996,6422,4369,10791,7844,5359,13205,8869,6215,15081,939,755,1703,1375,1214,2587,1651,1616,3270,1653,1959,3610,1866,2099,3959,2032,2473,4505,61,78,138,89,78,167,118,80,191,9421,8771,18188,11680,10553,22235,13814,13202,27014,25870,20810,46681,16177,12997,29176,18802,15824,34623,127056,117614,244671,136859,127687,264544,161061,154483,315551
118,150,103,63,162,174,80,256,363,696,1063,508,1010,1518,679,1210,1886,588,746,1331,551,720,1275,475,671,1148,516,547,1064,582,634,1213,546,656,1207,2715,2785,5496,3153,3250,6398,3285,3384,6677,179,178,356,187,193,381,214,216,427,299,483,779,310,578,885,331,688,1021,29,26,56,35,25,61,41,49,91,185,153,336,176,148,323,158,138,300,7270,6663,13936,8395,7578,15972,9047,8313,17366,950,1047,2002,1226,1354,2576,1377,1598,2977,307,334,638,345,421,767,454,515,969,115,141,263,135,161,301,158,158,321,8815,9851,18673,9841,10770,20608,11343,12640,23990,15322,13919,29245,11874,11207,23081,11473,12135,23603,114806,120690,235498,121601,127945,249545,129505,137524,267037
119,1733,1663,1131,2795,3291,1890,5185,1848,3149,4994,2268,3746,6016,3078,4857,7934,554,696,1258,488,627,1119,470,559,1030,332,394,731,391,457,848,435,541,978,570,587,1155,590,620,1209,598,597,1203,372,368,738,408,398,808,437,445,882,324,731,1052,486,1088,1570,770,1714,2490,3527,3457,6985,3401,3387,6790,3195,3214,6417,479,461,940,521,458,978,560,459,1020,4405,4028,8435,4171,3687,7856,3882,3262,7146,386,395,779,438,456,894,554,513,1065,6710,7625,14339,7406,8830,16234,8555,10420,18972,143,175,316,162,182,349,136,166,301,17169,16256,33418,22128,20603,42737,30310,27637,57945,19465,18868,38333,16652,15595,32251,17144,17363,34506,241667,249325,490997,258319,265287,523610,282753,288670,571416
120,285,190,134,324,358,215,571,859,1365,2221,1011,1700,2705,1297,2083,3379,379,479,854,351,453,803,322,435,756,253,360,611,308,402,707,344,461,803,423,509,933,562,579,1143,593,625,1220,1051,1141,2193,1074,1180,2260,1110,1125,2235,296,497,793,361,683,1048,624,1217,1838,77,81,164,90,90,183,88,98,180,337,320,655,372,350,724,364,350,716,4930,4204,9136,5436,4623,10056,5597,4649,10245,457,535,992,615,671,1286,727,798,1526,1083,1335,2420,1216,1568,2781,1569,2066,3631,65,80,145,95,89,180,79,89,169,6444,6536,12974,8369,7892,16260,10112,9764,19879,10736,10021,20757,8903,8091,16991,9621,9739,19359,117925,125175,243105,127950,135610,263561,142436,150867,293301
121,335,203,192,396,357,310,672,882,1442,2324,1177,1842,3022,1562,2481,4043,488,609,1092,456,651,1110,471,669,1133,690,898,1584,855,1070,1928,988,1180,2172,3362,3526,6884,3781,3951,7729,3708,3899,7608,518,545,1067,644,686,1333,778,867,1644,328,596,924,417,911,1327,590,1264,1848,94,87,186,82,95,178,85,101,188,174,176,345,159,164,326,215,201,420,12608,11128,23732,13588,11862,25448,13393,11536,24930,1633,1725,3354,1866,1962,3831,1971,2057,4026,326,447,773,430,636,1073,615,923,1533,299,290,593,323,361,677,339,347,688,7610,8560,16172,9033,10140,19172,10556,12024,22578,11128,11485,22613,9321,9270,18590,9727,10454,20178,169239,183298,352538,180122,194545,374663,194785,210572,405356
122,36,46,28,70,48,29,75,372,736,1110,476,880,1359,573,1051,1627,173,208,387,184,255,441,194,303,499,173,214,385,204,228,431,262,264,524,1168,1148,2315,1533,1483,3017,1768,1707,3471,78,91,169,85,85,176,93,95,185,118,326,446,164,438,602,189,530,724,37,50,85,35,46,75,39,46,87,102,108,213,101,99,201,129,121,250,9816,9430,19245,11265,10749,22017,11825,11230,23051,895,928,1823,1025,1167,2195,1180,1281,2463,120,174,296,153,209,364,190,260,453,137,118,251,167,141,300,173,162,337,4228,4527,8758,5021,5665,10691,6196,7138,13340,7586,7049,14636,5508,5224,10729,6446,6854,13306,110356,114744,225102,116427,121213,237640,123507,129370,252878
123,446,371,273,642,667,545,1211,1344,1992,3334,1549,2379,3932,1864,2700,4568,319,371,686,286,350,639,291,351,634,62,64,129,63,75,138,95,93,189,585,602,1185,626,674,1301,644,707,1349,211,234,450,271,284,554,370,386,758,144,261,412,167,352,520,221,486,703,127,126,257,118,129,250,137,118,253,52,28,80,50,29,81,61,50,116,5457,5489,10945,5273,5286,10555,4870,4924,9798,201,188,392,240,214,458,291,252,545,295,325,622,303,376,676,425,566,994,62,62,122,112,132,242,147,173,317,5746,5977,11724,6572,6859,13435,8554,8757,17315,6945,7058,14009,5839,6142,11988,7557,8114,15674,110200,113458,223656,115649,120155,235804,128725,133338,262064
124,361,264,225,488,377,319,697,1153,1711,2868,1356,2063,3419,1722,2515,4234,296,330,625,252,302,556,234,333,566,93,117,218,101,130,225,109,146,249,461,521,980,488,577,1066,512,616,1129,377,342,720,404,396,800,455,447,899,88,174,263,104,263,370,163,414,569,112,100,213,103,95,196,99,99,192,141,113,255,123,101,228,127,121,248,8106,8124,16235,7764,7822,15581,7154,7235,14389,364,336,704,404,398,798,412,427,842,125,165,292,131,205,332,239,328,570,81,84,165,106,130,228,137,147,279,3750,3801,7552,4109,4345,8455,4850,5128,9978,7817,7730,15548,7274,6872,14147,8640,8914,17554,137227,141776,279002,141339,146846,288191,150470,156457,306933
125,1520,1595,1124,2721,4144,2183,6324,2086,3221,5304,2593,3891,6489,3134,4609,7742,511,699,1211,446,642,1085,395,524,927,317,381,694,381,424,803,395,495,892,441,448,889,531,604,1136,528,576,1105,2494,2431,4921,3220,3119,6340,4402,3375,7780,235,511,746,351,707,1065,466,1030,1487,139,131,277,128,134,255,137,123,264,2227,2217,4446,2294,2278,4571,2100,2150,4249,3849,3541,7384,3533,3085,6617,3193,2642,5837,363,296,660,416,347,765,502,427,927,4396,4839,9237,4544,5333,9879,4697,5612,10315,123,113,243,127,157,282,172,195,371,13910,13059,26962,16211,15214,31424,21579,18527,40107,15090,13447,28530,13098,11823,24922,14004,13572,27574,178761,177028,355782,198298,196409,394709,227574,220818,448391
126,223,175,125,306,325,241,569,497,835,1335,759,1122,1882,1041,1484,2527,207,266,473,199,248,445,188,203,387,258,320,575,300,378,678,395,441,840,428,446,871,495,503,1000,539,546,1088,735,744,1478,855,851,1707,910,892,1799,127,271,394,148,346,491,211,477,694,48,63,114,46,69,118,61,71,126,117,98,216,130,99,232,123,115,232,2889,2660,5547,2819,2463,5281,2680,2303,4987,352,345,702,367,424,792,425,440,861,315,401,716,416,547,967,567,765,1327,56,48,100,87,73,163,92,81,175,3328,3671,7003,3719,4092,7811,4761,5036,9796,5017,4885,9900,3347,3243,6588,3677,3818,7494,75178,79882,155064,79212,83631,162846,88832,93286,182119
127,615,491,491,983,862,754,1612,2213,2953,5162,2398,3237,5634,2641,3697,6334,686,826,1508,608,753,1356,512,644,1154,112,108,218,117,127,245,137,135,271,298,360,654,303,327,630,325,346,674,303,301,602,347,336,687,391,356,747,647,871,1515,683,967,1649,846,1219,2061,982,991,1971,960,992,1948,939,1026,1967,599,622,1220,621,638,1254,633,641,1271,2574,2567,5143,2259,2230,4489,2113,2011,4124,188,201,385,220,211,429,262,252,507,12821,14601,27422,14072,16617,30694,15915,19455,35367,69,89,156,163,199,356,225,273,505,19856,21122,40983,20207,21716,41916,22316,24092,46416,13155,12710,25863,10518,10296,20811,13309,13335,26643,167375,170082,337452,178129,182037,360166,200618,205344,405962
128,82,49,47,90,57,49,103,237,527,761,277,639,918,377,806,1179,140,185,320,149,213,357,160,248,406,120,147,265,114,154,269,121,155,284,551,588,1132,615,655,1265,582,631,1210,63,64,128,66,68,136,71,72,147,56,174,231,61,249,318,104,322,431,285,256,542,285,290,579,307,294,599,65,62,123,67,65,128,65,67,127,4831,4553,9384,4944,4672,9613,4858,4542,9399,305,343,649,335,386,725,325,432,765,148,186,328,156,236,391,153,257,416,39,37,72,50,42,93,70,51,121,2369,2622,4989,2741,3031,5771,3210,3705,6912,5584,5353,10933,4250,3912,8159,4534,4756,9282,100601,104312,204913,102850,107421,210265,106413,111465,217880
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,8,7,13,11,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,16,19,0,0,3,3,0,8,11,26,36,37,7,50,56,55,112,171,239,412
199,10,10,4,19,23,8,32,25,28,55,27,28,54,33,52,89,13,3,13,12,5,18,6,10,18,10,11,14,10,13,24,3,9,13,37,38,75,40,28,65,40,31,77,7,9,17,9,6,12,8,3,9,9,17,29,9,20,23,18,24,39,4,4,8,4,6,7,3,4,5,17,4,27,15,10,29,14,3,18,328,256,585,387,305,689,323,274,595,59,38,92,47,55,102,44,37,82,52,47,98,49,40,84,38,31,76,10,0,11,4,5,10,3,7,9,266,153,417,331,243,576,372,287,664,664,430,1091,991,528,1514,1379,864,2248,5924,4248,10175,7593,5327,12917,7351,4939,12288
