CED_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
CED101,3491,509,537,719,848,764,378,237,10642,0,0,0,0,0,0,0,3,0,6,9,2173,1745,3773,587,602,788,890,803,413,290,12061,1041,369,218,38,33,25,27,25,12,55,1836,2667,1792,1422,137,194,159,130,108,57,105,6755,176,225,302,49,45,58,51,61,42,33,1039,11,4,8,0,0,0,3,0,0,0,33,2859,2020,1730,185,236,215,184,169,95,141,7827,0,0,0,0,0,0,0,0,0,0,3,3899,2391,1945,227,265,242,214,190,107,195,9667,1697,170,103,13,19,11,16,9,11,62,2100,4672,827,376,40,35,34,32,35,3,110,6161,1026,351,314,39,61,55,64,55,26,91,2081,26,3,0,0,0,0,0,0,0,7,38,5721,1183,690,76,92,94,102,90,33,204,8282,0,0,0,0,0,0,0,0,0,0,9,7421,1352,789,92,111,103,114,96,40,265,10389,1712,72,27,7,4,3,3,4,0,43,1878,4205,206,99,31
CED102,6080,968,1166,1576,1851,1879,1069,490,19250,0,0,3,3,0,0,3,0,3,12,28,2654,2493,6605,1136,1308,1755,1990,2040,1166,587,21737,1210,510,352,66,66,54,31,34,15,54,2406,3079,2237,2129,215,289,304,230,232,142,143,8996,239,248,307,55,56,84,77,91,65,62,1281,26,10,12,0,0,3,0,4,0,5,63,3344,2499,2452,271,343,386,313,331,204,205,10345,0,0,0,0,0,0,0,0,0,8,15,4555,3014,2807,340,412,437,344,361,224,273,12756,1813,200,111,23,15,15,11,9,4,69,2271,5231,808,453,42,46,65,31,38,27,164,6902,1148,303,284,65,71,55,67,58,65,96,2212,44,9,7,0,0,0,0,0,0,8,65,6415,1118,745,103,117,126,101,101,93,267,9182,5,0,0,0,0,0,0,0,0,9,14,8240,1320,849,124,130,137,111,105,96,341,11467,1558,66,44,6,3,4,0,5,9,43,1737,5471,221,88,9
CED103,4636,821,1025,1211,1346,1425,743,382,15941,3,0,3,0,0,0,0,3,0,11,27,2838,2536,5068,917,1147,1315,1461,1549,818,459,18125,1335,486,369,79,56,58,52,40,29,56,2562,3350,2818,2223,417,379,384,393,447,220,142,10768,141,253,396,80,74,88,96,114,54,46,1344,24,17,9,3,0,0,0,0,0,5,54,3519,3091,2630,492,454,471,490,561,269,189,12170,3,0,0,0,0,3,0,0,0,3,12,4855,3582,3001,578,511,535,540,593,304,254,14745,2037,278,137,24,28,16,22,10,10,41,2597,5125,1151,579,96,91,73,59,65,27,102,7370,748,398,333,51,73,66,63,71,46,95,1946,28,6,6,0,0,0,0,0,0,3,51,5902,1554,924,150,163,142,125,135,72,204,9361,3,3,0,0,0,0,0,0,0,3,9,7942,1835,1058,171,188,158,146,149,80,250,11972,2014,85,34,6,10,7,3,9,3,51,2224,5028,292,117,16
CED104,876,117,149,139,142,154,86,42,3292,0,0,0,0,0,0,0,0,0,0,4,1546,822,1046,162,190,164,181,192,103,74,4476,1285,540,448,64,50,48,40,39,27,51,2594,1650,1714,1279,146,160,137,122,125,53,56,5438,32,103,110,25,27,23,34,36,11,11,395,12,15,5,0,0,0,0,0,0,3,39,1698,1832,1390,168,186,153,156,162,63,68,5868,0,0,0,0,0,0,0,0,0,4,3,2980,2369,1844,233,232,206,199,194,87,123,8474,2789,561,364,35,33,23,33,17,15,59,3933,3359,917,535,63,68,47,39,19,17,50,5108,273,127,92,12,18,12,22,15,18,12,602,23,3,4,0,0,0,0,0,0,3,35,3652,1046,634,72,83,59,64,35,29,67,5746,3,0,0,0,0,0,0,0,0,3,9,6445,1613,997,110,119,88,96,55,45,124,9687,3014,177,66,15,4,8,4,0,0,59,3346,3531,240,78,17
CED105,5184,847,1314,1634,1395,1264,663,482,17112,3,0,3,0,3,0,0,0,0,166,173,2666,2248,5361,880,1363,1703,1452,1323,713,692,18397,599,164,132,17,18,21,14,3,11,31,1003,4273,2214,1795,259,301,297,220,172,86,171,9795,783,712,808,138,279,269,168,160,81,90,3481,23,26,18,3,4,8,5,0,0,4,91,5082,2953,2619,404,581,570,386,330,163,266,13359,3,0,0,0,0,0,0,0,0,123,130,5682,3113,2745,415,600,596,404,338,175,428,14494,928,89,51,9,8,14,11,0,0,32,1128,7067,946,472,79,85,72,50,47,22,217,9049,2430,681,693,125,159,122,129,106,77,169,4698,52,12,4,3,7,3,0,0,0,13,102,9545,1640,1169,211,250,199,184,153,97,397,13847,3,0,0,0,0,0,0,0,0,72,84,10477,1725,1224,217,259,213,194,153,103,496,15055,960,41,20,3,3,0,0,0,0,31,1066,5809,261,117,15
CED106,2341,372,469,531,541,608,352,204,8141,0,0,3,0,0,0,0,0,0,3,15,1995,1648,2615,443,537,617,627,680,405,257,9822,1648,730,615,133,93,99,94,119,46,80,3659,2569,2159,2048,361,345,352,366,389,214,122,8917,60,126,243,41,73,98,84,90,56,57,939,8,6,12,5,3,0,0,0,0,3,39,2636,2283,2299,412,419,450,451,485,271,181,9890,0,0,0,0,0,0,0,0,0,0,4,4287,3016,2921,540,514,551,544,597,319,261,13555,3445,887,577,96,91,61,50,51,26,89,5370,3627,976,712,117,117,109,92,71,40,82,5946,390,208,242,47,51,61,73,62,38,65,1237,16,7,3,0,0,0,0,0,0,0,23,4038,1195,958,168,172,167,160,133,73,144,7208,0,0,0,0,0,0,0,0,0,3,3,7478,2073,1537,262,264,230,212,182,98,236,12580,3248,333,117,15,18,12,12,6,3,54,3822,3227,263,99,17
CED107,316,70,119,69,77,79,38,26,914,0,0,0,0,0,0,0,0,0,138,142,240,143,455,101,143,96,93,101,53,188,1610,508,148,112,13,32,17,16,5,11,34,901,154,141,275,57,62,37,21,22,13,14,800,7,21,23,4,3,3,7,6,3,3,87,0,0,3,0,0,0,0,0,0,0,5,163,161,305,65,65,42,28,27,19,17,897,0,0,0,0,0,0,0,0,0,86,87,674,308,415,78,91,65,39,35,28,141,1883,1164,84,79,13,16,17,7,3,7,60,1453,300,100,88,10,16,10,7,7,5,15,547,18,8,9,4,0,3,7,5,7,3,70,6,0,0,0,0,0,0,0,0,0,3,324,110,93,19,19,10,7,11,13,20,621,0,0,0,0,0,0,0,0,0,64,64,1490,195,176,35,34,34,14,11,12,137,2139,1483,47,45,10,11,5,0,4,8,59,1657,304,33,23,0
CED108,3591,532,592,665,640,536,320,193,10923,3,0,3,0,3,0,0,0,0,18,26,3473,1978,3876,584,658,728,687,592,350,283,13208,1198,301,237,32,33,36,23,16,12,52,1944,3308,2758,3055,372,295,253,234,171,103,125,10681,135,156,260,56,50,35,54,49,23,17,844,23,31,26,3,3,5,3,4,0,6,111,3473,2939,3341,425,352,299,302,224,131,149,11634,3,0,4,0,0,0,0,0,0,7,10,4667,3247,3582,459,384,332,321,239,144,207,13586,1720,226,130,19,13,11,4,3,6,68,2205,5118,1440,1037,121,100,82,63,52,16,135,8159,419,189,187,37,46,55,47,29,42,53,1096,55,9,8,3,0,0,0,0,0,0,84,5590,1642,1234,158,139,136,114,86,57,190,9344,4,0,0,0,0,0,0,0,0,6,12,7325,1865,1366,178,160,143,116,90,66,255,11561,1905,88,40,0,7,4,3,4,3,69,2125,5246,500,256,47
CED109,611,118,133,175,169,151,80,47,2328,0,0,0,0,0,0,0,0,0,0,0,972,495,909,199,208,266,251,190,112,82,3678,1007,472,325,61,63,44,50,34,19,62,2126,1038,575,528,68,76,71,67,53,28,42,2567,25,34,50,8,18,17,12,23,10,3,196,5,0,3,3,0,0,0,0,0,3,22,1070,614,581,82,92,87,83,82,47,54,2783,0,0,0,0,0,0,0,0,0,0,10,2081,1083,907,145,156,131,127,113,61,114,4919,1994,223,166,24,28,14,14,11,6,56,2549,2029,315,140,39,32,15,19,8,10,64,2661,168,60,59,12,7,3,9,17,9,13,352,16,0,0,0,0,0,0,0,0,0,17,2204,371,199,54,40,18,28,21,19,75,3028,3,0,0,0,0,0,0,0,0,3,9,4202,592,364,78,67,28,40,35,32,136,5588,1937,65,52,10,7,12,0,3,0,46,2147,2215,72,36,6
CED110,289,50,77,60,94,97,50,26,868,0,0,0,0,0,0,0,0,0,11,11,265,139,456,95,132,99,128,143,68,61,1589,650,211,183,24,35,26,25,21,10,40,1227,162,157,214,37,47,46,41,36,16,24,777,13,10,36,4,10,16,12,16,14,0,131,0,0,0,0,0,3,0,0,0,0,6,176,168,252,44,61,62,50,48,26,22,911,0,0,0,0,0,0,0,0,0,11,17,824,381,438,72,89,91,73,72,36,76,2154,1549,187,161,18,24,20,17,9,4,83,2069,274,99,97,15,17,4,9,18,3,16,554,26,13,27,11,13,13,9,9,10,0,117,4,3,0,0,3,0,0,0,0,0,14,303,115,124,23,34,16,18,27,9,19,690,3,0,0,0,0,0,0,0,0,10,9,1855,297,282,39,55,34,36,30,14,120,2775,2266,126,70,8,8,7,0,5,3,78,2580,362,38,25,3
