CED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
CED101,3,33,63,114,178,332,514,448,99,1785,12,57,247,955,528,805,248,77,15,2942,29,82,172,1053,302,226,135,78,27,2107,14,48,134,748,273,179,102,42,8,1545,0,4,12,85,32,35,13,4,0,179,3,6,19,71,39,27,7,11,0,181,8,10,4,104,62,45,50,34,13,329,0,15,7,76,93,156,266,266,97,973,3,25,15,151,70,30,12,0,0,301,3,23,51,207,113,67,46,31,4,555,10,29,97,637,651,505,363,152,32,2480,6,37,66,410,159,216,121,48,9,1068,0,0,0,14,15,60,102,56,27,263,0,0,11,49,47,52,31,21,7,219,0,3,7,33,32,14,14,3,6,123,16,75,729,2134,47,54,18,6,0,3079,0,0,5,17,12,18,30,30,16,135,19,169,393,860,484,362,159,45,14,2503,0,3,0,9,19,17,28,13,4,91,8,28,40,182,33,37,10,0,0,335
CED102,11,62,88,270,341,729,1646,1825,491,5463,20,45,224,941,371,586,221,69,17,2489,113,134,159,1955,223,135,88,51,30,2888,4,41,244,1052,282,209,149,42,10,2030,0,17,19,179,26,26,11,4,0,288,0,4,15,62,29,22,10,3,0,148,4,29,20,235,79,34,45,18,7,481,4,12,41,185,128,271,526,700,298,2165,0,9,50,255,94,35,17,10,0,474,4,14,65,354,100,64,42,28,4,675,13,73,142,1068,1026,815,507,214,67,3933,7,14,91,527,146,202,124,42,10,1164,0,0,0,8,13,62,135,82,43,345,0,0,3,63,21,22,15,18,6,148,0,0,16,45,24,23,15,10,0,133,22,146,1539,4243,116,69,13,3,0,6157,0,0,3,35,20,11,30,12,11,113,17,136,329,1043,470,406,145,34,20,2598,0,5,3,38,7,6,4,8,0,75,4,25,53,221,41,32,3,0,0,382
CED103,0,11,9,24,33,67,135,138,40,457,41,112,454,1782,786,1334,492,109,32,5141,193,355,486,3829,641,469,204,113,42,6344,3,44,233,774,220,175,95,47,16,1625,14,53,83,957,259,270,186,79,37,1934,16,19,11,87,57,31,20,22,0,267,8,24,16,173,104,67,48,31,18,481,10,17,27,153,149,296,492,506,245,1887,7,53,74,305,143,60,43,6,3,699,73,409,996,3442,1310,877,390,140,37,7676,3,14,12,196,246,263,235,130,41,1135,25,85,208,868,343,376,297,101,16,2317,0,0,0,5,10,33,63,37,16,170,0,0,20,35,26,29,22,12,11,152,0,0,30,85,45,45,37,16,11,279,6,6,92,397,17,4,3,0,0,514,3,7,14,31,34,24,47,38,21,223,27,169,257,635,391,343,183,65,29,2102,0,0,0,17,16,12,13,13,3,66,27,50,86,349,48,28,11,4,0,602
CED104,0,4,0,7,21,23,50,50,5,167,10,73,218,504,408,762,244,58,22,2299,23,227,321,1536,878,524,269,136,50,3964,0,12,55,190,110,90,60,21,10,553,7,34,59,401,201,175,102,37,16,1025,0,0,5,24,11,7,7,4,0,63,0,21,15,98,107,66,54,32,16,418,0,7,10,33,77,208,274,227,103,940,8,32,35,106,72,36,23,14,0,331,10,132,214,695,438,298,123,51,10,1963,0,0,17,127,177,164,133,102,31,751,3,86,162,368,295,395,287,92,16,1699,0,0,0,7,20,47,61,30,11,172,0,3,0,20,29,35,3,12,3,104,0,0,4,33,30,32,12,12,3,122,3,4,27,140,20,8,5,0,0,215,0,20,27,50,73,58,111,59,30,426,9,131,226,517,505,436,254,109,33,2218,0,3,3,22,29,26,13,20,10,117,3,23,46,137,91,53,20,8,0,384
CED105,0,11,21,67,104,190,387,322,65,1167,0,18,101,306,130,177,52,19,3,811,99,184,458,2030,260,164,115,58,31,3403,9,41,66,351,142,93,54,22,3,781,13,81,178,388,53,47,12,11,3,781,15,127,302,933,482,182,50,23,8,2130,0,3,3,36,16,23,45,18,10,152,0,4,8,26,78,168,349,389,181,1208,0,3,5,45,19,6,4,6,3,98,11,54,204,855,318,248,134,89,8,1921,38,190,526,3399,2535,1999,1254,452,124,10519,14,34,106,305,85,116,63,17,3,743,0,0,0,10,3,42,90,85,28,265,0,6,6,60,36,55,31,30,9,235,0,18,64,297,142,109,37,17,6,685,7,47,731,1985,49,22,10,4,0,2854,0,4,8,9,3,4,11,20,17,84,56,290,368,685,242,168,81,14,4,1918,0,0,0,0,4,3,13,5,0,33,123,398,698,2319,324,140,25,6,0,4039
CED106,0,0,0,10,20,23,33,41,8,133,62,237,417,1337,682,913,473,162,38,4316,110,293,213,2231,582,351,260,134,66,4246,4,30,78,432,132,99,104,53,16,936,21,112,66,1026,333,244,135,56,23,2014,0,0,0,12,9,7,7,0,0,46,5,44,18,138,125,72,58,28,14,503,0,5,10,43,58,89,133,153,79,572,44,161,123,497,296,142,83,31,12,1395,46,343,532,1845,826,428,212,86,20,4333,0,0,4,36,61,56,49,33,7,252,12,85,138,678,371,342,269,93,21,2008,0,0,0,3,3,19,10,3,4,45,0,4,3,36,16,24,19,3,5,101,0,3,0,29,37,10,14,21,9,116,3,29,160,574,37,17,12,0,0,831,6,50,31,59,80,46,88,59,32,453,22,219,360,551,642,478,298,172,77,2816,0,0,0,19,38,15,23,18,4,117,17,20,12,155,37,39,14,8,0,304
CED107,0,0,0,8,11,14,31,22,9,97,0,9,10,16,15,25,5,0,0,86,15,54,38,455,46,40,35,13,0,695,0,9,5,17,12,7,11,5,3,69,0,3,7,38,14,4,0,0,0,66,0,0,8,24,13,4,3,0,0,62,0,20,0,66,28,18,39,18,4,207,0,0,0,11,25,59,70,53,28,253,0,3,9,20,10,9,3,3,0,60,0,8,14,76,8,5,3,0,0,116,0,0,12,18,20,22,6,3,5,84,0,3,7,49,34,20,11,4,0,139,0,0,0,0,8,29,24,8,0,77,0,0,0,10,3,4,3,0,0,16,0,0,3,8,0,0,0,3,0,19,0,14,14,123,15,0,0,0,0,165,0,0,6,20,29,67,143,83,32,374,10,73,130,458,352,294,201,70,21,1613,0,4,0,4,11,16,22,12,3,67,0,11,5,51,5,4,0,0,0,76
CED108,3,10,19,25,30,66,111,81,22,360,4,7,21,90,41,78,28,5,3,275,88,592,1003,5814,962,575,292,115,34,9473,3,4,37,229,118,121,61,15,14,604,0,38,62,194,70,62,37,16,4,483,12,94,242,563,268,149,60,23,3,1406,3,23,5,51,29,44,59,26,3,242,0,4,12,32,63,92,157,120,43,528,4,5,7,23,8,3,3,0,0,60,0,13,38,149,83,89,47,21,7,452,0,10,38,286,196,205,131,46,13,926,7,18,22,120,59,93,46,11,7,383,0,3,4,43,76,321,469,239,79,1225,0,4,11,72,50,86,67,37,13,349,0,9,33,140,92,50,34,9,4,362,3,40,87,414,36,14,6,3,0,594,0,3,5,15,10,53,81,54,29,246,125,683,1090,1861,572,360,143,33,4,4866,0,0,0,9,13,15,26,14,8,90,91,320,374,1390,393,180,68,20,5,2835
CED109,9,58,28,109,174,400,608,543,138,2066,7,16,27,182,110,163,88,30,3,629,15,35,52,331,120,68,70,47,19,754,0,13,14,157,64,51,52,21,9,375,4,8,0,57,21,10,8,3,0,117,0,0,0,31,21,17,9,0,3,72,3,39,14,191,87,56,43,38,23,488,0,0,13,72,86,173,276,280,93,1003,0,11,8,78,43,20,11,0,3,176,0,7,16,68,28,25,10,6,0,164,0,3,11,155,164,130,113,41,20,631,0,10,22,88,67,98,88,29,7,399,0,0,3,10,13,50,130,84,33,317,0,0,0,11,23,23,6,6,5,74,0,0,0,15,14,3,6,3,0,37,0,12,21,89,11,3,0,0,0,128,0,7,5,40,26,29,80,45,33,264,21,102,187,831,427,357,182,68,37,2209,0,0,6,17,26,17,31,16,9,118,0,12,16,36,17,11,3,0,0,86
CED110,0,3,0,5,11,10,8,8,4,49,3,4,9,24,17,23,14,9,0,104,22,42,28,365,45,58,65,21,11,657,0,0,0,25,15,10,14,3,4,81,0,12,17,10,5,0,3,0,0,61,0,0,3,6,7,3,0,0,0,18,3,19,5,114,41,39,63,22,14,323,0,4,6,18,18,27,91,54,26,250,0,20,13,39,21,10,3,0,0,113,3,4,14,46,10,4,0,0,0,77,0,0,0,6,6,4,9,4,3,39,20,23,10,44,42,36,13,9,3,187,0,0,0,0,6,23,53,21,4,110,0,0,0,3,9,6,0,3,0,22,0,38,62,150,44,13,6,5,3,314,0,4,3,22,3,3,0,0,0,33,0,0,7,24,34,94,199,128,51,536,7,64,97,466,422,483,346,165,50,2092,0,4,0,24,26,12,33,36,6,141,3,25,21,17,8,3,0,0,0,81
