CED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED101,6916,14083,3539,474,25007,4604,621,30239,579,611,309,43,1545,1123,63,2725,1298,2781,888,85,5054,1181,192,6422,1879,3392,1202,125,6594,2300,255,9150,442,416,237,27,1128,1240,112,2484,1151,1302,710,98,3265,1444,266,4971,1433,1348,618,140,3529,1452,456,5438,17,5,4,0,24,24,4,49,3042,3074,1569,265,7948,4160,838,12944,0,3,0,0,7,0,0,7,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,54,73,39,3,169,83,16,277,54,78,43,3,178,85,16,284,31,50,17,3,101,41,10,144,11924,20672,6367,871,39829,11195,1744,52765
CED102,6248,12554,3330,459,22595,4041,924,27561,688,1167,404,48,2307,876,165,3355,499,1195,356,38,2085,484,114,2687,1188,2361,764,87,4396,1365,276,6034,635,528,310,64,1537,1045,259,2834,1395,1355,646,125,3520,1664,433,5611,4765,3574,1201,353,9898,3428,1801,15131,38,34,23,0,100,55,13,167,6829,5501,2181,546,15055,6190,2505,23749,12,3,0,0,13,52,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,78,40,13,210,113,50,373,86,88,40,14,225,159,55,438,52,37,22,4,109,100,20,235,14398,20542,6332,1106,42379,11863,3775,58015
CED103,6813,15113,2985,422,25337,4090,997,30427,714,1076,356,40,2180,920,122,3222,1283,2307,589,72,4251,1408,292,5953,1997,3380,948,116,6432,2331,415,9182,358,253,140,32,779,946,62,1795,2039,1862,703,202,4813,2886,733,8425,2732,2014,579,192,5518,2027,791,8327,8,5,0,0,18,13,0,30,5130,4136,1425,424,11124,5868,1588,18579,3,0,0,0,3,4,0,8,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,28,30,10,0,71,40,14,129,33,35,13,0,77,47,14,146,49,74,23,0,147,92,17,260,14028,22740,5396,966,43126,12429,3033,58587
CED104,9867,21080,3306,330,34582,4225,511,39324,368,173,75,8,629,631,16,1272,575,1117,401,24,2122,551,52,2721,942,1294,482,33,2744,1182,66,3989,236,121,64,3,426,629,14,1075,197,133,43,9,386,410,31,825,111,59,17,4,192,136,8,331,3,5,8,0,15,30,4,47,552,324,131,16,1022,1208,55,2285,12,9,3,0,23,12,3,33,15,7,3,3,31,34,7,74,0,8,0,0,9,5,0,7,17,22,7,0,48,13,3,64,41,38,17,3,103,70,10,175,41,51,20,0,108,61,4,178,11443,22788,3946,380,38561,6744,651,45955
CED105,5297,14316,4297,566,24483,4296,912,29689,236,449,215,33,930,582,48,1559,908,2581,934,80,4501,817,202,5516,1138,3029,1146,118,5430,1399,249,7081,645,1000,440,67,2152,1480,318,3948,943,1837,760,116,3661,1260,353,5272,824,1429,448,92,2789,612,304,3710,22,50,13,3,90,33,9,133,2433,4313,1660,283,8687,3391,987,13063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,9,3,0,15,45,105,47,12,204,65,22,296,43,111,52,12,217,63,24,313,41,58,23,3,133,79,8,225,8961,21828,7185,979,38948,9233,2178,50367
CED106,7936,18869,2728,285,29820,3676,448,33949,134,123,44,3,309,193,31,536,578,570,185,15,1346,618,32,2005,718,692,225,20,1650,816,67,2537,548,286,162,27,1021,981,75,2071,1105,1103,515,100,2818,1533,236,4590,2802,3343,1070,169,7378,2521,402,10298,0,0,0,0,3,0,0,3,4454,4727,1748,291,11220,5032,708,16968,0,0,0,0,4,0,0,4,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,10,4,0,24,17,9,44,8,13,5,0,32,17,9,49,22,22,11,3,53,56,7,122,13143,24323,4723,598,42782,9593,1244,53619
CED107,14727,15869,6073,431,37100,12310,1377,50786,512,235,365,33,1145,1944,173,3264,78,50,96,5,229,361,46,628,595,280,461,37,1377,2300,225,3898,206,94,121,22,443,1067,80,1589,6,4,3,0,13,70,3,88,8,0,0,0,14,12,0,21,0,4,0,0,4,3,0,8,221,97,128,22,468,1155,84,1703,13,9,3,0,27,102,0,134,9,11,4,0,25,44,0,73,12,12,4,0,24,18,0,37,190,162,66,10,432,185,19,636,223,191,79,10,507,347,24,881,106,85,26,3,221,332,20,566,15869,16521,6771,510,39672,16436,1730,57831
CED108,7733,19043,7374,651,34803,5791,945,41540,303,728,308,32,1376,580,60,2024,591,2044,854,78,3563,662,95,4320,894,2769,1163,113,4946,1243,157,6341,73,59,60,11,205,449,6,662,87,116,61,13,282,213,27,525,209,362,158,30,755,244,43,1042,4,4,0,0,16,9,0,27,372,539,286,52,1253,919,80,2248,10,3,0,0,11,14,0,27,25,3,18,0,52,73,3,128,0,6,9,0,20,21,0,41,15,40,17,0,75,14,3,96,55,61,43,3,158,123,8,286,21,61,21,0,104,48,18,164,9079,22473,8889,817,41260,8125,1201,50580
CED109,6713,13684,2669,279,23343,3767,423,27535,639,486,246,23,1393,1186,61,2644,1639,1646,687,59,4024,1638,126,5787,2271,2130,936,82,5418,2820,187,8428,641,324,251,22,1241,1329,140,2711,1713,1026,821,98,3665,2583,394,6634,1454,756,462,74,2751,1988,232,4968,0,3,0,0,4,8,3,13,3806,2115,1535,198,7658,5900,768,14327,11,3,3,0,17,25,4,41,8,0,4,0,14,18,0,35,0,0,0,0,0,0,0,0,37,51,21,0,109,69,14,190,62,53,23,0,140,104,20,269,43,34,13,3,86,53,5,147,12902,18016,5177,562,36653,12636,1413,50704
CED110,15252,12735,6120,390,34496,10445,1443,46378,1127,363,617,42,2143,2429,185,4765,592,279,344,22,1231,832,116,2181,1719,638,958,61,3378,3265,296,6947,703,270,556,40,1578,2506,231,4316,171,60,115,11,357,492,59,912,400,70,90,6,571,643,87,1308,0,0,0,0,6,11,4,18,1277,407,769,60,2512,3653,378,6547,90,10,6,0,115,242,10,366,170,19,29,5,227,404,19,650,5,7,3,0,12,19,3,40,30,16,17,3,67,48,14,125,300,52,60,12,419,713,43,1174,154,105,45,3,301,223,30,555,18694,13941,7959,518,41111,18302,2190,61604
