CED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
CED101,3,5,8,7,5,6,7,329,15,184,361,242,45,13,11,16,0,10,11,11,5,3,38,973,0,0,0,3,14,69,91,48,8,22,3,5,12,6,16,301,0,0,3,15,63,124,157,88,14,17,16,15,20,15,14,555,0,33,88,600,522,576,322,121,31,12,19,35,22,12,87,2480,0,0,16,70,158,303,211,130,27,21,26,29,25,21,33,1068,0,117,72,41,15,9,0,0,0,0,0,0,0,0,15,263,0,43,32,15,8,4,17,7,3,0,0,0,0,0,3,135,12,14,36,141,359,455,715,292,104,60,66,52,60,37,98,2503,0,0,0,5,6,52,53,64,19,23,23,34,35,18,4,335,0,0,9,54,212,509,385,351,76,103,101,131,110,69,55,2162,0,28,16,11,71,47,38,14,3,7,3,0,10,0,8,261,0,0,10,28,44,54,65,52,6,10,9,6,10,3,0,298
CED102,38,39,31,14,13,9,15,481,5,356,896,451,61,35,51,41,14,19,26,37,23,6,142,2165,0,0,5,5,22,96,137,67,9,20,14,25,26,23,24,474,0,0,0,8,80,118,159,117,25,25,37,24,21,24,37,675,3,44,162,866,862,897,440,231,28,57,37,45,52,20,192,3933,3,0,22,60,179,260,238,129,25,51,34,29,63,41,39,1164,3,125,130,44,22,5,3,0,0,0,0,0,0,0,11,345,0,28,16,16,16,5,18,9,0,3,0,0,0,0,0,113,7,9,36,120,365,453,775,358,83,64,78,54,60,43,102,2598,0,0,0,3,17,34,66,73,13,40,22,21,44,25,14,382,0,0,6,73,262,696,480,572,137,162,188,166,158,125,94,3117,0,13,13,7,64,48,37,50,15,17,17,24,20,18,9,347,0,0,6,26,55,75,125,54,13,19,13,11,16,10,7,434
CED103,13,17,11,14,4,11,20,481,13,412,658,412,52,29,37,36,19,24,30,29,23,15,102,1887,0,8,4,11,44,136,221,107,31,24,12,28,30,28,21,699,0,0,0,42,484,1382,2224,1626,256,272,301,293,339,183,260,7676,3,44,105,347,247,195,74,45,8,3,13,4,3,0,38,1135,0,7,32,150,404,600,380,258,63,66,67,78,105,62,48,2317,0,68,55,24,14,3,0,0,0,0,0,0,0,0,8,170,0,42,47,28,18,17,28,13,0,3,7,5,3,0,9,223,15,13,63,183,358,350,515,223,60,59,58,61,55,18,72,2102,0,0,0,5,20,35,87,90,31,52,38,58,105,43,13,602,0,0,4,71,227,503,367,520,126,153,139,166,154,52,65,2546,0,3,11,10,120,79,39,33,3,5,11,14,10,0,5,341,0,3,8,46,107,134,188,101,25,22,27,37,28,33,21,779
CED104,7,6,4,4,8,0,11,418,16,223,374,189,27,12,17,20,0,0,3,6,0,3,43,940,0,0,0,14,32,74,99,54,4,6,7,3,3,3,19,331,0,0,0,22,167,443,681,401,57,35,39,52,23,14,31,1963,0,58,141,206,98,121,64,16,5,3,0,5,6,0,26,751,9,9,47,154,304,489,261,191,44,58,29,32,33,16,29,1699,0,62,52,31,16,3,4,0,0,0,0,0,0,0,6,172,0,81,91,49,36,29,75,36,4,0,0,3,6,0,12,426,18,21,90,270,459,405,526,211,30,44,26,34,12,9,57,2218,0,0,0,14,36,91,111,35,13,11,16,21,3,20,9,384,0,0,6,88,187,338,238,145,26,42,36,16,41,31,23,1218,0,12,15,14,153,92,29,15,3,3,0,3,3,0,7,350,0,3,13,45,86,137,150,113,13,18,3,19,18,13,19,656
CED105,0,0,3,0,0,0,7,152,4,249,492,318,35,14,17,8,3,3,4,5,5,0,64,1208,0,0,0,3,11,20,37,4,0,0,3,5,3,3,3,98,0,0,0,21,169,311,557,333,65,88,76,75,95,66,55,1921,6,57,227,2045,2055,2168,1787,877,157,157,166,176,132,63,439,10519,0,0,8,25,91,137,115,47,17,24,41,52,44,62,68,743,0,107,88,28,15,3,4,0,0,0,0,0,0,0,23,265,0,25,20,5,0,4,8,8,0,4,0,0,0,0,6,84,0,4,16,58,186,304,528,245,73,58,114,83,77,21,155,1918,0,0,0,8,51,237,581,639,207,434,521,505,505,254,102,4039,0,0,7,41,193,666,390,252,68,77,82,64,63,29,56,1982,0,72,61,30,71,59,30,3,0,3,9,3,0,3,23,369,0,0,0,18,19,31,30,16,4,0,0,11,14,6,0,158
CED106,17,22,11,3,16,4,20,503,15,134,205,85,17,18,30,22,3,5,4,3,6,4,25,572,0,0,15,38,99,264,318,134,49,61,73,97,113,69,69,1395,0,0,4,34,255,833,1209,968,155,149,172,164,144,117,128,4333,0,20,36,83,52,34,14,7,0,0,0,0,0,0,5,252,10,6,53,185,402,459,324,289,53,22,49,56,37,29,40,2008,0,9,16,13,5,4,0,0,0,0,0,0,0,0,0,45,5,80,55,27,48,29,53,66,10,3,13,23,11,12,14,453,28,47,141,329,413,450,689,295,72,68,60,49,63,27,81,2816,0,0,5,14,33,39,36,26,14,21,18,35,35,21,3,304,0,0,14,61,136,271,241,276,80,95,95,73,77,68,35,1517,0,23,25,20,88,77,47,17,0,3,10,7,3,0,6,327,5,11,30,41,109,139,249,184,29,32,47,45,39,13,19,999
CED107,7,11,12,3,3,3,10,207,3,45,83,67,4,5,3,0,0,3,3,0,3,0,22,253,0,3,3,3,4,10,22,3,0,0,0,4,6,0,0,60,0,0,0,0,4,12,18,25,0,7,11,9,7,3,16,116,3,3,4,22,8,8,13,0,0,0,0,0,0,0,27,84,0,0,8,29,19,16,28,15,3,0,3,0,3,0,13,139,0,26,23,13,3,0,0,0,0,0,0,0,0,0,4,77,0,147,105,54,33,18,8,0,0,0,0,0,0,0,8,374,5,14,51,210,328,274,243,159,25,56,26,22,22,17,150,1613,0,0,0,0,0,9,4,25,6,4,0,3,5,7,0,76,0,0,5,5,48,97,104,109,27,34,31,25,50,4,45,589,0,39,20,5,20,10,3,0,0,3,0,0,0,0,8,103,3,0,3,5,7,8,9,7,0,0,5,0,0,0,3,59
CED108,12,14,9,0,0,8,0,242,0,74,179,168,36,5,18,5,0,0,3,0,8,0,33,528,0,0,0,3,0,10,12,7,5,7,0,3,0,4,4,60,0,0,0,10,55,130,144,69,14,6,4,7,4,5,6,452,0,5,22,207,169,226,145,68,23,9,9,5,6,3,35,926,0,0,17,26,55,110,75,44,3,8,4,20,4,3,14,383,0,302,437,290,107,34,11,3,0,0,0,0,0,0,43,1225,0,75,102,28,15,4,7,0,3,0,0,0,0,0,8,246,0,0,23,97,417,844,1479,776,130,211,235,162,163,66,248,4866,0,0,0,9,62,327,715,652,166,190,154,205,164,124,72,2835,0,0,12,159,1068,5583,3473,2389,445,414,368,398,358,224,279,15154,0,119,46,28,125,126,29,7,4,6,0,0,3,3,25,524,0,0,8,14,7,42,39,22,3,7,3,5,7,3,3,167
CED109,14,25,14,5,13,4,12,488,8,218,411,194,31,12,18,11,6,5,15,11,10,6,38,1003,0,4,4,8,9,43,48,31,10,7,4,0,4,3,3,176,0,0,0,0,30,43,39,24,7,3,3,0,0,3,4,164,0,30,62,177,129,121,50,21,5,3,5,3,3,9,24,631,0,0,21,64,101,105,44,24,3,8,3,3,4,0,10,399,0,144,95,36,17,8,4,3,0,0,0,0,0,0,13,317,0,95,56,28,18,12,18,13,3,3,3,0,0,3,7,264,17,25,57,199,328,406,552,261,62,71,32,49,46,26,79,2209,0,0,0,5,3,14,15,7,3,13,7,6,5,11,4,86,0,0,10,39,124,209,170,134,32,31,21,33,26,17,37,890,0,17,12,8,64,52,52,13,5,9,4,7,7,0,9,257,0,0,11,22,40,35,37,14,3,4,4,3,3,0,3,205
CED110,13,18,7,3,6,9,3,323,4,73,77,38,6,4,3,8,0,6,0,5,3,0,20,250,0,0,0,6,0,13,28,26,3,9,4,4,7,0,10,113,0,0,0,0,0,6,17,23,3,3,0,3,3,9,3,77,0,9,8,17,0,4,3,0,0,0,0,0,0,4,0,39,3,6,20,25,24,13,14,20,8,5,4,16,17,4,8,187,0,54,38,8,3,0,0,0,0,0,0,0,0,0,3,110,4,204,142,57,47,12,26,19,0,0,0,3,0,0,23,536,11,28,106,306,568,359,331,138,27,47,32,8,23,13,96,2092,0,0,0,0,0,3,8,7,6,3,7,18,9,8,0,81,0,0,3,11,66,119,99,91,35,17,28,41,28,14,35,592,0,14,15,11,24,3,8,3,0,0,0,0,3,0,7,92,0,4,11,11,10,0,9,10,0,3,3,3,0,0,3,63
