CED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED101,5672,19934,17431,5391,2706,51148,1617,52765
CED102,8467,25024,15818,4496,2132,55934,2079,58015
CED103,6074,24319,19249,5101,2316,57062,1521,58587
CED104,1701,12838,19037,6927,4496,45002,954,45955
CED105,5884,18159,15439,5493,3061,48029,2331,50367
CED106,3840,19738,20670,5783,2478,52503,1114,53619
CED107,3630,18817,20967,7616,4193,55221,2609,57831
CED108,4441,17480,17441,6065,2988,48408,2168,50580
CED109,3631,17605,19140,5567,3233,49183,1523,50704
CED110,4081,24467,21391,6115,2790,58851,2753,61604
CED111,5486,20506,19519,6048,3093,54653,2114,56765
CED112,3630,19347,19460,6575,3698,52712,2273,54982
CED113,2320,17829,20558,7574,4291,52568,2232,54799
CED114,3656,20197,22098,7498,4029,57482,2847,60325
CED115,5521,16679,14648,6009,3355,46217,2030,48247
CED116,2783,21822,20983,6369,3183,55146,2517,57667
CED117,9691,28020,13922,2539,918,55093,1776,56867
CED118,2878,16260,21424,6690,3217,50467,1552,52020
CED119,1957,13273,20097,6741,4041,46117,1076,47189
CED120,1777,12721,19653,8430,6057,48641,1673,50315
CED121,2760,17947,20976,7575,4222,53488,2126,55614
CED122,11211,26609,16856,3943,1659,60276,2525,62803
CED123,3668,17714,20101,7015,4404,52903,1920,54820
CED124,2828,20640,20200,6736,3521,53927,2494,56417
CED125,3273,16347,18789,6821,3981,49218,1685,50901
CED126,2803,15821,20688,6498,3494,49307,1519,50828
CED127,2664,16141,18342,6720,4655,48527,1391,49918
CED128,4303,16115,16869,6706,4136,48127,1888,50016
CED129,1376,12464,21739,7328,4033,46943,922,47861
CED130,3526,19287,20129,7139,3927,54003,2651,56655
CED131,5428,21870,21040,5946,2596,56884,1960,58846
CED132,8700,29717,17553,3575,1449,60997,1478,62469
CED133,3317,22023,21769,6925,3406,57439,2597,60035
CED134,4049,18613,19060,7047,3871,52641,3053,55700
CED135,8292,25954,17581,4545,2358,58730,2179,60905
CED136,2811,19361,21322,7008,3722,54222,2225,56447
CED137,7855,26914,18701,4516,2077,60063,1998,62053
CED138,3252,22397,21059,6046,2884,55630,2587,58217
CED139,3360,19037,20639,7317,4061,54419,2580,57001
CED140,4252,20302,18897,5834,2997,52283,1991,54272
CED141,3250,18883,20626,6577,3365,52698,1913,54618
CED142,31366,35173,9445,1184,477,77640,3457,81100
CED143,4887,23638,18321,4422,1889,53158,1370,54524
CED144,6692,21445,15889,4998,2747,51768,2350,54119
CED145,10390,25553,14743,2969,1153,54810,2006,56820
CED146,3108,13062,17660,7561,4607,46007,1911,47915
CED147,3089,18076,19921,7052,4005,52150,2073,54222
CED194,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0
