CED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED101,0,3,6,24,29,33,18,13,8,135,0,0,3,23,15,10,10,3,3,67,9,36,320,930,22,32,3,0,0,1360,0,0,0,7,3,15,13,15,14,68,5,78,188,440,233,194,76,30,8,1262,0,5,0,5,5,8,11,5,3,45,5,7,12,68,14,14,3,0,0,123,0,0,3,13,11,16,0,0,0,51,6,66,129,594,238,215,85,22,4,1357,0,0,8,48,13,16,24,15,15,141,0,0,0,12,21,35,27,25,13,136,4,19,19,36,31,33,16,8,0,169,0,8,13,81,46,32,27,13,6,234,0,0,0,9,24,27,17,10,3,90,0,3,16,47,29,26,16,10,8,138,3,6,19,142,27,24,12,3,0,239,8,15,31,239,76,42,16,0,0,421,0,5,19,139,172,186,129,73,16,732,0,0,3,19,12,12,12,10,0,65,3,37,19,65,23,26,15,4,0,194
CED102,0,0,0,32,7,6,7,3,8,72,0,0,3,23,6,12,8,7,0,60,11,70,669,1800,50,43,5,0,0,2648,0,0,0,23,8,4,12,3,3,56,6,73,155,487,220,192,73,14,13,1238,0,0,0,13,3,0,5,3,0,24,0,14,15,76,12,7,4,0,0,126,0,0,3,24,10,11,3,4,4,55,11,62,125,920,306,253,123,37,11,1839,0,3,6,98,9,22,6,17,8,171,0,0,0,37,22,40,28,10,9,147,0,12,31,90,25,36,19,9,3,227,0,4,12,76,33,22,20,12,3,177,0,0,0,13,15,39,30,16,11,124,0,0,5,44,10,15,7,4,3,93,3,3,32,209,33,35,10,0,0,334,7,16,68,552,92,72,15,3,0,816,4,17,30,223,262,397,378,241,64,1626,0,6,5,67,46,29,26,9,4,195,11,28,31,88,32,16,11,4,0,222
CED103,0,0,15,17,13,10,7,6,5,74,0,0,23,47,26,32,18,10,3,152,3,0,35,178,6,0,0,0,0,229,0,3,4,18,11,16,21,22,12,104,17,84,132,278,190,158,97,33,20,1006,0,0,0,3,9,3,7,3,3,32,12,32,28,149,19,10,4,3,0,257,0,0,3,18,21,15,6,7,3,73,12,89,89,749,226,197,80,24,22,1483,0,0,0,65,26,42,24,13,11,186,0,4,7,38,28,43,32,27,22,204,19,30,55,131,54,58,35,13,4,401,3,16,39,140,74,49,45,25,7,401,0,0,0,11,17,21,20,14,3,92,8,37,55,283,160,147,81,55,19,845,6,13,62,335,85,73,35,11,0,619,3,13,42,294,70,35,15,3,3,478,0,0,3,8,16,18,13,8,0,67,0,0,3,44,18,23,8,8,4,114,14,59,58,118,37,24,26,8,3,351
CED104,0,0,0,9,14,18,3,7,0,54,0,0,3,17,19,18,3,3,3,63,0,3,16,74,8,3,0,0,0,110,0,7,11,21,28,25,61,26,13,194,3,62,112,259,229,227,119,42,17,1084,0,0,3,9,10,12,8,8,3,55,0,11,18,82,40,20,8,9,0,185,0,0,0,21,23,20,11,4,0,75,3,20,52,245,154,155,82,30,9,740,0,0,3,60,26,63,27,7,12,196,0,14,11,40,61,57,64,35,28,301,9,38,48,66,74,65,48,12,5,359,9,101,146,307,224,143,70,38,17,1065,0,0,0,6,17,11,11,3,0,40,0,36,53,229,228,178,84,43,18,871,3,12,21,115,57,71,33,5,0,318,0,3,26,105,40,28,11,0,0,209,0,0,0,3,3,3,0,3,0,16,0,3,0,7,20,12,0,3,0,43,11,84,49,115,68,39,27,14,3,398
CED105,0,6,3,26,16,26,15,20,3,116,0,12,23,125,58,47,23,12,3,301,0,17,360,849,20,16,3,0,0,1267,0,0,4,3,3,3,3,10,15,38,24,155,189,342,118,71,46,11,0,959,0,0,0,0,3,0,6,0,0,18,57,192,186,740,115,60,10,3,0,1362,0,0,0,3,4,10,3,3,0,24,4,35,94,433,258,210,94,32,15,1174,0,3,3,23,10,25,34,47,69,219,0,0,0,4,7,28,22,18,16,90,3,6,9,31,14,12,8,8,0,91,0,3,4,19,16,15,14,3,0,72,0,0,0,3,9,21,18,14,3,74,0,17,45,176,87,65,49,26,11,476,0,0,31,202,26,22,4,0,0,293,3,19,45,196,42,36,3,3,0,341,0,3,16,83,118,161,139,78,18,619,3,12,45,299,368,200,130,73,11,1147,0,16,16,24,11,7,5,0,0,88
CED106,0,4,0,12,9,18,13,3,3,56,0,0,0,15,20,6,7,12,4,67,0,17,91,262,21,8,4,0,0,396,3,28,16,29,36,23,46,30,15,219,8,97,181,280,324,236,168,95,48,1435,0,0,0,7,20,11,11,8,3,66,3,9,4,70,19,18,9,6,0,144,0,0,0,33,52,42,24,24,9,195,12,56,53,461,142,125,51,12,12,921,0,3,0,54,24,54,26,18,12,190,0,22,23,42,77,54,45,42,27,324,18,89,69,126,78,83,41,19,0,514,16,160,272,603,504,396,169,97,48,2266,0,0,0,7,5,14,10,3,0,43,0,14,20,164,96,66,39,28,11,438,8,21,56,382,113,119,70,13,0,783,6,16,40,186,55,25,8,3,3,342,0,0,3,6,9,0,3,3,0,23,0,6,8,18,20,6,0,6,3,68,22,128,90,130,107,80,39,23,8,622
CED107,0,0,0,3,3,0,0,0,0,7,0,0,0,3,0,0,0,3,0,16,0,10,10,58,3,0,0,0,0,78,0,0,3,11,15,38,81,42,17,197,7,40,57,216,170,150,109,29,13,787,0,0,0,5,3,9,14,8,0,38,0,5,3,13,3,0,0,0,0,27,0,3,0,4,15,5,4,3,0,39,5,25,12,159,81,83,21,3,3,397,0,0,0,6,5,13,3,20,15,60,3,3,5,21,50,55,63,32,14,245,0,3,3,8,10,3,3,3,0,38,0,21,27,80,36,29,24,5,0,218,0,0,0,0,5,9,15,4,3,28,3,4,3,33,10,11,3,0,0,70,0,3,3,6,4,3,3,0,0,22,4,10,13,55,22,7,0,0,0,107,0,0,0,0,3,0,3,0,0,11,0,0,4,5,0,0,0,0,0,10,3,21,13,50,20,19,17,3,0,145
CED108,0,3,3,38,28,49,34,18,10,189,0,4,16,72,45,30,12,3,0,183,0,21,45,197,17,8,3,0,0,291,0,0,3,4,5,22,45,33,16,125,69,335,536,999,284,180,69,22,3,2488,0,0,0,3,9,8,15,3,3,42,41,166,172,665,172,76,25,8,0,1338,0,0,0,7,15,3,0,0,0,32,45,353,775,2964,1741,1491,659,172,114,8316,0,0,5,27,30,67,48,50,87,312,0,3,0,16,30,55,62,38,21,218,3,9,6,17,8,21,7,3,4,83,0,14,22,80,44,48,21,17,3,251,0,0,4,13,28,22,30,20,8,127,10,39,44,309,96,101,51,23,15,676,0,3,4,29,3,9,0,0,0,42,4,11,22,114,37,20,10,3,0,217,0,0,0,12,11,22,13,9,0,65,5,6,16,96,93,57,40,15,0,331,4,25,21,49,14,4,10,3,0,142
CED109,0,0,0,10,8,13,8,6,5,42,0,0,0,5,8,4,0,4,0,22,0,3,9,39,3,0,0,0,0,57,0,3,3,22,14,13,38,20,18,126,6,48,96,395,223,188,97,43,21,1120,0,0,3,5,9,7,15,10,3,57,0,3,3,15,3,4,0,0,0,37,0,0,0,17,9,8,3,0,3,38,5,20,32,230,145,114,44,13,4,606,0,3,5,67,25,23,10,12,9,154,0,4,0,44,57,53,63,43,19,282,0,13,9,25,12,20,21,4,0,117,0,16,31,124,78,49,43,15,6,361,0,0,0,4,20,26,14,14,3,76,0,0,0,17,11,4,3,0,0,44,0,0,0,30,16,18,11,0,4,83,3,7,20,161,50,23,9,0,0,272,0,4,13,63,95,77,53,20,6,332,0,0,0,21,25,16,16,7,0,95,3,22,31,81,34,27,24,7,0,227
CED110,0,0,0,3,8,6,0,0,0,17,0,23,34,85,20,9,0,0,0,166,0,3,0,10,3,0,0,0,0,15,0,0,3,17,20,48,97,64,32,285,4,28,46,230,234,257,183,81,33,1095,0,0,0,8,15,8,14,21,0,74,3,11,8,6,3,0,0,0,0,38,0,0,0,27,22,21,5,3,3,83,3,23,20,163,98,107,39,12,3,480,0,0,0,11,10,13,14,11,9,57,0,10,3,26,48,61,111,60,34,351,0,4,0,8,10,12,3,3,0,35,0,18,18,68,49,51,40,25,3,272,0,0,0,0,3,3,3,10,5,26,0,0,6,8,7,0,3,3,0,29,0,3,8,17,6,3,0,0,0,40,3,16,17,69,29,19,5,0,0,169,0,0,0,0,0,3,0,3,0,8,0,0,0,4,3,0,0,0,0,13,4,32,14,59,32,34,41,9,3,225
