CED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
CED101,0,0,3,33,107,87,138,31,24,4,3,8,6,3,16,470,0,0,10,19,21,62,59,30,11,13,9,10,4,6,9,261,0,0,0,3,51,78,184,136,14,25,30,35,32,13,30,628,0,3,90,737,130,253,131,43,9,8,9,16,11,10,29,1475,0,0,5,62,21,18,28,6,4,4,0,0,0,3,4,159,25,262,459,669,314,254,292,189,51,47,48,36,28,14,104,2793,0,0,7,36,42,48,68,62,13,15,19,16,14,14,6,366,0,0,3,28,948,705,291,233,40,39,67,62,41,9,64,2529,0,0,3,4,17,6,29,27,0,0,4,4,3,0,0,90,14,201,260,1087,842,1489,1684,1964,248,356,516,657,692,571,311,10879,101,1264,2666,5573,5522,11367,12384,8799,1523,1671,1990,2295,2216,1385,1869,60637
CED102,0,3,3,33,77,47,106,47,6,13,5,11,4,3,11,367,0,0,4,19,17,61,22,42,9,12,7,3,8,3,10,210,0,0,0,7,47,146,319,255,33,53,69,79,91,40,57,1196,3,4,293,1644,279,393,231,106,17,16,43,35,11,14,110,3199,0,0,6,108,66,77,67,36,8,3,12,9,8,11,10,419,17,124,274,491,276,312,403,273,78,71,96,54,69,23,83,2643,0,0,6,36,30,63,84,74,18,29,29,25,29,23,20,468,0,3,0,28,930,644,362,326,59,75,100,113,131,76,111,2954,0,0,0,0,3,8,38,36,0,0,10,0,0,3,3,104,15,197,417,1807,1252,1891,2435,4079,571,673,1314,1649,2002,1551,779,20625,81,1480,5382,8595,6819,12452,13705,12658,2319,2771,3639,4125,4627,3099,3250,84998
CED103,0,0,26,37,107,150,232,107,31,12,17,32,25,28,24,830,0,4,16,92,142,524,318,266,32,47,52,37,60,54,41,1694,0,0,4,14,46,92,184,136,20,36,40,31,38,18,31,678,0,3,13,55,5,9,6,3,0,0,4,0,6,3,11,125,0,0,3,67,36,41,28,23,5,3,4,3,4,4,3,224,30,266,477,772,480,483,605,327,83,109,84,53,67,39,108,3984,0,4,14,68,42,93,126,124,34,54,31,28,44,29,15,703,0,0,0,22,537,195,123,125,16,45,51,48,52,45,21,1281,0,0,4,0,9,11,38,33,15,10,6,7,11,9,6,158,20,158,264,895,862,1712,1542,1234,264,329,406,496,558,408,270,9419,116,1324,2479,4551,6412,14253,16151,12221,2645,3075,3436,4045,4516,2710,2560,80491
CED104,3,3,27,50,198,198,731,474,54,59,58,70,48,45,27,2050,0,0,22,69,115,647,423,223,27,26,38,36,24,17,30,1704,0,0,0,10,24,46,94,58,10,7,10,17,5,6,5,287,0,0,0,4,0,6,5,0,0,0,0,0,0,0,0,19,0,0,3,14,20,39,14,0,3,3,0,0,0,0,0,89,38,380,924,1431,861,857,1281,792,146,125,118,75,81,54,198,7371,3,6,22,78,61,111,187,134,24,22,35,33,42,15,28,790,0,3,0,12,252,91,54,29,11,3,8,10,28,9,12,523,0,0,4,11,32,25,70,39,4,3,0,0,9,4,0,207,18,217,271,736,669,1218,1143,676,92,112,79,83,86,62,161,5618,137,1340,2556,4349,4966,9642,11116,6260,988,1048,895,984,944,555,1194,46976
CED105,0,0,0,23,42,38,24,24,0,0,3,0,0,0,3,160,0,0,11,17,31,245,313,198,26,249,105,42,27,17,55,1331,0,0,0,3,31,91,110,108,11,17,19,43,32,17,20,503,0,0,76,642,128,169,137,26,14,0,0,13,0,0,33,1242,0,3,8,730,392,453,429,138,29,22,15,16,19,8,71,2322,20,140,265,313,114,83,68,41,4,9,12,6,6,10,76,1163,0,0,3,12,12,31,47,27,13,3,7,7,17,7,9,203,0,0,0,117,4385,4053,1820,1411,213,286,366,330,284,171,451,13888,0,0,0,0,0,4,24,28,6,6,4,4,3,0,4,86,5,218,228,1283,1280,1949,3641,3305,705,1049,1425,1219,1151,867,754,19070,45,1156,2327,6888,10244,14732,16152,12553,2364,3362,4053,3725,3412,2120,3367,86509
CED106,0,6,47,79,494,762,1424,776,166,76,121,137,143,81,74,4380,5,0,19,62,107,209,168,110,17,27,13,27,28,18,21,831,0,0,0,9,34,65,112,134,11,22,25,32,40,17,18,526,0,0,0,22,0,3,3,5,0,0,0,0,0,3,0,39,0,0,3,25,19,34,16,17,7,0,4,0,3,4,0,136,65,458,781,1269,839,1057,1853,1224,268,248,240,172,204,73,238,9002,8,10,30,120,111,153,312,170,44,61,49,40,63,36,45,1256,0,3,0,30,287,105,67,56,12,15,12,10,6,23,21,659,0,0,3,11,36,51,112,83,16,0,7,0,12,9,4,342,43,275,390,786,656,1447,1540,1362,189,244,282,347,298,252,218,8337,253,1413,2409,4308,5996,11649,15264,10983,2163,2314,2516,2619,2860,1720,1982,68457
CED107,0,0,11,15,39,48,108,115,17,40,10,13,3,7,12,436,0,3,0,3,4,20,17,40,3,7,16,4,3,3,4,137,0,0,0,3,0,25,34,45,7,9,3,7,14,6,4,155,0,0,0,15,0,0,0,3,0,0,0,0,0,0,7,26,0,0,0,0,4,0,0,6,0,0,0,0,0,0,7,22,46,405,784,1188,425,274,251,155,37,47,53,18,19,15,205,3917,0,3,16,50,26,36,50,48,4,14,12,11,7,10,14,288,0,0,0,0,23,21,22,23,17,3,8,11,6,5,46,185,0,0,3,4,14,5,39,49,11,4,22,0,3,0,4,158,11,117,158,346,152,142,266,262,50,53,25,46,55,48,160,1898,86,1055,1518,2302,1334,1240,1512,1514,309,456,325,261,293,186,946,13335
CED108,0,0,3,26,69,126,121,64,11,10,8,12,8,3,11,467,0,0,3,49,50,260,371,362,41,86,82,35,26,31,33,1421,0,0,0,0,24,47,95,68,9,13,14,3,6,8,14,305,0,0,5,58,20,18,8,4,0,0,0,0,0,0,13,116,0,0,0,202,99,111,132,41,11,4,9,10,11,0,15,651,9,190,631,1142,325,211,115,107,14,18,4,3,13,3,98,2882,0,0,4,33,18,19,80,53,7,11,13,5,11,8,12,283,0,0,0,3,214,185,52,43,5,13,6,12,7,4,28,575,0,0,3,0,0,6,43,29,3,5,0,0,3,0,3,101,8,150,249,1169,1202,2784,4121,2482,362,415,400,427,458,283,404,14900,25,1178,2106,4638,4913,14458,16755,12877,1990,2088,2173,2105,1978,1227,1911,70419
CED109,0,3,15,52,145,100,151,114,17,3,19,12,5,17,13,670,0,0,4,15,13,21,15,14,3,0,0,4,3,0,0,88,0,0,3,9,16,42,99,75,14,14,24,21,14,9,7,352,0,0,47,320,78,108,57,24,0,3,7,11,0,3,14,672,0,0,5,76,32,37,19,9,6,0,0,0,0,0,4,197,54,383,761,1128,517,456,653,491,119,105,126,113,71,43,148,5167,0,4,10,53,46,61,93,63,22,16,15,23,19,4,14,438,0,0,0,13,174,79,32,21,3,0,6,4,7,5,7,360,0,0,0,7,3,10,25,18,3,8,0,3,0,0,3,76,14,197,300,1147,744,838,923,647,109,156,151,210,159,108,172,5874,117,1581,3297,5038,3367,4770,4878,3015,642,703,689,689,619,382,919,30702
CED110,4,6,31,55,78,54,131,115,6,13,3,10,7,11,18,531,0,3,3,5,5,7,7,14,0,0,0,0,4,5,0,58,0,0,0,5,8,28,33,39,17,13,19,19,8,16,21,224,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,11,0,0,3,8,0,9,3,0,0,0,0,0,3,0,0,29,58,688,1441,1985,638,495,583,392,75,67,80,50,52,11,309,6919,0,6,11,80,62,48,74,73,11,3,25,20,18,9,14,455,0,0,0,3,12,16,13,19,6,7,3,11,10,0,5,109,0,0,3,6,26,9,31,19,3,3,3,0,3,0,0,108,10,131,271,436,218,240,313,378,98,147,160,148,183,111,103,2945,111,1515,2487,3423,2055,1746,2093,1857,361,466,463,454,473,276,797,18560
