CED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED101,61707,66685,128392,28248,17839,46087,8371,14707,23083,1611,1949,3556,2481,2338,4821,40711,36837,77546,18231,26849,45078,6.1,6.3,6.2,66,55.2,60.4,62,51.7,56.6,4245,4084,8331,759,1189,1948,10525,12379,22904,5354,7077,12431,11022,4720,15745,375,793,1169,1111,1895,3011,12509,7408,19919,60464,64160,124632,9716,10218,19934,41510,44396,85906,26008,27320,53330
CED102,71383,73902,145283,31464,20830,52297,10742,15477,26223,2024,2137,4161,3085,2761,5842,47319,41204,88523,19625,28150,47772,6.5,6.7,6.6,66.3,55.8,60.9,62,52,56.9,5753,5938,11694,896,1279,2170,13605,15283,28880,6191,7198,13380,9329,4315,13644,368,660,1032,1071,1637,2710,10774,6615,17386,64263,65968,130226,13930,13910,27842,41581,43344,84931,33546,33452,66996
CED103,67790,72757,140551,32294,21503,53795,8919,15613,24527,1618,2038,3654,2927,2666,5596,45746,41825,87568,19220,27939,47155,6.4,6.4,6.4,67.5,57.5,62.3,63.2,53.8,58.3,8754,8331,17086,1173,1873,3044,17065,18800,35865,5790,7523,13309,8077,3726,11804,340,610,947,996,1783,2779,9413,6115,15527,62669,66256,128926,14036,14647,28686,39805,42389,82198,34066,35534,69606
CED104,56798,60335,117135,28642,16570,45215,7760,16268,24034,1326,1724,3044,1774,1543,3321,39510,36108,75614,15124,21741,36865,4.5,4.3,4.4,69.6,59.8,64.6,66.4,57.3,61.7,5999,4984,10983,1240,1964,3203,12727,14527,27250,5221,7393,12609,9602,3853,13456,324,646,974,1078,1911,2996,11005,6416,17419,60016,62332,122343,6992,7299,14297,43536,45113,88644,21209,22319,43527
CED105,70150,67594,137741,25331,13698,39031,10401,11139,21540,2223,1665,3882,4271,3078,7349,42234,29575,71809,23374,33779,57154,10.1,10.4,10.2,60.2,43.8,52.1,54.1,39.2,46.8,2957,2496,5452,439,624,1063,8517,8802,17322,4911,6135,11046,9452,4493,13941,456,821,1276,999,1430,2431,10906,6742,17654,68391,67706,136094,12456,10521,22981,44916,45459,90376,31354,28150,59498
CED106,60504,67876,128377,29680,18199,47877,8230,16096,24335,1291,1715,3011,1990,1969,3958,41196,37983,79183,16938,27062,44000,4.8,5.2,5,68.1,56,61.7,64.8,53.1,58.6,9823,8121,17938,1459,2303,3762,18472,20365,38836,4902,7332,12229,4435,2362,6801,242,425,671,899,1731,2628,5580,4528,10106,60579,65626,126202,11455,12426,23886,38474,42202,80668,31022,33428,64447
CED107,64022,65239,129260,26921,14970,41889,6477,15399,21872,1868,2122,3989,2542,2027,4574,37799,34522,72321,20936,25480,46413,6.7,5.9,6.3,59,52.9,56,55.1,49.8,52.4,1385,1534,2919,653,1309,1965,4706,8107,12812,3706,6122,9825,17298,8157,25462,695,1345,2040,1074,2076,3157,19070,11581,30655,59381,60695,120075,10639,11261,21897,39827,39961,79794,26548,28566,55119
CED108,64277,67745,132022,29608,17904,47519,7418,11964,19384,1966,1972,3938,3275,3403,6683,42271,35248,77519,18293,28598,46888,7.7,9.7,8.6,65.8,52,58.7,60.7,47,53.7,2617,2505,5124,444,601,1048,7506,9784,17287,4697,5719,10419,11438,6449,17884,580,1123,1705,1069,1583,2647,13083,9155,22238,66409,68432,134841,10524,10757,21281,44370,45876,90250,28141,28960,57100
CED109,54634,59544,114180,27630,16648,44280,6510,14888,21397,1529,1939,3460,1378,1373,2752,37045,34844,71886,14753,21757,36511,3.7,3.9,3.8,67.8,58.5,63,65.3,56.2,60.6,2738,2645,5390,756,1254,2009,8493,10738,19229,5340,7608,12942,13415,4904,18323,368,789,1161,1210,2143,3353,14995,7836,22833,53846,57480,111326,7981,8381,16367,36837,39494,76324,22799,24398,47194
CED110,63151,68776,131922,19917,12372,32293,8234,15584,23813,1720,1817,3535,2719,2121,4844,32592,31898,64485,25637,31699,57334,8.3,6.6,7.5,51.6,46.4,48.9,47.3,43.3,45.2,1253,1380,2628,682,1252,1934,5165,7826,12997,4102,7175,11277,17186,8675,25862,764,1424,2193,1188,2339,3531,19141,12446,31582,57993,62042,120036,10873,12026,22897,38462,40629,79089,27795,30826,58622
CED111,62957,65269,128230,25856,14606,40467,7948,16430,24375,1682,1921,3603,2859,2311,5167,38344,35261,73610,21083,26449,47531,7.5,6.6,7,60.9,54,57.4,56.4,50.5,53.4,3775,3665,7438,993,1748,2735,8659,10708,19367,5098,6741,11839,15237,6627,21862,508,997,1505,1079,2003,3086,16821,9636,26457,59718,61371,121091,10652,10734,21387,41147,42435,83578,26713,27210,53915
CED112,58990,65122,124112,24934,13624,38559,6970,15796,22772,1617,2011,3625,2486,2367,4856,36012,33795,69810,19228,27056,46283,6.9,7,7,61,51.9,56.2,56.8,48.3,52.3,1109,1206,2311,480,944,1429,4208,6750,10956,4218,6728,10946,17076,8947,26028,577,1188,1761,1092,2032,3127,18750,12163,30911,57812,61526,119335,9907,10907,20813,37959,40091,78049,26771,29576,56345
CED113,59970,60931,120903,26624,16564,43188,7090,14313,21398,2048,2236,4283,1672,1379,3056,37437,34495,71925,17745,21677,39425,4.5,4,4.2,62.4,56.6,59.5,59.6,54.3,57,2490,2264,4749,957,1778,2737,5856,8711,14563,4429,6350,10777,15533,6745,22275,508,1126,1631,927,1787,2712,16965,9658,26619,56431,56595,113030,9608,9921,19531,39008,38701,77712,24134,25264,49393
CED114,65218,67367,132590,28896,14937,43836,6680,16523,23206,2156,2308,4460,2263,1874,4134,39999,35645,75639,19299,25742,45039,5.7,5.3,5.5,61.3,52.9,57,57.9,50.1,53.9,915,1159,2070,546,1227,1774,4188,7360,11546,3594,5897,9498,16861,8158,25016,584,1264,1848,940,1749,2693,18387,11169,29555,61474,62293,123766,10534,11258,21795,43060,42937,86002,25402,27377,52784
CED115,64791,68118,132904,23972,14006,37975,7701,10864,18565,1868,1555,3425,3672,3340,7013,37212,29765,66980,23285,34020,57305,9.9,11.2,10.5,57.4,43.7,50.4,51.8,38.8,45.1,1394,1427,2817,249,457,710,6126,7183,13305,4275,5611,9894,9528,4812,14343,512,905,1416,991,1383,2377,11037,7102,18138,64402,66774,131175,9295,9467,18766,46060,47650,93706,24129,25056,49182
CED116,61704,64503,126202,19693,10718,30412,7614,14687,22300,1614,1874,3491,2166,1677,3841,31085,28955,60042,25921,30683,56605,7,5.8,6.4,50.4,44.9,47.6,46.9,42.3,44.5,1559,1636,3198,777,1566,2341,5023,7178,12203,4489,6732,11218,18479,7883,26359,590,1195,1785,1210,2288,3496,20286,11357,31637,56619,58670,115289,9716,10441,20154,38275,39182,77457,25706,27664,53371
CED117,60824,65376,126207,31366,25125,56495,8187,14163,22347,1497,2113,3610,2055,1924,3984,43102,43331,86430,12728,17110,29843,4.8,4.4,4.6,70.9,66.3,68.5,67.5,63.3,65.3,6798,8269,15071,1521,2614,4139,15558,19037,34598,5097,6315,11406,6690,3332,10022,330,477,811,829,1154,1982,7852,4965,12813,51961,55125,107085,12822,13578,26400,31774,33920,65696,30702,32545,63245
CED118,65621,65879,131500,35101,20824,55928,7492,14724,22217,1815,2074,3889,2699,2708,5411,47113,40337,87442,15629,22661,38295,5.7,6.7,6.2,71.8,61.2,66.5,67.7,57.1,62.4,5054,4630,9688,865,1143,2013,10544,13417,23962,5980,6814,12787,11794,5808,17604,443,890,1333,1073,1519,2590,13312,8213,21526,66396,67096,133492,11722,11296,23017,42472,43102,85575,31247,30990,62231
CED119,55802,58572,114365,31008,17455,48459,6476,16733,23211,1474,1932,3401,1462,1427,2890,40415,37548,77963,13453,19166,32615,3.6,3.8,3.7,72.4,64.1,68.2,69.8,61.7,65.6,2892,2903,5799,823,1482,2306,8142,10862,19005,5649,7432,13077,15249,5748,21000,363,819,1183,1151,2179,3330,16765,8748,25520,59512,61705,121213,6780,6937,13724,42774,44257,87032,20726,21586,42310
CED120,58499,60678,119176,30206,16476,46680,6327,15700,22028,1824,2159,3980,1652,1729,3379,40004,36066,76074,15071,20956,36026,4.1,4.8,4.4,68.4,59.4,63.8,65.6,56.6,61,1368,1688,3056,556,1166,1726,4371,7254,11627,4207,6931,11136,18270,7863,26141,485,1136,1614,1063,1947,3011,19826,10942,30766,58940,60150,119087,9073,9538,18611,38996,39458,78451,25510,26888,52402
