CED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED101,2081,565,4255,29517,30774,14164,10894,35232,7811,128392
CED102,1942,790,3995,33433,32753,13290,10247,44414,11150,145283
CED103,1930,583,4224,34467,35793,15988,11456,35369,7472,140551
CED104,1531,738,3645,28534,33213,16494,11690,21450,5749,117135
CED105,1818,474,3267,26214,25288,11462,11915,50808,12061,137741
CED106,2073,818,5117,32230,35140,17184,12062,25300,6457,128377
CED107,1691,703,3617,24653,33103,16160,13620,25525,16202,129260
CED108,1227,245,1980,26362,28379,12273,12243,42171,10590,132022
CED109,2143,615,4576,28461,30229,13083,9457,25259,7690,114180
CED110,2425,1402,5595,23988,34319,17801,14247,27186,14382,131922
CED111,2025,678,4206,29718,34327,15463,11206,28178,9338,128230
CED112,2065,1291,4809,25773,31764,15449,12682,27451,10998,124112
CED113,1281,797,3218,24516,34123,16387,12238,20613,13016,120903
CED114,1954,1084,4422,25792,32950,16228,13193,28651,15764,132590
CED115,1929,308,2947,25273,23864,10968,10786,50687,11327,132904
CED116,1964,1231,4897,22504,33081,18172,14260,24545,13636,126202
CED117,1276,289,2391,36755,36370,11757,6788,23251,11282,126207
CED118,886,260,1711,29787,33784,14662,12237,32262,8770,131500
CED119,1643,271,2827,28275,32648,14883,10469,22882,5218,114365
CED120,1075,762,2705,25766,32201,15504,12556,22856,10293,119176
CED121,1904,806,3882,24276,32490,16461,14397,26989,11523,126136
CED122,1518,671,3521,39387,35385,12678,8482,38761,14878,149570
CED123,1096,332,2105,29029,33835,14483,12229,30526,11084,131195
CED124,2000,1164,4814,20413,30804,17863,15222,24701,12537,121542
CED125,661,289,1445,27649,31017,13497,12067,32345,9534,126110
CED126,2005,918,4599,30296,34262,15233,9634,22372,8003,119796
CED127,1273,397,2641,25710,33296,15642,11946,19942,7971,114511
CED128,1316,410,2522,26248,27143,12106,11514,44675,9606,131291
CED129,1057,279,2203,29847,33358,15718,11786,24499,4803,120008
CED130,1638,861,3784,23469,31928,15867,13394,25240,14561,124455
CED131,1244,1294,3958,31492,35839,14867,10055,25147,9599,127000
CED132,1867,461,3750,38636,38387,14101,8823,25002,9184,134124
CED133,2098,806,4499,23312,34147,18211,15620,25530,14159,130979
CED134,1658,753,3535,21862,29418,14443,12931,27669,16053,122377
CED135,1392,485,2743,31767,33640,14580,12909,44859,12566,150329
CED136,1435,675,3193,24330,32446,16438,13781,26828,10845,124668
CED137,1976,402,3644,37361,35652,14210,10465,42868,13495,154050
CED138,2344,1480,5565,25317,33627,16727,12191,25047,14578,127476
CED139,1940,880,4237,24198,31251,15621,13635,26323,14075,125092
CED140,2004,1009,4747,25960,32288,15215,11568,23520,9453,117999
CED141,1542,816,3838,24480,32287,16183,12245,24879,8148,118216
CED142,634,339,1456,56192,40800,9264,4990,50004,25225,186472
CED143,1305,734,3536,34414,33952,13108,8499,20283,9066,119324
CED144,1886,430,3434,28967,28110,12383,12063,47077,10986,139594
CED145,1652,925,3919,38763,31071,9976,6171,23366,14218,123563
CED146,908,419,1801,27215,27271,11859,11592,42932,10943,131818
CED147,1649,716,3641,25055,31748,16175,13009,27471,9753,123212
CED194,41,26,78,1976,1606,620,412,3500,3428,11545
CED197,5,0,10,23,36,19,40,163,93,374
