CED_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED101,57,149,357,640,200,1077,50,484,55,3078,315,1187,1028,1156,952,1299,262,719,143,7055,1886,5075,2130,1734,2605,1482,739,1224,383,17257,2427,4486,1948,1219,2855,1150,842,904,277,16117,2351,3387,1970,1347,2993,1061,1144,1214,275,15739,1318,2255,1404,873,2053,719,994,1020,182,10817,274,518,281,194,481,153,211,228,58,2393,36,55,33,10,44,21,13,20,17,245,6,4,4,0,4,0,0,0,3,25,8675,17116,9148,7172,12200,6965,4249,5817,1384,72728
CED102,41,142,266,424,183,1001,55,426,61,2598,383,1337,965,1346,989,1498,292,1101,211,8109,2635,7572,3111,2726,3448,2364,927,2502,575,25862,2928,5403,2173,1489,2884,1322,1034,1328,347,18897,2235,3436,1877,1312,2617,1154,1168,1319,304,15429,1048,1810,1196,775,1569,638,1029,1230,189,9480,210,397,251,149,310,156,201,339,65,2076,19,38,22,10,27,15,17,31,19,194,5,7,3,0,9,0,0,0,4,24,9503,20148,9854,8233,12028,8141,4728,8278,1770,82673
CED103,32,210,241,677,221,1049,45,406,34,2921,368,1753,778,1336,1120,1390,156,479,142,7520,2449,8831,2084,1595,3114,1682,390,750,440,21323,3470,7586,1788,1068,2634,1090,423,692,328,19073,3129,5246,1755,1124,2718,976,598,946,263,16759,1732,3316,1090,762,2035,692,542,911,185,11271,344,835,254,179,543,175,151,218,47,2747,37,107,26,23,48,13,16,26,18,312,8,11,4,0,6,0,0,0,12,48,11559,27903,8012,6769,12448,7064,2330,4421,1471,81976
CED104,53,233,470,871,283,1351,76,692,70,4090,360,1379,910,1237,911,1223,164,473,97,6758,1348,3880,1286,791,1323,774,241,426,183,10252,3260,6001,1481,928,2229,831,303,443,239,15709,4084,5890,1732,1145,3102,970,480,716,246,18375,2497,4122,1191,760,2365,715,419,679,156,12911,667,1176,343,188,704,248,147,197,67,3728,80,114,42,26,59,34,15,37,23,429,11,14,4,0,7,3,0,3,3,47,12362,22798,7468,5946,10988,6156,1842,3660,1081,72293
CED105,43,98,384,377,176,976,82,380,111,2626,358,1116,1145,1135,955,1387,375,1034,267,7770,1474,3965,3020,1967,2411,1607,1294,2002,585,18325,1437,2394,2299,1431,1903,958,1375,1494,356,13651,1159,1608,2005,1161,1757,809,1608,1852,329,12297,660,998,1303,691,1206,493,1198,1490,172,8204,159,206,187,132,261,102,187,212,41,1482,7,12,15,7,13,4,12,17,10,99,0,0,0,0,0,0,0,0,7,18,5297,10403,10349,6895,8687,6333,6136,8483,1873,64461
CED106,35,284,172,930,249,1084,70,420,43,3283,354,1525,477,1332,901,1133,139,344,105,6316,1717,5816,1036,1039,1699,1059,176,449,269,13272,4108,7820,1087,818,2058,889,183,400,325,17675,4875,7288,924,902,2525,1027,264,477,288,18569,2540,4553,649,595,1709,648,215,413,187,11504,723,1579,178,161,681,260,62,145,67,3855,109,257,27,15,116,56,12,41,34,662,23,37,4,0,8,4,3,0,8,83,14471,29157,4558,5791,9953,6150,1116,2691,1332,75220
CED107,77,72,661,653,141,1293,82,900,76,3961,236,513,1362,1117,446,914,270,815,70,5755,1224,2644,2651,1603,1368,1062,1069,1226,170,13023,1803,2811,2043,1503,1817,879,1344,1304,215,13719,2238,2664,1919,1688,2230,963,1572,1728,241,15243,1952,2243,1299,1162,1660,726,1190,1415,179,11824,1100,524,289,217,400,210,287,375,91,3486,319,68,36,14,47,28,29,54,55,638,60,7,8,0,3,3,0,6,16,105,9009,11550,10275,7958,8116,6083,5836,7825,1109,67745
CED108,69,81,487,374,223,1287,211,770,90,3595,334,848,1180,1015,1106,1259,858,1016,217,7832,1424,3548,2184,1858,2798,1460,2321,1725,453,17769,1510,3079,1993,1659,2708,1021,2362,1674,348,16357,1125,1742,1871,1456,2484,802,2537,1990,298,14307,618,1081,1190,1006,1603,561,1558,1463,180,9261,107,192,214,175,316,95,245,244,46,1622,9,17,11,8,10,7,13,17,12,91,0,3,0,0,0,0,3,3,0,11,5185,10589,9125,7556,11248,6491,10099,8891,1649,70841
CED109,71,128,428,769,232,1081,86,465,45,3295,299,1003,1022,1087,887,1003,178,385,118,5981,1934,4133,2171,1535,1972,1086,445,570,236,14083,3100,4044,1876,1292,2552,1166,553,654,252,15483,3073,3454,1793,1347,2834,1320,754,817,249,15640,1876,2716,1136,770,2221,939,656,675,174,11157,505,797,257,181,585,289,186,183,78,3056,55,104,31,17,68,36,19,26,25,382,12,14,5,0,11,3,0,3,11,56,10925,16401,8718,6996,11353,6914,2869,3780,1185,69136
CED110,56,47,422,639,133,1433,85,901,62,3774,221,404,935,827,388,715,182,702,70,4453,891,2169,1763,1363,1057,891,507,1151,161,9951,1464,2670,1702,1465,1677,955,607,1138,209,11896,1872,2930,1756,1848,2116,1164,851,1524,210,14270,1597,2515,1397,1556,1650,975,791,1339,167,11992,617,542,258,214,420,240,227,281,81,2878,133,48,17,17,34,24,19,32,51,381,16,3,0,3,7,3,0,3,11,50,6876,11323,8256,7923,7484,6409,3281,7077,1022,59642
