SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL10001,0,6,6,5,0,11,0,12
SAL10002,28,215,452,276,242,1221,14,1233
SAL10003,205,1008,780,177,75,2243,23,2267
SAL10004,11,92,178,69,45,391,0,388
SAL10005,0,6,3,0,0,10,0,10
SAL10006,48,390,322,135,86,981,8,990
SAL10007,36,280,300,123,72,819,9,827
SAL10008,0,7,10,12,15,37,0,40
SAL10009,29,541,973,374,216,2134,7,2143
SAL10010,19,270,319,152,118,878,16,892
SAL10011,0,20,37,20,19,103,0,103
SAL10012,0,0,4,0,3,8,0,8
SAL10013,5,8,10,0,0,13,0,13
SAL10014,21,345,479,168,93,1114,11,1125
SAL10015,12,40,51,16,11,129,0,131
SAL10016,196,966,931,280,130,2507,27,2531
SAL10017,74,536,960,269,147,1987,3,1991
SAL10018,9,147,122,58,31,382,10,388
SAL10019,0,0,5,7,3,20,3,26
SAL10020,0,8,5,4,0,14,0,17
SAL10021,15,59,88,67,80,306,4,307
SAL10022,223,412,242,67,21,964,30,990
SAL10023,6,34,20,7,0,66,0,68
SAL10024,0,3,10,4,7,25,0,25
SAL10025,130,1224,1940,790,564,4657,49,4704
SAL10026,159,875,908,357,231,2536,37,2567
SAL10027,234,912,741,193,67,2145,23,2173
SAL10028,4,64,101,53,34,257,4,259
SAL10029,4,20,17,9,9,57,3,60
SAL10030,1022,2551,734,125,38,4468,41,4510
SAL10031,14,129,399,216,184,939,3,941
SAL10032,0,4,10,4,12,26,0,25
SAL10033,0,0,3,0,0,3,0,3
SAL10034,0,6,9,7,7,32,0,32
SAL10035,0,10,10,13,4,33,10,41
SAL10036,153,691,955,338,177,2323,14,2339
SAL10037,0,3,12,5,6,27,0,32
SAL10038,310,1067,488,110,36,2009,29,2039
SAL10039,0,0,7,8,4,17,0,14
SAL10040,0,14,21,8,7,50,0,50
SAL10041,0,23,26,13,9,77,3,80
SAL10042,0,3,7,13,0,25,0,25
SAL10043,0,0,5,9,3,13,0,13
SAL10044,0,3,11,16,12,47,6,52
SAL10045,0,19,61,33,32,145,9,157
SAL10046,147,976,890,293,118,2426,33,2461
SAL10047,0,10,12,6,4,34,3,34
SAL10048,0,0,7,3,0,10,0,10
