SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL10001,15,15,29,10,6,8,0,0,0,0,0,0,0,0,0,6,7,12,0,8,7,0,0,0,61.5,42.9,51.9,61.5,42.9,51.9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,3,11,9,22,0,0,0,13,8,15,3,4,9
SAL10002,1729,1818,3542,629,480,1110,180,352,531,209,185,398,32,27,61,1056,1043,2096,618,717,1332,3.2,2.5,2.9,61,57.4,59.1,59,55.9,57.4,60,50,110,11,32,52,273,332,600,159,215,375,381,164,544,12,31,41,51,56,110,439,257,695,1862,1920,3785,135,137,279,1580,1604,3183,351,384,734
SAL10003,2147,2486,4630,937,722,1660,284,489,774,108,163,271,54,46,95,1378,1416,2797,651,910,1557,3.8,3,3.4,64.4,57,60.4,61.9,55.2,58.3,251,268,521,51,99,154,524,617,1137,203,294,488,333,142,483,13,25,33,53,76,126,397,245,647,2137,2364,4499,272,312,589,1461,1638,3095,824,933,1756
SAL10004,423,460,880,239,160,398,55,130,185,14,22,35,3,10,12,311,318,629,99,127,228,1.3,2.2,1.7,74.2,68.8,71.4,73.3,67.3,70.2,15,23,44,9,17,30,57,94,157,31,48,79,153,69,220,4,14,15,6,16,23,162,94,259,465,508,974,62,60,122,305,339,649,196,195,388
SAL10005,13,9,22,3,0,3,0,3,4,0,0,0,0,0,0,5,6,10,5,5,11,0,0,0,50,40,45.5,50,40,45.5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,4,3,6,13,8,22,0,0,4,13,8,14,7,0,5
SAL10006,975,1044,2018,374,211,587,141,252,391,33,65,100,49,36,86,599,569,1167,349,440,789,8.4,6.5,7.5,61.3,54.5,57.8,56.1,51,53.5,8,9,17,6,12,12,25,65,88,36,102,136,338,229,566,13,36,45,13,20,34,358,286,643,1007,1049,2056,179,178,360,678,693,1374,433,474,901
SAL10007,843,823,1670,380,210,585,84,201,279,52,28,71,15,16,39,525,453,982,273,321,596,3.6,3.7,3.7,62.3,55.3,58.8,60,53.3,56.7,4,11,16,5,13,16,16,58,72,20,61,79,297,156,450,15,13,30,9,25,30,315,200,517,865,818,1683,117,141,252,621,574,1193,299,328,628
SAL10008,43,45,93,35,17,52,3,16,17,0,0,0,0,0,4,40,31,68,3,10,15,2.6,3.1,2.8,84.8,69.6,77.2,82.6,67.4,75,0,0,4,0,0,0,4,9,14,6,7,11,7,6,14,0,0,0,0,5,3,11,12,23,48,47,100,8,9,16,45,39,79,11,13,26
SAL10009,2326,2569,4897,1304,783,2089,288,757,1046,83,152,235,79,66,147,1755,1760,3515,497,743,1243,4.5,3.7,4.1,75.4,68.5,71.8,72,66,68.8,41,58,98,19,55,70,170,298,468,192,306,491,839,583,1420,25,62,89,30,54,83,893,694,1587,2450,2651,5103,550,588,1139,1353,1412,2770,1437,1608,3045
SAL10010,1007,962,1972,412,186,603,120,273,385,43,60,101,47,36,81,626,550,1179,334,383,713,7.8,6,7,62.3,57.1,59.7,57.5,53.6,55.6,0,5,5,8,16,24,30,67,96,45,87,128,374,217,589,13,29,35,14,23,36,395,268,666,1086,1021,2110,151,156,312,751,731,1481,398,388,789
