SAL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SAL10001,59,867,887,0,1687,0.6,1625,2.4
SAL10002,42,2216,846,550,2684,0.8,2621,3.3
SAL10003,47,3000,1179,550,2988,0.9,2263,2.3
SAL10004,39,1733,1029,393,2533,0.7,2202,2.8
SAL10005,58,758,550,300,1624,0.7,1024,1.8
SAL10006,36,1421,640,303,1532,0.8,1251,2.5
SAL10007,41,1517,716,280,1917,0.7,1426,2.4
SAL10008,37,150,1041,210,3083,0.8,2250,2.9
SAL10009,32,1950,881,430,2257,0.8,2147,3
SAL10010,37,1430,667,320,1771,0.9,1449,2.7
SAL10011,37,1560,737,360,2205,0.9,2069,3
SAL10012,42,1150,1075,0,2416,0.8,2374,2.7
SAL10013,53,1571,575,275,1187,0.7,949,2.1
SAL10014,36,2484,1055,540,2800,0.9,2796,3.2
SAL10015,52,1083,588,300,1350,0.6,954,2
SAL10016,36,2100,925,395,2438,0.8,1875,2.4
SAL10017,39,2201,983,475,2671,0.8,2325,2.8
SAL10018,49,1200,599,205,1448,0.7,1158,2.3
SAL10019,41,625,1050,150,2312,0.8,2312,2.8
SAL10020,64,650,596,0,1374,0.5,762,1.8
SAL10021,38,2600,953,440,2517,0.8,2454,3.1
SAL10022,29,2210,451,220,1111,0.9,944,2.9
SAL10023,43,780,435,240,1042,0.8,778,2.4
SAL10024,50,463,612,0,1625,0.8,1187,2.6
SAL10025,36,2058,804,460,2132,0.8,1938,2.9
SAL10026,41,1820,636,390,1645,0.8,1411,2.5
SAL10027,45,1733,930,270,2359,0.7,1601,2
SAL10028,36,1483,624,350,1445,0.7,1222,2.5
SAL10029,49,1257,733,160,2125,0.7,1803,2.4
SAL10030,34,2751,1629,560,3600,1.1,2654,2
SAL10031,43,2595,956,768,2978,0.8,2969,3.3
SAL10032,41,2600,814,265,2583,0.8,2624,3.1
SAL10033,59,400,333,0,1074,1,1074,3
SAL10034,47,3500,669,600,2562,0.7,2249,2.9
SAL10035,53,2214,792,270,2312,0.6,1375,2.1
SAL10036,43,3467,1006,600,3298,0.9,2890,3
SAL10037,49,2414,1083,330,2750,0.8,2124,2.3
SAL10038,36,2167,765,428,1960,1,1774,2.5
SAL10039,31,0,900,250,2250,0.8,1875,3.2
SAL10040,53,1517,481,130,1375,0.9,949,2.4
SAL10041,48,1853,641,300,1531,0.8,1213,2.2
SAL10042,64,1200,662,587,1374,0.6,1083,1.9
SAL10043,50,434,769,185,1875,0.8,1833,2.8
SAL10044,49,3033,930,300,2449,0.9,2291,2.8
SAL10045,53,2000,844,310,2272,0.7,2038,2.6
SAL10046,51,1730,671,380,1690,0.7,1312,2.3
SAL10047,41,1907,593,310,1449,0.8,1281,2.6
SAL10048,45,2709,1025,240,2333,0.8,2166,2.7
SAL10049,34,1802,630,350,1611,0.8,1431,2.8
SAL10050,63,667,537,0,1625,0.6,1249,1.9
SAL10051,33,0,1375,0,4249,0.5,3250,1.7
SAL10052,46,433,602,0,1958,1,1125,2.7
SAL10053,37,2167,634,525,2750,0.9,3049,3.4
SAL10054,51,1018,725,163,2583,0.9,2250,2.8
SAL10055,48,1767,668,129,1437,0.8,2083,2.5
SAL10056,50,1567,680,260,1812,0.7,1474,2.5
SAL10057,56,5000,466,50,1375,0.8,825,1.6
SAL10058,65,1083,483,195,1125,0.6,900,1.9
SAL10059,58,1560,687,520,1812,0.8,1437,2.3
SAL10060,45,2000,757,350,1958,0.9,1890,3
SAL10061,52,1733,612,390,1457,0.7,1189,2.3
SAL10062,38,3467,1442,570,3905,1,2683,2.3
SAL10063,44,3000,899,500,2529,0.8,2650,3.5
SAL10064,33,2500,971,450,2507,0.8,2423,3.2
SAL10065,49,1791,899,480,1874,0.9,1375,2.4
