SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC10011,3,3,5,53,40,90,0,0,0,5,8,12,0,0,0,22,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,9,25,0,0,5,0,0,0,6,3,8,0,0,0,0,0,0,102,90,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,72,0,0,0,0,0,0,35,34,73,41,34,78,184,168,348
SSC10012,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12
SSC10013,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,26,0,0,0,0,0,0,12,11,26,0,0,0,17,22,42
SSC10014,28,38,66,191,206,396,0,3,3,32,25,55,0,0,0,514,545,1058,12,8,14,36,35,76,3,5,6,4,3,8,0,5,3,19,24,45,9,7,24,62,61,124,28,32,61,3,6,5,8,19,26,31,44,74,68,51,119,0,0,0,1022,1085,2111,226,212,439,95,107,201,0,0,0,0,0,0,127,98,224,7,11,19,132,112,249,275,248,528,3,0,3,0,0,0,280,250,531,107,96,204,1898,1899,3798
SSC10015,0,0,3,30,39,75,0,0,0,0,3,4,0,0,0,51,48,91,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,6,7,11,3,0,3,0,0,0,92,103,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,30,84,0,0,0,0,0,0,51,30,86,16,3,23,159,142,301
SSC10016,26,61,80,438,505,942,0,0,0,42,55,93,0,0,3,727,881,1607,0,0,0,80,77,156,5,9,9,0,4,4,4,5,10,3,3,3,10,11,16,26,38,58,63,82,144,6,8,7,0,3,5,105,146,252,58,71,133,3,0,3,1574,1886,3462,19,18,41,12,8,20,0,0,0,0,0,0,3,0,7,4,5,8,7,4,15,1067,964,2032,19,14,36,3,13,11,1093,989,2079,187,155,336,2918,3130,6044
SSC10017,27,34,63,474,535,1012,0,0,0,55,41,94,0,0,3,593,663,1257,0,0,0,87,84,177,0,0,0,0,3,5,4,4,9,0,0,0,19,5,21,22,22,42,81,76,154,6,11,17,4,3,9,128,179,301,69,79,153,0,3,3,1546,1711,3260,14,7,19,5,3,10,0,0,0,0,0,0,4,0,3,0,7,4,4,5,13,873,702,1573,16,16,32,3,3,10,892,723,1617,161,154,314,2656,2642,5299
SSC10018,0,0,3,177,164,343,0,0,0,3,3,4,0,0,0,124,142,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,16,23,37,0,8,10,0,0,0,10,14,26,6,3,4,0,0,0,346,362,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,68,152,0,0,0,0,0,0,88,65,150,42,37,75,475,467,943
SSC10019,0,0,0,16,14,25,0,0,0,0,0,0,0,0,0,18,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,36,28,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,12,0,0,0,0,0,0,10,6,12,0,3,9,41,44,81
SSC10020,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,0,0,0,0,0,3,3,0,0,3,4,8,0,0,0,15,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,11,0,0,0,0,0,0,10,4,16,3,0,3,29,22,50
SSC10021,3,0,3,86,94,183,0,0,0,3,3,8,0,0,0,183,152,332,0,0,4,20,16,34,4,5,8,3,3,5,3,0,4,0,0,0,0,0,3,3,8,12,14,15,30,0,0,0,3,3,6,11,8,20,6,13,23,0,0,0,337,313,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,85,164,0,0,4,0,0,0,81,89,164,49,32,85,472,440,911
SSC10022,13,21,36,215,296,513,0,0,0,6,10,23,0,0,0,268,360,627,0,0,0,13,29,37,7,7,10,38,36,70,0,0,0,0,3,3,13,19,32,14,16,28,23,30,50,8,8,14,11,16,19,27,21,49,38,41,85,0,0,0,676,897,1569,3,3,5,63,70,135,0,0,0,5,4,7,0,0,0,3,3,6,7,7,17,404,399,805,3,5,9,0,6,6,403,406,813,170,188,359,1333,1591,2926
SSC10023,0,3,4,13,12,25,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,9,0,0,0,0,0,0,0,0,0,23,26,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,67,0,0,0,0,0,0,39,29,67,27,21,52,85,86,173
SSC10024,0,0,0,9,20,26,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,0,0,0,0,0,3,4,6,4,0,0,0,0,0,0,30,34,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,0,0,0,0,0,0,4,4,14,4,3,12,42,43,81
SSC10025,39,37,76,1394,1641,3033,0,0,0,47,53,103,0,0,0,1712,2020,3737,14,14,28,88,83,172,39,37,70,6,9,9,26,42,74,5,0,6,15,12,23,76,84,166,171,201,376,17,18,35,5,12,19,286,324,605,194,210,400,0,7,7,4090,4762,8858,8,8,18,28,22,45,0,0,0,3,6,6,0,0,0,4,16,18,10,21,26,1832,1604,3434,14,13,25,3,10,11,1847,1629,3476,410,414,826,6426,6893,13316
SSC10026,15,20,39,788,881,1672,0,0,0,21,30,45,0,0,0,844,895,1734,3,3,5,48,44,95,29,29,52,3,11,11,11,16,33,0,3,4,3,5,11,21,40,58,79,119,199,11,20,35,4,6,8,131,188,316,68,63,130,4,8,11,2072,2353,4421,0,0,3,6,10,20,0,0,0,0,0,0,0,0,0,7,11,17,7,14,19,987,870,1856,7,5,15,10,15,24,1006,891,1892,262,251,518,3372,3540,6918
SSC10027,12,25,39,321,425,740,0,0,0,12,16,22,0,0,0,544,640,1189,0,3,3,29,30,57,7,13,13,0,3,3,20,38,58,0,0,3,0,0,4,17,17,34,64,66,130,4,8,11,3,0,4,78,145,224,39,52,95,0,0,0,1141,1460,2597,35,38,75,14,8,23,7,5,10,0,0,0,0,0,3,12,3,11,7,0,15,825,687,1512,11,10,26,0,4,4,833,709,1542,285,224,512,2335,2470,4804
SSC10028,0,0,3,93,90,179,0,0,0,0,0,0,0,0,0,88,96,179,0,0,0,0,3,3,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,8,10,22,3,12,11,4,0,4,38,29,64,11,8,19,0,0,0,247,253,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,65,146,0,0,0,0,4,4,78,67,146,512,68,576,840,392,1230
SSC10029,0,0,0,14,17,33,0,0,0,0,0,0,0,0,0,13,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,16,11,28,6,7,10,0,0,0,0,0,0,8,13,21,15,11,22,0,0,0,74,71,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,8,4,8,8,10,18,84,82,168
SSC10030,95,136,231,267,293,561,0,0,0,23,12,38,0,0,0,744,765,1508,0,0,0,70,95,167,4,6,8,4,0,4,11,11,15,3,3,5,12,9,21,21,17,42,48,40,89,4,3,3,4,0,4,45,58,104,39,58,94,0,4,4,1290,1371,2662,31,33,57,32,28,52,50,43,88,8,7,19,4,5,3,8,9,21,25,23,43,2143,1957,4098,36,20,59,10,17,20,2186,1993,4183,508,433,947,4214,4054,8262
SSC10031,12,20,27,207,253,454,0,0,0,38,45,88,0,0,0,455,531,991,0,0,0,238,258,498,0,0,3,5,7,13,3,3,7,11,14,27,0,3,8,7,7,11,39,33,70,9,14,20,0,0,0,63,43,109,37,36,72,0,0,0,1118,1250,2377,15,14,27,56,50,105,3,0,0,0,0,0,7,4,5,3,4,7,9,8,13,243,163,407,0,4,6,0,0,0,245,173,416,78,65,147,1524,1585,3109
SSC10032,0,0,0,5,9,14,0,0,0,0,0,0,0,0,0,6,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,3,11,0,0,0,0,3,3,0,3,3,3,4,7,0,0,0,31,39,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,26,0,0,0,0,0,0,18,5,26,8,11,20,58,53,109
SSC10033,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,3,3,6
SSC10034,0,0,0,8,14,22,0,0,0,3,4,7,0,0,0,11,9,25,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,30,34,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,0,0,0,0,0,0,12,6,19,5,7,12,44,45,95
SSC10035,0,0,0,14,8,30,0,0,0,3,3,7,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,23,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,28,0,0,0,0,0,0,13,12,28,7,3,7,43,34,76
SSC10036,45,53,100,590,678,1271,0,0,0,20,19,32,0,0,0,927,1042,1970,0,0,0,36,55,94,12,12,21,0,0,0,9,29,40,7,10,15,10,5,16,22,28,48,82,105,190,0,0,0,0,5,5,87,100,186,38,42,78,0,5,5,1839,2131,3966,23,25,41,10,7,20,9,5,18,0,0,0,3,9,14,8,20,30,10,26,40,1252,1114,2366,10,12,19,5,8,12,1266,1130,2400,207,225,428,3404,3605,7009
SSC10037,0,0,0,8,7,15,0,0,0,0,0,0,0,0,0,13,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,18,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,19,0,0,0,0,0,0,9,14,19,3,4,3,39,36,73
SSC10038,103,174,279,145,168,315,0,0,0,19,31,52,0,0,0,451,515,972,3,6,15,175,194,372,8,9,20,5,4,11,3,7,10,30,41,78,4,11,17,17,16,30,40,37,73,0,6,5,0,0,3,46,55,102,82,78,156,0,0,0,1040,1190,2230,299,209,513,213,148,367,13,12,23,0,0,0,29,11,42,9,11,25,44,23,65,931,870,1805,3,5,9,0,7,7,938,878,1819,206,211,420,2857,2852,5706
SSC10039,0,0,0,4,5,12,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,5,9,7,0,0,0,23,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,3,4,5,6,3,10,27,31,61
SSC10040,0,0,0,7,10,21,0,0,0,0,7,8,0,0,0,10,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,0,28,35,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,48,0,0,0,0,0,0,24,22,48,9,9,15,59,72,131
SSC10041,0,0,0,30,17,47,0,0,0,0,0,0,0,0,0,20,11,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,0,0,0,0,0,0,6,7,6,0,3,3,0,0,0,57,51,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,42,0,0,0,0,0,0,24,18,42,11,10,17,94,71,166
SSC10042,0,0,0,8,6,20,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,26,0,0,0,0,0,0,18,11,26,0,0,0,34,31,64
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,13,28,0,0,0,0,0,0,3,3,3,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,4,6,11,0,0,0,26,28,55
SSC10044,0,0,3,12,20,36,0,0,0,3,0,3,0,0,0,13,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,4,3,6,0,0,0,3,0,4,41,48,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,29,0,0,0,0,0,0,16,15,29,7,9,17,64,70,135
SSC10045,0,5,3,30,33,69,0,0,0,0,0,4,0,0,0,56,62,112,0,0,0,5,4,10,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,3,3,7,11,0,0,0,5,3,7,8,21,25,16,15,31,0,0,0,130,147,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,60,113,0,0,0,0,0,0,55,61,110,22,15,44,214,230,442
SSC10046,29,30,57,437,616,1057,0,0,0,73,84,153,0,3,3,513,658,1176,5,5,13,9,5,15,21,20,40,5,17,19,10,9,22,0,0,0,11,8,16,37,58,96,80,144,218,6,5,13,32,44,79,165,238,399,74,80,147,5,8,16,1490,2006,3494,10,3,11,0,0,0,0,0,3,0,0,0,0,0,0,3,6,12,5,8,18,858,811,1670,9,5,19,3,6,11,874,825,1703,212,242,456,2613,3122,5739
SSC10047,0,0,0,7,18,25,0,0,0,0,0,0,0,0,0,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,4,4,12,0,0,3,0,0,0,27,37,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,17,0,0,0,0,0,0,8,5,17,3,0,3,44,48,91
SSC10048,0,0,0,8,7,17,0,0,0,0,0,0,0,0,0,3,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,17,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,0,0,0,0,0,0,6,6,7,3,3,7,21,26,46
SSC10049,60,85,153,588,664,1251,14,3,15,40,48,84,3,4,7,991,1115,2104,5,8,12,75,73,141,14,26,38,53,37,92,11,13,19,16,18,33,30,36,64,48,57,112,74,90,164,9,7,20,10,19,34,58,65,122,86,95,182,7,6,12,2128,2374,4500,53,52,103,153,147,300,3,0,4,3,3,6,8,3,13,15,18,33,25,22,51,819,735,1558,4,3,14,4,8,12,833,744,1578,332,354,688,3598,3782,7374
SSC10050,0,0,0,5,11,17,0,0,0,0,0,0,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,7,0,0,0,17,13,31
SSC10051,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,3,3,9
