SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC10685,139,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,139,330,123,..,266,330
SSC10686,54,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,157,3,..,66,157
SSC10687,88,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,0,3,14,0,0,94,220,45,..,140,220
SSC10688,37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,98,14,..,45,98
SSC10689,41,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,95,14,..,51,95
SSC10690,50,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,55,137,32,..,83,137
SSC10691,62,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,149,13,..,73,149
SSC10692,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,54,9,..,33,54
SSC10693,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,55,0,..,19,55
SSC10694,38,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,148,3,..,41,148
SSC10695,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,0,..,15,31
SSC10696,366,992,12,16,0,0,12,16,30,43,0,0,0,0,0,0,30,43,18,33,3,3,3,4,3,11,22,49,0,3,427,1104,69,..,493,1104
SSC10697,244,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,246,687,22,..,271,687
SSC10698,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,48,3,..,18,48
SSC10699,31,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,71,7,..,35,71
SSC10700,25,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,58,21,..,46,58
SSC10701,901,2224,14,23,5,13,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,29,938,2287,186,..,1126,2287
SSC10702,27,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,78,10,..,43,78
SSC10703,48,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,94,9,..,56,94
SSC10704,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,..,10,21
SSC10705,987,3148,20,34,87,191,108,218,20,33,0,5,0,0,0,0,21,38,0,0,0,0,0,0,5,16,4,22,3,6,1122,3432,70,..,1190,3432
SSC10706,83,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,89,219,10,..,94,219
SSC10707,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,0,..,24,44
SSC10708,141,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,342,47,..,187,342
SSC10709,87,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,191,12,..,98,191
SSC10710,92,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,5,15,3,15,103,235,27,..,126,235
SSC10711,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,5,0,0,3,7,3,13,19,38,7,..,25,38
SSC10712,539,1221,26,40,18,36,43,80,0,9,0,0,0,0,0,0,0,9,0,10,3,20,0,0,0,0,4,31,3,9,600,1344,236,..,834,1344
SSC10713,280,736,3,8,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,3,3,8,15,3,4,294,762,32,..,325,762
SSC10714,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,3,..,9,15
SSC10715,40,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,104,15,..,56,104
SSC10716,126,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,126,322,15,..,138,322
SSC10717,41,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,121,8,..,49,121
SSC10718,1417,4728,227,642,346,1142,567,1783,412,974,910,2424,1899,5117,11,31,3229,8549,0,0,0,0,0,0,21,54,21,54,46,110,5285,15219,425,..,5706,15219
SSC10719,177,577,13,40,36,112,49,152,42,97,18,38,5,12,0,0,60,144,0,3,0,0,0,0,0,0,0,3,0,12,289,885,19,..,305,885
SSC10720,1088,3700,19,33,63,140,79,172,8,11,16,29,11,14,0,0,25,48,0,0,0,0,0,0,0,0,0,0,0,0,1199,3931,59,..,1261,3931
SSC10721,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,..,12,26
SSC10722,0,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,..,4,10
SSC10723,378,1007,7,15,0,8,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,385,1035,50,..,439,1035
SSC10724,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,17,51,4,..,16,51
SSC10725,44,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,137,5,..,49,137
SSC10726,615,1897,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,617,1912,37,..,658,1912
SSC10727,106,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,103,299,14,..,119,299
SSC10728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC10729,47,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,126,4,..,53,126
SSC10730,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,6,..,21,16
SSC10731,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,52,3,..,20,52
SSC10732,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5,0,0,20,49,9,..,26,49
SSC10733,1138,2911,147,298,88,199,233,500,295,518,22,52,0,0,4,4,316,577,40,54,43,71,8,14,16,32,116,169,40,74,1844,4233,613,..,2458,4233
SSC10734,42,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,50,103,9,..,56,103
SSC10735,445,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,12,454,1222,28,..,481,1222
SSC10736,283,871,0,0,133,369,133,369,10,30,9,25,254,563,0,0,275,616,0,0,0,3,0,0,5,10,9,10,3,5,697,1872,72,..,769,1872
SSC10737,15,45,0,5,0,0,3,6,9,11,7,17,0,0,0,0,10,29,7,4,0,0,0,0,0,0,7,4,0,3,40,87,30,..,68,87
SSC10738,20,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71,4,..,23,71
SSC10739,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,..,4,8
SSC10740,2451,9305,85,169,1346,4246,1430,4409,698,1990,1626,4153,200,496,16,38,2534,6680,0,0,0,4,3,3,15,41,20,45,29,79,6469,20517,383,..,6849,20517
SSC10741,1689,6116,27,109,159,591,191,697,16,50,0,0,0,0,6,17,20,66,0,0,0,6,0,0,16,57,19,66,4,16,1926,6959,94,..,2020,6959
SSC10742,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,..,3,7
SSC10743,279,942,45,71,21,52,65,121,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,352,1077,19,..,374,1077
SSC10744,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,40,3,..,21,40
SSC10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,3,0
SSC10746,25,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,8,..,28,53
SSC10747,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,0,3
SSC10748,1263,3490,40,69,0,3,44,70,3,5,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,3,0,3,6,17,1319,3595,86,..,1405,3595
SSC10749,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,..,14,10
SSC10750,50,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,156,5,..,56,156
SSC10751,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,6,..,21,32
SSC10752,40,125,4,5,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,129,8,..,49,129
SSC10753,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,..,4,10
SSC10754,23,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,7,0,3,29,58,7,..,35,58
SSC10755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,..,0,29
SSC10756,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,..,8,3
SSC10757,788,1985,14,18,31,64,42,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,834,2075,374,..,1205,2075
SSC10758,306,689,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,305,690,654,..,965,690
SSC10759,34,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,99,0,..,35,99
SSC10760,23,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,73,0,..,25,73
SSC10761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC10762,28,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,77,3,..,28,77
SSC10763,81,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,220,18,..,99,220
SSC10764,378,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,379,1139,30,..,407,1139
SSC10765,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,3,..,17,34
SSC10766,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,3,..,18,30
SSC10767,661,1952,3,10,6,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,678,1977,34,..,705,1977
SSC10768,1986,5627,130,274,154,386,284,665,7,12,0,0,0,0,12,24,20,38,0,0,0,0,0,0,0,3,0,3,10,20,2303,6350,130,..,2429,6350
SSC10769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC10770,876,2367,142,161,112,205,251,372,89,138,0,3,0,0,0,0,95,141,0,0,0,0,0,0,0,0,0,0,7,3,1226,2890,98,..,1320,2890
SSC10771,59,135,0,0,0,0,0,0,6,12,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,61,146,34,..,102,146
SSC10772,629,2183,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,2185,13,..,646,2185
SSC10773,1487,4260,94,136,6,3,96,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581,4403,75,..,1659,4403
SSC10774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC10775,2324,7475,30,71,3,6,36,77,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,7,2358,7557,147,..,2512,7557
SSC10776,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,3,..,20,38
SSC10777,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,13,25,3,..,16,25
SSC10778,729,2058,173,412,301,718,469,1137,564,1153,793,1409,410,746,3,3,1770,3318,0,0,3,3,0,0,13,28,13,29,4,5,2987,6550,270,..,3258,6550
SSC10779,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,3,..,15,26
SSC10780,2544,7394,373,608,489,1036,861,1642,368,613,230,412,611,1189,6,13,1219,2224,0,0,0,0,3,3,43,144,45,146,18,35,4690,11447,434,..,5122,11447
SSC10781,88,224,449,1015,485,1319,936,2332,167,286,507,936,2734,4284,0,3,3415,5508,0,0,0,0,0,0,15,36,15,36,14,25,4463,8130,464,..,4927,8130
SSC10782,1836,6425,240,712,662,2318,904,3025,2400,6409,1909,5096,862,2345,3,4,5168,13860,0,0,0,0,0,0,18,58,18,58,31,84,7963,23447,501,..,8458,23447
SSC10783,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,3,..,16,35
SSC10784,23,56,3,4,30,68,31,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,126,7,..,59,126
SSC10785,258,749,32,90,42,111,81,199,66,124,42,83,0,0,0,0,107,213,0,0,0,3,0,0,0,0,0,3,3,10,455,1178,39,..,494,1178
SSC10786,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,..,5,7
SSC10787,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,15,..,26,31
SSC10788,261,630,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,642,41,..,309,642
SSC10789,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,26,0,..,12,26
SSC10790,200,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,8,11,201,610,8,..,208,610
SSC10791,2308,8339,44,118,534,1796,575,1918,37,106,3,16,0,4,3,3,41,128,0,0,0,0,5,19,72,244,80,260,26,78,3028,10722,205,..,3232,10722
SSC10792,1556,5816,70,167,441,1384,513,1549,246,588,229,587,387,992,4,7,865,2170,0,0,0,0,3,4,16,55,19,57,17,37,2974,9640,182,..,3152,9640
SSC10793,163,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,164,454,11,..,180,454
SSC10794,56,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,162,7,..,64,162
SSC10795,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,..,9,22
SSC10796,850,1979,9,7,0,0,9,7,28,38,0,0,0,0,0,0,28,38,0,0,0,0,3,0,9,30,13,31,0,4,900,2060,138,..,1040,2060
SSC10797,997,3135,109,300,109,356,218,655,374,859,438,998,480,1090,0,0,1288,2942,0,0,0,0,0,0,59,153,59,153,13,36,2581,6920,246,..,2827,6920
SSC10798,187,451,291,418,5,7,292,429,47,66,0,0,0,0,0,0,47,66,25,35,18,37,0,0,0,0,39,73,4,14,571,1038,74,..,641,1038
SSC10799,139,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,5,11,0,0,141,370,53,..,197,370
SSC10800,28,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,61,4,..,34,61
SSC10801,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,..,8,6
SSC10802,56,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,55,120,31,..,87,120
SSC10803,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,0,3
SSC10804,225,506,0,0,0,0,0,0,0,0,0,0,5,16,0,0,6,14,0,0,0,0,0,0,3,4,3,4,0,16,237,545,40,..,284,545
SSC10805,23,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,5,..,27,44
SSC10806,60,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,150,20,..,78,150
SSC10807,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,8,..,28,33
SSC10808,103,231,3,5,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,9,0,0,114,253,27,..,142,253
SSC10809,1975,5109,134,241,34,48,167,287,86,126,0,0,6,17,3,3,95,141,0,0,0,0,0,4,10,11,6,12,3,3,2246,5557,184,..,2434,5557
SSC10810,433,1138,86,113,7,16,98,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,527,1271,30,..,562,1271
SSC10811,960,2536,81,123,4,12,82,137,22,33,0,0,0,0,0,0,22,33,0,0,0,0,3,3,0,0,3,3,0,0,1065,2716,71,..,1131,2716
SSC10812,240,542,7,14,24,58,37,75,47,62,0,0,0,0,0,0,47,62,4,7,21,53,0,0,0,0,29,62,0,0,349,734,45,..,395,734
SSC10813,193,527,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,5,0,4,4,16,204,548,24,..,229,548
SSC10814,69,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,145,30,..,95,145
SSC10815,1409,4307,258,461,1037,2424,1294,2882,177,319,1280,2357,538,1002,0,0,1988,3673,0,0,0,0,0,0,3,0,3,0,12,22,4708,10891,317,..,5023,10891
SSC10816,3259,10027,272,485,513,1179,783,1670,17,38,0,0,0,0,0,0,18,38,0,3,0,0,0,0,0,0,3,8,11,28,4071,11770,272,..,4345,11770
SSC10817,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,..,10,30
SSC10818,5156,16563,128,351,935,2982,1064,3331,296,474,163,439,1048,2962,11,23,1517,3894,0,0,0,0,0,0,7,20,7,20,28,67,7777,23876,515,..,8291,23876
SSC10819,1733,5716,109,300,132,425,242,724,229,550,501,1104,805,2105,13,37,1554,3802,0,0,0,0,0,0,46,103,41,105,34,49,3608,10393,242,..,3844,10393
SSC10820,568,2013,3,5,0,0,3,5,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,567,2023,28,..,599,2023
SSC10821,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,..,4,8
SSC10822,56,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,55,157,9,..,66,157
SSC10823,73,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,179,24,..,93,179
SSC10824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,3,0
SSC10825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC10826,453,1547,32,77,20,53,47,132,262,662,389,799,9,26,0,6,663,1491,0,3,0,0,0,0,11,33,11,40,3,8,1184,3215,89,..,1274,3215
SSC10827,72,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,80,214,28,..,106,214
SSC10828,41,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,118,28,..,71,118
SSC10829,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,14,25,3,..,19,25
SSC10830,517,1172,60,108,168,347,224,457,59,81,21,39,0,3,0,0,80,121,0,0,0,0,0,0,0,0,0,0,16,20,838,1766,91,..,927,1766
SSC10831,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,11,..,16,20
SSC10832,104,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,3,0,0,112,294,25,..,135,294
SSC10833,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,3,..,14,21
SSC10834,38,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,50,129,3,..,49,129
SSC10835,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,..,4,8
SSC10836,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,..,8,19
SSC10837,335,1063,28,39,33,55,63,88,19,31,11,18,0,0,0,0,29,53,0,0,0,0,0,0,0,8,0,8,4,11,424,1223,33,..,464,1223
SSC10838,522,1768,31,63,11,24,38,85,69,100,187,243,0,0,4,9,263,350,0,0,0,0,0,0,0,0,0,0,0,4,827,2214,53,..,878,2214
SSC10839,52,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,10,24,0,0,59,181,4,..,67,181
SSC10840,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,..,9,15
SSC10841,448,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,7,0,5,452,1301,40,..,495,1301
SSC10842,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,..,4,8
SSC10843,3556,8971,63,99,8,15,77,112,497,783,0,0,0,0,0,4,495,791,50,65,16,20,0,0,19,37,83,125,12,19,4220,10016,315,..,4532,10016
SSC10844,121,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,121,299,47,..,169,299
SSC10845,773,2328,3,14,7,25,15,36,47,67,0,0,0,0,0,0,47,67,0,0,0,0,0,0,0,3,0,3,3,15,836,2449,76,..,912,2449
SSC10846,55,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,57,159,3,..,62,159
SSC10847,9418,30961,420,657,1139,3020,1560,3677,357,697,672,1366,594,1326,3,10,1623,3398,0,0,0,0,0,0,3,15,4,14,27,67,12639,38123,754,..,13395,38123
SSC10848,51,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,146,9,..,63,146
