SA2_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
101021007,3,7,0,5,11,5,7,0,0,14,13,10,0,0,27,5,4,0,0,11,9,0,0,0,14,0,0,0,0,6,0,0,4,0,4,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,61,32,15,8,121
101021008,15,9,3,0,26,32,13,3,5,47,45,22,10,3,79,38,10,5,0,55,28,12,3,3,50,15,8,4,0,20,12,8,8,0,25,7,4,0,0,12,18,13,4,0,40,5,4,0,0,15,260,126,53,23,455
101021009,13,11,4,0,29,28,5,5,3,43,58,28,7,3,92,66,22,7,0,100,39,21,0,0,59,23,7,3,0,34,18,11,0,0,37,10,5,0,0,15,14,10,4,3,37,4,0,0,0,6,315,139,41,13,511
101021010,3,0,0,0,7,11,3,0,0,20,25,8,0,0,42,23,11,4,0,40,17,6,3,0,30,9,3,0,0,13,7,0,0,0,11,5,3,3,0,12,3,3,0,0,12,3,0,0,0,0,147,52,19,8,216
101021012,11,8,0,0,14,14,6,5,0,32,36,17,4,0,58,55,19,9,0,86,46,27,5,0,79,21,3,6,0,32,28,18,3,0,53,15,17,5,0,37,8,18,7,0,36,3,4,0,0,5,274,155,46,8,480
101021610,0,4,0,0,10,5,0,0,0,3,11,8,0,0,17,15,13,4,0,32,15,14,0,0,29,7,7,0,0,10,9,0,3,0,10,6,9,0,0,11,0,0,0,0,0,0,0,0,0,0,73,64,12,4,155
101021611,8,3,0,3,11,19,8,0,0,30,41,19,3,0,61,39,15,0,6,56,38,28,4,0,76,17,7,0,0,26,15,8,4,0,27,7,12,6,0,27,15,20,9,6,42,5,0,0,0,5,223,137,42,15,415
101031013,7,0,0,0,7,7,3,3,0,18,7,3,4,4,16,7,0,0,0,10,6,0,0,0,3,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,54,16,9,6,89
101031014,16,8,7,3,32,30,6,3,5,42,35,16,4,0,54,18,8,0,0,28,14,11,3,3,30,3,7,0,0,11,9,0,0,0,15,7,5,3,0,9,11,5,0,0,18,5,0,0,0,7,173,78,31,16,303
101031015,0,3,0,0,9,4,0,0,0,10,12,7,0,0,15,5,0,3,0,12,9,3,0,0,6,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,56,17,11,4,90
101031016,8,4,0,0,17,14,14,0,0,30,27,8,5,0,44,23,15,0,0,35,18,8,0,0,26,4,5,0,0,12,7,3,0,0,17,3,4,0,0,6,14,6,0,0,14,4,0,0,0,4,138,66,22,4,223
101041017,22,6,15,0,44,30,14,3,6,54,64,26,7,6,104,23,20,6,0,50,12,8,0,0,29,10,0,0,0,8,5,4,0,0,3,6,3,0,0,8,7,9,5,8,33,6,4,0,0,8,240,117,51,29,432
101041018,22,17,3,0,34,33,13,3,4,54,58,18,16,8,102,19,15,5,0,39,8,13,8,0,35,6,4,0,0,12,4,3,4,0,10,3,6,0,0,4,16,9,4,0,33,3,3,0,0,5,231,121,51,13,418
101041019,29,10,5,7,50,31,11,0,4,51,57,32,5,0,96,39,16,3,0,56,23,6,0,0,32,8,0,0,0,12,7,0,0,0,14,7,0,0,4,11,6,12,0,0,25,9,4,0,0,12,270,115,36,21,444
101041020,14,8,3,0,27,28,5,6,4,43,62,13,7,5,81,16,4,4,4,28,8,3,0,0,17,6,6,0,0,18,4,5,0,0,6,0,0,0,0,0,21,18,4,0,39,9,0,0,0,5,207,86,29,12,345
101041021,9,0,0,0,11,14,0,0,0,21,20,10,6,0,36,12,9,0,0,17,6,10,3,0,14,4,0,0,0,7,3,0,0,0,6,0,0,0,0,6,13,3,4,0,13,0,0,0,0,4,86,34,15,8,146
