SA3_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
10102,255,19,8,5,3,290,110,16,9,0,0,135,99,13,14,0,0,122,158,39,17,5,3,217,235,33,40,0,3,313,671,75,147,6,3,898,864,206,73,0,4,1149,1568,254,46,3,6,1879,1072,62,13,3,7,1147,1151,53,20,5,0,1229,625,23,0,0,3,654,301,24,11,3,3,333,7112,813,394,28,31,8370
10103,95,4,0,0,3,102,68,0,3,0,0,71,68,0,0,0,3,75,160,0,4,0,8,173,212,3,7,4,3,224,455,11,9,0,3,481,307,14,7,0,3,334,318,9,3,3,4,338,120,0,3,0,4,131,83,0,0,3,0,84,55,0,0,4,0,56,108,0,3,0,4,112,2041,47,46,17,36,2183
10104,461,20,13,3,9,507,242,23,11,0,0,282,195,14,6,0,0,223,389,16,15,6,0,425,539,27,10,3,4,591,1319,56,41,11,20,1440,1274,36,12,8,8,1343,1161,18,9,8,9,1205,393,3,3,0,3,404,271,4,3,0,0,280,144,0,3,0,3,151,344,7,5,0,3,357,6731,239,126,49,65,7213
10105,158,5,0,3,0,167,93,10,0,0,0,107,97,3,0,0,0,102,183,8,3,3,0,194,283,7,3,5,0,298,769,29,4,3,3,808,869,23,0,3,0,894,775,8,3,3,8,797,279,6,0,0,0,286,199,3,0,0,0,201,106,0,0,0,0,103,189,3,0,0,0,192,3996,95,19,24,15,4144
10106,270,9,0,3,3,279,132,5,0,0,0,138,111,5,0,0,3,125,224,3,3,0,3,234,347,3,5,0,3,366,732,11,0,7,3,756,710,0,0,6,5,721,761,9,3,5,6,774,406,0,0,0,0,404,418,0,0,0,0,420,224,0,0,0,4,226,216,4,0,0,3,229,4541,57,15,25,30,4671
10201,895,79,50,9,4,1030,368,36,22,4,0,434,291,61,26,4,0,379,572,53,28,0,0,656,768,69,43,12,8,893,2251,221,146,11,0,2624,3170,277,166,16,7,3646,4826,249,142,16,8,5240,2477,62,70,3,3,2623,1923,61,49,4,4,2041,1050,18,12,6,0,1084,742,45,30,3,0,819,19330,1240,785,87,35,21478
10202,760,45,26,3,3,833,349,39,10,0,0,396,295,21,12,0,0,337,597,56,14,0,4,672,863,64,30,0,0,960,2794,174,79,3,3,3050,3934,180,69,5,3,4189,4805,136,34,3,3,4988,1796,27,13,0,3,1844,1064,31,3,0,3,1100,467,13,7,3,0,487,761,28,18,7,0,823,18485,807,326,30,25,19677
10301,218,13,0,0,3,226,93,6,3,0,0,103,100,3,3,0,3,105,194,14,3,0,0,214,296,19,5,4,0,318,934,41,11,0,9,992,1070,41,4,0,7,1121,1170,22,4,4,5,1204,506,5,3,0,3,512,279,0,0,0,3,288,148,3,0,0,0,149,201,5,7,0,3,208,5201,165,44,9,27,5451
10302,394,0,3,5,6,409,252,0,0,0,7,267,253,0,0,3,5,265,486,0,0,3,8,499,679,10,0,0,3,692,1298,9,4,4,11,1334,787,3,0,0,4,799,585,3,0,0,3,592,202,0,0,0,0,209,139,0,0,3,0,142,115,0,0,3,3,117,317,0,3,0,7,328,5505,32,18,29,59,5641
10303,198,3,5,3,0,215,171,3,0,0,0,179,135,5,0,7,0,146,251,12,0,9,3,277,359,6,0,12,0,377,890,9,3,30,6,948,859,6,4,38,5,910,926,7,3,24,6,964,404,0,0,3,3,417,262,0,0,7,4,272,142,0,0,0,7,149,227,3,0,5,0,232,4834,60,17,137,40,5090
