SA2_MAINCODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
101061541,15,9,7,18,125,4,7,21,22,15,3,4,35,113,3,5,26,18,18,0,13,63,145,635,279,694,509,220,61,53,298,2752
101061542,13,10,9,17,129,8,4,9,18,12,8,8,10,71,0,3,11,7,6,4,9,3,51,1187,460,1249,835,297,102,69,351,4549
101061543,35,22,24,19,232,23,6,20,33,32,18,18,18,177,28,12,35,29,39,16,22,23,219,946,425,999,833,473,199,156,366,4387
101061544,30,11,18,22,145,6,6,17,16,18,13,15,19,103,15,6,15,24,21,3,17,28,119,609,255,679,627,344,123,111,287,3042
102011028,10,7,3,6,98,6,4,7,13,11,0,0,0,47,3,5,15,11,3,4,3,0,46,688,307,933,558,180,45,19,153,2882
102011029,26,17,4,22,222,17,7,33,47,15,13,6,8,147,8,13,43,24,20,9,3,14,135,1048,482,1480,876,303,77,45,248,4558
102011030,9,0,0,0,57,0,3,3,12,8,5,0,10,37,0,3,11,3,5,0,3,5,31,523,194,465,299,138,32,14,195,1865
102011031,48,16,10,36,410,37,40,84,113,59,18,16,55,420,48,57,133,107,60,25,18,148,590,1384,715,1872,1230,465,114,79,498,6351
102011032,50,14,7,45,365,37,19,65,56,29,22,14,31,280,39,39,96,72,50,32,25,41,400,2481,1132,2052,1100,473,169,108,683,8191
102011033,13,4,0,7,69,3,0,15,3,5,0,3,4,39,0,0,9,9,0,0,5,5,33,705,272,754,358,137,49,28,135,2440
102011034,36,14,6,11,251,28,19,65,54,33,15,3,25,227,34,34,81,67,42,15,15,35,310,742,334,1099,635,252,65,47,166,3332
102011035,9,9,3,5,85,3,3,7,17,12,3,3,0,46,3,3,15,12,3,3,3,8,50,736,315,839,452,177,56,40,138,2756
102011036,17,3,0,6,95,7,0,20,20,12,7,5,10,83,4,18,33,25,19,3,4,8,112,827,395,932,609,244,57,38,158,3263
102011037,19,3,3,4,144,8,9,26,29,12,3,0,4,102,4,9,27,23,10,10,4,11,101,750,339,778,440,167,40,16,117,2645
102011038,19,5,0,9,132,11,8,33,33,18,0,9,12,123,10,11,21,33,22,4,6,12,122,716,277,946,576,195,44,27,157,2939
102011039,34,10,5,19,219,3,9,47,48,21,13,6,8,158,16,11,32,31,17,3,3,7,116,1492,560,1751,1078,322,94,42,323,5666
102011040,76,23,13,57,564,49,30,132,86,60,16,18,61,458,43,41,125,121,74,23,30,153,606,2509,1293,2957,1760,701,221,124,853,10428
102011041,11,3,0,16,148,9,5,27,23,21,7,8,9,98,12,18,26,22,11,8,3,8,107,972,387,1247,790,226,66,37,207,3939
102011042,39,22,5,34,363,35,24,62,80,49,9,15,39,305,35,42,91,90,36,24,20,66,401,1627,797,1640,1022,411,137,103,512,6255
102011043,31,7,9,19,251,26,6,54,47,21,10,10,41,216,32,40,84,66,36,20,8,137,409,1212,562,1363,852,296,123,75,483,4967
102021044,59,18,21,52,449,45,17,95,93,63,28,26,78,440,48,27,130,118,63,21,40,162,615,2154,1025,2833,1698,694,229,162,820,9606
102021045,18,10,6,9,144,6,4,22,19,13,9,14,7,95,6,3,19,19,15,4,4,9,76,1138,523,1137,832,355,122,90,257,4453
102021046,38,17,8,15,247,14,9,37,42,14,12,9,12,153,12,11,35,33,22,12,13,20,153,832,475,1132,817,302,96,74,279,4013
102021047,39,13,9,10,245,15,20,49,45,43,13,4,9,204,28,22,68,45,44,12,15,26,266,1588,741,1859,1211,475,154,66,325,6432
102021048,72,21,29,89,538,23,27,79,85,67,25,19,66,401,46,42,118,90,61,26,21,150,559,2208,1031,2486,1692,754,259,191,950,9575
102021049,3,0,0,5,37,4,0,3,9,4,0,0,0,16,3,0,6,4,0,0,0,3,16,367,137,349,238,101,26,12,132,1365
102021050,54,15,13,34,355,17,15,51,58,46,13,11,21,217,9,7,41,37,23,12,9,26,159,946,473,1378,989,401,121,65,320,4700
102021051,8,0,0,3,51,0,3,12,6,4,5,0,5,37,5,4,4,8,3,0,0,3,30,566,225,572,372,122,37,11,85,1987
102021052,15,7,5,3,105,9,5,6,25,8,9,0,9,72,3,3,13,12,3,3,5,0,50,477,269,765,482,174,49,26,130,2374
102021053,43,17,12,25,343,21,17,70,67,43,14,18,18,284,28,18,74,59,31,18,11,55,297,1510,810,1859,1117,457,144,109,595,6608
102021054,43,13,18,54,289,13,6,51,47,35,15,16,54,243,16,30,56,46,31,26,11,89,304,840,441,1172,782,350,120,70,517,4287
102021055,8,6,7,13,76,0,3,12,12,10,3,3,6,49,0,4,9,11,6,5,5,17,53,587,268,570,364,158,39,33,164,2183
102021056,28,12,11,15,218,11,17,31,44,22,10,9,10,159,8,15,26,33,18,7,15,26,153,1470,694,1687,1122,456,133,95,329,5985
102021057,19,9,5,20,147,9,3,24,21,19,9,0,17,101,3,7,17,12,16,8,11,22,98,900,441,902,638,271,118,68,329,3667
103011058,57,28,29,34,403,40,20,71,74,45,16,24,52,346,25,29,90,68,53,25,32,88,415,2914,1062,2395,1525,698,241,203,892,9924
103011059,20,12,8,16,136,12,4,25,40,22,4,7,14,135,12,12,22,21,23,5,9,37,141,1017,448,1172,846,363,118,79,315,4353
103011060,11,0,0,10,68,5,3,9,8,8,11,3,5,48,0,0,11,11,10,0,3,3,39,610,232,700,506,234,72,41,290,2676
103011061,13,4,6,14,76,5,3,4,7,8,9,14,17,65,0,8,12,12,17,9,8,8,64,353,170,444,347,189,66,53,226,1847
103021062,32,10,8,11,133,9,3,19,18,13,18,10,12,94,7,3,13,29,12,14,21,25,119,479,235,540,521,287,133,97,314,2611
103021063,40,13,12,30,240,10,11,36,43,33,13,14,7,169,20,21,44,60,42,13,27,20,248,797,387,904,785,418,144,133,356,3929
103021064,19,5,11,19,127,5,0,11,15,8,8,5,4,58,10,7,17,7,10,6,6,3,77,425,183,536,467,246,87,65,184,2190
103021065,34,18,20,37,230,13,10,31,46,33,22,14,16,188,14,5,32,38,29,20,14,19,177,820,328,925,883,413,186,98,407,4061
103021066,20,9,3,12,92,5,0,10,16,12,4,3,12,66,7,5,12,14,17,12,12,7,82,266,131,347,337,198,58,37,158,1531
103021067,38,23,18,42,241,19,3,32,33,28,16,20,37,188,16,6,37,41,35,23,25,47,223,975,416,1040,873,422,176,138,515,4554
103021068,12,0,6,10,54,0,0,11,8,3,5,3,3,40,0,0,9,11,8,0,8,10,53,244,95,288,270,172,50,53,161,1329
103021069,33,6,11,18,143,4,7,11,18,22,12,4,21,102,14,3,12,17,15,7,21,45,135,455,164,460,483,288,111,74,317,2349
103031070,50,27,12,31,316,21,11,40,54,32,20,14,28,222,19,24,54,50,28,17,15,32,242,1122,578,1423,963,430,162,116,510,5298
103031071,19,3,5,17,124,8,7,15,12,10,4,4,9,81,8,3,20,14,15,9,5,16,89,746,313,853,589,277,70,54,436,3342
103031072,40,15,20,30,227,13,12,24,26,31,23,16,23,166,20,19,44,44,35,13,12,20,208,1081,519,1214,841,410,141,101,449,4751
103031073,16,0,4,22,83,9,6,10,11,8,0,8,3,50,0,3,13,3,7,5,0,5,43,246,150,360,261,150,45,34,178,1422
103031074,32,11,8,27,177,17,10,20,20,13,9,4,27,124,8,6,19,13,13,7,6,7,84,738,353,1000,823,374,130,80,526,4037
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,18,16,8,16,130,10,11,17,16,22,15,3,7,89,11,5,11,21,16,10,9,9,94,669,265,703,565,293,118,51,245,2920
103041077,60,30,28,41,421,18,17,74,90,61,33,34,37,361,34,34,81,112,72,31,31,48,447,2075,884,1954,1446,675,261,212,746,8259
103041078,43,15,20,26,234,15,12,36,42,31,15,14,15,183,12,12,40,23,27,10,11,16,149,2057,805,2111,1413,578,176,153,471,7775
103041079,29,13,13,12,150,4,12,22,27,22,9,12,17,126,13,5,24,23,19,12,12,13,113,938,375,1178,967,436,138,90,361,4487
104011080,66,23,29,32,437,28,24,74,87,71,25,26,66,397,27,29,99,89,74,45,42,82,485,1610,784,2093,1563,780,267,219,682,7994
104011081,44,17,8,11,196,8,7,30,27,23,22,10,13,155,9,12,20,30,30,5,6,21,132,1262,573,1685,1193,613,198,132,576,6228
104011082,78,33,20,48,507,32,21,70,95,56,29,23,44,370,31,31,82,86,57,33,32,44,391,1370,701,2044,1491,651,226,138,615,7230
104021083,20,4,3,0,87,6,6,16,14,10,6,0,11,65,7,6,13,18,15,4,4,12,78,547,272,695,398,219,57,40,182,2412
104021084,45,13,25,39,389,16,21,71,64,44,20,20,28,286,17,29,71,65,41,18,14,51,312,1796,848,1952,1297,605,208,151,619,7473
104021085,34,21,11,60,321,18,9,43,32,31,16,13,49,218,16,17,49,43,27,24,18,200,387,1171,506,1079,753,299,111,106,664,4700
104021086,8,3,0,7,47,3,0,4,3,3,4,0,0,18,0,0,0,4,3,3,0,4,16,362,167,406,253,123,34,18,143,1509
104021087,14,4,3,7,79,3,3,3,14,13,4,6,6,46,0,3,7,9,13,3,6,9,53,279,154,327,252,141,41,39,139,1376
104021088,22,4,0,3,128,3,3,23,6,6,6,3,7,64,0,11,19,19,7,0,3,8,70,802,386,1133,702,229,55,35,243,3594
104021089,72,29,13,31,398,21,14,83,83,32,23,19,23,293,23,24,68,80,42,21,15,43,326,1836,839,2399,1650,676,225,143,524,8293
104021090,26,5,9,12,121,3,7,23,21,13,7,3,12,94,14,6,16,27,15,10,7,8,102,414,229,549,405,190,54,40,151,2030
104021091,41,13,9,32,251,15,5,36,44,33,19,14,19,189,14,13,44,33,30,9,9,15,173,1049,577,1473,998,448,134,71,474,5226
105011092,3,9,8,9,46,0,0,7,5,5,5,7,10,37,3,0,0,8,7,0,6,8,37,343,147,250,207,131,59,76,318,1529
105011093,10,5,6,12,74,3,0,7,8,11,3,5,8,50,3,3,9,7,0,7,7,9,47,368,144,424,311,170,62,52,230,1753
105011094,16,9,4,14,78,0,8,3,7,4,8,3,8,42,6,4,12,16,10,0,6,11,70,294,144,321,304,165,65,69,286,1642
105011095,19,8,15,14,113,7,4,12,9,18,3,7,17,72,5,3,10,19,16,9,3,12,73,399,176,449,373,215,73,53,235,1969
105011096,13,7,7,19,98,7,9,7,6,5,4,4,9,49,3,0,4,12,9,0,9,7,43,483,224,530,367,210,102,103,385,2403
105021097,56,37,10,52,391,15,19,62,64,54,27,24,56,326,12,18,61,64,52,22,17,146,398,1606,794,2098,1345,637,220,132,802,7629
105021098,6,6,4,5,24,0,0,0,7,3,0,0,3,11,0,3,3,6,3,0,0,4,21,187,90,190,147,71,43,46,159,928
105031099,27,15,16,19,168,7,7,27,30,37,11,12,18,145,12,10,29,28,34,9,18,17,154,576,255,812,643,375,128,136,370,3288
105031100,23,11,12,15,135,6,6,18,20,18,9,10,8,89,12,8,22,16,28,7,17,4,123,1077,408,1016,768,397,134,122,390,4311
105031101,66,27,24,37,342,18,17,52,50,47,21,28,38,271,11,21,51,71,49,20,29,65,323,1967,764,1633,1289,624,201,155,608,7235
105031102,28,13,11,21,165,3,3,16,31,15,10,18,11,101,0,0,11,19,15,3,6,11,62,828,380,821,653,296,116,94,339,3538
105031103,11,4,6,8,70,0,5,7,6,3,3,5,4,31,0,0,7,8,7,0,3,3,31,418,185,566,457,196,64,39,232,2166
105031104,19,7,8,16,110,5,3,12,22,10,13,8,6,71,4,5,17,16,10,4,9,8,75,345,144,409,399,209,73,59,175,1799
105031105,19,9,3,14,128,7,3,17,21,20,10,4,12,94,6,6,16,19,23,8,13,14,111,462,208,596,525,302,117,83,305,2591
105031106,31,12,12,31,176,12,9,22,28,26,8,12,19,133,18,10,23,31,23,13,11,26,151,663,304,722,628,340,143,133,511,3442
106011107,14,8,3,4,72,3,4,18,5,12,0,3,3,54,4,5,12,13,5,3,4,7,51,991,433,1064,699,278,97,51,287,3911
106011108,59,22,19,35,386,16,12,85,71,51,19,19,55,324,21,42,89,75,48,7,26,82,391,1952,1009,2380,1624,731,245,182,772,8886
106011109,12,3,3,14,95,6,0,15,15,11,5,3,7,57,3,5,8,12,6,5,4,3,41,787,333,832,573,230,71,30,404,3270
106011110,25,9,4,17,174,6,3,20,21,12,4,12,16,94,7,9,14,23,19,4,8,27,112,818,328,1010,743,309,91,65,333,3687
106011111,40,13,9,31,230,8,11,42,46,26,14,12,29,195,13,21,48,34,37,12,15,57,233,1625,828,1952,1294,558,178,142,561,7148
106011112,40,15,13,20,184,8,13,21,34,24,13,12,14,142,19,14,34,34,26,24,21,28,201,1491,642,1660,1136,521,164,130,465,6207
106011113,6,3,0,9,52,3,5,6,9,8,0,3,8,33,0,0,4,6,7,5,0,0,20,393,174,486,338,154,52,24,259,1883
106021114,15,4,10,7,89,6,5,15,14,11,4,6,13,73,21,7,23,24,19,11,5,20,126,769,317,671,426,176,56,36,223,2681
106021115,68,38,29,44,467,16,13,82,110,58,30,22,49,378,21,29,60,78,49,23,17,54,342,2813,1266,3237,2072,853,293,199,716,11453
106021116,16,10,4,11,107,5,3,10,16,16,4,6,8,66,4,3,14,12,12,3,4,27,89,743,282,915,605,219,64,45,175,3050
106021117,27,25,13,21,254,10,8,43,46,30,10,16,31,199,15,17,41,46,37,11,18,40,228,2270,1049,2466,1594,672,208,174,569,8999
106021118,18,7,3,0,85,0,8,11,9,6,0,0,3,36,0,8,11,3,9,0,8,0,35,1003,445,1290,689,241,56,35,138,3907
106031119,20,3,3,26,133,6,7,19,14,12,3,6,12,77,6,3,8,5,9,7,10,17,59,511,215,739,451,187,47,31,267,2448
106031120,22,8,4,11,146,14,3,21,22,8,9,4,3,85,9,14,19,27,13,4,3,14,93,487,316,803,579,244,65,40,214,2749
106031121,64,28,8,74,618,32,41,96,111,59,20,10,80,456,36,37,112,78,54,39,15,190,564,1986,935,2872,1727,656,203,90,919,9379
106031122,34,17,12,22,221,3,4,40,43,32,12,18,21,184,14,17,44,29,25,6,19,13,178,1236,629,1483,1010,472,181,128,487,5630
106031123,6,3,3,3,48,0,4,8,3,9,0,5,6,35,0,3,4,0,4,3,0,0,18,544,188,642,436,158,41,32,114,2160
106031124,33,10,0,9,206,10,12,36,40,19,4,11,7,135,11,16,46,25,16,5,6,11,134,401,227,725,529,204,63,29,143,2315
106031125,22,13,9,19,166,7,3,17,33,25,9,4,15,106,7,7,10,22,9,3,11,10,68,1195,510,1560,1041,401,95,64,452,5324
106041126,29,7,11,13,138,8,6,26,27,15,12,6,13,119,8,5,16,23,12,14,9,14,96,1028,478,1175,858,394,152,133,334,4553
106041127,13,4,0,5,49,0,0,4,8,3,4,5,0,28,3,0,5,5,5,5,12,0,42,349,121,396,333,130,37,33,141,1544
106041128,22,6,0,15,119,12,9,20,27,18,3,7,7,100,13,9,22,21,19,6,8,22,118,567,230,614,486,178,70,37,206,2380
106041129,23,7,6,21,143,10,10,19,24,13,8,9,10,99,3,6,22,13,17,8,9,24,102,697,295,802,665,306,92,74,387,3312
107011131,83,27,13,33,494,19,16,83,102,59,27,10,36,359,15,23,105,70,40,33,30,56,370,2264,1054,2942,1893,769,246,151,535,9856
107011132,8,3,3,7,106,0,0,13,24,6,3,5,4,63,0,3,12,13,4,7,3,3,54,868,420,1102,636,188,70,35,113,3426
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,24,8,6,29,196,10,11,47,57,21,10,12,51,228,14,10,53,51,30,17,9,144,328,1620,639,1926,1112,408,138,89,569,6504
107011545,50,20,14,11,300,18,16,58,56,34,29,25,28,258,3,13,35,50,28,21,12,18,188,1418,566,1453,1033,493,189,143,402,5699
107011546,31,6,12,19,246,7,16,64,50,27,8,15,25,202,4,22,72,46,25,17,12,21,215,967,466,1087,682,298,114,109,308,4038
107011547,15,11,3,11,142,6,4,34,29,5,3,3,18,106,0,3,27,14,7,3,3,3,67,401,193,570,340,127,38,22,134,1828
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
107031136,30,17,5,21,168,3,12,16,29,16,15,4,17,105,12,7,30,38,14,6,12,60,180,1417,616,1774,1070,363,139,65,350,5794
107031137,27,12,8,17,125,6,3,17,15,9,7,12,21,93,0,6,16,13,12,5,7,91,146,677,303,812,517,202,82,42,301,2937
107031138,22,8,5,25,212,13,7,32,28,21,9,3,22,138,6,12,42,42,24,12,4,40,194,810,313,1009,696,229,70,30,245,3410
107031139,13,4,3,5,84,8,8,14,20,11,3,4,0,73,3,6,15,15,14,9,7,3,71,494,228,855,485,159,37,24,109,2386
107031140,20,3,5,17,168,10,13,29,31,22,7,0,18,130,26,15,35,35,25,8,4,38,188,790,285,926,680,260,73,36,323,3366
107031141,26,9,7,14,197,7,8,28,33,18,15,10,11,124,3,4,17,16,17,13,12,11,96,1610,691,2193,1176,404,115,60,392,6639
107031142,31,13,10,11,183,4,3,35,38,23,14,4,17,136,12,14,33,31,16,7,11,14,146,1102,449,1298,787,275,101,58,249,4323
107031143,63,30,25,47,484,9,14,87,70,50,24,24,36,319,8,17,61,54,43,23,20,59,277,1883,924,2365,1597,725,279,192,740,8708
107041144,49,27,12,21,458,18,12,110,102,38,20,18,30,353,20,50,111,90,44,22,25,30,399,2691,978,2520,1543,510,167,114,527,9042
107041145,40,12,11,26,280,13,14,78,48,30,17,15,11,229,14,26,84,78,33,19,17,22,289,1782,728,1885,1121,428,143,118,418,6625
107041146,35,10,8,14,373,21,18,103,85,37,20,5,15,298,25,38,100,91,40,14,16,20,346,2667,923,2545,1465,453,137,87,410,8683
107041147,16,4,3,9,72,0,5,9,9,7,3,3,12,54,0,3,24,15,3,0,5,20,80,898,383,1021,577,189,61,31,226,3389
107041148,6,12,5,9,130,6,6,36,32,17,9,3,18,128,3,11,42,23,18,12,12,13,125,1301,505,1433,778,232,68,43,278,4630
107041150,54,12,5,15,318,14,10,73,83,42,20,10,31,283,23,29,96,86,43,21,15,46,354,2042,874,2519,1574,507,163,71,481,8225
107041548,32,7,3,51,307,16,7,52,57,23,11,8,34,216,24,25,62,62,23,14,14,54,280,2847,594,1134,625,252,79,51,835,6432
107041549,26,8,8,22,255,15,14,53,42,15,9,4,15,162,14,21,55,48,31,19,9,21,214,2763,807,1554,827,304,99,69,462,6897
108011151,16,13,7,3,102,3,3,7,13,13,4,6,6,63,5,8,23,12,8,7,8,5,72,391,192,556,375,184,83,39,136,1960
108011152,64,17,16,59,486,38,23,94,91,53,26,16,46,386,32,26,103,94,57,18,17,106,461,1237,633,1893,1349,540,165,97,580,6485
108011153,13,13,3,5,127,6,3,8,20,12,3,5,3,53,3,0,9,12,15,4,0,6,51,449,225,725,537,226,70,35,194,2454
108011154,41,8,13,35,271,21,19,55,47,39,13,10,38,238,29,27,62,51,34,9,8,68,285,503,300,880,556,249,82,38,325,2933
108021155,45,22,14,42,290,22,11,36,35,40,16,15,50,219,16,20,47,35,45,25,17,123,327,1158,583,1369,1047,609,249,183,833,6031
108021156,27,11,4,15,155,6,0,20,16,12,5,3,12,77,4,15,16,16,14,5,8,14,96,733,377,959,730,301,142,76,367,3680
108021157,15,9,5,16,113,3,3,16,21,17,12,8,8,89,11,8,23,7,14,19,12,30,130,377,204,542,406,188,82,50,190,2038
108021158,34,17,5,21,214,11,14,36,33,32,16,0,30,174,18,16,49,51,26,18,8,60,231,599,332,833,549,298,111,59,319,3089
108021159,18,7,3,15,137,8,3,16,23,16,10,4,8,82,0,3,15,8,15,0,3,8,63,630,284,825,616,293,107,72,282,3109
108021160,35,9,0,14,162,5,6,20,26,18,8,6,14,107,11,15,30,25,23,7,7,10,119,405,246,670,498,182,63,34,172,2276
108031161,0,0,0,0,11,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,7,57,17,45,19,4,0,0,15,163
108041162,78,36,14,52,566,39,24,86,88,63,35,17,35,394,28,21,71,71,57,17,19,74,358,1306,751,2250,1597,633,197,101,569,7412
108041163,102,36,22,75,739,68,31,135,106,81,29,35,49,538,75,51,147,107,76,28,26,147,656,2892,1330,3697,2188,880,268,137,869,12268
108041164,65,29,15,55,544,34,45,121,100,69,22,17,59,473,63,65,136,123,79,17,25,82,587,1778,909,2190,1447,629,186,115,687,7949
108041165,4,5,3,16,72,0,0,10,8,0,0,9,0,33,3,3,3,8,3,4,3,7,36,476,193,576,410,162,73,35,227,2159
108041166,42,16,9,20,218,12,13,39,39,27,15,9,21,177,13,14,33,44,18,11,26,36,189,964,443,1284,942,408,144,113,372,4671
108051167,24,14,3,11,131,8,0,32,26,16,8,6,12,120,7,12,29,22,14,4,9,17,114,382,176,602,485,211,82,43,179,2158
108051168,39,10,6,25,242,9,13,26,41,32,13,7,18,169,8,12,34,35,22,8,7,41,167,857,426,1434,938,437,111,58,321,4582
108051169,92,37,33,58,557,36,19,79,84,56,32,21,52,379,33,37,97,101,66,30,37,127,535,1875,839,2216,1701,873,327,246,802,8874
108051170,41,10,14,20,267,7,3,29,29,21,7,3,15,120,7,4,20,32,30,10,3,13,116,1036,465,1477,1088,484,165,78,477,5272
108051171,14,10,6,12,124,5,5,35,25,18,12,8,17,121,9,5,32,8,16,6,7,27,119,485,214,668,461,236,76,48,178,2366
109011172,36,11,7,19,208,12,11,34,50,18,9,16,24,170,10,12,47,37,29,22,12,9,183,1890,655,1598,1080,413,126,80,393,6236
109011173,32,15,14,23,174,11,12,23,39,28,9,22,13,149,8,16,31,30,30,7,13,14,155,1065,453,1024,679,334,119,102,370,4142
109011174,30,8,16,31,209,16,11,41,25,25,8,11,41,176,26,18,48,42,30,11,19,94,288,1299,435,1059,797,307,91,82,489,4554
109011175,28,16,12,12,168,14,7,21,23,24,13,10,16,121,7,3,22,35,22,12,10,39,156,916,359,1123,999,493,167,115,374,4548
109011176,46,21,31,38,322,16,16,37,45,36,28,26,32,238,9,14,43,43,40,15,21,16,207,1509,715,1545,1108,486,191,146,528,6236
109021177,17,4,13,12,68,0,0,9,9,3,3,7,13,46,0,3,3,3,6,0,3,12,32,229,109,282,230,119,42,45,162,1219
109021178,23,8,6,15,98,4,3,15,13,16,9,6,7,71,3,9,16,14,14,8,9,11,85,464,199,612,471,248,73,62,272,2397
109021179,19,5,3,9,70,0,3,4,9,4,3,8,3,41,7,0,0,5,4,3,6,9,33,247,110,287,303,145,49,43,177,1372
109031180,22,8,12,28,161,5,4,21,20,18,11,16,16,113,9,3,22,23,11,10,15,45,135,442,196,597,515,207,88,68,232,2353
109031181,33,23,12,20,172,9,8,18,22,27,11,9,18,114,7,10,10,20,11,10,6,17,94,507,224,718,519,317,98,66,281,2736
