SA2_MAINCODE_2016,C06_1PF_U_N,C06_1PF_U_1_149,C06_1PF_U_150_299,C06_1PF_U_300_399,C06_1PF_U_400_499,C06_1PF_U_500_649,C06_1PF_U_650_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_3999,C06_1PF_U_4000m,C06_1PF_U_Ns,C06_1PF_U_T,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_149,C06_1PF_N_lf_Fi_150_299,C06_1PF_N_lf_Fi_300_399,C06_1PF_N_lf_Fi_400_499,C06_1PF_N_lf_Fi_500_649,C06_1PF_N_lf_Fi_650_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_3999,C06_1PF_N_lf_Fi_4000m,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_lf_T,C06_1PF_LFns_N,C06_1PF_LFns_1_149,C06_1PF_LFns_150_299,C06_1PF_LFns_300_399,C06_1PF_LFns_400_499,C06_1PF_LFns_500_649,C06_1PF_LFns_650_799,C06_1PF_LFns_800_999,C06_1PF_LFns_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_LFns_2500_2999,C06_1PF_LFns_3000_3999,C06_1PF_LFns_4000m,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_149,C06_1PF_TFI_150_299,C06_1PF_TFI_300_399,C06_1PF_TFI_400_499,C06_1PF_TFI_500_649,C06_1PF_TFI_650_799,C06_1PF_TFI_800_999,C06_1PF_TFI_1000_1499,C06_1PF_TFI_1500_1999,C06_1PF_TFI_2000_2499,C06_1PF_TFI_2500_2999,C06_1PF_TFI_3000_3999,C06_1PF_TFI_4000m,C06_1PF_TFI_Ns,C06_1PF_TFI_T,C06_TFI_N,C06_TFI_1_149,C06_TFI_150_299,C06_TFI_300_399,C06_TFI_400_499,C06_TFI_500_649,C06_TFI_650_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_3999,C06_TFI_4000m,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_149,C11_CFNC_BF_150_299,C11_CFNC_BF_300_399,C11_CFNC_BF_400_499,C11_CFNC_BF_500_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000m,C11_CFNC_BF_Ns,C11_CFNC_BF_T,C11_CFNC_BPT_N,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_299,C11_CFNC_BPT_300_399,C11_CFNC_BPT_400_499,C11_CFNC_BPT_500_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000m,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_299,C11_CFNC_1F1P_300_399,C11_CFNC_1F1P_400_499,C11_CFNC_1F1P_500_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_299,C11_CFNC_1E1A_300_399,C11_CFNC_1E1A_400_499,C11_CFNC_1E1A_500_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_299,C11_CFNC_1F1NW_300_399,C11_CFNC_1F1NW_400_499,C11_CFNC_1F1NW_500_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_T,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_299,C11_CFNC_1P1NW_300_399,C11_CFNC_1P1NW_400_499,C11_CFNC_1P1NW_500_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000m,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_T,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_299,C11_CFNC_1A1NW_300_399,C11_CFNC_1A1NW_400_499,C11_CFNC_1A1NW_500_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_149,C11_CFNC_BA_150_299,C11_CFNC_BA_300_399,C11_CFNC_BA_400_499,C11_CFNC_BA_500_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_999
101021007,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,6,3,6,0,5,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,18,3,27,4,5,4,4,0,0,0,0,13,84,9,16,16,37,54,83,33,59,139,60,25,21,13,6,84,648,3,0,3,0,3,7,6,5,12,16,13,8,13,7,8,103,0,0,3,0,0,3,3,3,5,3,3,0,0,0,0,28,0,0,0,0,0,0,7,7,25,15,4,5,4,0,0,64,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,15,0,0,3,0,0,0,3,6,4,5,4,8,0,0,0,35,0,0,0,0,0,5,7,4,6,3,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0
101021008,0,0,4,11,0,3,0,0,0,0,0,0,0,0,4,23,0,5,25,33,3,42,12,10,23,11,0,3,0,0,34,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,4,27,56,6,98,47,32,87,26,9,11,4,0,73,493,3,14,38,66,126,188,118,143,539,378,247,172,108,19,282,2443,0,0,0,0,0,0,0,3,21,55,85,32,48,22,0,270,0,0,0,0,0,0,4,5,7,0,0,0,3,0,0,19,0,0,0,0,0,0,0,3,24,19,10,0,6,0,3,73,0,0,0,0,0,0,0,3,0,8,7,0,3,0,0,19,0,0,0,0,0,0,11,8,22,13,3,12,3,0,5,81,0,0,4,3,4,0,7,8,8,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
101021009,0,0,3,6,0,4,0,0,3,0,0,0,0,0,3,18,0,5,14,17,9,32,7,14,30,7,0,0,0,0,16,150,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,11,3,5,25,35,10,83,49,42,93,40,7,10,3,0,59,464,10,12,31,49,132,185,134,151,497,306,196,106,59,14,238,2135,0,0,0,0,0,0,0,5,33,65,88,52,66,27,0,350,0,0,0,0,0,0,0,5,7,4,3,4,0,0,0,28,3,0,0,0,3,0,0,14,32,42,21,13,15,0,0,136,0,0,0,0,0,0,0,0,3,4,5,4,3,0,0,29,0,0,0,0,0,0,5,13,35,21,12,3,3,0,5,99,0,0,0,0,4,7,5,4,10,4,0,0,0,0,4,44,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,10,0,12,9,5,4,0,0,0,0,0,11,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,25,0,24,23,13,44,14,0,7,5,0,18,173,3,8,13,27,43,53,45,47,206,143,83,79,69,21,103,933,0,0,0,0,0,0,0,3,13,34,47,27,53,19,0,198,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,18,15,8,3,10,5,0,68,0,0,0,0,0,0,0,3,5,7,3,0,0,0,0,23,0,0,0,0,0,0,3,6,15,4,3,12,0,0,0,43,0,0,0,0,4,4,3,0,3,7,4,3,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0
101021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,7,12,4,10,6,7,8,3,0,0,0,0,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,9,25,5,39,22,23,55,16,6,14,0,0,24,254,27,15,25,44,84,147,86,153,654,432,413,384,409,151,468,3486,0,0,0,0,0,3,8,7,29,36,84,49,141,103,6,477,0,0,0,0,0,8,3,15,13,14,3,4,3,3,0,68,0,0,0,0,3,0,3,12,38,41,46,23,40,26,6,239,0,0,0,0,0,0,0,0,0,12,12,7,12,13,0,61,0,0,0,0,0,3,7,7,24,31,17,43,16,7,0,158,0,0,0,3,0,8,10,11,20,13,6,3,4,0,3,86,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
101021012,0,3,3,0,0,3,0,0,3,0,0,0,0,0,3,16,4,3,7,19,0,18,4,9,12,8,0,0,0,0,4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,29,0,44,26,30,102,44,17,22,3,3,40,378,15,16,16,38,38,102,65,127,526,491,446,404,378,133,393,3183,0,0,0,0,0,0,3,3,10,38,90,75,136,92,3,451,0,0,0,0,0,0,3,0,0,7,3,0,4,3,0,25,0,0,0,0,0,0,0,3,14,24,27,19,23,7,0,124,0,0,0,0,0,0,0,0,3,7,8,9,11,9,0,40,0,0,0,0,0,4,3,10,19,20,10,22,6,4,5,95,0,0,0,0,0,5,4,0,9,12,4,0,3,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,5,14,4,3,4,0,0,0,0,0,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,5,30,12,8,4,0,0,0,0,0,11,93,3,9,6,16,73,86,59,52,170,63,29,20,10,0,90,682,0,0,0,0,0,0,3,3,14,11,12,5,7,0,3,67,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12,12,11,4,4,0,0,3,55,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,9,5,7,3,0,0,0,0,0,29,0,0,3,0,0,3,6,3,0,0,0,0,0,0,3,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
101031014,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,22,15,30,6,10,7,0,0,0,0,0,14,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,19,53,17,55,31,22,41,10,4,3,0,3,37,297,3,19,27,59,135,191,112,126,424,202,96,64,41,11,190,1703,0,0,0,0,3,5,4,13,33,29,41,9,18,6,4,171,0,0,0,0,0,0,3,15,10,3,3,0,0,3,0,34,0,0,0,0,0,0,0,7,29,29,12,12,0,0,3,98,0,0,0,0,4,0,0,0,3,4,3,0,0,0,0,16,0,0,0,0,0,4,12,13,25,11,5,10,0,0,5,80,0,0,0,0,5,15,8,5,12,6,0,3,0,0,0,57,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,0,4,3,3,4,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,14,0,12,7,4,12,0,0,0,0,0,14,71,11,14,10,22,62,90,60,47,182,92,41,28,16,10,106,792,0,0,3,0,0,3,7,8,18,18,22,10,16,4,0,107,0,0,0,0,0,3,0,6,4,3,3,0,0,0,0,28,0,0,0,0,0,0,4,16,15,8,12,3,0,3,0,62,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,11,0,0,0,0,0,6,0,5,5,9,0,4,0,0,3,40,0,0,0,0,0,5,4,3,6,7,0,0,0,0,0,20,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
101031016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,5,0,3,0,0,3,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,3,20,3,18,31,4,0,3,0,0,22,130,13,20,9,25,53,98,47,66,356,202,82,68,43,4,173,1261,0,0,0,0,0,0,0,5,40,45,36,13,16,6,0,172,0,0,0,0,0,0,3,4,11,3,3,4,0,0,0,28,0,0,0,0,0,0,4,13,23,18,12,0,8,0,3,95,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,19,0,0,0,0,0,0,9,3,14,5,3,0,0,0,0,39,0,0,0,0,0,12,4,3,11,3,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
