SA2_MAINCODE_2016,C06_Se_h_NPUR_1,C06_Se_h_NPUR_2,C06_Se_h_NPUR_3,C06_Se_h_NPUR_4,C06_Se_h_NPUR_5,C06_Se_h_NPUR_6more,C06_Se_h_Tot,C06_SDRTHT1S_NPUR_1,C06_SDRTHT1S_NPUR_2,C06_SDRTHT1S_NPUR_3,C06_SDRTHT1S_NPUR_4,C06_SDRTHT1S_NPUR_5,C06_SDRTHT1S_NPUR_6mo,C06_SDRTHT1S_To,C06_SDRTHT2S_NPUR_1,C06_SDRTHT2S_NPUR_2,C06_SDRTHT2S_NPUR_3,C06_SDRTHT2S_NPUR_4,C06_SDRTHT2S_NPUR_5,C06_SDRTHT2S_NPUR_6mo,C06_SDRTHT2S_To,C06_SDRTHT_NPUR_1,C06_SDRTHT_NPUR_2,C06_SDRTHT_NPUR_3,C06_SDRTHT_NPUR_4,C06_SDRTHT_NPUR_5,C06_SDRTHT_NPUR_6mor,C06_SDRTHT_Tot,C06_FUA_1_2SB_NPUR_1,C06_FUA_1_2SB_NPUR_2,C06_FUA_1_2SB_NPUR_3,C06_FUA_1_2SB_NPUR_4,C06_FUA_1_2SB_NPUR_5,C06_FUA_1_2SB_NPUR_6mor,C06_FUA_1_2SB_Tot,C06_FUA_I_a_3SB_NPUR_1,C06_FUA_I_a_3SB_NPUR_2,C06_FUA_I_a_3SB_NPUR_3,C06_FUA_I_a_3SB_NPUR_4,C06_FUA_I_a_3SB_NPUR_5,C06_FUA_I_a_3SB_NPUR_6m,C06_FUA_In_a_3SB_To,C06_FUA_4mor_s_b_NPUR_1,C06_FUA_4mor_s_b_NPUR_2,C06_FUA_4mor_s_b_NPUR_3,C06_FUA_4mor_s_b_NPUR_4,C06_FUA_4mor_s_b_NPUR_5,C06_FUA_4m_s_b_NPUR_6mor,C06_FUA_4mor_st_bl_Tot,C06_FUA_AH_NPUR_1,C06_FUA_AH_NPUR_2,C06_FUA_AH_NPUR_3,C06_FUA_AH_NPUR_4,C06_FUA_AH_NPUR_5,C06_FUA_AH_NPUR_6mo,C06_FUA_AH_Tot,C06_FUA_To_NPUR_1,C06_FUA_To_NPUR_2,C06_FUA_To_NPUR_3,C06_FUA_To_NPUR_4,C06_FUA_To_NPUR_5,C06_FUA_To_NPUR_6mo,C06_FUA_To_To,C06_OD_CCH_NPUR_1,C06_OD_CCH_NPUR_2,C06_OD_CCH_NPUR_3,C06_OD_CCH_NPUR_4,C06_OD_CCH_NPUR_5,C06_OD_CCH_NPUR_6mo,C06_OD_CCH_Tot,C06_OD_IHTSO_NPUR_1,C06_OD_IHTSO_NPUR_2,C06_OD_IHTSO_NPUR_3,C06_OD_IHTSO_NPUR_4,C06_OD_IHTSO_NPUR_5,C06_OD_IHTSO_NPUR_6mo,C06_OD_IHTSO_Tot,C06_OD_H_f_a_s_o_NPUR_1,C06_OD_H_f_a_s_o_NPUR_2,C06_OD_H_f_a_s_o_NPUR_3,C06_OD_H_f_a_s_o_NPUR_4,C06_OD_H_f_a_s_o_NPUR_5,C06_OD_H_f_a_s_o_NPUR_6mor,C06_OD_H_f_a_s_o_TO,C06_OD_Tot_NPUR_1,C06_OD_Tot_NPUR_2,C06_OD_Tot_NPUR_3,C06_OD_Tot_NPUR_4,C06_OD_Tot_NPUR_5,C06_OD_Tot_NPUR_6mor,C06_OD_T_T,C06_DS_ns_NPUR_1,C06_DS_ns_NPUR_2,C06_DS_ns_NPUR_3,C06_DS_ns_NPUR_4,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4
106021118,289,773,524,673,231,95,2573,3,3,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,7,10,12,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,11,14,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,788,529,674,231,95,2618,298,868,530,655,274,104,2727,33,39,8,8,0,0,85,10,11,3,0,0,0,31,50,48,10,8,0,0,114,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106031119,326,606,273,322,113,70,1713,11,20,19,6,0,3,63,26,34,17,14,3,0,91,40,54,29,18,6,5,153,5,16,5,0,0,0,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,4,0,0,3,37,32,29,6,0,0,0,71,4,0,0,0,0,0,6,0,6,0,5,0,0,10,39,38,6,5,0,0,81,0,0,0,0,0,0,0,409,718,322,350,125,75,1988,353,610,241,271,127,74,1675,16,29,10,9,4,0,68,23,43,22,16,5,0,114,41,72,33,24,13,0,186,5,0,3,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,10,11,7,6,0,0,0,23,31,20,0,0,0,0,56,0,0,0,0,0,0,3,0,4,0,0,0,0,11,36,28,0,3,0,0,64,0,3,0,0
106031120,465,857,300,258,133,54,2058,58,40,4,8,0,0,110,14,14,9,3,3,0,32,70,47,12,8,3,0,147,26,14,0,0,3,0,41,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,4,3,0,0,0,0,10,0,0,0,0,0,0,0,567,926,314,264,134,54,2257,569,944,334,263,144,60,2317,66,30,5,3,0,0,111,13,27,9,7,0,0,62,86,54,13,11,3,0,172,19,13,3,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,3,0,4,0,34,4,4,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,11,7,8,3,0,0,0,21,0,0,0,0
106031121,956,2096,689,656,280,101,4770,483,388,84,40,17,3,1011,129,258,87,57,18,4,559,609,652,167,98,36,10,1568,174,110,16,17,0,0,314,45,45,9,3,0,0,106,27,54,6,0,0,0,89,7,0,0,0,0,0,9,250,208,32,21,0,3,520,70,24,4,3,0,0,104,4,0,0,0,0,0,4,7,3,3,0,3,0,20,79,32,10,4,3,3,125,0,0,0,0,0,0,3,1898,2989,893,774,317,118,6984,1179,2199,660,668,292,123,5118,411,352,83,37,18,4,907,209,341,104,106,28,3,789,624,692,186,144,38,8,1697,255,180,34,31,13,3,506,75,52,3,3,0,0,136,61,69,8,3,0,0,148,3,0,0,0,0,0,9,390,304,51,43,8,4,801,58,24,3,0,0,0,88,0,0,0,0,0,0,0,4,0,3,5,0,0,14,62,28,6,3,0,0,103,6,3,0,0
106031122,855,1443,726,721,328,187,4262,23,17,7,3,3,0,55,16,19,9,4,5,0,56,37,32,20,4,6,3,105,169,80,19,8,0,0,278,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,0,3,173,83,19,8,0,0,289,74,34,11,3,0,0,124,0,0,0,0,0,0,0,4,3,0,0,0,0,8,75,41,14,3,3,0,137,0,0,0,0,0,0,0,1139,1602,780,738,332,192,4791,823,1434,735,652,358,189,4199,183,128,37,16,13,3,382,54,39,21,4,0,0,125,244,166,59,20,15,3,507,131,45,4,4,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,45,4,4,0,0,180,143,61,5,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,59,5,0,0,0,214,3,0,0,0
106031123,123,437,271,350,187,61,1434,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,8,0,0,0,0,0,0,3,3,6,0,3,3,0,14,0,0,0,0,0,0,0,126,447,272,359,187,61,1454,145,544,248,371,189,98,1587,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0
106031124,379,852,144,91,56,15,1543,21,24,4,0,0,0,53,32,19,5,0,0,0,58,49,40,9,4,0,0,108,16,4,6,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,6,6,0,0,0,27,13,16,3,3,3,0,42,0,0,0,0,0,0,0,10,3,0,0,0,0,14,21,19,3,3,3,4,59,0,0,0,0,0,0,0,476,924,166,105,61,18,1735,442,916,141,104,63,22,1688,26,33,10,10,0,3,78,20,35,16,10,0,0,78,48,68,19,19,3,3,162,25,12,0,0,0,0,38,8,9,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,17,8,0,0,0,66,9,3,0,0,0,0,17,3,0,0,0,0,0,3,6,0,0,0,0,0,5,21,3,3,0,0,0,26,0,0,0,0
106031125,527,1292,633,800,340,117,3708,5,12,0,0,4,4,22,0,3,0,0,0,0,3,5,15,0,0,4,4,25,14,15,3,5,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,14,21,15,4,5,4,0,51,46,37,3,0,0,0,86,0,0,0,0,0,0,0,3,0,0,0,0,0,3,50,37,3,0,0,0,91,0,0,0,0,0,0,0,603,1357,641,800,345,121,3874,673,1439,676,802,327,159,4080,9,7,3,3,3,0,24,6,0,0,0,0,0,6,9,7,3,3,3,0,31,9,17,12,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,11,18,13,3,0,0,50,55,41,0,0,0,0,98,3,0,0,0,0,0,3,0,0,0,0,0,0,0,57,37,0,0,0,0,100,0,0,0,0
106041126,653,1162,577,577,343,123,3428,40,45,7,14,7,3,120,0,0,0,0,0,0,3,46,46,7,14,7,3,123,181,64,16,10,4,0,280,8,3,3,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,5,191,72,19,10,3,0,293,21,15,3,0,0,0,36,0,0,0,0,0,0,0,0,3,0,0,0,0,3,21,13,3,0,0,0,35,0,0,0,0,0,0,0,904,1292,605,603,355,124,3878,784,1251,592,603,313,121,3671,61,34,13,10,0,0,121,19,11,0,3,0,0,35,83,47,16,9,3,0,152,198,64,22,11,3,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,64,22,11,3,0,299,23,10,0,0,0,0,34,0,0,0,0,0,0,0,7,0,0,0,0,0,4,28,16,0,0,3,0,43,11,5,0,0
106041127,266,450,194,208,113,51,1282,3,20,5,3,3,0,33,0,0,0,0,0,0,0,3,20,5,3,3,0,33,42,22,4,3,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,21,4,3,0,0,72,14,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,3,17,0,7,4,0,0,23,3,3,0,0,0,0,4,322,498,209,224,119,52,1420,253,463,175,193,121,45,1257,38,10,5,0,0,0,57,0,4,0,0,0,0,3,38,11,5,3,0,0,57,12,5,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,0,0,21,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,3,0,0,0,10,0,0,0,0
106041128,391,638,289,281,132,37,1766,56,18,5,3,0,0,85,0,0,0,0,0,0,0,56,18,5,3,0,0,85,110,47,10,3,0,0,177,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,50,10,3,0,0,178,30,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,33,0,0,0,0,0,0,0,594,712,306,287,131,37,2065,452,683,301,304,167,48,1956,35,25,10,3,0,0,72,0,0,0,0,0,0,0,35,25,10,3,0,0,72,99,47,13,8,0,0,164,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,104,50,13,8,0,0,172,27,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,3,27,3,0,3,0,0,38,0,0,0,0
106041129,667,1072,389,385,198,75,2786,5,9,0,0,0,0,16,0,0,0,0,0,0,0,5,4,0,0,0,0,18,46,18,3,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,18,3,0,0,0,70,32,11,0,0,0,0,44,0,0,0,0,0,0,0,3,5,3,4,0,0,13,37,11,3,4,0,0,54,0,0,0,0,0,0,5,764,1110,398,388,198,75,2932,722,1100,413,378,183,75,2877,17,8,5,3,0,0,29,0,0,0,0,0,0,0,14,7,5,3,0,0,34,12,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,20,6,0,0,0,0,27,34,16,0,3,0,0,54,0,0,0,0,0,0,0,9,6,0,0,0,0,12,44,22,0,3,0,0,67,3,0,0,0
107011131,1168,2576,1302,1245,506,223,7019,165,157,23,14,7,0,372,54,32,7,9,5,0,108,217,186,36,19,11,3,479,281,91,25,7,3,3,409,9,6,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,7,292,100,25,7,3,3,429,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,8,4,3,0,0,0,0,10,0,0,0,0,0,0,6,1690,2873,1363,1278,521,228,7946,1252,2551,1258,1260,523,252,7098,167,115,21,18,0,0,319,58,48,30,16,4,0,153,221,165,54,30,4,4,475,294,114,39,17,0,0,462,3,0,0,0,0,0,7,9,0,0,0,0,0,9,3,0,0,0,0,0,6,312,114,43,17,0,0,486,78,58,0,0,0,0,137,0,0,0,0,0,0,0,3,3,0,0,0,0,8,78,57,3,0,0,0,144,0,0,0,0
107011132,177,570,417,592,269,82,2101,34,31,20,0,0,0,90,0,0,0,0,0,0,4,34,31,23,3,0,0,97,3,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,216,608,440,598,271,82,2210,227,654,421,571,262,106,2235,22,24,6,12,0,0,64,0,0,0,0,0,0,0,22,24,6,12,0,0,64,10,9,8,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,707,1341,792,1105,473,190,4605,77,48,12,3,0,0,143,40,37,15,3,0,0,107,122,87,28,9,0,3,251,74,46,27,11,4,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,13,81,50,27,11,3,0,174,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,10,3,3,0,0,0,0,13,0,3,0,3,7,0,16,915,1490,848,1133,480,193,5058,600,1312,745,1052,432,175,4321,203,192,74,44,27,7,546,66,40,18,25,3,3,161,272,238,99,68,34,8,714,86,32,9,4,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,89,34,13,10,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,4,0,3,0,0,0,7,0,3,0,0
107011545,833,1313,712,639,318,195,4012,45,22,3,9,0,0,86,20,21,8,4,0,0,55,65,49,14,9,5,4,147,137,64,40,10,3,3,252,15,7,9,3,0,0,33,5,12,11,9,3,0,43,10,0,6,4,0,0,19,167,88,61,21,13,3,348,5,3,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,4,0,20,0,0,0,0,0,0,0,1071,1455,789,674,333,197,4522,900,1374,739,666,317,186,4184,73,29,5,3,0,3,117,55,15,12,14,3,4,104,134,46,19,13,3,8,215,119,57,11,14,9,3,212,12,7,3,0,0,0,23,3,0,0,0,0,0,3,3,0,0,0,0,0,8,136,62,16,15,9,3,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,6,6,0,0,0,0,3,6,0,0,0,0
107011546,591,939,464,402,186,92,2680,43,9,8,9,4,8,79,47,55,43,20,14,7,185,91,68,48,28,18,18,268,265,98,21,15,0,0,405,151,43,25,4,0,0,225,46,15,0,0,0,0,59,4,4,3,0,0,0,14,462,162,46,26,0,0,701,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,4,7,0,0,0,13,15,4,7,0,0,0,17,0,0,0,0,0,0,0,1155,1163,569,451,208,111,3664,656,958,472,432,188,92,2799,52,22,5,10,0,0,88,53,55,36,41,15,12,209,101,76,42,47,19,18,294,212,93,27,14,3,3,348,148,51,10,9,8,0,223,35,8,0,0,0,0,39,11,4,0,3,0,0,18,401,152,45,22,10,3,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,9,0,0,0,42,21,12,9,0,0,0,42,0,3,0,0
107011547,215,360,162,163,67,30,1000,63,58,29,17,5,0,172,24,16,9,3,0,0,58,85,78,39,23,5,0,227,32,11,5,0,0,0,53,3,0,0,0,0,0,3,15,0,0,0,0,0,15,0,0,0,0,0,0,0,50,13,5,0,0,0,70,223,163,14,5,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,163,14,5,0,0,408,0,0,0,0,0,0,0,578,614,223,193,74,31,1711,450,538,225,176,74,30,1495,10,3,4,3,0,0,24,11,15,5,0,0,0,31,23,17,7,3,3,0,63,73,28,3,4,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,28,3,4,0,0,102,59,50,3,0,0,0,110,3,0,0,0,0,0,3,0,3,0,0,0,0,5,63,51,6,3,0,0,119,0,0,0,0
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107031136,360,984,713,960,413,182,3618,87,99,20,11,3,0,216,13,22,7,5,0,0,51,97,116,27,15,8,0,270,38,31,3,7,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,31,3,6,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,501,1141,752,983,424,188,3975,399,1096,714,951,415,215,3789,135,127,50,25,7,6,347,22,30,7,17,3,3,73,158,156,52,36,9,3,417,37,40,16,9,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,36,14,9,3,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,16,6,4,6,0,0,0,15,0,0,0,0
107031137,298,611,395,406,199,66,1972,80,64,22,8,0,0,176,53,77,14,9,0,0,154,128,137,38,19,0,3,330,43,21,14,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,14,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,472,774,444,422,203,74,2392,326,657,405,363,172,98,2026,110,89,24,19,0,0,243,45,47,18,3,0,0,110,152,133,45,19,0,0,356,45,21,3,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,21,3,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,8,0,0,0,0
107031138,347,685,269,308,154,34,1791,36,37,13,6,0,0,83,67,77,12,13,5,0,176,100,112,24,20,5,3,267,152,99,29,15,7,0,302,29,18,5,0,0,0,53,74,45,0,0,0,0,121,6,0,0,0,0,0,5,262,165,34,15,7,0,485,9,5,3,0,0,0,19,0,0,0,0,0,0,0,8,7,3,0,0,0,19,19,15,9,0,0,0,39,0,0,0,0,0,0,0,734,973,329,346,167,37,2581,321,780,304,309,149,38,1893,71,73,16,14,6,0,180,103,155,34,19,9,3,316,167,232,53,29,15,3,491,90,46,10,8,3,0,153,70,57,8,7,0,0,140,108,60,0,0,0,0,166,8,0,0,0,0,0,8,276,162,17,8,4,0,475,7,5,0,0,0,0,11,0,0,0,0,0,0,0,17,3,10,0,0,0,31,26,7,10,0,0,0,40,0,0,0,0
107031139,271,627,305,418,181,55,1856,6,12,4,4,0,0,35,19,20,9,3,0,0,48,26,33,14,3,0,0,84,15,11,4,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,12,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,674,331,420,181,57,1971,268,699,342,358,171,44,1891,12,11,5,0,0,0,30,11,26,5,3,0,0,46,26,37,11,3,0,0,71,18,16,8,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,8,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
107031140,365,721,319,396,191,86,2075,13,17,4,6,0,0,37,9,11,0,3,0,0,20,18,28,6,8,0,0,60,84,26,5,3,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,28,5,3,0,0,122,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,12,0,0,0,0,0,0,0,473,784,325,404,193,90,2263,388,851,300,396,201,84,2221,27,11,3,4,0,0,47,22,17,4,4,0,0,51,48,35,8,6,0,0,99,80,28,4,3,0,0,115,7,3,0,0,0,0,14,0,0,0,0,0,0,0,8,4,0,0,0,0,13,96,35,3,4,0,0,134,3,9,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,8,10,11,3,0,0,0,19,0,0,0,0
