region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
LGA10050,32,15,5,4,56,1227,639,235,107,2208
LGA10110,16,6,6,3,31,574,292,114,69,1049
LGA10150,24,13,3,0,40,1070,360,82,15,1527
LGA10200,53,17,11,12,93,1561,789,303,152,2805
LGA10250,29,9,3,6,47,1157,554,156,67,1934
LGA10300,6,0,0,0,6,43,19,9,3,74
LGA10350,139,78,47,30,294,4761,2695,1041,571,9068
LGA10470,22,12,4,3,41,882,455,199,92,1628
LGA10550,20,17,7,0,44,737,392,148,60,1337
LGA10600,0,8,0,0,8,402,197,70,27,696
LGA10650,3,3,3,0,9,156,75,38,3,272
LGA10750,289,150,49,59,547,7919,4686,1919,1137,15661
LGA10800,7,0,0,0,7,109,48,19,11,187
LGA10850,3,0,0,0,3,171,68,27,15,281
LGA10900,24,14,5,3,46,1831,953,276,118,3178
LGA10950,3,3,0,0,6,71,31,15,13,130
LGA11000,0,0,0,0,0,55,25,6,9,95
LGA11050,3,0,0,0,3,55,26,6,7,94
LGA11100,26,14,0,3,43,1119,540,123,45,1827
LGA11150,14,0,3,5,22,70,22,18,11,121
LGA11200,0,3,0,3,6,59,35,17,9,120
LGA11250,19,10,5,8,42,569,297,127,54,1047
LGA11300,16,3,3,3,25,789,346,85,31,1251
LGA11350,16,5,4,4,29,1082,443,133,29,1687
LGA11400,3,3,3,0,9,229,127,36,27,419
LGA11450,23,15,6,5,49,1052,707,311,110,2180
LGA11500,149,77,37,28,291,4435,2619,1105,557,8716
LGA11520,24,16,7,0,47,1612,733,167,32,2544
LGA11550,118,49,29,13,209,3833,1737,562,229,6361
LGA11600,4,0,0,0,4,41,24,10,11,86
LGA11700,3,0,0,0,3,70,18,17,14,119
LGA11720,54,25,10,3,92,1546,805,308,139,2798
LGA11730,46,20,12,4,82,1347,698,279,133,2457
LGA11750,8,0,0,0,8,110,33,19,12,174
LGA11800,53,29,14,8,104,1976,1046,365,166,3553
LGA11860,0,0,0,0,0,17,13,0,0,30
LGA12000,0,0,0,0,0,71,38,19,12,140
LGA12050,5,4,0,0,9,238,107,41,16,402
LGA12150,5,4,0,4,13,110,65,41,18,234
LGA12200,5,0,3,0,8,173,74,36,19,302
LGA12300,15,0,0,0,15,207,105,52,17,381
LGA12350,11,3,4,3,21,233,125,63,34,455
LGA12500,13,5,0,0,18,198,97,37,22,354
LGA12600,44,16,10,5,75,1017,567,237,146,1967
LGA12700,5,6,0,0,11,185,88,37,14,324
LGA12750,38,14,6,6,64,878,469,145,97,1589
LGA12850,170,114,51,25,360,5612,3625,1336,654,11227
LGA12900,7,3,3,3,16,223,113,53,23,412
LGA12950,3,0,5,0,8,99,56,34,12,201
LGA13010,14,6,3,0,23,209,103,50,25,387
LGA13050,3,0,0,0,3,92,50,15,8,165
LGA13100,108,46,17,11,182,4449,2308,842,247,7846
LGA13310,18,12,0,3,33,758,374,146,42,1320
LGA13320,39,13,0,0,52,910,427,155,78,1570
LGA13340,6,5,5,0,16,181,86,49,22,338
LGA13380,50,18,12,10,90,1321,668,237,154,2380
LGA13450,21,5,3,3,32,490,244,107,53,894
LGA13500,3,3,3,0,9,69,32,20,4,125
LGA13550,10,12,3,0,25,277,147,75,33,532
LGA13650,0,3,3,0,6,96,38,21,20,175
LGA13660,5,4,0,0,9,97,42,25,3,167
LGA13700,3,0,0,0,3,77,33,16,6,132
LGA13800,44,16,9,3,72,1531,862,330,106,2829
LGA13850,6,3,0,3,12,62,42,15,12,131
