region_id,C11_P_35_39_Tot_LF,C11_P_35_39_Notin_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Notin_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Notin_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Notin_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Notin_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Notin_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Notin_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Notin_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Emp_Wor_ft,C11_P_75ov_Em_Work_pt,C11_P_75ov_Em_Aw_fr_w,C11_P_75ov_Emp_Hou_w_ns,C11_P_75andOver_Em_Tot,C11_P_75over_Unem_Lo_ft_w,C11_P_75over_Unem_Lo_pt_w,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_T_T_labo_for,C11_P_Tot_Notin_LF,C11_P_Tot_LF_NS,C11_P_T_T
LGA10050,2407,501,112,3020,1643,701,81,47,2472,76,41,117,2589,434,159,3182,1710,659,58,35,2462,53,36,89,2551,427,127,3105,1778,697,94,46,2615,74,36,110,2725,481,139,3345,1287,644,84,29,2044,46,32,78,2122,690,126,2938,723,520,75,24,1342,39,28,67,1409,1129,99,2637,186,211,26,5,428,0,3,3,431,1358,104,1893,39,99,7,6,151,0,0,0,151,1360,113,1624,15,36,12,8,71,0,3,3,74,3072,320,3466,13877,7208,923,468,22476,830,573,1403,23879,12604,1875,38358
LGA10110,942,239,90,1271,702,319,25,18,1064,29,10,39,1103,238,101,1442,843,367,45,19,1274,27,14,41,1315,237,75,1627,886,296,41,19,1242,27,23,50,1292,228,83,1603,717,303,38,20,1078,20,13,33,1111,264,64,1439,377,231,19,11,638,11,14,25,663,478,63,1204,118,120,14,3,255,0,3,3,258,650,55,963,44,60,9,0,113,3,3,6,119,646,50,815,30,33,7,0,70,0,0,0,70,1296,186,1552,6113,3647,461,189,10410,371,480,851,11261,7354,1255,19870
LGA10150,2717,428,191,3336,1613,589,80,37,2319,71,33,104,2423,395,163,2981,1644,602,42,50,2338,79,39,118,2456,351,157,2964,1366,485,59,50,1960,75,34,109,2069,414,143,2626,1040,380,45,40,1505,56,36,92,1597,499,119,2215,608,300,39,15,962,36,27,63,1025,776,106,1907,164,157,15,9,345,0,10,10,355,897,88,1340,35,50,4,6,95,4,0,4,99,1020,110,1229,17,28,4,10,59,0,0,0,59,2885,410,3354,13313,6113,700,453,20579,751,597,1348,21927,10618,2352,34897
LGA10200,3548,1563,361,5472,2101,747,70,104,3022,150,83,233,3255,1460,377,5092,2072,721,80,106,2979,133,74,207,3186,1321,340,4847,1974,630,54,89,2747,124,63,187,2934,1304,365,4603,1436,452,79,66,2033,91,49,140,2173,1331,255,3759,691,335,51,31,1108,51,39,90,1198,1499,164,2861,194,127,15,17,353,5,8,13,366,1405,144,1915,32,36,6,6,80,0,6,6,86,1337,111,1534,11,23,9,7,50,0,7,7,57,2573,228,2858,18872,8264,892,1096,29124,1575,1144,2719,31843,23265,4497,59605
LGA10250,1808,383,96,2287,1194,701,69,33,1997,70,44,114,2111,432,98,2641,1307,719,61,38,2125,61,35,96,2221,433,83,2737,1385,755,106,46,2292,64,38,102,2394,511,95,3000,1113,698,102,29,1942,52,40,92,2034,806,109,2949,628,537,63,22,1250,29,37,66,1316,1426,102,2844,179,267,32,10,488,5,5,10,498,1735,91,2324,54,83,9,3,149,0,0,0,149,1639,101,1889,25,56,9,17,107,0,0,0,107,3917,390,4414,9036,6413,742,343,16534,643,465,1108,17642,13222,1457,32321
LGA10300,111,30,13,154,81,24,6,8,119,3,6,9,128,23,10,161,90,34,3,6,133,6,0,6,139,27,14,180,112,28,6,6,152,3,3,6,158,29,17,204,87,41,7,3,138,0,3,3,141,41,12,194,57,16,3,7,83,3,0,3,86,65,11,162,22,10,7,0,39,0,0,0,39,69,13,121,10,9,0,3,22,0,0,0,22,78,16,116,0,0,0,3,3,0,0,0,3,132,25,160,723,284,38,49,1094,24,21,45,1139,631,161,1931
LGA10350,8590,3085,737,12412,5337,2184,203,267,7991,314,209,523,8514,2797,667,11978,5679,2128,219,233,8259,338,184,522,8781,2816,670,12267,5293,1971,239,206,7709,316,142,458,8167,3143,646,11956,3852,1479,185,141,5657,227,151,378,6035,3515,606,10156,2216,1169,143,86,3614,137,84,221,3835,4554,477,8866,680,501,66,37,1284,5,26,31,1315,4878,424,6617,126,180,14,14,334,0,6,6,340,4685,369,5394,39,76,7,17,139,0,5,5,144,11275,1348,12767,44933,20155,2488,2315,69891,3485,2262,5747,75638,58095,8784,142517
LGA10470,1861,428,106,2395,1285,528,54,43,1910,52,23,75,1985,401,97,2483,1381,496,55,35,1967,32,34,66,2033,371,87,2491,1405,501,70,31,2007,26,16,42,2049,385,94,2528,1142,451,62,15,1670,31,17,48,1718,485,99,2302,599,379,40,24,1042,19,14,33,1075,883,100,2058,196,196,22,7,421,0,10,10,431,1146,104,1681,54,99,0,9,162,0,0,0,162,919,81,1162,34,52,7,10,103,0,0,0,103,2061,224,2388,10878,5652,721,322,17573,531,512,1043,18616,10549,1495,30660
LGA10550,1175,309,67,1551,871,545,58,33,1507,43,35,78,1585,293,83,1961,1033,570,66,29,1698,52,33,85,1783,364,70,2217,1150,768,100,29,2047,63,37,100,2147,538,104,2789,893,643,105,27,1668,46,46,92,1760,853,109,2722,516,514,69,14,1113,46,36,82,1195,1425,118,2738,156,215,27,16,414,4,8,12,426,1673,79,2178,59,86,7,6,158,0,6,6,164,1494,127,1785,24,50,6,11,91,0,3,3,94,2706,324,3124,6970,5091,670,266,12997,497,314,811,13808,11324,1351,26483
LGA10600,465,179,15,659,283,256,14,7,560,29,24,53,613,152,15,780,373,278,19,9,679,22,14,36,715,187,22,924,400,341,31,13,785,31,23,54,839,217,31,1087,327,288,40,9,664,22,13,35,699,330,25,1054,181,173,22,8,384,6,8,14,398,538,31,967,68,63,9,6,146,6,3,9,155,635,28,818,25,24,6,3,58,0,3,3,61,506,23,590,14,22,0,4,40,0,0,0,40,1033,63,1136,2341,2081,202,105,4729,236,172,408,5137,4603,312,10052
