region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
LGA10050,213,47,108,155,64,123,187,0,3,3,5,3,8,0,7,7,88,165,253,71,144,215,104,152,256,970,986,1956,1796,1682,3478,1552,1549,3101,65,81,146,76,89,165,62,68,130,7009,7481,14490,7281,7986,15267,7023,7934,14957
LGA10110,86,19,53,72,21,50,71,0,0,0,3,0,3,0,0,0,65,68,133,32,65,97,38,63,101,372,429,801,800,839,1639,847,972,1819,84,130,214,75,93,168,145,170,315,4878,5468,10346,4903,5598,10501,4964,5558,10522
LGA10150,359,101,153,254,99,169,268,8,0,8,5,4,9,3,8,11,242,318,560,179,223,402,229,306,535,1410,1412,2822,2029,1844,3873,1541,1449,2990,223,290,513,245,262,507,179,259,438,6230,6259,12489,6848,6701,13549,6488,6674,13162
LGA10200,409,171,227,398,238,344,582,8,10,18,5,12,17,19,25,44,316,369,685,346,396,742,640,668,1308,3591,2158,5749,5873,3830,9703,4966,3213,8179,287,241,528,303,351,654,336,481,817,11384,9407,20791,14504,12110,26614,14963,12923,27886
LGA10250,169,33,113,146,49,101,150,3,6,9,0,0,0,5,0,5,59,146,205,45,129,174,67,124,191,579,608,1187,1140,1358,2498,1125,1155,2280,95,106,201,100,121,221,92,103,195,5161,5330,10491,5352,5956,11308,5297,5755,11052
LGA10300,5,0,5,5,3,6,9,0,0,0,0,0,0,0,0,0,0,5,5,4,5,9,3,12,15,68,44,112,122,81,203,152,108,260,3,4,7,7,0,7,14,5,19,384,329,713,396,322,718,385,332,717
LGA10350,835,250,470,720,299,541,840,9,10,19,34,25,59,11,20,31,522,674,1196,425,675,1100,525,852,1377,4752,4750,9502,7887,7749,15636,7594,7172,14766,343,420,763,334,415,749,375,524,899,25355,24887,50242,28177,28171,56348,30466,30549,61015
LGA10470,141,41,73,114,37,88,125,4,4,8,3,4,7,0,6,6,54,121,175,47,85,132,47,106,153,1176,660,1836,1747,1082,2829,1898,1283,3181,70,106,176,57,90,147,72,104,176,6423,6318,12741,6908,6590,13498,7183,6909,14092
LGA10550,140,29,81,110,34,80,114,3,3,6,0,0,0,0,3,3,62,115,177,43,95,138,44,92,136,618,695,1313,952,1052,2004,957,1083,2040,36,41,77,44,37,81,51,58,109,4089,4389,8478,4229,4526,8755,4008,4439,8447
LGA10600,72,13,52,65,8,39,47,3,3,6,0,0,0,0,0,0,27,69,96,16,57,73,15,42,57,221,215,436,410,438,848,291,300,591,16,21,37,30,37,67,30,32,62,1797,1837,3634,1791,1999,3790,1705,1863,3568
