region_id,C01_Budh_0_14_yrs,C01_Budh_15_24,C01_Budh_25_34,C01_Budh_35_44,C01_Budh_45_54,C01_Budh_55_64,C01_Budh_65_74,C01_Budh_75_84,C01_Budh_85ov,C01_Budh_Tot,C01_C_Ang_0_14,C01_C_Ang_15_24,C01_C_Ang_25_34,C01_C_Ang_35_44,C01_C_Ang_45_54,C01_C_Ang_55_64,C01_C_Ang_65_74,C01_C_Ang_75_84,C01_C_Ang_85ov,C01_C_Ang_Tot,C01_C_As_Apo_0_14,C01_C_As_Apo_15_24,C01_C_As_Apo_25_34,C01_C_As_Apo_35_44,C01_C_As_Apo_45_54,C01_C_As_Apo_55_64,C01_C_As_Apo_65_74,C01_C_As_Apo_75_84,C01_C_As_Apo_85ov,C01_C_As_Apo_Tot,C01_C_Bap_0_14,C01_C_Bap_15_24,C01_C_Bap_25_34,C01_C_Bap_35_44,C01_C_Bap_45_54,C01_C_Bap_55_64,C01_C_Bap_65_74,C01_C_Bap_75_84,C01_C_Bap_85ov,C01_C_Bap_Tot,C01_C_Breth_0_14,C01_C_Breth_15_24,C01_C_Breth_25_34,C01_C_Breth_35_44,C01_C_Breth_45_54,C01_C_Breth_55_64,C01_C_Breth_65_74,C01_C_Breth_75_84,C01_C_Breth_85ov,C01_C_Breth_To,C01_C_Cath_0_14,C01_C_Cath_15_24,C01_C_Cath_25_34,C01_C_Cath_35_44,C01_C_Cath_45_54,C01_C_Cath_55_64,C01_C_Cath_65_74,C01_C_Cath_75_84,C01_C_Cath_85ov,C01_C_Cath_Tot,C01_C_Ch_Chr_0_14,C01_C_Ch_Chr_15_24,C01_C_Ch_Chr_25_34,C01_C_Ch_Chr_35_44,C01_C_Ch_Chr_45_54,C01_C_Ch_Chr_55_64,C01_C_Ch_Chr_65_74,C01_C_Ch_Chr_75_84,C01_C_Ch_Chr_85ov,C01_C_Ch_Chr_Tot,C01_C_E_Orth_0_14,C01_C_E_Orth_15_24,C01_C_E_Orth_25_34,C01_C_E_Orth_35_44,C01_C_E_Orth_45_54,C01_C_E_Orth_55_64,C01_C_E_Orth_65_74,C01_C_E_Orth_75_84,C01_C_E_Orth_85ov,C01_C_E_Orth_To,C01_C_Jeh_Wit_0_14,C01_C_Jeh_Wit_15_24,C01_C_Jeh_Wit_25_34,C01_C_Jeh_Wit_35_44,C01_C_Jeh_Wit_45_54,C01_C_Jeh_Wit_55_64,C01_C_Jeh_Wit_65_74,C01_C_Jeh_Wit_75_84,C01_C_Jeh_Wit_85ov,C01_C_Jeh_Wit_Tot,C01_C_La_Da_Sai_0_14,C01_C_La_Da_Sai_15_24,C01_C_La_Da_Sai_25_34,C01_C_La_Da_Sai_35_44,C01_C_La_Da_Sai_45_54,C01_C_La_Da_Sai_55_64,C01_C_La_Da_Sai_65_74,C01_C_La_Da_Sai_75_84,C01_C_La_Da_Sai_85ov,C01_C_La_Da_Sai_Tot,C01_C_Luth_0_14,C01_C_Luth_15_24,C01_C_Luth_25_34,C01_C_Luth_35_44,C01_C_Luth_45_54,C01_C_Luth_55_64,C01_C_Luth_65_74,C01_C_Luth_75_84,C01_C_Luth_85ov,C01_C_Luth_Tot,C01_C_Ori_Orth_0_14,C01_C_Ori_Orth_15_24,C01_C_Ori_Orth_25_34,C01_C_Ori_Orth_35_44,C01_C_Ori_Orth_45_54,C01_C_Ori_Orth_55_64,C01_C_Ori_Orth_65_74,C01_C_Ori_Orth_75_84,C01_C_Ori_Orth_85ov,C01_C_Ori_Orth_To,C01_C_Oth_Prot_0_14,C01_C_Oth_Prot_15_24,C01_C_Oth_Prot_25_34,C01_C_Oth_Prot_35_44,C01_C_Oth_Prot_45_54,C01_C_Oth_Prot_55_64,C01_C_Oth_Prot_65_74,C01_C_Oth_Prot_75_84,C01_C_Oth_Prot_85ov,C01_C_Oth_Prot_Tot,C01_C_Pentec_0_14,C01_C_Pentec_15_24,C01_C_Pentec_25_34,C01_C_Pentec_35_44,C01_C_Pentec_45_54,C01_C_Pentec_55_64,C01_C_Pentec_65_74,C01_C_Pentec_75_84,C01_C_Pentec_85ov,C01_C_Pentec_Tot,C01_C_Pres_Ref_0_14,C01_C_Pres_Ref_15_24,C01_C_Pres_Ref_25_34,C01_C_Pres_Ref_35_44,C01_C_Pres_Ref_45_54,C01_C_Pres_Ref_55_64,C01_C_Pres_Ref_65_74,C01_C_Pres_Ref_75_84,C01_C_Pres_Ref_85ov,C01_C_Pres_Ref_Tot,C01_C_Sal_Army_0_14,C01_C_Sal_Army_15_24,C01_C_Sal_Army_25_34,C01_C_Sal_Army_35_44,C01_C_Sal_Army_45_54,C01_C_Sal_Army_55_64,C01_C_Sal_Army_65_74,C01_C_Sal_Army_75_84,C01_C_Sal_Army_85ov,C01_C_Sal_Army_Tot,C01_C_Se_da_Adv_0_14,C01_C_Se_da_Adv_15_24,C01_C_Se_da_Adv_25_34,C01_C_Se_da_Adv_35_44,C01_C_Se_da_Adv_45_54,C01_C_Se_da_Adv_55_64,C01_C_Se_da_Adv_65_74,C01_C_Se_da_Adv_75_84,C01_C_Se_da_Adv_85ov,C01_C_Se_da_Adv_Tot,C01_C_Uni_Ch_0_14,C01_C_Uni_Ch_15_24,C01_C_Uni_Ch_25_34,C01_C_Uni_Ch_35_44,C01_C_Uni_Ch_45_54,C01_C_Uni_Ch_55_64,C01_C_Uni_Ch_65_74,C01_C_Uni_Ch_75_84,C01_C_Uni_Ch_85ov,C01_C_Uni_Ch_Tot,C01_C_Chi_nfd_0_14,C01_C_Chi_nfd_15_24,C01_C_Chi_nfd_25_34,C01_C_Chi_nfd_35_44,C01_C_Chi_nfd_45_54,C01_C_Chi_nfd_55_64,C01_C_Chi_nfd_65_74,C01_C_Chi_nfd_75_84,C01_C_Chi_nfd_85ov,C01_C_Chi_nfd_Tot,C01_C_Oth_Chr_0_14,C01_C_Oth_Chr_15_24,C01_C_Oth_Chr_25_34,C01_C_Oth_Chr_35_44,C01_C_Oth_Chr_45_54,C01_C_Oth_Chr_55_64,C01_C_Oth_Chr_65_74,C01_C_Oth_Chr_75_84,C01_C_Oth_Chr_85ov,C01_C_Oth_Chr_Tot
LGA10050,54,51,48,65,39,26,9,3,4,299,2017,1352,1328,1562,1619,1117,885,652,231,10763,0,0,0,0,0,0,0,0,0,0,132,91,59,73,81,59,27,14,5,541,26,28,12,6,8,8,4,3,0,95,3155,1995,1684,1910,1616,1081,802,497,165,12905,22,17,8,20,15,10,14,7,6,119,61,29,49,46,42,53,48,25,6,359,20,29,27,9,27,15,9,10,0,146,14,8,8,10,8,7,6,0,0,61,296,185,198,196,179,132,135,115,53,1489,0,0,0,0,0,0,0,0,0,0,14,3,18,5,0,6,4,0,0,50,133,78,65,75,60,29,17,6,0,463,224,212,270,350,369,285,233,209,94,2246,53,31,17,26,28,23,10,5,9,202,51,29,33,27,42,19,10,13,7,231,620,456,331,481,521,310,256,189,83,3247,149,99,79,98,87,41,27,11,5,596,4,3,3,7,3,7,3,0,0,30
LGA10110,16,57,26,22,42,8,7,0,0,178,1465,1431,802,946,970,680,480,367,134,7275,0,0,0,0,0,0,0,0,0,0,55,56,36,42,44,35,18,16,9,311,45,3,13,13,0,3,3,5,3,88,1362,1328,697,760,585,459,300,164,56,5711,18,6,0,9,9,4,0,3,0,49,12,13,11,8,12,7,6,3,0,72,8,15,9,15,14,7,6,3,3,80,11,14,9,7,6,3,0,0,0,50,17,21,14,16,13,11,10,5,0,107,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,0,0,0,0,18,47,42,17,19,29,9,6,3,3,175,187,251,145,232,237,179,171,123,62,1587,30,32,26,21,17,13,6,4,3,152,76,49,39,27,23,16,7,6,0,243,304,243,120,201,187,135,80,56,23,1349,101,82,37,57,53,27,8,6,3,374,0,3,3,5,10,4,0,0,3,28
LGA10150,169,210,347,393,245,91,98,51,28,1632,451,367,645,628,635,371,307,403,287,4094,0,0,0,0,0,0,0,0,0,0,55,64,89,79,76,48,34,28,20,493,3,0,0,3,0,0,3,3,0,12,2223,1697,2321,2128,1753,1414,1471,897,368,14272,0,3,7,3,0,4,0,0,0,17,241,132,316,272,147,232,241,81,22,1684,14,3,15,14,12,11,9,3,0,81,18,26,16,15,8,0,4,0,0,87,5,10,16,20,21,19,17,13,6,127,12,6,8,10,7,6,5,4,0,58,10,12,16,18,11,7,4,5,7,90,46,31,59,35,29,14,7,3,0,224,129,131,170,176,145,90,97,89,69,1096,4,7,4,7,7,3,6,5,3,46,13,14,15,10,14,6,5,3,0,80,167,107,157,164,127,101,65,77,73,1038,40,60,78,58,42,13,16,7,8,322,0,4,4,13,9,3,3,3,3,42
LGA10200,993,683,983,1200,902,326,292,128,35,5542,353,342,357,509,568,405,501,499,164,3698,0,0,0,0,0,0,3,3,0,6,129,113,106,141,99,50,50,32,11,731,9,0,4,0,0,0,0,0,0,13,2544,1834,1714,1836,1680,1195,979,705,191,12678,5,7,5,6,4,0,0,6,3,36,215,296,283,223,246,296,185,105,29,1878,26,21,20,21,21,17,4,8,0,138,46,28,26,19,12,6,3,0,3,143,5,6,10,11,14,18,15,22,6,107,33,31,22,17,23,16,6,0,0,148,55,21,29,31,16,7,4,0,3,166,113,78,64,69,48,22,7,5,3,409,114,116,140,159,145,91,74,114,32,985,5,7,8,7,3,17,8,8,4,67,37,28,22,22,20,17,5,4,0,155,251,180,181,174,137,93,94,87,29,1226,72,70,85,74,61,16,18,11,3,410,20,7,13,15,3,3,0,3,0,64
LGA10250,32,24,41,65,54,15,6,3,0,240,1638,925,917,1424,1648,1295,1256,1100,324,10527,0,0,0,0,0,0,0,0,0,0,105,91,65,83,120,77,74,46,13,674,0,3,0,3,0,0,0,4,3,13,2235,1139,921,1376,1230,894,882,482,133,9292,13,0,6,10,4,6,7,6,3,55,8,9,7,11,10,12,8,6,3,74,32,24,18,26,31,22,19,0,3,175,27,5,6,10,5,7,7,3,0,70,36,11,17,25,29,21,22,11,0,172,0,0,0,0,0,0,0,0,0,0,12,9,4,6,12,3,3,0,0,49,116,50,39,70,53,28,7,8,5,376,227,181,189,320,374,332,356,295,88,2362,38,20,19,18,20,32,17,6,3,173,48,29,28,37,33,30,35,35,9,284,402,257,195,334,426,310,375,332,92,2723,176,77,69,100,85,37,17,19,3,583,5,9,9,6,12,9,8,5,4,67
LGA10300,0,3,3,0,0,0,0,0,0,6,91,46,79,97,96,54,48,35,3,549,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,256,138,143,166,123,97,70,40,4,1037,5,0,3,3,3,0,0,0,0,14,3,0,4,0,3,0,0,0,0,10,0,0,0,3,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,3,7,0,4,7,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,42,23,29,63,38,32,30,15,5,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,13,29,44,22,14,4,3,188,14,6,6,6,8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
LGA10350,2037,1309,1723,2145,1383,540,501,224,48,9910,3250,2778,2838,3235,3761,3136,3137,2777,636,25548,22,6,14,10,7,4,3,0,0,66,603,406,387,480,403,246,230,161,56,2972,15,11,11,16,13,4,14,9,3,96,11058,6873,7223,7347,6274,4782,4225,2946,521,51249,53,34,27,36,48,26,20,20,0,264,2932,2019,2664,1955,1741,1672,1031,330,79,14423,78,69,76,62,60,49,35,26,3,458,105,59,53,54,42,17,20,4,3,357,61,42,51,85,88,137,171,150,42,827,232,172,127,157,139,64,46,8,3,948,134,92,85,94,90,49,48,50,13,655,365,251,229,252,175,104,71,22,3,1472,464,258,405,559,593,442,488,391,104,3704,67,48,34,58,54,46,67,45,22,441,67,42,45,42,37,21,20,14,0,288,784,557,476,596,605,501,489,422,114,4544,340,226,230,214,163,63,56,39,7,1338,71,40,31,44,45,31,21,22,15,320
LGA10470,18,54,24,21,22,9,3,3,3,157,1679,1503,1054,1252,1306,929,680,481,180,9064,0,0,0,0,0,0,0,0,0,0,166,155,82,98,103,56,16,15,3,694,28,24,10,12,8,5,3,5,3,98,3079,2225,1547,1792,1443,976,716,379,147,12304,13,8,5,9,10,3,0,3,0,51,22,16,15,14,21,9,10,6,3,116,26,25,15,20,11,15,6,3,3,124,18,12,7,11,4,0,0,0,0,52,10,24,11,18,27,19,12,10,3,134,0,0,0,0,0,0,0,0,0,0,16,6,11,13,4,0,0,0,0,50,64,43,25,38,20,14,8,3,0,215,269,229,195,282,296,186,182,130,40,1809,27,29,17,16,28,13,9,5,0,144,19,10,10,11,10,8,5,0,0,73,377,341,210,302,298,240,144,115,43,2070,117,76,46,63,53,23,10,10,6,404,0,3,3,3,5,3,3,3,0,23
LGA10550,55,16,18,62,64,15,5,3,0,238,1631,704,853,1242,1294,1309,1246,790,220,9289,0,0,0,0,0,0,0,0,0,0,66,23,24,48,47,43,59,30,3,343,0,0,0,3,0,0,0,5,0,8,1410,655,664,955,903,773,655,318,76,6409,0,0,3,0,5,13,7,8,3,39,13,0,5,14,12,17,8,8,0,77,47,35,19,33,31,17,14,10,3,209,12,10,4,7,5,10,5,0,0,53,17,14,10,34,25,41,42,16,3,202,0,0,0,0,0,0,0,0,0,0,14,0,3,13,6,6,7,3,3,55,33,20,18,23,16,10,5,0,0,125,95,67,95,167,211,257,264,186,45,1387,22,7,13,20,17,8,8,8,0,103,20,18,6,18,20,8,6,6,3,105,310,155,127,239,313,337,307,217,61,2066,140,41,51,69,58,40,22,8,0,429,6,3,3,3,5,7,5,3,3,38
LGA10600,33,12,14,41,52,7,3,5,0,167,540,257,242,469,497,440,439,285,88,3257,0,0,0,0,0,0,0,0,0,0,14,4,4,12,13,10,16,8,0,81,0,0,0,0,0,0,0,0,0,0,508,217,179,342,271,293,236,112,31,2189,0,0,0,3,3,3,0,3,0,12,0,3,3,4,0,0,3,0,0,13,13,5,6,7,11,0,5,3,0,50,3,3,0,3,0,0,3,0,0,12,4,0,4,6,7,7,7,3,0,38,0,0,3,0,0,0,0,0,0,3,0,0,0,5,3,3,0,0,0,11,71,20,19,41,32,14,3,6,0,206,29,13,22,66,71,77,74,52,13,417,8,9,0,5,4,3,4,4,0,37,6,0,3,3,0,9,9,0,3,33,233,98,83,155,134,135,125,103,40,1106,85,25,13,44,47,21,10,0,0,245,10,3,5,4,9,4,0,0,0,35
