region_id,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T
LGA10050,0,0,10,4985,6133,2582,2399,1112,424,17635,3046,5292,2337,2332,993,406,14406,530,313,76,23,5,3,950,38,36,24,5,3,0,106,568,349,100,28,8,3,1056,1820,787,200,81,17,8,2913,69,22,8,0,0,0,99,18,4,0,0,0,0,22,4,7,4,0,0,0,15,1911,820,212,81,17,8,3049,46,17,4,0,3,0,70,0,0,0,0,0,0,0,7,4,4,4,3,0,22,53,21,8,4,6,0,92,4,0,4,5,0,0,13,5582,6482,2661,2450,1024,417,18616
LGA10110,0,0,0,2312,2843,1240,1112,517,224,8248,1613,2604,1092,1041,506,226,7082,240,127,36,19,5,0,427,37,16,5,0,4,0,62,277,143,41,19,9,0,489,518,261,75,38,16,0,908,15,9,6,3,0,0,33,0,0,0,0,0,0,0,12,5,0,0,0,0,17,545,275,81,41,16,0,958,22,7,3,3,0,0,35,0,0,0,0,0,0,0,4,4,3,3,3,0,17,26,11,6,6,3,0,52,7,0,0,0,0,0,7,2468,3033,1220,1107,534,226,8588
LGA10150,0,0,0,4358,4819,2607,2035,796,303,14918,966,1656,1098,1332,549,258,5859,287,391,219,207,42,10,1156,185,212,126,106,34,16,679,472,603,345,313,76,26,1835,1111,971,428,215,67,24,2816,1254,1253,607,362,69,21,3566,311,366,213,105,36,9,1040,27,15,5,3,3,3,56,2703,2605,1253,685,175,57,7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,14,11,0,4,92,27,36,14,11,0,4,92,14,12,3,3,0,0,32,4182,4912,2713,2344,800,345,15296
LGA10200,9,0,120,3499,4906,3639,3563,1893,1553,19053,1499,2369,2053,2408,1366,1301,10996,198,270,226,214,94,63,1065,224,373,368,367,163,112,1607,422,643,594,581,257,175,2672,553,671,491,429,179,94,2417,535,825,562,423,171,78,2594,721,1143,652,476,180,126,3298,6,8,10,0,0,0,24,1815,2647,1715,1328,530,298,8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,8,4,5,5,54,17,15,8,4,5,5,54,7,7,5,0,0,5,24,3760,5681,4375,4321,2158,1784,22079
LGA10250,0,0,6,4080,5779,2144,1930,850,337,15120,2136,4478,1697,1709,737,337,11094,563,475,138,66,19,10,1271,215,292,126,72,15,6,726,778,767,264,138,34,16,1997,995,588,157,68,21,5,1834,23,42,7,6,0,0,78,31,28,8,0,0,0,67,16,3,0,0,0,0,19,1065,661,172,74,21,5,1998,264,169,24,8,0,0,465,3,3,0,0,0,0,6,11,10,4,4,0,0,29,278,182,28,12,0,0,500,3,3,3,0,0,0,9,4260,6091,2164,1933,792,358,15598
LGA10300,0,0,0,247,324,108,127,69,28,903,177,290,112,101,58,27,765,16,3,0,0,0,0,19,0,0,3,0,0,0,3,16,3,3,0,0,0,22,18,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,0,0,0,24,6,0,0,0,0,0,6,3,0,0,0,0,0,3,3,5,0,0,0,0,8,12,5,0,0,0,0,17,0,0,0,0,0,0,0,223,301,118,101,58,27,828
LGA10350,0,4,46,11306,14874,9466,9962,5390,3865,54863,6411,10300,6839,7743,4666,3664,39623,1138,913,547,541,278,189,3606,994,1343,1113,1214,663,442,5769,2132,2256,1660,1755,941,631,9375,1449,628,347,303,84,61,2872,841,896,623,472,187,79,3098,420,520,378,280,117,41,1756,83,37,22,24,7,7,180,2793,2081,1370,1079,395,188,7906,33,4,0,0,3,0,40,7,4,4,0,0,6,21,53,46,25,30,18,7,179,93,54,29,30,21,13,240,24,20,23,12,7,5,91,11453,14711,9921,10619,6030,4501,57235
LGA10470,0,4,44,3142,4391,1944,1892,847,410,12626,2434,4162,1864,1880,885,438,11663,408,259,88,35,10,7,807,71,75,26,19,8,0,199,479,334,114,54,18,7,1006,548,209,43,19,5,0,824,20,15,0,0,0,0,35,5,0,0,0,0,0,5,19,7,3,3,3,0,35,592,231,46,22,8,0,899,15,9,0,0,3,0,27,3,0,3,0,0,0,6,11,10,3,0,0,0,24,29,19,6,0,3,0,57,13,13,0,0,3,0,29,3547,4759,2030,1956,917,445,13654
LGA10550,3,0,23,3058,4847,1613,1489,636,316,11959,2328,4546,1487,1279,606,256,10502,268,157,29,14,3,3,474,148,189,26,24,6,0,393,416,346,55,38,9,3,867,566,313,71,47,8,4,1009,8,3,0,0,0,0,11,0,0,0,0,0,0,0,14,5,4,3,0,0,26,588,321,75,50,8,4,1046,103,59,6,4,3,3,178,11,4,4,3,5,0,27,12,23,7,0,0,0,42,126,86,17,7,8,3,247,7,7,0,0,0,0,14,3465,5306,1634,1374,631,266,12676
LGA10600,0,0,0,1283,1882,710,608,241,134,4858,1035,1837,657,592,259,114,4494,45,14,6,0,0,0,65,20,14,3,4,0,0,41,65,28,9,4,0,0,106,131,29,0,4,5,0,169,18,4,0,0,0,0,22,0,0,0,0,0,0,0,20,5,0,0,0,0,25,169,38,0,4,5,0,216,95,48,6,4,0,0,153,15,4,0,0,0,0,19,3,9,6,0,0,0,18,113,61,12,4,0,0,190,0,0,0,3,0,0,3,1382,1964,678,607,264,114,5009
