region_id,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_c_o_c_c_g,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_over_REA,C11_650over_ST_HA,C11_650ove_Pe_no_sa_ho,C11_650ov_H_co_op_c_ch_gr,C11_650over_Oth_lan_typ,C11_650over_LLT_NS,C11_650_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T
LGA10050,17,9,1159,834,111,247,25,29,6,1252,440,67,171,6,23,6,713,784,36,179,7,29,5,1040,640,6,129,0,16,3,794,249,0,47,0,8,0,304,42,0,13,0,0,0,55,18,0,7,0,3,0,28,20,0,15,0,6,0,41,66,46,35,22,18,12,199,3848,831,1088,145,191,84,6187
LGA10110,22,3,366,404,99,107,30,15,3,658,257,30,62,9,5,5,368,397,24,95,8,6,3,533,362,3,79,3,9,3,459,220,4,36,0,6,3,269,17,0,5,3,7,0,32,4,0,0,0,0,0,4,4,3,9,0,3,0,19,28,32,13,8,22,3,106,1837,449,539,101,145,82,3153
LGA10150,6,3,145,58,40,65,33,5,4,205,93,4,63,8,10,0,178,262,14,86,13,7,0,382,1040,16,183,6,11,0,1256,2045,6,248,9,19,8,2335,628,5,97,0,7,4,741,243,0,41,3,3,0,290,200,3,35,3,3,0,244,70,23,49,18,9,9,178,4675,234,991,154,94,69,6217
LGA10200,13,0,303,75,125,79,19,12,7,317,101,35,51,12,25,0,224,455,47,126,20,22,4,674,1335,38,285,7,47,13,1725,2042,37,387,11,54,19,2550,1194,3,190,4,24,7,1422,340,3,57,0,8,0,408,182,3,17,0,8,4,214,124,53,105,7,18,29,336,5911,843,1457,128,245,134,8718
LGA10250,40,3,292,91,98,103,12,73,8,385,131,17,103,3,31,0,285,338,31,167,5,26,3,570,750,13,257,0,24,3,1047,813,11,212,5,16,4,1061,203,0,48,4,0,0,255,42,0,13,0,3,3,61,29,5,18,3,11,0,66,30,44,31,16,18,5,144,2461,606,1093,139,276,103,4678
LGA10300,8,0,63,15,7,34,4,10,0,70,9,0,3,0,0,0,12,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,3,6,0,5,0,14,43,22,85,28,52,20,250
LGA10350,21,12,1358,73,763,136,105,36,13,1126,90,223,153,39,28,9,542,293,283,249,53,41,9,928,1619,336,556,39,103,15,2668,3410,163,776,21,148,27,4545,1202,12,265,7,46,7,1539,263,9,62,3,6,0,343,108,23,32,0,11,4,178,152,341,177,35,36,31,772,7286,5330,2756,476,512,314,16674
LGA10470,24,5,454,384,117,155,13,6,7,682,298,51,153,5,15,0,522,619,16,142,4,6,3,790,569,5,108,4,4,5,695,274,0,47,0,3,0,324,34,3,5,0,0,0,42,6,0,0,0,0,0,6,10,4,5,0,0,0,19,42,24,31,8,17,5,127,2423,566,857,77,109,104,4136
LGA10550,24,0,336,346,58,212,13,25,8,662,251,21,125,4,14,3,418,363,37,143,9,8,3,563,329,9,87,3,10,3,441,91,0,21,0,7,3,122,10,0,5,0,4,0,19,3,0,3,0,0,0,6,14,0,8,0,7,0,29,30,20,41,9,31,3,134,1516,348,880,105,185,119,3153
LGA10600,20,5,141,65,8,76,9,9,3,170,85,6,61,0,6,0,158,122,4,84,4,12,0,226,167,6,80,0,5,0,258,85,0,44,0,0,0,129,11,0,3,0,0,0,14,0,0,0,0,0,0,0,3,0,4,0,5,0,12,9,8,9,4,0,4,34,578,98,472,30,82,55,1315
