region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA10050,13,17,46,72,62,305,31,25,550,742,1292,312,191,10,9,40,31,94,392,20,17,476,640,1116,177,102,10,3,12,26,112,589,11,21,322,741,1063,25,20,0,3,3,0,0,3,26,34,54,60,114,8696,8745,536,736,1501,2040,483,2039,7106,6589,18322,20149,38471
LGA10110,9,8,12,29,24,171,12,8,254,346,600,125,88,5,0,11,10,40,184,10,14,191,296,487,92,47,3,0,0,20,60,230,3,9,158,306,464,37,23,0,0,5,6,0,3,91,132,133,164,297,4106,4098,267,337,584,901,230,930,4288,4421,9475,10687,20162
LGA10150,18,10,33,55,57,251,67,43,552,610,1162,261,153,14,4,34,49,80,305,52,49,441,560,1001,173,82,8,3,18,37,125,620,36,90,360,832,1192,92,127,3,6,3,4,3,21,64,82,165,240,405,7967,8002,401,465,1123,1551,377,1708,7121,6585,16989,18311,35300
LGA10200,6,9,47,38,58,243,37,24,556,557,1113,232,151,3,12,20,23,79,314,26,35,360,535,895,151,88,3,3,10,17,98,435,13,33,275,576,851,178,250,10,0,8,24,4,53,100,94,300,421,721,16487,15755,782,888,1611,2103,416,1933,11989,8360,31285,29039,60324
LGA10250,19,7,67,90,75,324,29,21,704,856,1560,421,310,13,8,41,61,120,435,17,21,612,835,1447,298,161,6,0,24,35,182,645,18,32,528,873,1401,40,44,3,0,9,0,0,4,27,27,79,75,154,8033,8168,458,577,1472,2074,576,2059,4816,4245,15355,17123,32478
LGA10300,3,0,3,0,7,14,3,0,46,29,75,10,10,0,3,0,0,6,16,5,0,21,29,50,6,0,0,0,0,0,4,26,0,0,10,26,36,0,0,0,0,0,0,0,0,13,5,13,5,18,527,496,37,34,81,64,30,90,341,247,1016,931,1947
LGA10350,68,41,143,203,255,1052,90,74,2052,2558,4610,1220,799,41,21,84,107,366,1496,80,61,1791,2484,4275,738,408,12,19,49,97,534,1926,40,61,1373,2511,3884,173,254,8,5,11,28,10,62,133,122,335,471,806,37252,37350,2115,2918,4344,6420,1813,7271,24205,19641,69729,73600,143329
LGA10470,10,6,21,41,50,217,30,29,401,560,961,220,128,8,10,23,24,60,268,14,21,325,451,776,95,44,0,7,11,19,64,347,16,51,186,468,654,14,14,0,0,4,0,0,0,33,54,51,68,119,6992,6808,457,565,1125,1406,336,1334,6370,5386,15280,15499,30779
LGA10550,17,14,59,50,66,248,33,12,655,681,1336,319,201,5,3,21,25,80,275,22,10,447,514,961,179,84,0,3,20,22,106,396,3,12,308,517,825,19,26,4,0,3,3,3,4,18,23,47,56,103,6881,6891,412,469,1319,1435,464,1515,3853,3343,12929,13653,26582
LGA10600,5,0,35,24,21,88,10,5,239,245,484,101,55,4,3,16,5,29,103,10,3,160,169,329,69,40,0,3,6,7,42,140,8,5,125,195,320,8,7,0,0,0,6,0,5,15,15,23,33,56,2333,2366,192,198,582,729,163,537,1551,1462,4821,5292,10113
