SA3_CODE_2016,C06_Budh_0_14_yrs,C06_Budh_15_24,C06_Budh_25_34,C06_Budh_35_44,C06_Budh_45_54,C06_Budh_55_64,C06_Budh_65_74,C06_Budh_75_84,C06_Budh_85ov,C06_Budh_Tot,C06_C_Ang_0_14,C06_C_Ang_15_24,C06_C_Ang_25_34,C06_C_Ang_35_44,C06_C_Ang_45_54,C06_C_Ang_55_64,C06_C_Ang_65_74,C06_C_Ang_75_84,C06_C_Ang_85ov,C06_C_Ang_Tot,C06_C_As_Apo_0_14,C06_C_As_Apo_15_24,C06_C_As_Apo_25_34,C06_C_As_Apo_35_44,C06_C_As_Apo_45_54,C06_C_As_Apo_55_64,C06_C_As_Apo_65_74,C06_C_As_Apo_75_84,C06_C_As_Apo_85ov,C06_C_As_Apo_Tot,C06_C_Bap_0_14,C06_C_Bap_15_24,C06_C_Bap_25_34,C06_C_Bap_35_44,C06_C_Bap_45_54,C06_C_Bap_55_64,C06_C_Bap_65_74,C06_C_Bap_75_84,C06_C_Bap_85ov,C06_C_Bap_Tot,C06_C_Breth_0_14,C06_C_Breth_15_24,C06_C_Breth_25_34,C06_C_Breth_35_44,C06_C_Breth_45_54,C06_C_Breth_55_64,C06_C_Breth_65_74,C06_C_Breth_75_84,C06_C_Breth_85ov,C06_C_Breth_Tot,C06_C_Cath_0_14,C06_C_Cath_15_24,C06_C_Cath_25_34,C06_C_Cath_35_44,C06_C_Cath_45_54,C06_C_Cath_55_64,C06_C_Cath_65_74,C06_C_Cath_75_84,C06_C_Cath_85ov,C06_C_Cath_Tot,C06_C_Ch_Chr_0_14,C06_C_Ch_Chr_15_24,C06_C_Ch_Chr_25_34,C06_C_Ch_Chr_35_44,C06_C_Ch_Chr_45_54,C06_C_Ch_Chr_55_64,C06_C_Ch_Chr_65_74,C06_C_Ch_Chr_75_84,C06_C_Ch_Chr_85ov,C06_C_Ch_Chr_Tot,C06_C_E_Orth_0_14,C06_C_E_Orth_15_24,C06_C_E_Orth_25_34,C06_C_E_Orth_35_44,C06_C_E_Orth_45_54,C06_C_E_Orth_55_64,C06_C_E_Orth_65_74,C06_C_E_Orth_75_84,C06_C_E_Orth_85ov,C06_C_E_Orth_Tot,C06_C_Jeh_Wit_0_14,C06_C_Jeh_Wit_15_24,C06_C_Jeh_Wit_25_34,C06_C_Jeh_Wit_35_44,C06_C_Jeh_Wit_45_54,C06_C_Jeh_Wit_55_64,C06_C_Jeh_Wit_65_74,C06_C_Jeh_Wit_75_84,C06_C_Jeh_Wit_85ov,C06_C_Jeh_Wit_Tot,C06_C_La_Da_Sai_0_14,C06_C_La_Da_Sai_15_24,C06_C_La_Da_Sai_25_34,C06_C_La_Da_Sai_35_44,C06_C_La_Da_Sai_45_54,C06_C_La_Da_Sai_55_64,C06_C_La_Da_Sai_65_74,C06_C_La_Da_Sai_75_84,C06_C_La_Da_Sai_85ov,C06_C_La_Da_Sai_Tot,C06_C_Luth_0_14,C06_C_Luth_15_24,C06_C_Luth_25_34,C06_C_Luth_35_44,C06_C_Luth_45_54,C06_C_Luth_55_64,C06_C_Luth_65_74,C06_C_Luth_75_84,C06_C_Luth_85ov,C06_C_Luth_Tot,C06_C_Ori_Orth_0_14,C06_C_Ori_Orth_15_24,C06_C_Ori_Orth_25_34,C06_C_Ori_Orth_35_44,C06_C_Ori_Orth_45_54,C06_C_Ori_Orth_55_64,C06_C_Ori_Orth_65_74,C06_C_Ori_Orth_75_84,C06_C_Ori_Orth_85ov,C06_C_Ori_Orth_Tot,C06_C_Oth_Prot_0_14,C06_C_Oth_Prot_15_24,C06_C_Oth_Prot_25_34,C06_C_Oth_Prot_35_44,C06_C_Oth_Prot_45_54,C06_C_Oth_Prot_55_64,C06_C_Oth_Prot_65_74,C06_C_Oth_Prot_75_84,C06_C_Oth_Prot_85ov,C06_C_Oth_Prot_Tot,C06_C_Pentec_0_14,C06_C_Pentec_15_24,C06_C_Pentec_25_34,C06_C_Pentec_35_44,C06_C_Pentec_45_54,C06_C_Pentec_55_64,C06_C_Pentec_65_74,C06_C_Pentec_75_84,C06_C_Pentec_85ov,C06_C_Pentec_Tot,C06_C_Pres_Ref_0_14,C06_C_Pres_Ref_15_24,C06_C_Pres_Ref_25_34,C06_C_Pres_Ref_35_44,C06_C_Pres_Ref_45_54,C06_C_Pres_Ref_55_64,C06_C_Pres_Ref_65_74,C06_C_Pres_Ref_75_84,C06_C_Pres_Ref_85ov,C06_C_Pres_Ref_Tot,C06_C_Sal_Army_0_14,C06_C_Sal_Army_15_24,C06_C_Sal_Army_25_34,C06_C_Sal_Army_35_44,C06_C_Sal_Army_45_54,C06_C_Sal_Army_55_64,C06_C_Sal_Army_65_74,C06_C_Sal_Army_75_84,C06_C_Sal_Army_85ov,C06_C_Sal_Army_Tot,C06_C_Se_da_Adv_0_14,C06_C_Se_da_Adv_15_24,C06_C_Se_da_Adv_25_34,C06_C_Se_da_Adv_35_44,C06_C_Se_da_Adv_45_54,C06_C_Se_da_Adv_55_64,C06_C_Se_da_Adv_65_74,C06_C_Se_da_Adv_75_84,C06_C_Se_da_Adv_85ov,C06_C_Se_da_Adv_Tot,C06_C_Uni_Ch_0_14,C06_C_Uni_Ch_15_24,C06_C_Uni_Ch_25_34,C06_C_Uni_Ch_35_44,C06_C_Uni_Ch_45_54,C06_C_Uni_Ch_55_64,C06_C_Uni_Ch_65_74,C06_C_Uni_Ch_75_84,C06_C_Uni_Ch_85ov,C06_C_Uni_Ch_Tot,C06_C_Chi_nfd_0_14,C06_C_Chi_nfd_15_24,C06_C_Chi_nfd_25_34,C06_C_Chi_nfd_35_44,C06_C_Chi_nfd_45_54,C06_C_Chi_nfd_55_64,C06_C_Chi_nfd_65_74,C06_C_Chi_nfd_75_84,C06_C_Chi_nfd_85ov,C06_C_Chi_nfd_Tot,C06_C_Oth_Chr_0_14,C06_C_Oth_Chr_15_24,C06_C_Oth_Chr_25_34,C06_C_Oth_Chr_35_44,C06_C_Oth_Chr_45_54,C06_C_Oth_Chr_55_64,C06_C_Oth_Chr_65_74,C06_C_Oth_Chr_75_84,C06_C_Oth_Chr_85ov,C06_C_Oth_Chr_Tot
10102,63,29,81,76,71,42,11,3,0,385,2172,1270,1271,1959,1820,1337,722,421,105,11077,0,0,0,0,0,0,0,0,0,0,80,61,55,76,92,49,25,8,4,450,40,16,20,11,7,4,12,4,0,117,3577,2194,1850,2557,2101,1476,821,492,119,15178,23,8,9,10,15,5,3,3,0,80,349,218,326,310,257,249,158,79,19,1963,23,13,21,27,27,13,9,3,0,144,19,13,14,12,6,7,7,0,0,81,82,37,66,82,94,69,43,40,4,510,3,4,7,7,0,3,3,0,0,24,25,12,12,22,9,11,3,0,0,93,72,52,42,52,42,33,7,0,0,302,138,126,137,264,289,257,120,81,28,1444,23,27,20,25,26,18,12,6,3,157,18,13,6,5,6,10,4,3,0,65,364,245,184,359,330,251,124,70,26,1954,133,86,81,76,95,48,10,10,0,550,8,4,3,4,11,7,0,0,0,47
10103,27,18,14,22,40,18,3,0,0,150,825,455,465,693,799,689,455,330,114,4820,0,0,0,0,0,0,0,0,0,0,85,31,42,42,48,27,20,3,0,299,10,3,0,3,3,3,3,0,0,18,1063,536,513,759,682,678,429,277,96,5025,0,0,0,0,0,0,3,0,0,5,38,12,18,27,19,19,13,8,3,150,15,5,9,12,4,16,9,6,0,76,3,3,3,9,5,3,0,0,0,34,23,18,9,18,33,55,55,32,6,248,0,0,0,0,0,0,0,0,0,3,6,0,0,3,7,3,0,0,0,17,48,30,18,14,17,6,9,3,0,147,57,34,29,78,121,130,92,49,22,614,8,9,6,9,13,9,0,0,3,57,11,7,3,3,3,4,3,0,0,37,124,68,68,103,129,102,66,31,17,713,34,26,19,21,33,11,10,3,3,162,0,0,0,3,3,0,0,0,0,11
10104,91,44,46,93,147,99,11,7,0,541,2719,1442,1251,2155,2921,3425,2712,1964,633,19223,0,0,0,0,0,0,0,0,0,0,147,62,53,83,110,139,112,62,13,790,0,0,0,0,3,0,0,0,0,5,2783,1618,1152,1973,2310,2182,1700,934,242,14892,5,3,0,4,8,12,12,3,3,55,54,19,32,51,35,60,49,21,3,323,64,41,46,62,65,60,37,27,6,416,22,6,4,16,12,12,3,3,0,81,36,25,26,51,74,85,117,87,7,507,0,0,0,0,0,3,3,0,0,8,4,3,9,9,4,23,8,11,5,82,89,44,35,49,73,50,35,8,0,386,146,126,117,265,442,536,518,377,144,2662,49,11,15,24,29,35,30,7,0,200,62,17,21,19,36,18,15,11,3,205,464,248,150,357,538,617,503,385,134,3403,261,110,64,131,180,145,63,31,12,1001,8,9,4,11,7,16,9,6,0,70
10105,11,20,8,27,21,23,3,4,0,118,1854,1116,1071,1423,1517,1454,1073,692,231,10437,0,0,0,0,0,0,0,0,0,0,67,61,39,35,40,47,28,19,3,341,65,17,22,24,5,4,7,0,0,147,2290,1387,1124,1473,1434,1216,866,554,124,10466,6,0,3,0,0,0,3,0,0,16,24,28,25,34,27,28,31,11,0,203,11,6,0,11,8,18,13,8,3,73,0,0,5,0,4,5,0,0,0,18,11,7,6,22,19,26,17,16,0,122,4,0,0,7,5,0,0,0,0,23,0,0,0,3,3,7,3,0,0,19,35,24,24,28,21,22,15,0,0,162,71,47,61,122,177,208,116,102,34,935,14,16,3,13,13,14,15,4,0,93,5,8,8,3,12,9,6,10,0,64,316,205,158,263,294,286,261,154,55,1986,79,51,28,41,59,38,11,7,0,316,0,0,0,0,8,3,4,0,3,18
10106,12,12,10,30,18,13,3,0,0,98,1748,930,934,1382,1475,1451,1024,681,238,9857,0,0,0,0,0,0,0,0,0,0,75,38,25,44,42,36,10,17,8,297,20,17,9,13,8,11,3,3,3,80,2757,1265,1148,1555,1433,1257,852,552,159,10972,0,0,0,0,0,0,0,0,0,8,15,14,11,19,25,24,11,3,0,117,7,5,6,5,13,11,3,0,0,49,0,0,0,0,0,0,0,0,0,4,25,27,17,26,43,35,19,13,3,201,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,5,3,0,30,47,21,15,17,27,20,15,3,0,167,111,72,84,149,199,209,132,96,26,1076,28,10,17,13,18,13,4,3,0,115,13,5,4,10,10,10,3,3,0,58,341,197,179,268,316,342,230,152,59,2087,110,56,30,52,67,55,21,12,5,409,0,0,0,5,5,3,0,0,0,15
10201,149,101,169,227,215,125,40,8,3,1047,7029,4554,4154,6043,6653,6054,4691,4357,1692,45226,0,0,0,0,0,0,0,0,0,0,592,408,302,420,459,363,278,235,81,3134,57,35,24,16,8,14,5,16,3,186,8790,5428,4147,5794,5698,4414,3274,2516,667,40739,81,47,34,59,89,41,19,23,11,405,209,106,110,197,133,122,129,66,14,1096,100,82,87,97,86,88,36,26,13,614,94,63,46,34,49,44,20,18,0,381,90,62,53,103,110,126,125,114,17,797,3,3,3,4,7,3,3,0,0,24,244,114,102,148,115,88,64,33,7,918,462,328,231,273,324,154,61,24,3,1865,403,344,355,695,913,903,804,782,303,5507,80,64,26,64,73,80,60,62,27,541,195,109,106,121,134,66,38,37,12,820,1318,986,595,972,1140,1167,832,916,333,8256,764,486,328,412,410,185,117,92,34,2826,42,34,34,37,40,27,20,12,5,245
10202,83,78,98,125,126,69,19,12,3,606,7598,4602,4637,6054,5950,5613,4895,3917,1244,44504,3,0,0,0,0,0,0,0,0,9,501,267,240,318,355,353,277,223,73,2595,3,0,0,3,4,8,8,4,5,40,8587,4597,4047,5373,4934,4103,3520,2307,559,38018,27,9,11,15,19,22,31,22,14,169,145,79,101,112,117,115,97,51,5,823,133,93,74,100,103,69,67,29,11,673,106,55,58,44,49,40,28,11,3,392,40,29,27,52,53,64,93,64,15,438,3,6,3,0,6,0,7,0,0,25,123,43,61,69,44,34,34,17,8,431,319,233,155,172,238,135,62,33,8,1358,428,263,397,675,791,816,756,656,187,4966,82,60,50,62,64,72,54,45,13,507,93,60,65,58,83,69,52,32,12,518,948,753,487,731,823,777,755,621,219,6099,508,283,251,233,248,170,91,55,19,1859,44,17,13,30,30,25,21,11,6,189
10301,27,47,31,37,43,18,5,3,0,205,1672,1469,1117,1328,1482,1375,842,656,212,10154,0,0,0,0,0,0,0,0,0,0,129,107,77,85,110,89,33,18,3,641,52,36,20,18,19,9,8,3,0,158,3459,2493,1583,1965,1835,1450,938,549,183,14453,4,10,5,3,7,4,3,0,3,44,44,24,20,32,24,32,15,8,3,197,21,21,13,17,17,14,10,5,3,122,16,14,0,4,15,4,0,0,0,59,20,16,19,29,22,26,29,7,3,165,0,0,0,0,0,0,0,0,0,0,10,8,3,8,12,10,6,0,0,67,80,53,27,42,36,36,15,8,0,299,219,218,177,274,361,296,179,176,51,1955,35,26,30,22,22,19,9,7,0,167,27,8,3,16,13,22,10,3,6,105,335,364,211,288,355,358,208,143,48,2312,118,98,62,66,63,57,11,6,8,484,3,5,0,9,3,6,0,3,0,33
10302,15,12,14,23,32,9,0,3,0,104,3204,1667,1642,2283,2413,2396,2006,1300,452,17352,0,0,0,0,0,0,0,0,0,0,180,112,95,121,114,109,70,34,14,836,105,80,61,34,45,11,7,16,0,364,4511,2130,1811,2304,2309,1990,1581,924,268,17828,0,0,0,0,0,0,0,0,0,3,15,3,12,25,11,23,8,7,0,103,31,28,18,22,36,29,12,17,0,188,14,5,8,7,3,12,7,4,0,52,84,60,48,66,56,57,51,34,13,469,6,3,0,3,4,0,0,0,0,19,26,9,6,8,5,4,10,3,0,67,124,59,40,56,78,46,21,17,3,439,382,239,318,444,632,574,449,396,108,3537,67,55,31,41,44,54,33,12,15,350,23,6,3,4,11,18,10,6,3,102,765,466,395,537,672,630,485,373,157,4490,234,114,78,103,118,77,48,28,13,810,4,0,3,3,7,6,3,0,0,30
10303,26,9,35,37,37,34,8,4,0,182,2094,1216,1283,1785,1999,2081,1409,899,303,13064,0,0,0,0,0,0,0,0,0,0,102,66,47,74,79,59,50,23,7,505,58,26,21,20,11,23,5,7,3,178,2764,1464,1191,1691,1543,1488,946,508,178,11769,0,0,3,0,0,3,0,0,0,7,15,8,13,21,26,24,16,14,0,153,31,20,33,28,22,26,14,12,5,196,4,4,3,8,11,10,8,0,0,40,13,7,9,25,23,28,26,23,3,152,0,3,0,0,0,0,0,0,0,13,12,0,4,11,4,3,4,4,3,51,82,55,31,42,45,43,21,8,0,325,225,157,183,280,385,446,265,204,70,2214,26,36,18,41,31,37,28,7,3,233,20,12,4,17,12,4,15,3,0,91,460,302,220,346,403,453,297,214,67,2763,169,64,58,73,75,63,44,16,3,563,0,0,5,3,3,3,0,0,0,19
