SUA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,99719,81026,35581,10439,508573
1001,7224,5613,2642,835,47637
1002,2008,1551,947,338,13027
1003,4633,4290,2072,834,25095
1004,1795,1911,987,302,8982
1005,2828,2112,1072,412,18698
1006,3864,3880,2551,935,22874
1007,1397,994,457,215,7621
1008,1017,875,290,86,6871
1009,2016,2186,1233,342,9653
1010,28841,23289,12930,5084,172472
1011,6461,5723,2822,1067,37598
1012,2719,1801,986,365,19494
1013,1943,2312,1457,625,10589
1014,1827,1469,769,324,11798
1015,1350,1174,650,334,8618
1016,1177,746,388,225,8747
1017,1195,971,453,178,7173
1018,2484,1934,864,347,14448
1019,1023,865,484,149,5839
1020,1258,935,426,58,7234
1021,2324,2184,1424,605,14085
1022,867,628,379,137,6038
1023,767,453,194,60,5313
1024,3091,3170,1933,576,15383
1025,39222,29798,14616,5480,257315
1026,2949,2386,1242,443,19127
1027,2861,2303,1181,456,20364
1028,4400,4123,2470,1081,26183
1029,1136,669,264,84,7760
1030,1893,1993,949,271,10221
1031,346683,227002,111360,44819,2606480
1032,2892,2270,1403,504,20143
1033,2110,1762,1110,481,11780
1034,1750,1750,868,292,8800
1035,4107,2969,1483,652,27260
1036,24872,18003,8782,3443,157459
