SUA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
1000,103333,86315,31944,6531,44879,43447,10390,23132,85491,9877,69189,479553,36214,834689,1809,1236,722,86,792,772,172,462,1301,197,1265,7548,643,13707,7037,2712,2312,569,2834,3151,633,1670,3245,727,3555,14097,1088,31749,2075,671,709,227,931,1122,211,516,857,274,1199,6237,389,11847,1418,349,429,184,870,776,184,278,478,184,725,3339,344,7096,194,107,55,26,157,104,29,35,120,20,154,1332,165,2135,486,406,169,26,419,194,57,80,329,50,479,6316,427,8552,128,77,65,13,101,47,7,26,105,12,169,3032,152,3746,192,148,64,22,272,151,34,29,127,20,193,4187,145,5199,783,508,243,41,312,275,66,126,638,59,658,4181,210,6818,425,301,188,29,231,207,41,81,345,39,409,3229,149,4943,14534,6511,4953,1216,6910,6798,1438,3302,7545,1584,8801,53504,3721,95781,3536,1648,995,332,1632,1561,434,927,1674,442,1253,7894,75759,91920,121404,94477,37892,8082,53426,51807,12260,27357,94711,11904,79252,540946,115689,1022386,36082,42186,11281,275
1001,8484,9448,2801,629,3904,3810,896,1859,10928,931,7743,45365,3143,80657,147,134,61,11,77,66,22,44,135,13,114,613,44,1140,494,218,163,40,231,255,47,119,267,56,279,1009,75,2269,279,88,109,35,171,170,33,72,131,32,159,524,40,1248,189,45,74,35,123,119,20,30,81,32,131,328,38,845,13,18,4,4,11,10,0,0,9,4,19,160,12,223,58,80,31,3,77,26,7,5,54,6,84,1133,35,1476,11,12,3,0,15,0,0,5,10,0,20,326,3,388,79,80,9,8,143,41,14,16,88,0,133,2260,62,2741,35,47,22,0,24,23,0,4,60,3,57,231,7,411,15,33,10,0,28,11,0,5,46,0,45,860,25,1030,1321,754,486,139,903,725,155,300,880,162,1036,7439,341,11780,209,110,54,13,107,107,34,59,146,20,100,397,4452,5361,10015,10317,3342,783,4910,4636,1083,2218,11953,1114,8879,53204,7934,97793,2952,5152,995,20
1002,1816,2027,665,119,788,825,161,376,2220,192,1680,10038,672,17731,37,38,9,3,20,18,0,7,23,0,42,182,11,314,83,63,33,9,42,60,8,24,65,15,73,278,16,601,27,12,9,5,22,18,6,10,7,0,29,137,9,235,10,0,0,0,7,8,0,4,8,0,7,52,3,91,11,18,3,4,14,13,7,4,29,5,44,632,12,738,11,22,5,0,8,7,3,6,11,0,27,283,4,349,11,9,0,0,6,4,0,0,0,0,12,188,5,225,7,15,5,0,30,11,0,0,15,0,23,691,20,800,26,30,16,0,14,15,0,3,29,6,46,180,9,296,10,15,3,3,16,3,0,0,15,0,22,209,6,276,235,208,92,19,184,155,29,52,210,28,320,2825,77,3927,42,18,17,3,18,14,7,13,21,4,17,114,2098,2311,2090,2257,780,139,989,997,200,447,2443,226,2019,12984,2846,23967,650,1048,234,10
1003,4232,3337,1530,390,1657,2150,467,992,4049,558,3306,21757,1459,37622,106,85,31,9,29,52,10,21,96,11,74,564,25,929,313,139,138,40,107,178,28,70,204,60,192,1025,57,1984,93,25,37,5,25,41,7,18,41,14,49,408,29,665,31,7,19,12,25,26,6,11,22,8,28,177,8,285,3,0,0,0,5,6,0,0,9,0,9,51,3,84,15,20,3,4,18,19,5,3,25,0,29,358,29,490,4,6,3,0,8,3,0,0,15,0,11,158,7,208,18,6,5,0,14,4,0,0,12,0,15,191,7,257,43,36,13,0,19,18,0,3,42,0,47,423,22,608,34,20,14,5,8,20,0,0,23,5,23,234,8,357,663,354,265,78,250,370,71,137,481,102,485,3599,199,5858,130,58,60,53,62,87,31,45,89,13,112,252,2095,2710,5030,3750,1847,519,1969,2608,564,1169,4628,676,3906,25609,3753,46190,1299,1759,492,0
1004,2088,1411,662,171,781,832,233,454,1730,202,1368,6976,551,13442,51,27,16,3,23,24,9,6,34,14,30,146,8,300,254,83,86,22,113,119,32,57,108,35,127,375,42,1009,83,17,29,17,31,36,3,14,34,8,39,146,7,336,85,19,27,12,45,36,9,17,24,15,42,134,22,344,9,0,0,0,4,0,0,0,0,0,5,16,0,25,11,5,6,7,11,3,0,0,6,0,13,138,8,191,0,4,0,0,4,3,0,0,0,0,9,70,4,85,4,3,0,0,3,0,0,0,8,0,10,118,5,134,21,11,16,0,3,6,6,10,17,0,21,78,6,151,4,13,14,0,3,9,0,5,8,0,13,55,0,99,527,187,188,58,244,240,63,106,235,67,307,1275,100,2693,60,27,17,15,37,37,6,22,28,10,25,147,1086,1395,2675,1635,866,247,1065,1105,301,578,1989,277,1693,8395,1740,17524,571,611,158,0
1005,3350,3979,1019,311,1580,1234,283,659,3951,331,3027,17319,1820,31646,53,54,17,0,50,30,6,7,43,7,41,255,39,483,182,86,61,32,90,91,19,47,119,20,110,358,25,855,70,23,20,5,32,34,7,12,23,17,44,141,13,305,41,10,14,13,29,24,9,7,20,6,26,79,12,200,18,8,4,3,13,3,6,0,9,0,14,81,28,163,17,25,8,5,17,8,0,0,14,0,29,402,29,525,3,5,6,0,0,9,0,0,3,0,13,144,9,172,6,17,0,0,35,9,4,0,12,0,30,623,21,748,18,28,17,0,12,9,0,4,25,8,22,118,12,213,15,7,3,0,7,4,0,0,10,0,13,133,16,196,424,261,141,52,292,216,49,86,279,62,339,2338,205,3858,89,44,12,0,24,36,8,22,39,15,34,144,1574,1886,3864,4283,1179,368,1896,1491,341,767,4273,410,3398,19799,3599,37396,1141,2067,362,8
1006,3970,2969,1315,257,1516,1519,321,748,3210,358,2879,18606,1181,31905,105,62,54,4,63,43,9,19,56,10,69,382,35,752,620,207,190,43,225,236,37,126,219,65,306,1253,79,2697,119,41,45,14,47,55,3,27,53,24,66,351,23,678,132,22,45,17,67,71,10,17,46,11,84,325,25,661,19,11,5,0,10,13,4,5,18,0,12,99,0,161,26,25,10,4,32,14,0,3,17,0,18,441,23,562,14,8,4,0,13,8,0,4,11,0,18,289,7,360,13,8,8,0,31,13,3,0,7,0,23,795,20,893,56,33,24,8,16,16,7,3,43,10,52,314,12,499,39,28,18,0,17,26,4,7,22,6,30,220,8,372,1147,453,408,98,518,485,77,213,485,126,677,4477,234,7637,84,32,30,0,36,42,12,14,36,16,31,174,1694,2061,5197,3454,1749,355,2069,2050,409,976,3739,494,3586,23248,3113,41600,1433,1621,487,9
1007,2308,2009,562,164,1300,975,252,549,1982,222,1374,7543,754,15119,15,7,4,0,7,7,3,0,7,0,11,52,7,101,44,26,8,0,26,19,4,12,19,4,26,61,3,169,29,3,0,4,12,8,3,3,6,0,14,40,0,81,26,4,8,11,18,18,0,0,4,5,9,15,5,70,0,0,0,0,0,0,0,0,0,0,0,16,3,24,14,15,0,0,13,11,0,0,5,0,18,178,10,243,0,0,0,0,0,0,0,0,0,0,0,21,4,30,0,4,0,0,7,0,0,0,7,0,8,71,5,94,4,3,3,0,5,3,0,5,6,0,5,27,0,51,0,0,0,0,0,0,0,0,0,0,0,35,0,46,125,69,26,16,96,69,17,23,59,16,88,525,38,907,64,43,12,0,40,26,4,22,35,7,17,98,1334,1567,2497,2118,596,181,1439,1067,273,590,2084,239,1479,8163,2120,17588,587,920,150,4
1008,505,486,220,42,154,242,43,122,623,60,526,4596,290,6942,16,31,12,8,0,6,3,9,11,4,21,203,12,309,64,43,34,8,11,28,7,8,65,7,74,429,20,689,24,17,12,5,6,15,0,4,23,3,35,411,10,508,10,8,3,7,0,4,5,0,3,0,17,281,6,328,0,0,0,0,4,0,0,0,0,0,3,46,0,59,5,3,0,0,3,0,0,3,3,0,13,101,6,124,5,3,9,0,0,3,0,0,5,0,6,108,4,129,0,0,0,0,0,0,0,0,5,0,0,46,0,54,22,34,14,0,0,9,0,6,29,4,32,596,13,711,7,6,3,0,9,3,0,0,7,0,6,68,5,107,161,148,76,27,36,66,20,27,144,24,204,2296,78,3030,12,3,0,0,0,0,0,0,7,0,3,48,872,944,674,635,299,69,192,309,62,159,773,88,732,6944,1238,10914,202,366,88,0
1009,2798,1536,864,199,1097,1170,281,615,1785,308,1660,7858,565,15613,42,27,15,0,22,25,3,14,18,8,17,112,9,233,267,88,78,17,91,116,21,59,87,29,126,385,26,966,57,15,20,5,23,24,11,9,22,7,34,128,6,255,18,0,14,3,18,14,0,11,13,6,20,48,3,114,3,0,0,0,3,0,0,0,0,0,0,11,5,23,12,5,3,0,3,0,4,0,7,6,12,70,6,105,0,0,0,0,0,3,0,0,0,0,3,29,0,39,4,0,4,0,0,7,0,8,0,0,5,26,0,39,15,13,3,0,3,7,0,0,5,3,18,82,6,131,12,3,4,3,8,3,0,3,4,0,13,41,0,81,436,160,140,34,175,205,38,104,163,48,249,925,55,1990,101,40,33,3,41,49,11,28,19,12,26,102,585,880,3330,1734,1036,240,1309,1428,331,752,1968,372,1936,8889,1198,18484,544,615,175,0
