SUA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
1000,831,2377,1817,1152,3090,3277,950,2271,222,15997,1146,2504,1620,1125,2832,3107,722,2180,3869,19093,23561,64749,52438,35464,77537,80319,24592,70781,9855,439281
1001,76,267,217,111,351,378,107,194,15,1717,50,202,147,87,333,314,95,153,318,1702,2062,6477,5381,4035,9819,9590,2932,5167,720,46191
1002,16,55,57,22,83,74,18,24,7,348,13,47,23,7,50,47,13,28,60,295,507,1751,1233,839,2502,1672,593,1144,161,10396
1003,42,140,109,71,155,150,36,75,14,790,30,113,84,47,118,124,23,58,149,749,1095,3609,2980,2121,3925,3551,931,2169,352,20730
1004,14,33,30,31,56,73,15,29,0,283,14,47,24,15,40,35,4,15,59,259,389,1131,878,621,1299,1017,279,592,144,6347
1005,28,94,68,42,161,135,40,101,3,675,29,70,47,32,96,101,40,72,103,578,808,2424,1970,1356,3979,3277,1112,2259,236,17428
1006,46,144,89,65,120,161,47,88,8,766,52,98,68,43,115,131,35,102,108,733,1064,3155,2350,1471,3289,3593,1137,2437,294,18791
1007,7,56,25,12,70,54,12,42,0,285,16,30,16,13,30,42,3,32,72,242,407,976,698,509,1557,1364,375,1127,165,7172
1008,13,50,39,20,16,27,0,13,0,180,7,54,53,20,68,53,11,30,69,368,328,1388,874,545,741,847,172,424,139,5465
1009,9,50,39,25,60,53,9,29,3,279,11,29,19,14,39,38,0,20,49,227,349,1130,897,634,1311,1085,334,664,117,6514
1010,1311,885,523,284,1080,904,244,407,81,5716,504,747,552,318,1068,1066,207,511,1035,6006,16052,23541,17548,11213,29466,27861,7125,13879,2370,149052
1011,39,196,158,123,315,256,62,120,12,1278,56,205,114,81,229,194,32,94,243,1243,1488,5417,4425,3098,6723,5415,1636,3191,582,31976
1012,19,97,78,56,192,155,52,89,7,746,29,69,48,25,150,125,30,74,173,726,801,2289,1897,1400,4844,4107,1215,2484,364,19401
1013,9,55,36,38,56,48,12,29,0,287,20,51,33,15,43,29,12,19,78,295,362,1306,1051,701,1334,1132,325,602,175,6986
1014,17,46,50,38,111,105,19,60,6,447,18,42,27,23,74,74,17,49,92,406,540,1394,1231,818,2595,2076,627,1384,202,10874
1015,7,40,29,23,81,62,21,26,4,290,15,36,28,12,52,52,12,19,87,308,328,1076,898,691,1720,1193,369,752,171,7194
1016,10,46,46,22,87,84,29,41,6,364,17,52,44,32,186,95,18,37,114,606,305,1218,998,825,2896,2024,658,1154,231,10301
1017,4,24,28,15,51,20,13,23,3,182,11,27,12,6,42,35,4,9,60,208,269,786,710,504,1123,845,215,495,143,5082
1018,19,82,60,47,151,122,29,49,6,557,26,72,40,40,87,82,8,28,79,462,554,1924,1785,1310,2991,2234,633,1063,219,12716
1019,9,48,19,10,30,32,17,19,3,186,9,19,13,9,30,27,8,20,44,185,335,684,552,355,992,934,262,444,91,4647
1020,23,43,28,28,64,66,16,24,0,301,19,29,16,20,43,38,9,45,49,269,456,1013,779,548,1421,1408,392,754,124,6890
1021,69,97,60,37,103,111,28,48,6,553,43,59,40,29,87,71,19,45,103,501,989,1774,1401,948,2286,2123,594,1173,214,11500
1022,6,39,25,16,57,48,11,50,3,257,9,33,16,5,21,30,4,22,41,181,314,803,673,422,1017,1141,422,1042,111,5949
1023,10,35,25,11,47,51,26,40,0,240,13,20,13,9,30,35,10,21,56,201,266,679,558,328,1021,974,423,940,114,5299
1024,35,83,70,38,65,82,19,33,5,428,29,68,35,22,67,60,8,37,78,401,906,2190,1447,876,1955,1880,555,1017,172,10996
1025,599,1557,1174,741,1959,1825,513,867,72,9308,426,974,710,487,1631,1731,420,797,1432,8601,14550,36230,29202,19828,50293,47835,13994,25441,3143,240511
1026,36,125,70,50,153,111,27,74,8,646,28,68,39,28,125,101,34,45,130,591,816,2563,1910,1294,3384,3025,827,1538,278,15631
1027,32,100,95,53,155,157,60,135,5,796,21,70,42,24,126,117,23,70,132,613,833,2618,2083,1354,4277,3815,1396,2960,280,19618
1028,32,152,94,68,175,155,46,64,11,792,31,110,42,42,112,98,19,49,135,642,1030,3743,2614,2076,4442,3928,1085,2081,306,21307
1029,17,39,52,17,68,80,26,56,4,370,16,31,20,14,48,53,19,52,71,317,447,1076,874,488,1356,1646,661,1646,143,8338
1030,26,42,46,12,80,65,14,13,6,294,20,36,13,23,49,36,11,13,54,262,494,1230,974,652,1572,1310,358,711,137,7427
1031,15680,10764,7068,3626,12481,11844,3006,5449,772,70683,9505,11921,9818,5280,21354,22403,4173,9062,19038,112551,239381,287398,228898,131662,467492,499017,116879,244341,38891,2253956
1032,30,100,103,59,220,167,51,91,10,824,33,60,42,43,145,109,25,72,140,673,810,2477,2058,1536,4564,4139,1207,2423,302,19521
1033,14,62,44,29,106,91,26,43,0,417,17,39,39,30,61,62,5,26,94,361,425,1402,1274,978,1960,1632,429,930,217,9250
1034,16,48,39,20,38,53,11,16,3,253,17,39,10,12,22,32,3,15,62,215,388,1382,957,583,1102,1069,275,613,141,6508
1035,41,152,139,108,269,268,73,145,10,1198,28,102,86,51,208,205,45,102,191,1014,1090,3849,3025,2106,6520,5446,1728,3346,413,27525
1036,1199,743,491,238,921,938,199,429,58,5214,441,588,458,248,856,913,185,412,843,4946,14561,21213,16062,9734,28227,26418,7568,13256,1917,138956
