SUA_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
1000,15996,12051,2585,5023,40676,1943,28562,281281,15303,439281,1673,2186,346,24,895,554,114,421,3909,107,1647,10617,717,19218,81256,34828,25501,7415,35192,37821,9068,21132,44791,9481,41499,110245,14190,311026,2190,914,589,365,1001,1079,322,561,844,325,685,3364,63960,72070,121202,80116,37719,8070,53082,51505,12087,27133,90215,11854,72385,405505,94168,841594,6626,5801,2272,612,3359,2804,696,1503,7065,714,5404,33935,2557,60085,11065,7492,3360,661,4522,4564,1081,2471,9885,1081,7355,34811,2671,69758,57564,27047,16939,4468,24509,25720,6335,15450,34487,6441,29310,89122,7905,230919,17528,13553,5519,690,7424,6881,1465,3276,14408,1374,10377,76710,4667,134766,15781,14994,5289,339,7247,6040,1238,2358,14581,1032,11087,98661,5160,159393,5853,6935,2128,65,2821,2228,472,638,6033,351,5212,47375,2277,73857,2256,2161,974,62,1089,1027,221,316,1505,160,1716,15649,802,24699,4531,2132,1231,1174,2113,2227,581,1130,2261,701,1927,9246,68125,88118,121202,80116,37719,8070,53082,51505,12087,27133,90215,11854,72385,405505,94168,841594,23251,10301,7271,6516,10407,12251,3834,8031
1001,1529,1055,213,396,5687,171,3384,28927,1635,46191,169,280,36,0,98,54,11,36,556,12,214,1123,65,2207,6699,3280,2249,712,3168,3399,820,1714,4990,905,4249,8619,818,26238,166,91,47,44,85,83,21,41,97,17,45,221,3675,4270,9984,8800,3327,776,4879,4595,1067,2181,11329,1106,7893,38892,6195,78903,383,478,152,34,252,156,59,91,715,64,561,2708,221,4867,855,764,253,40,356,360,84,205,1158,80,686,3109,215,6291,4604,2618,1445,409,2175,2246,525,1195,3862,586,2865,7114,625,19672,1585,1639,545,125,750,718,169,311,2165,165,1328,8053,468,14567,1492,2070,504,25,821,653,122,228,2309,114,1516,11560,626,19007,545,838,223,4,259,200,38,44,706,29,551,4703,235,7490,146,179,70,4,70,84,12,31,136,13,136,1110,55,1782,383,211,133,138,193,177,53,80,281,56,257,537,3758,5216,9984,8800,3327,776,4879,4595,1067,2181,11329,1106,7893,38892,6195,78903,2165,1137,739,648,1060,1210,370,706
1002,342,250,48,72,1210,33,866,6588,325,10396,31,88,5,0,14,8,3,4,137,0,49,366,19,631,1379,806,516,131,607,713,143,360,995,185,931,2728,211,6772,25,22,14,6,15,16,0,10,16,6,13,48,1779,1903,2089,1960,771,139,985,989,193,441,2358,231,1860,9724,2335,19697,74,138,38,12,41,39,10,15,179,3,121,819,51,1332,160,195,63,14,76,72,15,35,263,18,171,1085,53,1851,936,636,316,89,420,432,86,251,855,117,650,1970,150,4834,334,315,120,23,149,179,29,73,389,42,294,1769,104,3139,324,374,134,0,171,158,26,44,414,27,344,2367,120,3918,153,209,65,3,66,51,12,17,194,14,188,1241,57,1992,53,55,23,4,28,36,3,4,30,0,63,337,8,564,50,37,9,3,31,24,4,8,26,11,26,141,1787,2066,2089,1960,771,139,985,989,193,441,2358,231,1860,9724,2335,19697,384,211,117,113,181,231,43,128
1003,475,470,77,198,2053,90,1303,13817,723,20730,47,61,17,0,17,18,8,7,135,4,51,446,26,738,3595,1415,1291,450,1426,2042,464,930,2141,565,2156,5317,513,15017,79,37,40,66,39,62,14,26,67,15,83,118,1826,2196,5022,3274,1839,519,1954,2596,566,1157,4397,676,3599,19697,3084,38674,183,155,62,17,78,105,20,42,252,29,193,1159,85,1996,427,262,143,29,161,225,32,94,407,56,284,1693,117,3148,2310,1034,770,262,933,1271,312,667,1672,350,1511,4338,354,10850,841,594,329,50,311,373,79,155,802,109,528,3998,222,6990,736,702,269,17,244,327,56,105,772,61,569,4995,283,8017,254,327,117,4,83,114,24,19,303,18,267,2300,91,3558,91,115,54,3,51,52,7,17,64,10,84,876,49,1319,179,81,97,127,90,127,36,48,131,49,155,346,1873,2803,5022,3274,1839,519,1954,2596,566,1157,4397,676,3599,19697,3084,38674,935,380,362,416,427,620,195,314
1004,228,174,45,85,740,28,458,3914,239,6347,27,26,7,0,5,11,4,7,85,0,37,177,15,329,2017,757,694,245,797,893,239,476,1081,236,1070,2370,287,7243,51,22,10,0,27,19,9,10,9,9,16,46,885,1032,2672,1418,861,247,1056,1101,303,578,1908,277,1590,6511,1425,14958,114,83,39,13,56,41,6,32,116,10,100,496,41,916,256,138,84,44,94,125,27,52,210,35,162,595,46,1351,1253,538,414,89,501,520,150,309,777,143,639,1727,180,4858,422,270,116,17,154,171,41,82,364,37,240,1360,107,2654,364,233,131,8,140,121,38,52,267,28,239,1483,86,2625,92,79,31,9,37,43,5,7,75,5,65,545,28,899,43,27,11,3,21,17,3,4,23,5,26,181,8,306,123,45,37,70,58,56,17,30,72,18,118,115,930,1346,2672,1418,861,247,1056,1101,303,578,1908,277,1590,6511,1425,14958,535,192,191,190,228,272,101,179
1005,647,329,86,134,2070,64,1247,10815,620,17428,62,119,10,3,28,15,6,19,221,4,88,371,34,782,2607,1294,798,313,1173,1116,241,596,1694,331,1600,3272,1028,10526,51,27,6,46,33,25,0,14,62,7,62,71,1318,1546,3856,3511,1166,368,1879,1478,333,763,4046,410,2998,14527,3005,30275,190,240,56,12,116,80,13,36,271,24,197,1125,83,2030,285,317,99,13,152,100,22,69,373,33,265,1178,83,2339,1805,1020,493,252,788,744,175,422,1403,235,1159,2525,219,7168,570,618,184,18,258,221,48,87,702,46,472,2837,185,5138,586,777,185,9,295,200,39,80,838,43,501,4001,201,6745,256,393,89,4,169,71,14,27,299,14,276,2134,120,3457,48,79,26,0,35,18,0,9,50,3,44,481,27,741,119,70,29,63,69,61,13,36,110,14,84,241,2073,2647,3856,3511,1166,368,1879,1478,333,763,4046,410,2998,14527,3005,30275,800,420,246,322,387,422,116,249
1006,665,439,100,190,1818,66,1385,12155,642,18791,44,65,11,0,26,12,5,11,113,0,48,366,15,601,3653,1274,1234,338,1338,1567,289,760,1619,421,1853,4945,386,13335,57,17,17,10,32,26,7,10,26,4,13,101,1530,1762,5188,2979,1747,352,2057,2037,397,967,3570,494,3299,17570,2574,34488,278,223,103,23,117,93,31,54,284,27,218,1516,96,2586,427,277,155,18,162,174,32,97,338,45,307,1370,105,2696,2123,828,634,108,818,853,191,464,1175,207,1129,3125,257,8126,825,508,254,30,321,307,55,135,608,67,513,3118,181,5652,864,596,317,26,359,338,51,121,641,71,566,4492,215,7444,313,321,116,0,121,115,14,39,301,27,300,2392,120,3736,162,163,92,0,74,65,12,16,94,7,135,1265,54,1933,206,70,64,141,80,86,12,34,132,42,121,291,1547,2316,5188,2979,1747,352,2057,2037,397,967,3570,494,3299,17570,2574,34488,886,358,291,287,363,405,117,243
1007,422,221,54,106,873,34,523,4178,316,7172,42,43,0,0,32,16,4,10,105,0,38,207,21,419,1824,838,430,170,957,814,211,462,1009,199,781,1637,272,5778,41,11,9,4,18,14,5,6,15,0,11,50,1094,1222,2489,1809,590,181,1430,1068,273,583,2000,239,1349,6075,1703,14592,120,109,28,4,84,47,8,38,132,11,87,457,41,909,196,170,50,11,115,90,13,46,216,23,132,484,64,1149,1387,668,298,131,716,600,181,327,856,152,606,1335,166,4482,298,263,68,16,180,125,22,59,278,23,167,1025,91,2050,263,334,69,4,175,104,26,55,330,19,216,1418,110,2583,101,177,40,0,98,46,7,18,126,0,105,1000,36,1546,24,32,12,0,17,11,4,5,23,3,14,203,19,322,108,59,20,5,53,39,16,30,37,8,25,153,1184,1547,2489,1809,590,181,1430,1068,273,583,2000,239,1349,6075,1703,14592,580,270,155,147,303,291,108,191
1008,48,70,4,41,356,13,273,4097,176,5465,9,13,3,0,0,3,0,5,36,0,20,215,16,300,464,206,202,70,133,232,51,112,360,73,407,1361,80,2802,4,3,4,0,5,3,3,4,0,0,4,48,790,854,674,592,296,69,192,309,62,159,754,88,708,5717,1061,9431,24,27,18,0,10,19,0,5,49,5,38,361,20,515,36,48,17,4,16,21,7,12,40,8,64,371,21,583,278,164,107,25,84,116,32,75,291,32,251,1103,61,2064,110,105,41,6,26,49,9,15,148,6,103,1323,48,1812,112,133,60,0,29,38,3,28,126,13,104,1425,64,2015,39,61,22,0,16,22,3,11,40,0,50,637,21,875,33,41,16,0,3,11,0,6,19,10,36,398,20,557,39,14,17,31,8,32,15,7,40,10,56,102,809,1017,674,592,296,69,192,309,62,159,754,88,708,5717,1061,9431,131,47,49,60,47,70,33,40
1009,209,159,29,61,679,35,451,4110,218,6514,32,28,6,0,27,11,4,4,91,0,35,178,15,344,2716,871,840,234,1054,1243,287,672,1110,333,1311,2695,253,8558,37,8,11,0,16,21,3,11,16,3,13,39,542,671,3329,1535,1035,240,1307,1421,332,747,1896,374,1812,7033,1032,16093,134,86,31,6,55,45,10,22,134,17,90,545,43,1000,336,150,98,17,95,124,30,59,228,32,209,661,58,1523,1782,627,583,160,715,827,189,472,820,221,928,2034,184,6051,537,289,156,36,215,210,41,107,304,53,234,1422,73,2798,340,235,112,7,150,119,34,55,273,31,221,1465,86,2602,97,83,34,3,30,45,4,6,88,10,91,636,27,1030,27,25,8,0,15,11,0,5,21,0,14,132,4,226,80,37,18,11,31,39,22,20,29,9,28,130,558,855,3329,1535,1035,240,1307,1421,332,747,1896,374,1812,7033,1032,16093,689,257,254,193,291,353,114,247
