SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1000,419389,422206,841594,160487,92736,253222,50767,101884,152645,15763,17645,33415,10742,8478,19218,237759,220738,458497,144596,166430,311026,4.5,3.8,4.2,56.7,52.3,54.5,54.1,50.3,52.2,10363,13105,23466,4397,10383,14782,33391,56602,89992,26009,43669,69677,116609,59581,176200,4097,8268,12368,6648,11411,18052,127356,79259,206615,396279,396268,792551,61489,64258,125750,275324,271252,546577,159464,167958,327422
1001,37822,41079,78903,17316,10197,27514,4837,11056,15895,1161,1619,2784,1218,993,2207,24531,23862,48391,11143,15095,26238,5,4.1,4.6,64.9,58.1,61.3,61.6,55.7,58.5,1100,1435,2533,623,1317,1941,3544,5927,9467,3046,4489,7535,10673,6502,17174,391,707,1098,523,923,1449,11588,8129,19716,36658,39345,76008,7361,7764,15126,22510,24092,46605,18962,20450,39414
1002,9238,10459,19697,3455,2452,5908,1418,2405,3822,277,394,668,336,291,631,5487,5540,11030,2886,3881,6772,6.2,5.3,5.7,59.4,53,56,55.7,50.2,52.8,939,1029,1969,196,382,577,1252,1852,3104,538,955,1500,1805,1026,2828,126,185,307,114,234,349,2042,1442,3483,7967,8780,16744,2174,2443,4615,4728,5173,9901,4850,5537,10389
1003,18295,20383,38674,6460,4116,10575,3188,5516,8706,656,788,1446,397,340,738,10704,10763,21471,6554,8461,15017,3.7,3.1,3.4,58.5,52.8,55.5,56.3,51.1,53.6,685,917,1600,310,640,951,2542,3699,6234,1557,2428,3990,4810,2518,7332,162,316,476,321,622,937,5295,3455,8746,17592,18785,36378,3159,3538,6694,11331,11957,23293,8408,9474,17878
1004,7192,7762,14958,1903,1284,3187,986,1646,2630,248,277,528,197,128,329,3342,3332,6679,3337,3914,7243,6,3.8,4.9,46.5,42.9,44.6,43.7,41.3,42.4,226,254,482,112,208,325,559,816,1378,497,841,1334,1998,1094,3096,79,140,225,154,234,387,2234,1477,3710,6522,6986,13510,1230,1335,2563,4018,4310,8323,3362,3659,7023
1005,14952,15324,30275,6355,4277,10630,1929,3823,5751,462,581,1042,432,352,782,9173,9036,18202,5015,5508,10526,4.7,3.9,4.3,61.3,59,60.1,58.5,56.6,57.6,575,610,1185,209,416,624,1450,2499,3947,939,1547,2486,3947,2311,6262,167,289,458,255,447,699,4367,3051,7417,13708,14263,27975,3036,3333,6361,8410,8691,17105,7362,8022,15383
1006,16248,18242,34488,6553,3905,10456,2447,4528,6981,628,730,1355,318,290,601,9948,9449,19395,5480,7859,13335,3.2,3,3.1,61.2,51.8,56.2,59.3,50.2,54.5,1078,1082,2156,287,579,865,2390,3196,5585,1427,2327,3756,4180,2025,6199,151,298,452,318,623,941,4645,2953,7596,15600,17081,32684,3012,3347,6357,9860,10824,20685,7913,8709,16624
1007,7073,7516,14592,2589,1832,4422,748,1433,2178,274,300,572,267,153,419,3870,3720,7586,2618,3161,5778,6.9,4,5.5,54.7,49.4,52,50.9,47.4,49.1,99,157,252,60,167,224,326,717,1042,338,552,893,1951,1041,2989,71,130,198,84,169,254,2106,1342,3446,6690,7005,13696,954,1060,2020,5029,5163,10186,2218,2534,4761
1008,4520,4904,9431,1288,900,2193,1165,1641,2811,223,247,465,154,142,300,2837,2940,5767,1275,1528,2802,5.5,5,5.3,62.6,59.8,61.2,59.2,56.9,58,273,361,633,74,133,199,947,1356,2303,427,614,1041,853,399,1252,38,57,94,75,122,197,964,582,1540,3659,3809,7469,1087,1311,2401,2158,2192,4351,2376,2709,5089
1009,7767,8322,16093,2101,1288,3387,875,1790,2663,198,262,465,200,149,344,3376,3487,6858,4045,4517,8558,5.8,4.3,5.1,43.4,41.9,42.6,40.9,40.1,40.5,164,213,374,89,202,293,620,999,1620,574,921,1494,2634,1261,3896,77,166,236,173,266,436,2881,1686,4569,7372,7818,15190,1103,1204,2306,4834,5099,9941,3372,3693,7066
