SUA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1000,21238,3571,25000,143532,53983,6279,203793,558208,79601,841594
1001,1971,236,2228,15867,5567,737,22174,52093,4639,78903
1002,482,113,599,3213,1111,132,4462,13242,1992,19697
1003,1558,268,1833,6806,2588,283,9679,26614,2387,38674
1004,606,48,664,1908,881,98,2892,10951,1115,14958
1005,885,76,977,5797,2185,287,8268,19672,2332,30275
1006,1222,280,1515,6377,2048,236,8662,23973,1853,34488
1007,460,125,590,2208,968,119,3293,9929,1367,14592
1008,145,23,171,1484,469,47,1996,6514,914,9431
1009,736,68,811,2066,938,89,3092,12257,746,16093
1010,8322,2141,10520,56461,14499,1441,72402,191897,17131,281435
1011,1848,410,2277,10952,3996,561,15512,41403,4137,61051
1012,770,124,909,6558,2358,280,9201,19765,2866,31834
1013,1068,281,1355,2081,987,91,3161,14004,1397,18557
1014,665,65,733,3597,1395,168,5159,13266,1647,20071
1015,664,108,777,2684,1198,164,4047,10369,1213,15625
1016,459,138,603,3069,1093,116,4279,10937,1377,16593
1017,382,77,460,1870,846,113,2828,8097,1874,12802
1018,757,103,862,4171,1590,233,5990,16194,1675,23865
1019,363,24,388,1562,638,84,2285,7126,983,10392
1020,150,15,166,2609,919,121,3646,7633,590,11876
1021,1039,88,1138,4164,1398,174,5736,16185,1161,23078
1022,298,53,353,2157,632,109,2894,6362,628,9889
1023,149,30,179,2075,567,69,2718,5948,909,9573
1024,888,212,1104,3450,1475,129,5053,18087,1465,24604
1025,10383,1952,12437,84350,30664,3169,118185,274581,22606,415368
1026,961,80,1054,5654,2060,290,8009,20404,2917,31332
1027,876,149,1045,7058,2354,341,9758,21039,2050,32841
1028,1744,406,2162,7175,2568,327,10066,29623,2443,42132
1029,289,17,306,2951,995,131,4083,8520,856,13458
1030,584,69,656,2612,1092,118,3823,12123,1113,17055
1031,78362,15315,94315,840376,137741,10611,988726,2719739,231886,3940349
1032,973,208,1193,6467,2354,306,9118,22882,2817,34829
1033,895,182,1086,3332,1347,187,4866,14994,1936,21798
1034,566,70,644,2234,960,103,3293,10217,905,14419
1035,1259,220,1488,8957,3392,419,12764,30146,2681,45591
1036,6555,1368,7966,50865,14781,1261,66907,171300,12725,250927
