SUA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
1000,1329,24794,3493,29618,1274,19391,2780,23450,3447,40395,6209,50050,5445,41551,6312,53303,8394,49233,6580,64200,11196,59624,6944,77761,8200,58962,6197,73355,3849,29712,3793,37359,900,7928,1445,10281,44037,331591,43757,419389,1622,23040,3111,27767,1676,17647,2099,21421,5781,40704,4897,51383,9459,41389,5191,56041,13962,47120,5452,66528,17615,55029,5873,78512,11071,52351,5327,68746,4178,28827,4081,37089,711,11700,2313,14721,66069,317801,38339,422206,2950,47827,6608,57384,2953,37039,4879,44872,9229,81102,11105,101435,14898,82938,11501,109347,22353,96352,12027,130732,28808,114647,12816,156274,19270,111316,11524,142106,8033,58544,7881,74446,1616,19629,3753,25000,110109,649393,82097,841594
1001,134,2739,217,3086,172,2663,195,3029,442,5550,444,6437,642,4786,384,5815,811,4455,347,5607,859,4353,298,5510,618,4073,261,4950,328,2066,177,2565,87,656,82,831,4087,31327,2406,37822,173,2555,189,2921,230,2523,193,2941,788,5450,411,6650,1199,4750,362,6309,1402,4370,276,6047,1503,4322,270,6097,1006,4173,273,5449,425,2550,281,3258,69,1182,159,1401,6790,31876,2417,41079,307,5297,407,6009,402,5180,389,5973,1233,11005,855,13092,1838,9543,744,12123,2208,8821,625,11653,2360,8670,566,11600,1623,8240,535,10394,752,4613,462,5823,155,1835,243,2228,10877,63200,4817,78903
1002,61,697,153,907,54,798,173,1025,121,1274,171,1567,146,1044,91,1278,148,939,74,1163,233,1007,87,1324,148,853,66,1069,91,513,76,683,30,157,38,226,1031,7285,919,9238,60,840,216,1118,68,830,193,1092,161,1350,169,1687,206,1033,115,1350,284,991,80,1356,352,1006,81,1432,196,917,74,1188,93,677,91,859,19,277,75,378,1439,7921,1101,10459,121,1538,371,2028,118,1625,369,2111,289,2628,338,3251,347,2074,203,2626,431,1930,160,2521,582,2007,166,2760,347,1770,137,2253,189,1187,168,1542,51,436,115,599,2470,15206,2024,19697
1003,61,1104,106,1269,51,860,67,977,134,1696,151,1989,229,2112,171,2509,380,2241,148,2768,508,2397,175,3078,397,2620,169,3185,215,1496,115,1824,84,521,86,691,2066,15049,1181,18295,76,1002,70,1147,77,766,52,902,194,1912,161,2266,397,2165,161,2724,688,2290,155,3124,851,2413,155,3419,592,2733,183,3516,272,1700,168,2135,57,898,191,1146,3208,15878,1300,20383,135,2099,183,2416,126,1629,116,1877,335,3609,314,4253,626,4279,328,5234,1064,4527,306,5897,1360,4815,321,6499,990,5357,352,6697,488,3190,282,3961,145,1417,272,1833,5270,30925,2478,38674
1004,25,374,51,447,18,275,33,329,51,594,63,699,84,598,59,739,124,798,100,1034,183,991,80,1255,188,1285,95,1570,94,690,74,855,24,220,19,258,796,5824,570,7192,35,322,41,396,23,262,25,307,76,607,72,752,149,591,72,812,217,751,74,1041,283,1129,84,1492,221,1297,93,1615,106,744,87,942,16,350,32,404,1125,6047,590,7762,58,686,94,837,37,543,61,641,125,1196,136,1452,233,1189,127,1552,346,1556,177,2069,467,2119,165,2748,414,2584,190,3186,203,1436,161,1797,35,572,53,664,1923,11877,1162,14958
1005,58,1163,101,1323,62,1133,189,1382,156,2074,419,2653,195,1743,343,2277,308,1656,204,2171,325,1611,127,2062,206,1467,79,1751,120,813,66,999,37,267,29,335,1474,11922,1557,14952,63,1075,64,1199,84,1091,72,1248,261,2107,141,2510,361,1706,111,2175,512,1666,127,2301,519,1585,106,2210,303,1496,83,1879,145,932,87,1156,27,561,55,641,2262,12215,845,15324,122,2242,160,2520,145,2219,259,2631,422,4185,563,5163,552,3444,452,4447,823,3322,330,4470,846,3193,231,4268,504,2960,164,3631,266,1741,155,2162,66,830,82,977,3742,24134,2400,30275
1006,57,1065,49,1169,49,794,59,897,100,1749,73,1929,194,1798,123,2117,304,2034,136,2465,376,2063,100,2536,284,2176,137,2593,207,1556,126,1893,60,468,104,634,1635,13707,903,16248,63,1033,54,1151,49,752,58,865,193,1712,87,1993,342,1800,97,2237,561,2071,135,2769,638,2120,104,2857,483,2601,142,3228,271,1840,161,2271,46,663,172,881,2646,14593,1007,18242,122,2102,100,2322,104,1546,120,1763,296,3463,163,3919,534,3601,219,4355,867,4105,269,5232,1009,4182,209,5395,771,4779,275,5825,483,3398,289,4162,108,1131,275,1515,4281,28302,1907,34488
1007,16,431,71,519,20,394,55,475,63,873,117,1050,89,719,117,921,151,760,101,1015,197,967,76,1244,125,898,83,1101,57,429,51,542,25,149,35,205,742,5613,710,7073,27,379,50,452,13,368,38,424,130,894,104,1128,174,696,88,962,202,710,82,993,310,930,82,1320,184,858,74,1112,96,541,101,735,24,280,81,388,1158,5656,707,7516,42,810,119,971,39,765,96,896,195,1765,215,2182,261,1416,209,1883,355,1473,179,2010,511,1893,165,2570,304,1753,158,2214,153,967,151,1272,40,431,120,590,1899,11271,1417,14592
1008,12,183,24,208,8,180,30,221,30,831,121,983,46,695,93,843,81,534,69,688,84,532,54,675,51,528,43,620,25,192,23,237,0,42,3,50,349,3728,452,4520,10,170,19,199,11,271,46,329,44,968,129,1134,93,700,78,870,105,534,54,695,136,502,62,705,79,490,37,604,29,194,20,241,5,93,22,121,504,3928,467,4904,23,354,42,413,16,457,76,544,76,1798,246,2118,138,1402,171,1711,184,1070,128,1387,225,1039,114,1375,134,1015,74,1225,54,383,38,483,8,139,28,171,854,7657,919,9431
1009,28,422,38,488,19,285,14,316,49,431,39,513,76,533,42,649,145,826,40,1013,220,1076,69,1361,223,1566,88,1876,146,995,60,1201,47,268,35,348,944,6403,421,7767,22,369,25,418,19,225,13,254,78,437,27,539,153,613,34,793,242,816,28,1088,424,1139,64,1630,314,1535,61,1910,155,991,82,1229,33,389,41,462,1433,6510,377,8322,47,796,64,905,34,508,30,574,122,868,61,1058,226,1142,74,1443,388,1638,68,2098,644,2214,134,2996,531,3102,152,3785,302,1982,139,2429,79,651,78,811,2382,12912,800,16093
1010,463,9332,604,10394,529,8254,501,9285,1221,16068,1200,18485,1978,16609,1141,19731,2726,17216,1186,21128,3021,16944,1036,20998,2095,15567,1029,18693,1305,9455,1001,11760,320,2877,716,3916,13654,112320,8423,134395,510,8570,527,9608,634,7866,506,8999,1981,16260,1136,19367,3552,16571,1123,21243,4669,16844,991,22507,5083,17264,987,23332,3347,17066,1197,21603,1420,10933,1421,13778,278,4838,1478,6602,21473,116213,9365,147043,971,17901,1133,20002,1164,16117,1007,18281,3194,32325,2333,37850,5532,33177,2261,40975,7397,34062,2178,43634,8101,34206,2020,44328,5439,32633,2229,40301,2724,20394,2422,25537,597,7717,2199,10520,35118,228531,17781,281435
1011,101,1889,165,2147,93,1526,126,1740,258,3434,345,4035,397,3449,323,4171,549,3489,289,4331,729,3606,258,4588,597,3792,226,4612,263,2032,220,2516,94,663,135,896,3082,23868,2082,29035,116,1841,132,2091,118,1418,114,1652,457,3525,329,4306,713,3593,286,4588,1006,3536,244,4781,1195,3767,249,5203,862,3900,247,5004,359,2324,310,3002,70,1037,276,1382,4881,24941,2193,32016,218,3729,297,4245,209,2943,234,3387,712,6950,675,8340,1107,7040,610,8761,1557,7024,535,9115,1918,7376,501,9795,1457,7691,473,9620,621,4361,534,5513,161,1702,414,2277,7963,48812,4280,61051
1012,62,1017,156,1234,55,953,134,1140,165,2708,329,3199,202,1960,240,2401,265,1666,213,2146,274,1623,164,2055,173,1338,128,1646,109,786,90,982,37,256,43,337,1336,12303,1491,15128,45,948,102,1098,68,1081,109,1263,333,2750,335,3419,416,1916,248,2582,487,1622,193,2298,550,1627,151,2318,278,1454,132,1863,143,1025,128,1293,20,478,77,572,2337,12892,1471,16703,109,1963,256,2327,126,2035,241,2400,492,5458,660,6620,618,3881,485,4981,748,3281,407,4442,824,3243,311,4373,454,2794,259,3507,247,1810,219,2274,53,732,128,909,3671,25200,2967,31834
1013,22,401,37,456,27,292,28,349,56,580,53,691,100,687,46,832,150,799,68,1022,189,1145,80,1413,254,1619,127,2004,140,1131,121,1393,53,388,84,524,994,7046,646,8684,20,391,44,456,32,287,20,343,82,657,59,802,156,679,48,885,269,805,55,1127,389,1215,80,1679,351,1689,142,2188,169,1226,175,1572,40,588,201,829,1505,7537,829,9875,39,793,76,915,59,578,53,690,142,1237,113,1493,259,1363,97,1717,422,1602,125,2149,575,2357,154,3089,605,3316,271,4185,306,2357,300,2963,92,978,287,1355,2498,14585,1474,18557
1014,37,587,52,677,43,639,101,788,131,1325,286,1746,157,1115,183,1456,217,1034,193,1436,221,1184,105,1508,158,1018,86,1264,89,619,53,756,28,206,23,261,1081,7730,1086,9895,39,527,43,613,48,550,40,635,201,1343,107,1650,269,1065,94,1432,324,1069,75,1467,335,1126,72,1527,230,1152,82,1460,107,767,61,933,19,412,39,470,1565,8007,607,10178,79,1117,96,1294,92,1192,136,1414,327,2671,389,3394,428,2182,276,2882,539,2100,266,2907,554,2309,174,3036,389,2167,171,2721,197,1379,117,1688,47,618,65,733,2649,15740,1689,20071
1015,37,517,57,610,32,435,54,521,75,838,98,1012,111,750,83,939,154,776,85,1020,215,865,82,1160,150,910,69,1130,64,578,59,711,25,223,30,269,858,5899,611,7370,28,407,45,478,43,462,46,550,146,892,103,1141,217,759,89,1061,260,814,84,1159,331,841,62,1243,233,912,70,1216,100,715,92,901,30,398,81,505,1388,6194,674,8256,59,925,98,1089,69,896,99,1069,227,1728,201,2156,323,1509,175,2003,414,1588,178,2176,547,1710,148,2406,384,1827,139,2342,171,1297,146,1614,55,616,108,777,2244,12092,1287,15625
