SUA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1000,14360,117393,141147,57129,38020,368052,7262,375313
1001,2375,13938,14392,4398,2257,37363,711,38073
1002,717,3646,2956,900,441,8660,126,8785
1003,878,6650,7024,2202,1186,17942,306,18244
1004,384,2903,2630,761,358,7040,124,7162
1005,899,4989,5040,1733,958,13619,191,13812
1006,602,5548,6149,2138,1349,15795,199,15997
1007,700,3068,2366,718,297,7148,161,7308
1008,204,1485,1418,483,270,3860,91,3952
1009,277,2900,2878,862,516,7435,372,7808
1010,8430,49217,46922,15299,8933,128802,1874,130681
1011,1570,10652,10393,3301,1781,27701,493,28198
1012,833,5275,5568,1790,861,14325,259,14582
1013,663,4523,2959,810,330,9283,176,9463
1014,710,3600,3204,1168,640,9323,158,9486
1015,580,3216,2522,804,356,7476,146,7616
1016,422,2431,2654,941,579,7028,155,7182
1017,386,1957,1763,675,422,5205,138,5347
1018,830,4782,3975,1251,564,11394,177,11573
1019,584,2094,1516,519,315,5028,121,5149
1020,97,1349,2080,910,661,5096,54,5155
1021,443,3505,3766,1437,1057,10208,148,10362
1022,277,1546,1843,634,326,4625,106,4727
1023,294,1689,1650,551,280,4462,81,4545
1024,504,4765,4410,1207,648,11541,160,11695
1025,11907,66755,74026,23991,13353,190035,2260,192297
1026,884,5185,5122,1671,1008,13865,241,14108
1027,974,5706,5934,1857,883,15357,260,15616
1028,1388,8674,7166,2056,927,20212,334,20544
1029,274,1819,2408,930,530,5955,64,6020
1030,280,3342,3092,910,486,8108,114,8225
1031,194060,667954,536539,163302,93048,1654902,23818,1678712
1032,1200,6340,5968,1791,963,16271,285,16555
1033,856,4222,3319,1104,631,10132,295,10424
1034,299,2777,2682,737,368,6865,105,6970
1035,1459,7773,7950,2608,1317,21104,315,21419
1036,8377,39524,42176,14014,8393,112481,1384,113867
