SUA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1000,11990,3661,25000,146470,223212,116654,90654,183360,81241,841594
1001,1131,236,2228,15811,22067,9776,6452,20041,4750,78903
1002,212,114,599,3749,5691,2441,1420,4375,2024,19697
1003,871,288,1833,7618,11284,5477,3555,8247,2486,38674
1004,384,53,664,2366,4019,2118,1516,3790,1142,14958
1005,565,79,977,5937,8381,3716,2484,7383,2375,30275
1006,599,275,1515,6480,10017,5274,3638,7180,1903,34488
1007,289,127,590,2192,3458,1608,1331,4566,1432,14592
1008,90,23,171,2114,2645,1022,597,2129,922,9431
1009,424,75,811,2658,4497,2512,1829,3820,779,16093
1010,4728,2169,10520,52376,76723,37833,28074,68873,17558,281435
1011,1030,410,2277,11383,16883,8226,5341,14977,4233,61051
1012,503,116,909,6028,8328,3634,2535,8397,2911,31834
1013,628,279,1355,2935,4668,2500,1786,5222,1440,18557
1014,417,63,733,3755,5223,2367,1648,5374,1706,20071
1015,386,104,777,2694,3907,1968,1464,4360,1229,15625
1016,253,143,603,2923,3731,1569,1243,5726,1399,16593
1017,250,82,460,1782,2645,1403,1260,3789,1921,12802
1018,435,116,862,4632,6802,3002,2010,5699,1714,23865
1019,213,23,388,1691,2571,1300,1008,2831,990,10392
1020,71,17,166,2262,3370,1679,1394,2554,606,11876
1021,647,93,1138,4231,6087,3153,2454,5950,1201,23078
1022,191,49,353,1899,2729,1239,956,2426,637,9889
1023,86,29,179,1683,2370,1083,875,2623,934,9573
1024,477,211,1104,4308,6881,3488,2439,5935,1550,24604
1025,6049,1957,12437,82964,118771,53687,35460,101380,23111,415368
1026,591,93,1054,5468,7939,3788,2988,8169,2992,31332
1027,510,152,1045,6386,9201,4067,2657,8454,2086,32841
1028,966,409,2162,8337,12146,5566,3487,10093,2499,42132
1029,188,15,306,2400,3654,1691,1317,3498,887,13458
1030,323,77,656,2930,4617,2400,1742,4224,1148,17055
1031,44300,15605,94315,751353,1023183,458085,332987,1136573,238167,3940349
1032,537,214,1193,6363,8976,4150,2847,9619,2873,34829
1033,529,192,1086,3432,5207,2713,2259,6199,1985,21798
1034,307,72,644,2534,4068,2185,1466,3269,906,14419
1035,722,224,1488,9434,12858,5381,3523,11645,2747,45591
1036,3641,1387,7966,48590,69622,33371,24005,62197,13147,250927
