SUA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
1000,..,102299,102299,135825,8308,144134,48071,1022,49096,44452,316,44763,22765,96,22863,12090,72,12161,263201,112113,375313
1001,..,11558,11558,12069,988,13054,5227,188,5421,4920,55,4976,2122,22,2139,919,4,920,25256,12815,38073
1002,..,2883,2883,2782,270,3055,1076,70,1148,981,40,1020,422,0,423,257,5,259,5517,3269,8785
1003,..,5152,5152,6446,534,6978,2436,92,2527,2232,34,2269,910,9,923,396,5,401,12427,5816,18244
1004,..,2251,2251,2851,153,3004,765,17,784,661,9,675,288,0,291,159,0,159,4730,2430,7162
1005,..,3939,3939,4354,361,4720,1930,94,2022,1870,25,1891,835,15,848,391,0,388,9380,4428,13812
1006,..,4280,4280,5767,274,6040,2105,38,2146,2102,20,2121,957,7,966,436,0,438,11370,4624,15997
1007,..,2713,2713,2368,145,2507,921,16,941,731,0,730,279,0,279,134,0,134,4429,2875,7308
1008,..,1150,1150,1098,228,1328,509,141,645,471,81,551,170,36,200,58,8,74,2306,1645,3952
1009,..,2235,2235,3378,165,3541,831,10,841,736,0,736,313,0,312,144,0,144,5399,2414,7808
1010,..,35747,35747,41632,3165,44794,19010,471,19481,18744,146,18884,7925,38,7959,3799,19,3815,91103,39572,130681
1011,..,7878,7878,9473,782,10254,3868,141,4011,3482,50,3530,1579,16,1596,913,18,927,19319,8877,28198
1012,..,4040,4040,4368,377,4750,2199,99,2297,1965,30,1998,985,11,994,486,9,498,10009,4573,14582
1013,..,3456,3456,3706,245,3955,882,28,910,733,6,738,274,3,280,129,0,133,5723,3740,9463
1014,..,3099,3099,2990,210,3198,1232,35,1265,1131,7,1141,518,5,523,257,5,262,6125,3356,9486
1015,..,2508,2508,2441,225,2661,1011,16,1029,811,7,821,391,0,393,206,0,207,4861,2755,7616
1016,..,1874,1874,2075,149,2222,1086,52,1141,1067,18,1083,525,8,532,317,9,327,5072,2110,7182
1017,..,1546,1546,1748,125,1874,749,23,771,588,4,590,321,0,326,240,0,237,3644,1704,5347
1018,..,3944,3944,3429,455,3888,1532,86,1614,1240,23,1263,538,8,549,314,8,323,7058,4517,11573
1019,..,1963,1963,1631,126,1761,552,15,570,535,6,539,210,0,210,114,0,113,3038,2112,5149
1020,..,973,973,1753,75,1829,838,6,845,826,3,833,444,0,440,237,0,237,4092,1058,5155
1021,..,2619,2619,3545,255,3805,1550,34,1583,1324,5,1335,628,6,634,378,0,379,7431,2930,10362
1022,..,1306,1306,1487,125,1616,706,27,730,628,7,636,308,0,310,131,0,131,3267,1465,4727
1023,..,1345,1345,1324,117,1438,652,11,663,636,0,638,291,0,297,156,0,160,3066,1480,4545
1024,..,3387,3387,4786,229,5013,1302,34,1338,1198,9,1210,506,0,511,230,0,230,8028,3667,11695
1025,..,50495,50495,60814,5226,66040,28901,1667,30566,28259,547,28802,11327,189,11512,4791,85,4873,134087,58205,192297
1026,..,3945,3945,4630,355,4983,2010,60,2067,1776,29,1809,829,7,830,459,3,468,9701,4404,14108
1027,..,4561,4561,4753,362,5110,2137,87,2229,2120,41,2161,1065,13,1079,472,7,477,10548,5070,15616
1028,..,6364,6364,7371,509,7885,2487,115,2599,2273,34,2311,954,9,964,417,8,429,13497,7045,20544
1029,..,1524,1524,1838,126,1966,899,16,912,931,3,936,457,0,456,220,0,220,4345,1675,6020
1030,..,2383,2383,3275,208,3483,1002,14,1017,845,5,851,328,0,332,164,0,164,5616,2611,8225
1031,..,385061,385061,462570,47870,510434,278048,14771,292817,288220,6219,294437,121945,2272,124212,70496,1251,71751,1221274,457446,1678712
1032,..,4983,4983,5149,419,5572,2337,84,2421,2059,33,2094,948,21,971,509,11,517,11005,5547,16555
1033,..,3435,3435,3452,261,3717,1321,32,1353,1062,9,1066,530,5,542,304,0,308,6675,3745,10424
1034,..,2008,2008,2817,141,2958,827,25,845,722,5,730,300,3,303,127,0,127,4794,2176,6970
1035,..,6249,6249,6565,595,7167,2980,157,3139,2713,56,2769,1372,25,1392,694,11,704,14323,7099,21419
1036,..,28543,28543,35904,2779,38685,17067,926,17993,17696,389,18088,7200,122,7315,3174,67,3243,81038,32834,113867
