LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA10050,6024,11971,103,572,547,2518,160,752,3269,12806,4088,16653,240,1000,387,1277,939,2952,1573,5232,5658,21880,34,162,208,732,114,413,1216,3200,1572,4518,78,255,219,476,833,1776,1136,2515,2705,7027,223,466,14613,41348
LGA10180,3066,6131,64,397,310,1503,76,358,1431,5681,1884,7936,90,384,193,643,369,1174,655,2197,2544,10138,27,103,95,382,35,132,506,1425,661,2041,32,121,113,240,371,766,519,1133,1178,3169,100,221,6896,19660
LGA10250,5890,11813,58,368,426,1919,141,631,2468,9669,3097,12593,173,719,349,1152,947,2947,1470,4816,4563,17407,32,135,149,487,64,226,807,2084,1054,2932,59,181,199,431,826,1766,1084,2379,2142,5311,160,338,12754,34873
LGA10300,237,476,3,32,22,104,5,24,109,452,140,614,8,37,13,31,39,118,63,191,200,807,0,11,4,22,3,3,28,88,40,126,4,4,3,12,27,50,35,68,73,195,5,9,518,1492
LGA10470,4538,9056,100,550,454,2146,151,736,2449,9620,3157,13047,203,868,347,1151,754,2350,1304,4366,4459,17419,35,151,165,574,89,336,871,2380,1163,3439,71,224,170,353,677,1436,914,2009,2077,5447,168,344,11242,32271
LGA10500,17955,36479,273,1585,1572,7287,359,1689,11138,41621,13342,52184,1046,4589,1617,5727,3942,13236,6605,23559,19947,75740,58,278,352,1203,168,613,1990,5063,2572,7153,299,1003,788,1822,3180,7224,4263,10055,6829,17211,1227,2586,45959,132010
LGA10550,5351,10633,46,259,327,1531,140,652,1636,6413,2156,8856,97,399,198,626,633,1977,933,2999,3088,11852,19,100,92,316,40,153,545,1464,703,2027,31,101,115,239,567,1198,716,1536,1419,3568,90,186,9945,26242
LGA10600,1718,3428,16,82,110,525,52,228,636,2514,816,3352,33,143,78,269,233,728,350,1139,1170,4485,12,57,62,217,25,71,262,674,363,1016,27,70,54,115,230,487,308,675,671,1691,41,73,3594,9680
LGA10650,1232,2449,15,85,98,457,25,106,376,1519,510,2167,25,107,39,110,150,462,212,679,725,2841,0,5,27,98,12,44,118,301,157,439,7,18,25,53,102,208,134,279,292,717,29,58,2278,6062
LGA10750,26633,54581,1125,6793,5757,27221,1513,7369,32737,127589,41140,168967,3119,13732,4347,15521,9971,33730,17436,62983,58576,231958,374,1897,1142,4415,690,2678,6040,17288,8253,26268,799,2774,1330,3155,6866,15957,8991,21880,17238,48151,1719,3747,104171,338432
LGA10800,672,1332,10,43,54,236,21,107,327,1311,409,1702,14,67,37,102,90,266,140,434,551,2131,8,23,7,39,9,38,82,229,101,326,9,11,20,37,75,157,98,210,200,537,12,35,1443,4034
LGA10850,864,1716,21,99,85,412,26,132,448,1844,585,2484,33,124,60,179,164,511,252,821,839,3300,8,22,21,75,19,52,127,352,174,508,8,26,25,57,106,219,139,301,312,807,35,75,2044,5898
LGA10900,9393,18811,158,879,1015,4710,225,1038,4676,18338,6070,24964,487,2057,876,2938,1750,5602,3110,10600,9183,35565,39,156,228,750,88,327,1161,2950,1512,4180,108,317,415,903,1259,2689,1773,3907,3285,8085,213,422,22072,62879
LGA10950,262,523,3,30,37,152,11,39,136,546,190,781,10,38,18,42,57,174,82,258,270,1035,0,0,3,15,5,10,38,134,48,156,8,14,5,13,35,64,44,90,90,248,20,34,638,1840
LGA11150,193,390,4,32,16,84,13,57,141,543,177,718,5,14,13,36,27,74,43,122,219,835,4,14,5,14,7,25,52,140,61,196,0,3,0,4,43,99,44,106,106,299,16,38,535,1565
LGA11200,114,219,5,25,10,44,5,16,46,185,63,271,0,5,6,10,12,34,16,49,77,323,5,13,7,23,8,25,51,145,63,207,0,0,0,11,24,60,31,66,90,270,10,21,294,834
LGA11250,1935,3832,21,112,124,576,56,258,735,2837,940,3780,52,216,73,230,353,1102,475,1541,1417,5321,13,62,43,158,51,209,479,1326,591,1754,29,85,67,141,379,825,471,1051,1063,2799,89,189,4505,12142
