LGA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA10050,143,4,0,4,151,29,0,184,0,0,0,0,0,0,0,0,0,0,0,0,1040,131,21,10,1199,14,5,21,1225,83,3,1305,300,25,4,0,329,3,0,5,334,12,0,356,262,30,5,6,291,5,0,5,302,14,0,310,9,0,0,0,14,0,0,0,14,5,0,16,6,0,0,0,3,0,0,0,3,0,0,8,577,57,14,8,646,11,0,13,659,30,0,689,7,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,3,0,0,0,3,0,0,6,6,3,0,0,12,0,0,0,10,6,0,12,584,59,14,8,656,10,0,10,666,31,0,699,68,10,0,3,82,0,0,0,88,39,0,129,0,0,0,0,3,0,0,0,3,0,0,0,652,73,15,12,747,15,0,12,761,70,4,839,403,37,3,0,444,4,0,7,451,11,0,463,336,44,8,0,389,0,0,0,390,18,0,403
LGA10180,71,9,3,11,82,52,0,132,0,0,0,0,0,0,0,0,0,0,3,4,476,74,3,12,570,7,4,18,586,87,9,678,178,17,0,0,198,0,0,0,198,6,0,206,111,18,0,0,136,0,0,0,136,13,0,146,7,0,0,0,9,0,0,0,9,0,0,13,4,0,0,4,8,0,0,0,8,0,0,8,296,36,4,4,342,4,0,4,348,15,0,359,7,0,0,0,4,0,0,0,4,3,0,9,4,0,0,0,3,0,0,0,4,0,0,4,8,0,0,0,10,0,0,0,14,3,0,16,305,33,6,4,358,4,0,3,359,18,0,375,33,9,0,0,43,6,5,7,47,29,0,78,0,0,0,0,0,0,0,0,0,0,0,5,342,46,6,4,399,5,3,10,409,53,3,461,223,25,0,0,247,3,0,0,251,19,0,275,146,19,0,0,176,0,0,0,170,9,0,188
LGA10250,115,0,0,0,121,38,0,157,0,0,0,0,8,0,0,0,8,0,3,10,789,198,26,15,1033,7,0,8,1041,92,5,1141,229,38,0,3,276,0,0,0,272,16,0,294,221,58,5,0,290,5,0,5,292,13,0,303,18,4,5,0,22,0,0,0,22,0,0,24,6,0,0,9,8,0,0,0,8,0,0,8,472,95,12,15,590,5,0,0,592,32,0,629,0,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,9,0,0,0,3,0,0,4,9,0,0,0,7,0,0,0,6,0,0,10,472,100,12,14,601,5,0,8,602,35,0,641,36,13,4,0,52,0,0,0,52,19,0,78,0,0,0,0,0,0,0,0,0,0,6,3,512,112,17,17,656,5,0,8,659,57,3,720,273,49,8,3,338,0,4,0,346,22,0,368,256,57,8,5,332,0,0,0,332,15,0,347
LGA10300,4,0,0,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,5,52,0,0,0,50,4,0,56,13,0,0,0,15,0,0,0,12,0,0,12,16,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,31,0,0,0,30,0,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,30,0,0,0,33,0,0,33,3,0,0,0,6,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,38,0,0,0,38,0,0,42,15,0,0,0,14,0,0,0,17,0,0,17,15,0,0,0,17,0,0,0,17,0,0,17
LGA10470,138,0,0,4,140,38,0,178,0,0,0,0,0,0,0,0,0,0,0,0,906,114,31,15,1066,14,6,21,1084,70,9,1161,328,30,3,0,368,0,0,0,371,8,0,374,203,29,6,0,242,0,0,0,239,12,0,250,15,0,0,0,22,0,0,0,22,0,0,19,6,0,0,0,8,0,0,0,8,0,0,8,553,67,10,0,630,3,0,3,635,16,0,652,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,3,0,3,7,0,0,7,553,67,10,0,631,7,0,7,641,16,0,660,55,10,0,0,74,0,0,0,77,17,0,94,0,0,0,0,0,0,0,0,0,0,3,3,610,77,13,5,706,6,0,6,713,37,3,755,430,37,10,0,478,6,0,6,481,10,0,492,246,37,9,0,289,0,4,4,288,13,0,306
LGA10500,647,16,7,25,674,275,0,951,8,6,0,13,24,0,0,0,24,5,24,47,2270,583,190,55,3095,93,13,109,3211,484,31,3721,619,98,37,3,763,22,4,25,789,64,0,855,403,132,24,0,560,9,0,10,570,57,0,627,77,26,30,3,136,0,0,3,141,9,0,145,0,0,0,5,9,0,0,0,13,3,0,18,1102,256,90,17,1468,32,7,40,1506,131,0,1636,11,0,0,0,10,3,0,3,14,0,0,14,9,4,7,0,17,4,3,7,25,4,0,30,19,4,7,0,27,6,3,10,36,3,0,41,1119,266,100,17,1491,41,14,53,1543,134,0,1683,233,76,29,5,342,13,9,26,361,179,3,541,7,0,0,0,11,0,0,0,11,0,9,22,1356,340,125,25,1839,58,19,77,1921,312,17,2246,797,147,49,8,998,19,4,25,1023,95,0,1116,503,186,48,4,743,14,3,19,762,77,3,842
LGA10550,69,3,0,3,68,38,0,105,0,0,0,0,0,0,0,0,0,3,0,6,563,106,30,21,715,9,6,11,723,78,0,804,147,25,0,0,176,0,3,3,179,4,0,186,161,40,7,4,212,0,0,0,214,19,0,233,6,0,0,0,14,0,0,0,14,0,0,12,0,0,0,5,5,0,0,0,5,0,0,5,318,64,15,12,410,4,3,10,416,23,0,441,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,5,0,0,8,4,0,0,0,6,0,0,0,4,0,0,6,322,64,15,15,417,4,5,9,422,29,0,449,34,12,4,3,59,0,0,0,59,32,0,86,0,0,0,0,0,0,0,0,0,0,0,0,360,82,13,21,472,4,5,9,485,56,0,539,192,24,0,4,217,0,0,0,224,12,0,235,186,38,0,3,234,0,0,0,238,20,0,253
LGA10600,53,0,0,0,54,9,0,65,0,0,0,0,0,0,0,0,0,0,0,3,212,84,8,6,308,4,3,6,314,33,0,348,36,19,3,0,55,0,0,3,57,7,0,65,68,28,0,0,94,0,0,0,94,9,0,102,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,106,44,3,3,156,0,0,3,157,13,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,44,3,3,155,0,0,3,159,13,0,176,25,4,0,0,28,0,0,0,28,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,130,52,3,8,190,0,0,3,195,21,0,210,46,13,4,0,59,3,0,3,63,6,0,68,64,25,0,0,91,0,0,0,89,6,0,103
LGA10650,19,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,168,19,3,3,192,0,0,0,194,8,0,206,44,0,0,0,44,0,0,0,44,4,0,45,59,0,4,3,67,0,0,0,67,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,4,9,112,0,0,0,112,4,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,102,0,4,9,112,0,0,0,112,5,0,119,13,0,5,3,22,0,0,0,22,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,113,0,6,12,138,0,0,0,138,3,5,145,71,5,0,0,71,0,0,0,76,0,0,76,49,6,5,4,58,0,0,0,58,4,0,61
LGA10750,2393,113,21,135,2529,941,19,3484,23,4,3,42,73,0,0,0,73,9,48,133,8511,1511,948,230,11197,305,70,378,11573,1572,103,13252,2418,292,199,15,2925,49,6,60,2980,221,9,3208,1246,300,138,20,1704,40,10,53,1758,185,3,1948,214,37,112,4,367,5,0,9,371,27,0,404,19,5,0,38,69,0,4,6,71,7,8,84,3897,640,447,78,5061,100,20,119,5184,441,20,5643,64,17,6,0,85,19,4,21,109,13,0,118,76,18,3,0,92,4,0,4,100,10,0,112,140,30,12,5,183,22,6,30,210,19,0,231,4037,669,463,85,5248,123,27,142,5394,465,20,5871,934,218,141,32,1331,67,8,74,1408,590,13,2007,10,3,6,23,38,0,0,0,38,3,17,59,4980,894,601,134,6608,187,40,226,6838,1052,52,7936,3005,412,262,20,3700,54,14,72,3768,287,3,4063,1416,354,175,21,1962,37,8,46,2008,206,8,2217
