LGA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA10050,5164,5339,2247,164,12917,4326,617,17855,537,238,338,50,1156,2132,161,3447,66,27,47,4,138,268,23,431,601,262,383,52,1297,2395,185,3878,41,11,7,0,62,151,11,219,11,13,0,0,26,40,12,69,11,0,3,0,14,13,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,64,20,15,0,98,213,17,325,6,0,0,0,4,15,0,26,7,0,3,0,9,19,0,31,0,0,0,0,0,0,0,0,6,3,7,0,12,5,0,19,15,3,8,0,28,42,0,74,7,5,6,0,21,22,0,49,5848,5632,2655,223,14360,7002,820,22182
LGA10180,2705,2368,1043,88,6194,2408,360,8967,161,108,70,11,351,554,40,943,36,14,8,0,59,93,8,161,198,124,85,11,410,646,44,1108,60,30,29,3,122,267,19,416,13,5,5,0,26,21,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,9,78,36,33,5,154,289,25,468,0,0,0,0,0,3,0,4,3,0,0,0,5,29,5,37,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,12,7,0,3,0,17,36,5,55,11,10,0,0,22,14,3,33,2995,2537,1161,100,6793,3399,443,10636
LGA10250,4479,3940,1423,110,9953,2737,432,13126,529,272,294,22,1122,1047,80,2245,370,217,230,16,824,611,93,1530,899,491,519,35,1945,1659,173,3776,109,56,82,7,254,344,28,629,41,17,22,0,83,64,10,156,38,3,4,0,45,25,5,67,9,0,3,0,7,10,0,19,13,3,4,0,23,24,0,47,206,83,107,6,410,462,44,921,15,0,0,0,15,48,3,68,55,11,20,5,90,201,10,295,0,0,0,0,0,3,0,8,10,0,5,0,13,11,0,24,81,11,21,11,119,257,18,397,17,3,7,0,29,40,3,64,5688,4525,2080,157,12451,5155,668,18281
LGA10300,215,195,70,4,478,170,17,660,5,0,0,0,5,23,0,25,0,0,0,0,0,0,0,0,5,0,0,0,5,23,0,25,6,0,0,0,3,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,8,0,12,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,10,9,3,3,0,14,8,3,26,232,198,72,3,503,208,21,733
LGA10470,3964,4216,1807,136,10124,2989,416,13526,227,125,119,17,486,713,60,1257,58,33,48,8,142,206,21,366,279,158,165,19,629,921,78,1633,110,35,44,7,189,455,33,677,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,8,0,19,117,33,41,7,196,470,34,699,4,3,0,0,5,7,0,12,0,0,0,0,7,7,0,6,0,0,0,0,0,0,0,3,4,3,0,0,14,5,0,16,13,9,0,0,21,14,0,41,12,3,4,0,26,19,0,39,4385,4420,2022,166,10999,4406,538,15942
LGA10500,5228,9927,2826,334,18307,3451,615,22373,1079,1301,547,62,2990,1411,150,4552,750,1384,446,37,2626,702,88,3418,1831,2692,997,103,5616,2114,236,7970,562,623,305,72,1559,1293,202,3059,1349,1407,831,122,3706,2470,342,6516,3878,2966,1041,263,8146,4068,1148,13367,3823,1878,496,307,6508,2597,1570,10682,70,59,31,4,151,82,13,255,9682,6928,2703,762,20073,10521,3280,33875,4,0,3,4,13,52,3,68,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,74,61,42,14,193,150,49,388,77,65,43,18,208,195,57,462,35,27,6,3,75,66,21,157,16846,19630,6575,1224,44280,16347,4206,64833
LGA10550,4695,2907,1187,75,8873,3159,306,12340,144,39,55,4,244,505,14,766,141,48,43,3,231,255,26,504,288,81,99,6,473,760,36,1267,120,36,70,4,226,394,20,638,11,0,0,0,18,19,0,37,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,5,7,0,19,136,44,70,4,258,422,27,700,17,9,6,0,29,32,0,67,42,7,7,0,57,90,8,152,0,0,0,0,3,6,0,4,5,0,0,0,10,9,0,18,71,16,16,0,101,138,7,241,24,12,6,0,41,27,3,73,5211,3064,1378,90,9738,4511,384,14630
LGA10600,1541,1122,582,35,3281,1249,187,4721,35,17,6,0,60,81,4,150,13,9,9,0,26,25,0,46,45,21,20,0,88,106,5,198,24,7,19,0,55,91,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,0,0,8,3,0,11,28,8,23,0,63,93,4,157,11,4,0,0,15,18,0,30,15,3,5,0,23,29,0,53,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,8,23,10,6,0,38,49,0,87,9,4,0,0,10,5,0,22,1649,1159,637,40,3482,1502,199,5185
LGA10650,1128,700,268,27,2123,858,59,3041,49,10,13,0,78,160,5,239,0,0,0,0,0,0,0,0,49,10,13,0,78,160,5,239,6,0,0,0,8,18,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,22,0,34,3,0,0,0,5,5,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,11,0,0,12,10,4,4,0,15,12,6,24,14,0,0,0,12,18,0,30,1203,721,285,27,2235,1065,70,3373
LGA10750,19189,49035,13326,1366,82917,13167,2311,98390,795,1405,537,59,2792,1274,118,4189,1550,4833,1634,133,8149,1832,304,10286,2342,6240,2168,191,10944,3112,428,14480,126,131,76,7,342,743,28,1118,51,84,59,3,199,271,15,486,1358,1564,584,118,3625,1658,343,5624,68,66,21,13,158,43,22,224,170,211,76,14,473,191,45,705,1769,2055,816,154,4796,2906,459,8158,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,4,0,0,6,3,0,10,17,33,10,0,60,15,4,78,18,35,10,0,70,24,4,98,46,87,14,0,149,59,5,213,23362,57457,16330,1717,98872,19260,3208,121337
LGA10800,635,527,192,10,1368,567,30,1968,18,4,6,0,29,54,5,90,0,0,0,0,0,0,0,0,18,4,6,0,29,54,5,90,3,8,0,0,10,24,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,24,4,44,3,0,0,0,3,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,5,3,0,9,4,5,4,0,13,14,0,21,3,7,3,0,14,18,0,34,664,549,202,17,1436,676,38,2151
LGA10850,819,815,292,29,1959,628,43,2628,6,5,0,5,23,50,0,72,4,0,0,0,4,7,0,8,8,5,0,5,22,61,0,82,3,0,3,0,5,19,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,19,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,8,0,0,7,3,4,0,0,10,4,0,13,3,3,0,0,8,0,0,8,835,833,301,39,2011,708,46,2763
LGA10900,8672,8947,2957,194,20771,6667,686,28125,152,46,90,3,289,473,19,783,105,58,79,3,248,297,16,554,258,102,169,7,532,774,34,1339,63,31,37,3,135,434,12,584,35,11,20,0,66,125,6,195,3,0,5,0,8,27,0,31,0,0,0,0,0,0,0,0,36,25,15,0,80,50,3,131,142,66,71,4,286,628,25,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,7,0,11,22,3,38,13,0,4,0,16,25,3,47,11,11,0,0,17,47,0,71,9095,9125,3204,210,21637,8142,752,30528
LGA10950,244,253,86,16,602,222,17,840,7,0,5,0,11,38,0,51,0,0,0,0,0,5,0,5,7,0,5,0,11,36,0,47,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,4,0,11,0,7,0,0,9,11,0,22,251,266,91,16,624,278,22,923
LGA11150,173,212,94,17,493,212,12,717,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,10,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,7,3,7,4,0,16,7,0,23,182,215,97,17,513,243,12,774
LGA11200,92,74,89,9,257,149,10,417,9,0,3,0,14,18,4,36,0,0,0,0,0,0,0,0,9,0,3,0,14,18,4,36,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,4,7,0,0,6,4,0,15,106,79,91,9,282,177,16,473
LGA11250,1848,1388,1018,80,4335,2413,157,6910,22,11,8,5,44,115,0,158,0,3,0,0,5,7,0,17,25,17,11,6,51,124,0,177,14,5,8,6,30,152,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,8,6,30,152,0,186,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,8,10,4,0,0,9,14,0,25,1897,1407,1037,92,4429,2713,162,7308
LGA11300,1124,2085,573,81,3863,799,214,4871,162,237,70,14,480,188,40,713,320,597,164,29,1110,266,62,1438,481,836,239,34,1592,456,104,2152,162,113,71,30,373,254,97,734,495,296,144,111,1053,451,376,1884,538,335,161,68,1110,577,286,1975,704,362,183,55,1308,575,421,2305,10,8,14,0,34,14,0,53,1909,1121,577,272,3879,1871,1190,6944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,5,4,38,50,9,96,25,6,5,4,38,50,9,96,23,3,0,0,33,42,7,77,3562,4057,1387,387,9402,3214,1526,14137
LGA11350,2873,2932,1262,72,7139,2292,866,10293,110,81,69,0,268,194,71,527,215,119,97,8,444,286,117,847,325,199,171,10,708,479,189,1375,100,41,57,3,202,314,45,556,16,7,8,4,31,47,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,20,12,0,70,54,9,134,153,69,77,10,304,416,59,773,24,3,6,0,31,77,6,111,31,9,9,0,50,90,7,151,9,0,0,0,3,7,0,18,16,0,11,0,30,36,7,74,75,17,27,0,124,216,19,353,13,10,5,0,29,39,5,76,3440,3225,1538,97,8297,3439,1146,12875
LGA11400,1546,1507,394,29,3475,1057,69,4599,13,7,5,0,23,29,0,60,0,0,0,0,0,3,0,10,13,10,5,0,32,39,0,69,11,0,0,0,13,40,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,39,0,55,6,0,0,0,6,4,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,48,59,15,3,121,42,4,166,60,59,15,3,132,48,4,185,4,0,0,0,8,5,0,8,1628,1583,420,30,3654,1188,73,4913
LGA11450,7952,17575,4070,284,29888,3970,541,34397,206,132,98,8,444,439,17,893,239,354,235,13,846,418,30,1300,450,481,337,17,1290,859,42,2192,41,10,24,3,76,136,0,215,0,0,0,0,0,0,0,0,5,0,6,0,9,23,0,35,0,0,0,0,0,0,0,0,26,37,15,0,78,38,0,113,64,50,38,4,161,205,6,365,4,0,0,0,5,17,0,18,25,4,10,0,35,80,0,122,0,0,0,0,0,0,0,0,3,0,0,0,6,7,0,10,34,9,7,0,54,99,3,153,14,8,7,0,34,32,0,62,8513,18130,4471,303,31422,5160,592,37171
LGA11500,9743,19932,7011,604,37290,6616,1001,44903,655,935,671,64,2325,1485,109,3917,804,1260,978,72,3119,1544,123,4787,1461,2201,1650,134,5446,3027,231,8701,165,141,113,15,433,574,20,1023,124,42,38,8,217,265,13,500,418,263,180,25,891,605,77,1570,50,29,8,5,98,80,3,182,81,117,36,3,238,153,13,405,840,599,373,58,1872,1677,129,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,6,13,3,0,0,0,4,7,6,16,5,13,8,0,26,41,6,71,12061,22743,9042,796,44638,11367,1368,57368
LGA11520,3096,6115,1224,143,10573,1931,265,12769,269,400,116,17,793,258,27,1079,628,782,267,24,1694,475,59,2228,893,1184,379,37,2490,730,91,3307,924,607,321,48,1900,1262,146,3311,1009,648,294,55,2011,1160,188,3357,2399,1377,517,103,4397,2075,434,6902,1560,848,299,78,2785,1193,375,4353,22,25,5,4,57,33,4,93,5909,3519,1435,295,11148,5709,1149,18011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,62,41,10,216,116,43,373,103,62,41,10,216,116,43,373,10,11,0,0,17,28,0,48,10004,10886,3077,486,24450,8514,1551,34512
LGA11570,13031,29517,9391,994,52929,9829,1636,64393,773,1382,597,55,2808,1354,123,4286,2495,6253,2250,172,11174,2634,304,14112,3272,7639,2848,226,13985,3991,423,18398,2063,3003,1362,278,6700,4545,885,12128,1847,2890,1511,223,6478,3348,574,10399,1907,2051,876,145,4981,2058,458,7494,671,687,252,53,1665,586,172,2427,191,336,133,20,678,237,47,956,6683,8965,4127,719,20496,10770,2137,33403,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,142,61,22,335,188,60,580,110,139,61,22,335,188,60,586,39,59,29,3,136,86,31,251,23132,46320,16466,1957,87885,24868,4283,117031
LGA11600,257,271,91,13,630,252,25,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,6,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,6,3,23,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,3,4,7,0,0,0,0,0,4,0,4,5,0,0,0,6,3,3,20,5,5,0,0,11,5,0,16,271,279,98,12,656,277,35,965
