LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA10050,263,1044,296,373,25,2349,439,272,1397,734,1174,97,4104,7,10,37,25,62,0,143,23,5,60,128,508,17,749,30,9,85,86,280,91,572,1354,843,4715,2914,7748,506,18080
LGA10180,193,736,206,289,37,2202,243,100,599,263,388,41,1633,12,4,26,13,33,5,92,17,3,64,33,183,13,306,30,0,47,28,76,39,216,1542,476,2566,1183,3024,282,9071
LGA10250,211,939,240,303,35,2038,403,177,1221,568,843,85,3296,22,8,60,42,73,13,216,17,12,101,101,390,14,632,19,14,107,62,174,74,451,1186,626,4369,2391,5676,517,14769
LGA10300,5,26,10,11,0,57,3,0,20,13,21,3,65,0,0,0,0,0,0,0,0,0,0,3,12,0,17,0,0,0,5,12,3,23,18,9,96,80,259,29,485
LGA10470,184,892,229,347,20,2007,268,162,889,480,832,66,2708,23,5,52,22,64,4,171,15,5,65,73,405,8,578,22,6,57,39,193,66,383,1038,554,3586,2037,6314,403,13931
LGA10500,348,2291,638,448,92,5593,1599,383,3889,1313,1262,308,8762,113,28,403,173,203,24,939,184,43,489,345,977,68,2102,494,57,999,480,512,433,2964,11497,1953,25769,10583,12815,2317,64931
LGA10550,160,435,134,176,20,1099,212,134,636,353,617,61,2010,11,0,49,29,50,0,142,14,12,27,54,313,10,432,10,3,60,50,149,56,328,682,469,2333,1511,4726,363,10083
LGA10600,83,253,87,78,10,588,76,53,308,173,206,25,839,9,0,24,7,23,3,65,7,0,20,21,101,3,147,8,3,25,22,58,18,135,292,202,1085,626,1524,157,3884
LGA10650,37,120,21,37,4,237,17,13,98,67,151,20,365,0,0,5,0,9,0,12,0,0,6,13,77,5,96,5,4,4,3,29,16,52,55,92,447,316,1101,108,2118
LGA10750,718,4218,1102,1377,173,10485,3235,924,9386,3538,4251,684,22012,102,23,331,178,322,17,969,301,70,754,618,2095,104,3943,844,98,1886,858,1623,877,6184,21125,3783,46459,19345,31000,4487,126197
LGA10800,18,97,25,25,8,176,11,5,50,31,62,11,161,0,0,0,0,0,0,3,0,0,4,9,54,0,70,0,0,3,0,20,14,41,39,41,308,209,822,92,1511
LGA10850,32,103,27,57,0,261,27,20,118,73,141,12,399,4,0,10,0,16,0,22,3,0,3,4,67,0,81,0,0,8,9,41,14,74,121,86,505,336,1209,84,2341
LGA10900,485,2038,477,491,61,5068,914,405,1895,845,1032,101,5181,106,41,200,91,148,16,594,95,27,186,155,519,19,1006,62,16,170,136,294,98,781,4195,1546,8790,4458,8405,630,28031
LGA10950,7,57,13,18,3,113,6,0,23,16,31,4,90,0,0,0,0,3,0,0,0,0,4,0,6,0,12,0,0,0,0,10,9,24,38,21,158,83,349,36,682
LGA11150,4,62,11,28,3,113,7,0,31,17,23,5,83,0,0,0,0,4,0,7,0,0,0,0,9,0,12,4,0,4,4,8,6,19,36,13,165,111,230,36,583
LGA11200,4,26,6,10,3,59,6,0,13,9,12,5,47,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,5,3,20,9,61,43,93,20,247
LGA11250,49,222,63,118,13,526,91,80,337,223,449,34,1213,0,0,3,10,28,0,47,0,0,8,26,160,10,205,0,0,17,9,68,32,123,219,188,815,653,2392,184,4445
LGA11300,85,552,109,96,13,1285,507,100,1084,349,269,71,2377,38,3,82,34,23,4,183,52,14,108,63,107,14,349,155,9,256,121,78,130,743,3262,480,6294,2190,1871,536,14630
LGA11350,140,605,158,153,33,1360,390,142,856,375,324,63,2155,35,14,152,45,54,10,308,28,12,87,86,215,15,437,52,15,307,123,176,96,759,1369,523,4556,2112,3470,492,12525
LGA11400,36,216,83,91,5,491,75,44,253,148,194,16,728,0,0,8,3,11,0,29,5,0,15,20,141,4,187,6,0,13,11,75,19,126,283,147,1100,710,2038,168,4455
LGA11450,400,2150,613,775,68,5239,809,389,2421,1239,1434,161,6452,32,8,107,91,130,7,373,52,27,183,240,1137,28,1667,98,14,294,285,722,191,1596,3883,1329,10923,7568,16146,1170,41026
LGA11500,343,1662,601,783,86,4711,1207,371,3526,1715,2346,316,9479,35,7,151,94,155,20,458,68,20,233,260,1037,47,1659,210,16,502,355,844,377,2308,6118,1358,14371,8232,16699,1852,48633
LGA11520,273,1572,342,279,43,3566,1331,270,2320,612,452,104,5089,92,41,229,95,92,15,558,126,18,276,173,485,31,1110,333,35,597,231,246,166,1612,7860,1548,16203,5251,5822,949,37632
LGA11570,711,4104,1195,1097,206,9994,2344,648,5877,2536,2594,483,14485,124,36,438,201,269,32,1100,255,66,741,654,1843,102,3657,525,60,1413,749,1131,748,4618,13479,2898,34716,16166,21774,3665,92702
LGA11600,8,37,8,21,0,75,3,3,20,19,32,0,69,0,0,0,0,4,0,0,0,0,0,4,15,0,26,0,0,0,3,21,11,35,20,17,192,133,392,61,814
LGA11650,915,4986,1424,1806,166,11034,2044,1137,7251,4128,7022,674,22260,80,33,372,255,499,33,1275,140,66,499,662,2911,101,4378,196,38,739,557,1635,470,3627,7457,3443,26260,18206,44860,3371,103592
LGA11700,7,20,5,10,6,61,6,4,14,10,3,0,31,0,0,3,0,3,0,4,0,0,0,0,6,3,8,0,0,0,0,3,0,7,25,12,59,50,124,11,281
LGA11720,108,542,184,379,17,1397,124,124,712,594,1472,99,3129,6,4,31,38,90,7,168,9,3,41,118,744,10,927,18,0,65,66,373,92,609,569,388,2695,2576,10593,581,17402
LGA11730,157,609,217,331,25,1465,178,132,689,516,1134,104,2751,10,0,30,18,80,9,146,26,9,39,67,422,17,572,10,8,48,45,246,83,441,565,435,2551,1951,6946,559,13007
LGA11750,3,55,16,12,0,110,3,0,37,21,27,0,91,0,0,0,0,0,0,0,0,0,8,4,37,3,50,0,0,0,0,24,3,26,37,21,216,139,628,55,1090
LGA11800,279,1326,367,490,43,2839,537,285,1893,989,1657,187,5550,13,0,71,55,141,6,294,27,14,99,172,702,25,1034,30,8,129,85,379,148,781,1514,894,6109,3901,10112,881,23406
LGA12000,22,76,22,40,0,184,6,9,65,32,67,0,187,0,0,0,0,0,0,0,3,0,5,4,38,3,55,0,0,0,5,21,7,35,55,47,248,179,620,63,1216
LGA12150,8,59,15,38,6,147,7,5,35,25,45,12,128,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,0,3,5,15,14,35,39,20,194,135,383,51,817
LGA12160,25,119,45,67,13,292,17,21,107,106,196,32,474,0,0,4,9,12,0,26,0,3,8,14,92,8,115,5,3,14,8,61,25,109,98,77,529,450,1470,157,2782
LGA12350,36,173,41,74,10,379,16,28,127,135,237,35,577,0,0,5,0,12,4,17,0,0,11,12,105,4,143,0,0,3,5,64,19,100,99,94,603,484,1675,206,3159
LGA12380,313,1975,577,487,115,4771,1960,442,4390,1839,1655,334,10621,65,9,201,89,130,22,507,165,31,421,307,719,42,1692,552,63,1185,616,686,665,3760,11664,1739,23921,10211,11266,2603,61401
LGA12390,166,926,249,457,36,2072,479,205,1338,714,1097,125,3953,11,8,46,36,137,12,256,21,8,58,80,524,27,709,39,11,67,53,295,95,560,1364,605,4301,2473,7710,674,17125
LGA12700,24,125,45,72,11,322,31,19,131,101,155,18,445,3,0,3,0,12,3,21,6,0,17,15,117,6,155,0,0,13,18,67,11,111,153,75,587,480,1615,114,3029
LGA12730,33,127,37,55,7,270,33,22,137,100,149,23,459,0,0,8,6,6,0,21,0,0,10,15,73,0,96,3,0,10,9,37,20,67,93,93,531,389,1159,105,2363
LGA12750,138,438,134,181,23,1075,195,107,623,373,674,72,2050,9,4,55,17,77,8,168,12,4,35,73,315,10,455,9,5,56,40,195,72,382,649,408,2140,1658,4961,459,10269
LGA12850,196,1411,398,489,75,3260,558,203,2311,1115,1506,210,5899,20,9,115,56,87,14,296,62,16,273,278,886,55,1579,97,17,518,367,636,430,2069,2603,772,12873,6816,11175,1721,35959
LGA12870,31,124,42,66,5,297,24,26,150,124,224,12,561,0,0,3,11,18,0,27,0,0,9,27,113,3,149,3,5,12,13,71,30,128,111,98,585,506,1820,145,3269
LGA12900,24,183,44,75,9,378,19,32,102,77,158,17,405,0,0,0,0,7,0,14,4,0,10,14,112,0,132,3,0,16,3,43,23,91,114,78,577,362,1361,124,2616
LGA12930,341,2137,507,393,84,4781,1804,401,3995,1372,1190,270,9026,80,17,267,117,164,9,655,186,43,432,265,757,47,1734,363,38,819,375,457,306,2360,9615,1783,22062,8615,9792,1785,53653
LGA12950,5,83,15,28,6,153,7,3,49,30,66,7,174,0,0,0,0,4,0,3,0,0,0,6,42,0,51,0,0,7,4,23,12,42,29,20,260,148,578,53,1087
