LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA10050,21678,23850,45524,9686,5795,15485,2913,6485,9392,613,861,1470,735,585,1326,13941,13728,27666,6406,8818,15225,5.3,4.3,4.8,64.3,57.6,60.8,60.9,55.1,57.9,745,935,1679,355,743,1101,2253,3716,5967,1675,2491,4166,5925,3510,9427,221,405,626,308,565,875,6452,4478,10926,20920,22554,43472,4161,4506,8674,13063,14008,27072,10530,11598,22132
LGA10180,11369,12509,23882,4405,2961,7367,1697,2878,4573,352,475,823,388,330,715,6840,6645,13482,3420,4574,7993,5.6,5,5.3,60.1,53.1,56.4,56.7,50.5,53.4,1006,1106,2111,219,448,666,1433,2146,3580,666,1147,1814,2296,1268,3556,148,223,375,156,298,451,2595,1790,4384,9966,10655,20618,2488,2727,5220,6209,6565,12770,5582,6208,11787
LGA10250,18330,20424,38753,6474,4124,10594,3195,5530,8725,661,790,1454,398,341,736,10729,10782,21513,6563,8474,15038,3.7,3.2,3.4,58.5,52.8,55.5,56.4,51.1,53.6,686,923,1608,310,640,951,2545,3709,6248,1569,2437,4002,4821,2528,7347,162,316,475,321,622,940,5303,3461,8767,17634,18820,36458,3162,3545,6705,11355,11985,23342,8426,9486,17917
LGA10300,886,888,1776,412,213,629,89,188,279,33,31,60,21,18,31,553,449,1001,207,290,496,3.3,3.3,3.3,62.3,50.8,56.6,60.3,49.1,54.7,8,9,19,5,6,11,35,75,112,33,64,98,176,109,285,4,15,17,8,11,14,184,131,320,837,818,1656,101,101,198,636,636,1273,260,214,473
LGA10470,17659,17732,35394,7497,4954,12449,2260,4505,6763,557,689,1248,476,391,863,10783,10533,21317,5944,6278,12217,4.4,3.7,4.1,61.1,59.4,60.2,58.4,57.2,57.8,653,710,1364,253,519,764,1676,2908,4585,1119,1843,2961,4762,2668,7429,198,343,540,299,531,833,5263,3540,8805,16267,16709,32980,3317,3574,6892,10326,10512,20837,8148,8778,16932
LGA10500,73726,74966,148694,27656,21299,48955,11456,14487,25942,5074,5162,10236,2783,2218,5002,46968,43170,90134,21899,27176,49079,5.9,5.1,5.5,63.7,57.6,60.6,59.9,54.6,57.3,6763,7390,14154,958,1517,2476,15461,17966,33429,7096,8293,15394,10627,5060,15683,467,741,1205,1110,1727,2839,12206,7529,19730,64493,65789,130283,16567,16175,32745,39783,41832,81612,37086,36132,73224
LGA10550,14826,15683,30514,4736,2878,7613,2197,4031,6233,532,598,1131,319,229,548,7783,7741,15523,5990,6871,12864,4.1,3,3.5,52.5,49.3,50.9,50.3,47.9,49.1,472,604,1072,261,569,829,1470,2320,3791,1056,1701,2756,4234,2232,6470,140,284,423,255,417,678,4633,2937,7566,14000,14487,28489,2159,2382,4547,9507,9713,19214,5989,6551,12538
LGA10600,5291,5748,11037,1554,976,2532,913,1552,2467,168,199,364,171,132,303,2807,2862,5667,2073,2456,4530,6.1,4.6,5.3,53,49.8,51.4,49.8,47.5,48.6,192,273,462,106,239,342,632,1027,1651,388,680,1068,1468,716,2182,32,101,132,78,149,229,1581,964,2552,5149,5425,10569,715,827,1538,3453,3653,7107,2139,2358,4500
LGA10650,3610,3715,7328,1308,677,1979,363,856,1223,118,130,255,60,48,111,1853,1710,3566,1365,1575,2940,3.4,2.8,3.1,51.3,46.1,48.7,49.6,44.8,47.1,31,42,73,34,79,106,186,402,589,196,309,505,955,525,1478,32,70,104,51,66,115,1036,664,1703,3281,3344,6631,509,568,1082,2263,2293,4551,1370,1483,2853
LGA10750,151658,154995,306652,60499,43940,104443,18616,27694,46306,13433,10746,24184,5703,5109,10816,98256,87494,185750,44619,58732,103358,5.8,5.8,5.8,64.8,56.4,60.6,61,53.2,57,12738,12728,25463,1821,2929,4749,26611,32857,59472,12926,14519,27446,24081,14475,38551,1132,2050,3178,2228,3172,5402,27442,19700,47137,156313,158451,314765,27046,27345,54387,95223,97059,192288,75492,76780,152266
