LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10050,17,17,92,138,118,227,380,442,288,1731,0,11,47,56,101,80,55,40,21,405,184,208,447,417,373,387,383,364,196,2956,1480,3449,7311,6881,6710,6832,6032,3540,1390,43619
LGA10180,16,27,45,70,58,132,206,201,121,870,6,24,50,40,24,21,22,14,4,205,372,388,389,265,262,260,238,271,159,2600,1242,2318,3750,3182,3205,3568,2880,1916,713,22777
LGA10250,7,12,53,48,67,161,300,352,314,1319,3,0,19,7,9,23,16,8,14,112,123,117,297,309,292,331,401,373,312,2577,998,1875,4266,5248,5900,6500,6713,3964,1833,37303
LGA10300,0,3,3,4,18,15,48,32,15,137,0,0,0,0,6,0,3,4,0,14,15,13,43,37,50,51,53,19,10,291,49,102,271,212,289,333,289,111,47,1704
LGA10470,15,13,40,40,81,193,310,295,205,1203,0,9,16,11,15,18,23,16,11,121,140,282,609,518,430,337,277,254,147,2997,1232,2882,5682,5125,5376,5329,4491,2528,1052,33692
LGA10500,11,26,148,181,316,736,1642,2015,937,6006,9,46,223,192,215,351,520,603,353,2498,384,889,2540,1560,1059,995,954,991,817,10185,3402,13684,36484,26531,20586,17460,13445,8687,3800,144080
LGA10550,18,10,28,62,84,170,332,366,196,1271,0,5,9,4,10,14,16,12,11,74,131,96,241,219,313,429,428,316,235,2404,787,1287,3032,3339,4345,6334,6221,3104,1089,29533
LGA10600,9,4,14,16,19,56,98,91,87,389,0,0,0,5,8,5,5,6,8,34,63,25,79,130,153,145,168,109,49,923,300,400,1044,1300,1770,2262,2110,1054,395,10620
LGA10650,4,9,7,16,20,38,163,141,62,454,0,0,4,0,0,5,0,4,0,15,38,27,80,71,92,126,185,153,117,888,183,286,732,793,966,1277,1595,899,334,7065
LGA10750,80,135,483,743,1066,1992,3057,2232,992,10769,13,93,343,440,649,777,773,556,289,3931,1309,1822,4481,4075,2762,2105,1929,1371,815,20670,10732,26347,59186,67323,47487,37817,26972,12411,4302,292580
LGA10800,5,0,3,3,17,42,68,42,39,225,0,0,0,0,0,0,6,7,0,10,16,18,54,71,57,83,72,54,33,463,139,251,582,627,643,791,681,411,176,4307
LGA10850,4,0,8,9,14,40,76,52,51,259,0,0,0,3,3,4,3,5,0,21,27,18,38,40,74,88,82,75,17,449,186,314,794,777,1009,1106,877,473,165,5701
LGA10900,16,6,37,48,84,153,302,253,184,1085,6,3,23,25,23,21,23,11,12,153,136,92,258,320,354,344,386,398,257,2543,1743,3416,7124,9584,10956,11199,10516,5252,1765,61554
LGA10950,0,0,6,4,11,15,27,30,9,98,0,0,0,0,5,0,4,6,0,10,8,19,14,23,28,39,34,36,18,228,73,140,320,224,336,321,225,208,67,1910
LGA11150,0,0,4,0,12,33,36,24,10,126,0,0,0,0,0,5,5,0,0,15,34,21,59,64,64,52,43,29,5,368,85,134,311,273,300,315,211,106,34,1772
LGA11200,4,0,0,7,9,17,29,16,5,83,0,0,0,0,0,0,3,0,0,8,10,28,42,21,30,32,26,8,3,200,42,76,205,127,169,209,132,51,17,1034
LGA11250,14,13,39,51,69,234,381,236,149,1189,0,0,0,0,7,10,3,15,3,45,96,95,205,210,186,176,190,173,136,1457,539,896,2181,1880,2010,2567,2210,1272,590,14149
