LGA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA10800,..,4,85,155,160,214,211,108,34,973,..,27,68,48,27,32,9,3,0,210,..,0,5,7,14,14,10,0,3,51,502,..,..,..,..,..,..,..,..,502,..,63,..,..,..,..,..,..,..,63,..,87,36,12,13,11,6,0,0,172,..,19,3,5,3,6,5,0,5,43,..,0,3,5,3,0,3,0,0,20,..,3,16,4,5,9,3,0,0,43,..,15,36,22,43,97,65,45,12,338,4,8,13,3,9,6,0,0,6,46,509,237,265,255,282,386,315,169,55,2463,..,6,119,175,180,229,181,83,22,985,..,45,71,43,31,20,10,0,0,222,..,6,29,32,42,12,6,12,9,147,465,..,..,..,..,..,..,..,..,465,..,78,..,..,..,..,..,..,..,78,..,57,5,9,4,0,0,0,0,75,..,9,6,4,0,10,8,3,7,40,..,3,3,4,0,0,0,0,0,12
LGA10850,..,6,128,200,254,293,263,144,23,1301,..,35,86,62,53,59,38,5,0,337,..,0,8,9,23,9,8,0,3,57,725,..,..,..,..,..,..,..,..,725,..,155,..,..,..,..,..,..,..,155,..,141,57,12,29,16,0,0,0,254,..,8,10,6,5,20,15,7,3,70,..,7,8,0,5,0,0,0,0,28,..,6,8,10,8,7,13,6,0,51,..,13,34,29,47,87,80,45,18,347,7,15,4,12,3,9,10,5,4,68,731,373,350,336,432,493,412,210,54,3389,..,6,161,237,302,300,213,87,19,1334,..,43,114,57,64,49,17,6,0,343,..,9,45,61,72,25,16,17,5,251,706,..,..,..,..,..,..,..,..,706,..,141,..,..,..,..,..,..,..,141,..,93,38,3,9,14,3,0,0,154,..,11,9,3,3,11,13,13,9,77,..,7,4,0,6,0,0,0,0,21
LGA10900,..,28,977,2544,3034,3120,3173,1477,314,14660,..,189,841,785,765,579,350,99,19,3632,..,8,26,114,204,144,103,34,22,658,6619,..,..,..,..,..,..,..,..,6619,..,2003,..,..,..,..,..,..,..,2003,..,1474,785,309,209,95,26,0,0,2891,..,106,90,58,54,82,69,41,22,521,..,90,113,55,49,30,21,3,0,365,..,105,196,104,118,129,152,63,10,879,..,53,209,312,533,756,829,435,159,3285,100,98,86,76,61,64,49,19,11,562,6718,4150,3329,4361,5025,4997,4764,2186,550,36076,..,49,1354,2840,3189,3302,2809,1112,141,14805,..,280,922,812,726,532,322,69,8,3669,..,39,226,599,809,438,252,157,109,2631,6349,..,..,..,..,..,..,..,..,6349,..,1966,..,..,..,..,..,..,..,1966,..,937,480,166,105,68,24,0,0,1781,..,79,43,24,44,126,172,146,68,700,..,96,65,29,20,18,12,4,0,245
LGA10950,..,0,43,49,90,80,60,46,10,377,..,18,41,30,24,16,4,6,0,134,..,0,0,7,6,11,0,0,0,20,224,..,..,..,..,..,..,..,..,224,..,30,..,..,..,..,..,..,..,30,..,52,9,9,4,0,0,0,0,86,..,10,5,5,4,5,11,3,0,37,..,7,6,4,4,0,0,0,0,14,..,3,9,0,0,7,0,4,0,20,..,11,17,6,11,30,25,19,11,131,0,5,0,0,6,5,0,0,0,24,222,142,140,103,147,145,106,80,22,1109,..,3,61,54,97,71,51,37,4,380,..,24,50,19,28,17,0,5,0,131,..,8,21,9,15,11,3,4,0,71,229,..,..,..,..,..,..,..,..,229,..,42,..,..,..,..,..,..,..,42,..,22,4,3,6,4,0,0,0,41,..,3,0,0,0,0,10,3,0,21,..,4,3,0,0,0,0,0,0,3
LGA11150,..,3,39,42,54,68,46,30,7,282,..,13,28,36,17,15,4,0,0,116,..,0,5,0,5,6,3,0,0,21,223,..,..,..,..,..,..,..,..,223,..,24,..,..,..,..,..,..,..,24,..,38,14,9,4,0,0,0,0,67,..,13,3,7,9,4,3,5,0,38,..,0,3,0,6,0,0,0,0,8,..,4,6,6,5,0,0,0,0,16,..,5,10,16,26,33,29,13,0,124,0,4,9,0,5,3,7,3,0,33,230,106,117,108,125,135,92,46,7,957,..,0,60,48,50,59,45,17,0,281,..,20,42,32,16,19,4,0,0,126,..,7,11,14,21,14,8,4,3,82,192,..,..,..,..,..,..,..,..,192,..,26,..,..,..,..,..,..,..,26,..,27,11,6,0,3,0,0,0,49,..,7,0,3,6,4,8,0,0,34,..,0,4,0,0,0,0,0,0,5
LGA11200,..,0,14,20,18,28,24,12,0,107,..,3,19,9,23,24,5,0,0,77,..,0,0,0,0,3,0,0,0,15,129,..,..,..,..,..,..,..,..,129,..,19,..,..,..,..,..,..,..,19,..,19,9,0,0,4,0,0,0,33,..,13,5,0,0,0,0,6,0,30,..,5,6,0,0,0,0,0,0,12,..,7,4,8,6,4,0,0,0,25,..,6,11,12,5,34,23,8,0,102,0,4,4,0,4,3,0,0,0,20,131,66,74,54,62,98,61,24,5,559,..,0,19,18,24,25,23,7,0,102,..,7,23,12,26,16,0,0,0,81,..,4,31,14,8,10,8,0,5,81,99,..,..,..,..,..,..,..,..,99,..,18,..,..,..,..,..,..,..,18,..,15,7,0,0,0,0,0,0,24,..,9,8,0,3,5,5,0,0,33,..,0,0,0,0,0,0,0,0,0
LGA11250,..,0,168,304,377,551,566,300,91,2361,..,87,292,163,106,122,54,14,0,838,..,8,34,38,67,26,21,19,12,226,1313,..,..,..,..,..,..,..,..,1313,..,215,..,..,..,..,..,..,..,215,..,377,166,90,72,36,8,0,0,750,..,62,26,19,31,23,19,8,4,192,..,17,13,6,13,5,5,4,0,63,..,20,40,20,28,27,21,5,3,171,..,61,144,125,196,300,284,130,52,1299,53,27,34,36,16,30,31,7,0,233,1363,880,929,801,902,1132,1006,492,169,7664,..,6,244,360,403,600,520,270,45,2437,..,135,317,143,125,105,47,9,0,882,..,33,189,217,162,106,68,36,26,838,1317,..,..,..,..,..,..,..,..,1317,..,220,..,..,..,..,..,..,..,220,..,186,74,28,28,28,0,0,0,343,..,48,15,8,9,45,40,20,14,203,..,28,5,0,4,0,0,0,0,47
LGA11300,..,74,1043,1304,1191,1266,908,539,212,6532,..,177,673,220,121,87,55,9,0,1351,..,0,14,29,70,65,27,22,21,246,2220,..,..,..,..,..,..,..,..,2220,..,929,..,..,..,..,..,..,..,929,..,457,501,198,134,59,11,0,0,1359,..,237,232,49,49,58,57,27,25,725,..,295,393,120,77,46,7,6,0,950,..,983,965,246,121,83,65,19,10,2484,..,127,365,197,168,182,185,115,63,1399,34,37,60,25,33,18,10,3,3,226,2252,3313,4231,2387,1966,1860,1318,745,332,18421,..,136,1276,1353,1328,1169,853,386,68,6571,..,234,688,188,116,83,42,7,4,1360,..,6,59,218,376,252,114,98,73,1198,2338,..,..,..,..,..,..,..,..,2338,..,1059,..,..,..,..,..,..,..,1059,..,350,450,115,95,57,14,0,0,1081,..,228,199,41,57,107,123,122,84,962,..,275,290,79,55,27,21,5,0,739
LGA11350,..,5,223,792,944,1022,1008,413,75,4485,..,44,512,538,445,359,275,53,0,2227,..,0,13,61,134,83,48,9,14,357,2587,..,..,..,..,..,..,..,..,2587,..,525,..,..,..,..,..,..,..,525,..,437,259,131,78,45,10,0,0,961,..,40,32,18,27,30,48,17,15,233,..,57,172,101,56,57,37,3,0,480,..,118,507,205,151,155,156,35,5,1336,..,33,100,207,226,345,379,160,45,1489,20,36,56,51,47,58,53,3,3,337,2605,1294,1888,2091,2114,2156,2016,694,163,15017,..,7,343,953,1048,1035,830,269,33,4522,..,102,596,543,454,350,185,27,0,2256,..,10,88,294,423,204,89,62,41,1213,2539,..,..,..,..,..,..,..,..,2539,..,545,..,..,..,..,..,..,..,545,..,329,143,67,32,21,10,0,0,607,..,49,35,17,17,43,103,54,34,353,..,93,227,102,52,39,29,9,3,549
LGA11400,..,9,201,451,532,600,527,275,57,2651,..,45,127,92,99,71,53,11,0,491,..,0,11,24,25,21,14,0,4,91,1309,..,..,..,..,..,..,..,..,1309,..,280,..,..,..,..,..,..,..,280,..,271,82,50,34,18,0,0,0,451,..,12,7,5,9,23,20,11,4,98,..,17,13,0,7,4,9,0,0,50,..,10,5,3,7,24,20,11,0,79,..,21,36,40,88,109,155,99,28,577,20,37,15,14,12,18,6,3,4,131,1329,696,491,670,820,875,801,420,98,6209,..,21,272,502,596,639,465,207,20,2723,..,65,122,98,95,94,34,0,0,510,..,16,67,68,71,51,25,27,22,340,1242,..,..,..,..,..,..,..,..,1242,..,309,..,..,..,..,..,..,..,309,..,163,53,21,13,5,7,0,0,256,..,15,5,4,0,8,18,28,15,96,..,13,5,3,0,3,3,3,0,31
