SED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED10001,5097,5849,4978,3944,4225,3407,2515,4068,522,34606
SED10002,4110,8317,6660,4010,5219,3874,3073,5432,1306,42006
SED10003,4325,7199,4307,3763,3316,3159,1263,3141,516,30988
SED10004,8691,18192,2928,3374,5163,3083,636,1371,721,44167
SED10005,2492,5047,4367,3425,4332,2997,3112,3578,844,30201
SED10006,6246,4153,3844,3601,2929,2190,2955,3800,619,30324
SED10007,4023,5223,4943,4088,3896,2892,2902,3852,573,32393
SED10008,6558,12680,3924,3001,6474,3635,1136,1774,699,39879
SED10009,3342,4141,4079,3307,3026,2917,1464,3263,422,25959
SED10010,3309,6960,5274,4064,6326,3536,4615,4560,862,39504
SED10011,4027,9319,4335,4023,4387,2503,1422,2582,448,33051
SED10012,2286,4058,4483,3176,3944,2915,3881,4843,864,30461
SED10013,5846,7770,6796,4429,7311,4408,3758,3477,846,44637
SED10014,2913,4832,4739,3831,5263,3402,3999,3880,701,33554
SED10015,4340,8200,5303,4063,5696,3888,2602,4320,897,39307
SED10016,7403,11298,4289,3293,6622,4134,1253,1962,707,40961
SED10017,2832,3894,5599,3576,3809,3234,3755,4128,516,31340
SED10018,3491,8226,4668,3591,4795,3216,1568,2687,441,32681
SED10019,3020,3690,3590,3425,3057,2665,1993,3929,456,25834
SED10020,3534,5555,4006,3674,3865,3199,1590,3702,507,29620
SED10021,8154,17981,3597,3942,5324,3230,759,1611,736,45331
SED10022,5923,3584,3782,2867,2941,2413,2151,4382,471,28514
SED10023,6308,9468,5084,4184,6163,3643,1306,1948,608,38712
SED10024,7651,13201,2290,2653,4987,3292,545,1135,632,36393
SED10025,7761,13472,3419,2915,6029,3705,913,1584,730,40522
SED10026,4718,5367,4946,3889,4001,3342,2666,3709,523,33152
SED10027,4032,6870,4937,3265,6240,3198,2395,2712,672,34310
SED10028,6046,14178,2934,2866,5770,3231,817,1602,585,38034
SED10029,1988,3888,4406,2991,3951,2639,3619,4460,925,28883
SED10030,3616,6311,4526,3775,4510,3150,1716,3199,611,31413
SED10031,5647,5730,4946,4170,4255,2817,2304,3671,621,34166
SED10032,3286,7320,5239,3709,5409,3460,3126,4061,1023,36628
SED10033,5097,5650,6779,3614,5594,3233,2927,3458,641,36988
SED10034,5323,9373,5950,4431,6789,3643,1675,2285,587,40061
SED10035,8278,17974,4964,5153,7235,4749,1784,3051,943,54140
SED10036,4223,7257,5267,3960,6399,3364,3292,3098,807,37674
SED10037,5939,12757,4497,3841,5782,3281,1099,2444,593,40230
SED10038,4118,9498,4785,4231,4683,2825,1741,2520,524,34924
SED10039,3739,5921,5125,3954,3774,2873,2052,2821,439,30702
SED10040,4420,10105,5160,4444,6239,4489,2516,4421,926,42718
SED10041,7233,14756,2228,2941,5074,2897,544,1271,645,37581
SED10042,2856,5405,4879,3488,4033,2906,2288,3130,489,29476
SED10043,2714,5263,4521,3565,4231,3520,3529,3966,883,32190
SED10044,7976,15899,2962,3197,5753,3304,736,1341,690,41861
SED10045,4053,5357,3869,3546,3501,2857,1851,3895,474,29400
SED10046,2586,4958,4977,3495,5052,3170,4118,4431,978,33762
SED10047,3184,4688,5530,4143,6292,3556,5643,4633,888,38557
SED10048,3325,6476,5285,4264,6477,3659,4479,4202,765,38933
SED10049,3299,5762,5971,3877,4575,3546,3402,3692,516,34627
SED10050,8884,14528,3821,3835,5194,3589,855,1678,733,43123
SED10051,5461,10200,4108,3846,5822,3436,1768,2336,662,37645
SED10052,5593,8999,4666,3566,6144,3548,1512,2035,607,36672
SED10053,6563,7217,5305,4227,6508,3234,1989,3270,850,39150
SED10054,2491,5206,4813,3983,5942,3460,5613,4705,842,37045
SED10055,5020,6679,6362,3941,7795,4161,3968,3444,759,42138
SED10056,6939,4606,4666,3368,3919,3063,2838,5942,666,36007
SED10057,2655,3979,3457,3066,2640,2944,1436,3161,417,23764
SED10058,3936,10937,4163,4361,4434,2893,1428,2501,497,35141
SED10059,7252,19732,3576,4446,5572,3390,769,1916,771,47423
SED10060,9659,18797,2042,2716,5372,2967,338,841,827,43564
SED10061,5891,5610,3823,3548,3650,2877,1892,4333,561,32192
SED10062,4920,9626,4094,3449,6033,3517,1765,2490,665,36557
SED10063,4965,6178,4887,3607,4096,3047,2562,3699,561,33596
SED10064,3177,3989,3651,3419,2782,2363,1785,3477,492,25145
SED10065,5572,14281,5318,4143,7261,4179,2645,3580,984,47959
SED10066,3972,6744,5324,4024,6421,3504,3268,3394,678,37336
SED10067,6602,9527,4715,3410,4980,3305,948,1781,632,35899
SED10068,3032,5560,3929,3555,3567,2971,1387,2797,403,27203
SED10069,3023,4019,4940,3562,3601,2905,2272,3151,473,27956
SED10070,3555,6820,4776,3087,6150,3234,3209,3287,821,34935
SED10071,6027,11365,5193,4020,7689,4363,3034,2904,764,45353
SED10072,5168,9725,4957,4177,6349,4320,2500,4184,887,42264
SED10073,5930,15469,4645,3812,6853,4039,1318,2655,810,45527
SED10074,4672,10911,4648,3418,6593,3270,2533,2993,784,39827
SED10075,3126,5021,5941,4510,4853,3806,2998,3710,559,34520
SED10076,2670,3831,4266,3443,2753,2703,1307,2849,446,24262
SED10077,5276,14022,4856,4270,6421,4455,1740,3749,1126,45910
SED10078,5640,14408,4205,4032,5699,3404,1397,2909,692,42384
SED10079,2781,4623,5015,3665,3907,3121,2168,3291,435,29008
SED10080,10517,20797,4574,6298,5816,4140,659,3408,1112,57319
SED10081,4896,5501,4702,3426,3843,3135,2750,4694,551,33492
SED10082,4498,8119,4734,3854,4576,3360,1096,2459,496,33188
SED10083,3347,5669,5177,3998,4434,3539,1915,3346,494,31924
SED10084,3251,5196,4745,4237,3732,3413,1623,3427,505,30132
SED10085,4566,3980,5727,3217,3459,2511,4835,4164,525,32978
SED10086,9112,16698,2452,3285,4611,3461,491,1234,814,42163
SED10087,4692,6661,5487,4428,4251,3479,2302,3912,487,35697
SED10088,6630,10143,5184,4124,5801,3910,1498,2720,592,40606
SED10089,3044,8018,5047,4416,4789,3622,2427,3722,508,35581
SED10090,8493,17046,2646,3043,5376,3399,580,1395,793,42760
SED10091,4545,5862,6120,3649,4693,3170,2816,3359,600,34816
SED10092,3184,7669,4932,4247,4488,3275,2229,3457,555,34043
SED10093,3213,4460,5064,4073,4114,3436,2530,3849,583,31315
SED19494,274,649,480,430,261,224,339,582,103,3331
SED19797,3,22,18,16,21,17,10,18,5,130
