SED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED10033,928,180,1128,12535,4900,528,17969,36753,4456,59170
SED10034,1447,143,1606,14408,5679,583,20671,37359,2732,60767
SED10035,895,144,1064,12116,3490,284,15893,68794,7913,92602
SED10036,1042,147,1211,15228,4127,385,19740,41146,4266,65161
SED10037,1218,156,1397,15451,4797,483,20733,39612,2842,63185
SED10038,1859,258,2162,13515,5770,643,19922,39849,3543,63315
SED10039,1561,472,2044,10961,5500,578,17042,36090,5381,58513
SED10040,1686,435,2176,14833,3921,269,19021,53314,4865,77202
SED10041,2377,468,2887,15731,4524,385,20640,40179,3369,64187
SED10042,1793,463,2273,10791,5710,488,16986,38003,3924,58914
SED10043,1412,230,1668,14826,3410,296,18531,46553,5860,70941
SED10044,2125,240,2405,14689,4126,391,19207,43612,4033,66850
SED10045,1538,504,2065,10325,4485,561,15362,38950,6646,60968
SED10046,671,118,801,14177,3573,322,18073,45374,7219,70672
SED10047,678,129,820,15046,5239,551,20833,42986,7373,71191
SED10048,641,288,941,15108,4914,390,20404,42373,4912,67692
SED10049,1023,241,1271,14276,5499,709,20480,35783,4028,60289
SED10050,1237,322,1583,15347,4149,517,20009,39543,4844,64405
SED10051,1561,417,2026,13152,4154,385,17694,42732,7301,67729
SED10052,2230,259,2520,13203,5090,394,18689,38421,3061,60172
SED10053,911,215,1139,12406,4253,444,17101,38711,5824,61638
SED10054,839,78,933,15013,4407,506,19927,43072,4753,67753
SED10055,411,76,506,14836,4897,494,20226,39513,3780,63519
SED10056,1658,506,2187,11830,4907,427,17166,41510,8237,66906
SED10057,2120,675,2812,8679,4193,371,13244,40657,5870,59773
SED10058,1198,564,1790,10171,4846,455,15475,40242,5308,61027
SED10059,617,146,784,7942,2608,317,10867,56764,8907,76543
SED10060,1423,287,1732,11022,4134,247,15410,45475,5888,66774
SED10061,1427,327,1786,11085,4290,459,15836,40866,7345,64047
SED10062,1957,281,2269,12966,4551,338,17858,41455,3455,62773
SED10063,1552,338,1919,12462,4884,597,17946,37711,5902,61566
SED10064,1757,512,2285,9381,4269,454,14101,39017,7036,60162
SED10065,1333,263,1620,18497,3915,363,22776,54279,6752,83812
SED10066,1219,159,1389,13504,5364,624,19494,38812,4537,62846
SED10067,2057,516,2602,12838,5021,450,18314,36286,3988,58589
SED10068,2276,497,2785,9979,4170,431,14584,41539,5396,61524
SED10069,1505,316,1840,10242,4959,503,15700,37593,5516,58816
SED10070,1185,230,1437,13638,4293,303,18231,42736,4247,65220
SED10071,410,58,475,19788,4357,550,24697,38837,4164,67699
SED10072,1668,408,2111,12922,3899,267,17091,49803,5843,72732
SED10073,1865,284,2181,15257,4110,339,19703,54539,4230,78469
SED10074,1413,202,1637,15675,4580,432,20689,42409,4217,67319
SED10075,1289,273,1582,13676,6418,664,20757,40086,4421,65263
SED10076,1706,573,2298,9102,4353,419,13879,38470,5833,58179
SED10077,1736,211,1985,13563,3602,279,17446,57197,5858,80499
SED10078,1652,201,1880,12084,3420,415,15914,47936,5391,69245
SED10079,1462,446,1930,10990,5847,486,17329,37516,4062,58910
SED10080,856,335,1212,7052,2901,151,10101,67496,14733,92326
SED10081,1496,382,1901,11816,4731,554,17105,37873,6509,61489
SED10082,1954,414,2383,12176,5473,593,18248,37538,3713,59499
SED10083,1871,596,2489,11725,5081,601,17405,37289,4684,59384
SED10084,2385,668,3070,11070,4652,470,16186,41400,6022,63611
SED10085,1167,261,1452,12480,4653,468,17599,36600,5921,60124
SED10086,1583,328,1968,12358,4183,331,16868,42835,7236,66945
SED10087,1455,338,1818,12187,4783,490,17453,38395,5286,61134
SED10088,1666,365,2072,15192,4631,503,20318,39125,3852,63300
SED10089,1550,653,2234,13019,5718,579,19309,42713,4127,66150
SED10090,1639,245,1910,16150,3806,376,20333,44269,4159,68762
SED10091,1231,344,1600,12558,4926,519,18003,36851,4680,59534
SED10092,1836,405,2265,11128,5486,438,17056,47146,5935,70133
SED10093,1584,596,2202,12616,5064,607,18284,37879,5568,61729
SED19494,49,28,78,847,475,45,1373,6811,3361,11545
SED19797,6,0,10,39,37,0,79,226,76,374
