SED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10041,11,99,645,4723,7488,3228,703,191,17087,0,29,103,105,12,3,3,13,266,9,49,185,731,108,9,6,25,1125,6,70,289,837,124,16,10,39,1392,8,187,402,390,24,0,0,32,1049,12,132,737,436,11,0,3,31,1374,43,1019,3310,1261,32,0,0,84,5744,0,0,0,0,0,0,0,0,0,63,1341,4449,2087,68,0,4,150,8163,0,9,9,3,0,0,0,0,25,0,12,12,9,9,7,3,14,64,81,1526,5405,7664,7699,3249,720,393,26732
SED10042,30,393,2848,10682,7196,1353,279,418,23203,0,136,873,451,17,3,3,47,1530,0,50,196,228,34,0,3,20,540,4,189,1070,681,53,3,4,73,2074,3,157,236,45,13,4,0,19,481,0,0,42,33,0,0,0,3,78,0,0,21,17,0,0,0,0,43,0,5,3,3,3,0,0,0,17,3,167,295,101,17,7,0,26,622,21,118,112,22,7,0,0,34,316,0,15,11,24,9,0,0,16,71,59,881,4342,11507,7283,1358,282,568,26282
SED10043,29,135,1671,6385,3337,1100,310,443,13404,50,153,233,370,56,4,0,37,899,12,255,662,1426,830,58,6,112,3360,66,407,893,1789,881,60,8,147,4262,107,616,3937,306,25,3,3,215,5216,20,159,2181,473,25,5,0,106,2973,3,210,685,96,11,0,0,41,1045,0,3,8,3,0,0,0,0,20,128,988,6819,879,62,5,3,361,9246,0,22,80,53,13,3,0,12,185,0,19,29,20,17,5,0,15,106,221,1565,9499,9123,4316,1177,331,980,27208
SED10044,14,82,1128,5010,5364,2137,420,196,14348,9,50,263,516,57,9,0,14,911,3,141,451,1006,211,19,3,34,1882,12,188,719,1520,267,29,4,52,2797,42,507,992,256,17,6,3,61,1881,80,679,3402,617,26,0,3,91,4902,121,1562,3140,667,16,0,3,68,5579,0,14,13,9,5,0,0,0,49,244,2763,7553,1548,65,8,6,223,12414,4,5,16,11,3,0,0,3,43,7,29,34,19,11,4,3,13,120,279,3071,9444,8113,5712,2176,433,486,29721
SED10045,172,768,3466,11529,6087,1227,250,606,24101,12,182,755,303,24,0,0,47,1327,12,48,230,202,11,3,0,18,527,20,228,984,507,36,5,3,65,1851,31,214,649,148,14,3,6,78,1148,0,18,83,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,235,735,145,20,3,6,81,1261,88,179,101,97,56,13,12,41,598,3,23,47,57,20,3,4,18,177,321,1432,5333,12336,6217,1260,275,816,27995
SED10046,17,112,481,6632,7689,1301,273,485,16991,19,52,89,365,21,4,0,22,570,3,118,311,761,313,16,3,50,1563,24,168,397,1118,330,16,6,68,2135,128,311,597,169,10,3,5,60,1283,47,229,2900,249,10,0,3,150,3584,10,183,1418,613,4,0,0,71,2302,0,3,7,5,0,0,0,4,24,180,728,4922,1038,24,4,12,290,7191,0,6,10,0,3,0,0,3,26,0,13,29,7,3,0,0,7,70,228,1031,5839,8799,8047,1323,289,852,26405
SED10047,47,244,1340,12445,7479,1291,366,600,23810,15,111,260,496,47,3,0,40,980,3,108,207,1524,191,7,5,52,2093,18,216,470,2023,234,11,4,89,3074,12,215,345,98,3,0,0,41,716,21,58,461,33,0,0,0,30,597,0,18,282,19,0,0,0,3,326,0,12,19,0,3,0,0,0,28,26,294,1101,147,9,0,0,79,1660,0,35,118,52,11,0,4,11,229,7,17,32,37,33,5,7,19,157,97,808,3061,14712,7767,1313,381,795,28936
SED10048,37,116,584,10386,7398,1612,401,421,20956,11,54,1157,1124,52,4,3,66,2469,12,82,968,1339,282,18,3,83,2786,17,132,2122,2468,333,27,4,154,5252,0,42,134,85,0,0,0,14,270,0,3,44,24,0,0,0,3,74,0,3,13,21,0,0,0,0,36,0,4,3,3,3,0,0,0,15,0,48,193,133,4,0,0,19,395,0,13,17,16,4,0,0,3,55,23,77,25,22,16,3,0,9,175,79,383,2946,13018,7759,1641,409,606,26838
SED10049,16,160,1376,10009,10143,1439,240,418,23793,5,133,961,680,64,3,0,53,1904,3,151,240,111,11,0,0,15,533,7,282,1205,792,79,3,3,65,2435,7,233,257,28,7,0,3,28,569,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,32,0,3,0,0,0,0,0,0,3,6,253,271,32,12,0,3,27,607,15,27,13,32,17,0,0,6,108,0,46,178,26,18,0,3,100,379,46,767,3043,10884,10264,1443,249,624,27320
SED10050,8,107,1016,4266,4469,1752,351,189,12166,4,38,232,378,123,10,3,12,806,4,115,441,1056,248,39,5,27,1930,7,150,671,1438,368,49,4,45,2732,35,529,1523,594,65,14,5,71,2838,22,1226,4449,779,37,6,4,141,6656,101,1147,2277,914,34,0,0,87,4555,0,6,11,4,4,0,0,0,29,165,2904,8260,2285,143,15,13,290,14077,6,22,44,22,6,0,0,29,128,3,14,35,22,9,6,3,16,104,185,3201,10023,8028,5002,1826,373,574,29213
SED10051,11,67,963,4362,3389,1272,389,232,10684,41,115,899,897,114,20,4,52,2145,8,195,611,2071,842,99,16,92,3939,54,311,1514,2963,952,121,16,146,6086,157,539,861,435,30,14,5,206,2235,46,709,2996,759,21,3,3,157,4693,49,966,2570,660,13,0,4,144,4406,0,11,0,0,3,0,0,0,16,254,2221,6426,1851,65,19,13,510,11360,3,25,52,40,11,3,0,4,145,0,13,30,19,7,7,0,15,94,322,2645,8981,9238,4429,1431,420,903,28358
SED10052,9,106,909,6176,6562,1974,361,226,16325,33,92,280,543,139,15,4,31,1132,4,237,745,1856,305,47,6,76,3273,33,329,1024,2402,441,60,5,104,4402,3,246,367,251,14,0,0,22,910,3,181,1717,318,10,0,3,54,2292,37,239,1161,249,3,0,0,38,1735,0,3,0,0,0,0,0,0,10,39,668,3255,820,22,4,4,124,4933,9,42,53,25,7,3,0,7,146,0,10,11,10,6,0,0,16,59,95,1155,5254,9431,7040,2040,376,480,25860
SED10053,65,360,1886,8314,7700,1800,444,427,20991,0,155,870,600,57,8,3,60,1750,3,101,616,587,60,6,0,40,1414,3,258,1484,1187,115,11,4,101,3164,23,475,561,110,21,0,3,73,1281,5,140,344,28,7,3,0,11,538,0,225,661,49,5,0,3,19,960,0,6,3,3,0,0,0,0,15,31,848,1565,196,32,5,5,108,2793,20,61,53,32,22,4,0,19,205,5,41,65,58,33,12,48,49,321,125,1568,5057,9784,7904,1823,503,699,27475
SED10054,32,128,464,11125,6223,1362,289,502,20126,3,46,211,817,72,12,0,42,1195,10,63,251,1361,547,5,3,54,2302,9,107,464,2180,621,13,3,100,3502,0,62,44,33,5,0,0,3,146,4,15,332,22,0,0,3,13,390,6,49,756,63,3,0,0,24,900,0,4,0,0,0,0,0,0,5,12,120,1134,118,5,0,3,47,1438,0,3,10,32,0,0,0,0,45,0,0,18,11,9,0,0,10,53,54,360,2080,13469,6858,1376,295,653,25159
SED10055,20,100,359,7105,11379,2555,559,373,22448,0,23,18,156,28,0,0,3,228,3,22,24,545,120,5,3,18,743,0,40,39,703,147,11,4,19,968,0,14,55,5,0,0,0,4,82,0,0,0,0,0,0,0,0,0,0,6,18,8,0,0,0,3,45,0,3,0,0,3,0,0,0,8,3,22,76,18,3,0,0,7,132,0,15,7,8,8,0,0,3,42,0,0,7,26,21,7,3,9,80,26,184,492,7854,11561,2568,574,416,23674
SED10056,41,342,2783,12503,8002,1201,245,752,25877,10,127,509,263,11,6,3,64,985,0,0,31,16,3,0,0,0,48,10,124,538,275,18,6,3,60,1031,17,283,1159,277,24,0,7,116,1880,0,4,17,5,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,8,17,289,1175,285,25,0,7,118,1920,64,141,132,105,41,4,3,47,544,3,12,46,81,42,7,12,18,228,133,915,4679,13247,8130,1226,269,1005,29600
SED10057,65,313,2462,11331,6279,1116,214,557,22342,15,224,1327,1013,31,4,0,121,2732,0,37,155,152,18,0,0,4,367,16,258,1478,1166,45,8,0,128,3100,23,306,816,203,13,3,3,80,1451,7,26,242,53,4,0,0,21,353,0,23,266,91,7,0,0,14,405,0,3,3,0,0,0,0,0,7,33,367,1328,348,18,7,3,113,2210,37,165,213,77,13,6,3,54,556,0,14,64,76,26,7,7,21,217,143,1121,5547,12989,6383,1142,229,866,28429
SED10058,17,269,4090,8789,3387,687,147,377,17769,10,285,892,471,36,4,3,54,1755,14,371,1282,1619,277,65,19,82,3722,24,651,2167,2094,309,71,22,133,5479,78,878,880,209,16,6,8,109,2179,20,304,1144,230,7,3,0,85,1790,40,355,795,539,34,0,3,41,1802,0,37,14,4,0,0,0,4,61,135,1568,2833,982,60,9,13,239,5841,12,37,48,29,6,3,0,8,143,7,42,57,25,11,0,4,27,177,198,2569,9201,11925,3772,772,189,780,29406
SED10059,8,62,443,1020,585,118,31,67,2338,4,338,2299,1753,295,38,13,96,4833,52,378,2152,3123,1344,234,98,240,7622,58,718,4448,4874,1639,273,112,339,12459,228,1106,950,189,28,11,17,116,2652,325,1613,2063,248,40,12,16,101,4413,957,5147,3936,785,70,31,46,374,11341,7,35,35,14,3,3,3,0,99,1519,7907,6985,1235,142,48,85,593,18511,21,147,159,113,32,9,11,29,517,17,65,57,25,13,9,11,68,265,1624,8902,12094,7273,2399,456,248,1101,34093
SED10060,5,40,383,1613,2164,1055,200,74,5539,4,28,344,709,186,23,0,17,1318,3,82,590,1491,373,55,16,39,2656,10,110,934,2202,561,77,16,62,3972,40,674,1771,984,99,21,12,81,3678,123,2091,4513,1196,59,8,4,160,8155,407,3823,5095,1853,66,7,3,218,11467,0,14,30,17,4,0,0,0,64,573,6598,11404,4051,221,32,22,459,23364,3,20,42,17,3,0,0,3,89,3,29,29,18,4,4,0,12,97,594,6800,12798,7900,2957,1169,239,609,33061
SED10061,60,556,3214,11731,7063,1460,350,705,25138,11,144,636,277,73,21,3,46,1208,0,34,96,33,9,3,0,9,190,11,175,737,314,83,29,3,55,1396,27,399,789,128,19,0,6,92,1462,0,9,27,6,0,0,0,8,46,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,27,408,816,137,17,0,6,96,1512,46,91,45,55,25,0,5,28,297,3,25,57,121,44,11,6,22,294,145,1254,4868,12357,7230,1492,375,906,28630
SED10062,12,116,1484,6456,5425,1951,414,280,16139,32,103,466,869,64,7,3,49,1595,7,89,343,1071,640,103,9,43,2306,39,191,811,1936,702,108,16,94,3901,15,217,472,96,22,3,6,35,858,8,109,1737,475,28,0,4,52,2409,0,172,1574,276,24,0,0,52,2101,0,0,3,4,0,0,0,0,6,19,498,3784,856,70,3,11,136,5375,0,17,50,31,8,3,0,7,113,3,6,19,17,14,3,0,5,71,74,828,6146,9293,6220,2070,438,519,25599
SED10063,43,251,2537,11389,8427,1485,306,616,25055,11,164,892,322,23,3,0,65,1477,5,94,61,46,6,0,0,10,216,9,253,956,371,25,0,0,68,1697,21,273,528,82,15,0,7,57,983,0,4,44,0,0,0,0,3,51,0,0,11,7,0,0,0,0,17,0,3,3,0,0,0,0,0,6,21,283,579,89,15,3,7,57,1054,26,50,36,27,14,7,5,15,183,5,23,48,37,30,5,10,58,215,106,866,4158,11909,8507,1504,326,824,28197
SED10064,121,658,3901,12137,5823,947,239,621,24445,22,133,546,236,25,3,5,48,1023,0,6,87,55,11,0,0,3,170,26,141,627,292,41,5,6,52,1190,19,242,528,163,16,3,3,51,1020,0,3,49,36,0,0,0,8,91,0,10,14,9,0,0,0,0,35,0,4,0,0,0,0,0,0,10,18,256,589,205,22,4,3,58,1155,58,189,237,61,15,0,7,36,607,7,45,49,65,41,11,5,26,246,234,1289,5412,12762,5935,967,255,798,27646
SED10065,25,136,1368,5588,3772,1172,308,272,12640,53,214,245,470,52,5,0,34,1082,29,271,1106,2770,898,86,10,97,5267,81,492,1357,3246,950,88,12,129,6353,55,380,2039,384,23,3,3,102,2997,48,332,4405,727,23,0,0,178,5710,147,1162,4103,917,28,3,3,145,6518,0,0,3,3,0,0,0,3,20,253,1882,10557,2036,73,7,3,430,15240,3,20,123,52,8,3,0,9,214,5,35,50,14,29,4,3,32,179,362,2563,13454,10940,4825,1277,331,876,34622
SED10066,28,150,805,10294,7016,1577,357,355,20576,23,143,603,778,36,10,8,79,1673,9,155,507,1715,139,7,3,133,2665,37,295,1112,2490,175,12,8,212,4336,35,166,738,91,3,0,0,53,1090,7,71,831,81,0,0,0,32,1024,9,31,233,31,0,0,0,15,311,0,0,7,4,0,0,0,0,15,46,269,1814,207,6,0,0,99,2438,0,35,56,20,4,3,0,22,141,5,8,18,21,11,0,0,4,75,109,756,3806,13034,7208,1594,365,690,27568
SED10067,33,242,1092,5464,6355,2192,481,266,16122,27,138,247,149,46,6,3,35,655,15,155,510,1033,191,18,13,50,1998,47,286,764,1187,238,28,16,86,2652,38,309,884,471,68,20,0,101,1883,10,365,1468,308,0,3,0,60,2207,7,339,1069,277,5,0,0,25,1719,0,12,5,3,0,0,0,4,26,59,1022,3431,1048,73,25,0,184,5838,8,47,129,41,3,4,0,15,250,3,39,46,34,10,7,3,15,160,148,1634,5451,7767,6685,2255,506,565,25021
SED10068,37,227,2140,9834,6945,1270,240,422,21113,3,147,1527,1037,55,12,3,120,2899,3,57,352,513,96,10,0,28,1052,4,202,1878,1547,146,16,3,149,3950,12,453,777,310,16,0,4,88,1668,0,39,389,71,3,0,0,26,532,0,91,598,253,8,0,0,34,981,0,0,0,0,0,0,0,0,4,12,587,1773,634,23,0,4,153,3186,45,242,350,76,8,0,3,54,782,4,26,43,44,23,0,3,24,168,115,1276,6183,12133,7150,1290,249,805,29200
SED10069,30,200,1782,8945,7906,1358,254,456,20932,7,125,1042,676,64,0,4,73,1994,0,51,227,1004,291,15,4,29,1619,7,168,1273,1681,353,15,9,103,3610,3,106,191,88,11,3,0,43,456,0,17,108,69,7,0,0,4,204,0,7,194,103,8,3,0,8,328,3,0,3,11,0,0,0,0,16,3,124,506,275,29,11,3,54,1002,33,161,167,81,20,3,3,136,616,3,20,29,26,16,3,0,22,132,74,679,3760,11019,8331,1393,264,771,26292
SED10070,25,124,765,9037,6529,1577,305,366,18732,4,82,738,766,85,6,0,63,1750,4,116,436,1516,287,33,3,68,2466,10,204,1178,2282,374,43,4,129,4222,0,157,438,55,8,0,0,33,692,3,30,569,110,16,0,0,26,758,0,4,114,7,0,0,0,0,129,0,17,40,8,3,0,0,0,65,3,208,1158,184,29,0,3,59,1646,4,54,15,84,52,17,5,17,246,4,18,23,25,17,4,0,27,116,43,614,3140,11612,6996,1640,318,599,24970
SED10071,12,104,597,4205,10281,2035,353,328,17910,0,14,89,1437,1718,159,15,25,3462,0,46,218,1275,1496,342,60,47,3484,3,61,305,2719,3218,499,72,72,6941,0,3,69,361,60,0,0,4,500,0,0,44,8,0,0,0,0,58,0,19,122,44,0,0,0,5,194,0,3,0,0,0,0,0,0,5,0,28,237,422,62,3,0,11,763,3,9,27,27,27,3,0,49,153,3,9,18,42,18,3,0,22,125,22,214,1170,7412,13612,2544,427,486,25887
SED10072,17,114,1560,6001,3415,1077,297,323,12804,10,98,998,1072,62,8,7,65,2316,8,34,234,865,278,25,10,42,1496,18,131,1234,1934,335,37,17,104,3812,25,277,570,106,14,3,3,46,1047,23,272,2279,319,8,0,0,95,3010,42,1274,6660,1165,31,4,0,224,9395,3,17,11,12,4,0,0,3,48,99,1834,9519,1603,60,6,7,365,13495,4,74,96,53,12,6,0,10,253,0,21,43,17,6,4,3,15,121,137,2183,12448,9602,3838,1130,322,823,30485
SED10073,23,101,1217,5734,4680,1659,544,277,14223,16,100,563,1162,90,8,4,52,2000,7,325,1605,1193,363,41,12,72,3627,26,420,2175,2353,454,51,22,132,5621,14,283,484,153,14,0,0,25,972,28,972,3954,360,21,4,3,156,5498,44,1931,3608,681,32,0,0,89,6391,0,3,6,3,0,0,0,0,16,84,3185,8051,1196,66,10,10,276,12880,0,15,35,32,0,8,0,3,100,0,19,68,40,12,9,5,28,173,126,3746,11550,9347,5215,1730,576,716,33004
SED10074,23,153,1148,9597,6186,1521,323,400,19342,4,141,494,429,31,3,0,54,1164,5,171,449,1532,483,43,9,58,2756,15,314,947,1960,517,43,12,112,3918,59,214,649,205,4,0,0,76,1206,7,117,886,191,10,0,0,27,1245,6,148,1775,318,3,0,0,43,2295,0,8,4,4,0,0,0,8,17,73,481,3312,715,20,3,4,154,4759,0,4,15,10,3,0,0,0,36,0,15,22,11,11,0,0,12,78,108,960,5446,12295,6739,1570,342,678,28138
SED10075,25,111,1066,11550,8391,1543,267,456,23404,14,109,923,803,31,3,0,68,1956,3,150,594,710,125,11,0,62,1647,16,259,1519,1511,155,17,3,131,3595,13,253,651,164,20,4,3,53,1166,0,0,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,254,666,169,20,4,3,53,1186,12,103,180,27,11,4,3,28,365,0,6,14,34,13,3,0,9,78,62,735,3442,13284,8590,1569,272,672,28632
SED10076,33,364,3147,11086,7439,1268,229,615,24182,3,135,509,344,34,4,0,56,1090,0,59,220,193,11,7,0,21,510,4,195,733,538,46,9,0,71,1608,11,85,266,139,15,3,3,54,581,0,4,11,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,13,12,101,276,145,14,3,3,54,607,33,153,272,91,18,0,0,37,610,9,35,58,38,12,8,0,16,175,92,847,4492,11890,7542,1288,236,798,27179
SED10077,24,112,1079,4815,3471,1601,560,271,11921,17,59,571,428,82,18,8,25,1206,5,88,467,935,613,216,77,52,2460,25,144,1038,1367,695,234,82,78,3674,71,520,1715,330,44,9,18,169,2874,26,407,3615,743,48,4,3,171,5013,44,895,4261,1090,81,41,3,195,6611,0,6,19,5,3,0,0,4,44,143,1829,9605,2168,172,55,27,540,14542,3,33,91,68,16,6,0,11,235,0,37,88,42,23,7,3,31,233,203,2152,11901,8454,4372,1903,671,941,30600
SED10078,11,95,1390,4878,2740,641,191,207,10157,12,108,1162,1107,175,29,10,52,2662,4,58,350,537,177,32,9,27,1200,17,172,1508,1644,355,64,17,78,3863,121,1359,2942,529,90,21,20,149,5225,113,1187,4856,453,31,7,12,174,6822,44,674,1950,337,7,0,0,85,3108,5,37,35,13,3,10,0,10,111,275,3262,9787,1333,130,35,29,418,15272,10,109,163,87,27,5,3,19,424,9,33,39,22,11,0,9,174,300,323,3671,12892,7963,3264,746,256,890,30008
SED10079,43,394,3750,10713,6845,1341,202,522,23805,0,147,650,379,46,8,3,44,1288,6,45,191,211,47,4,0,28,524,3,194,839,592,90,12,8,77,1813,14,268,607,176,9,4,3,59,1132,7,28,45,3,0,0,0,3,89,0,64,79,50,3,0,0,3,198,0,4,0,0,0,0,0,0,6,23,358,735,231,11,4,3,62,1417,14,86,90,35,14,3,0,18,266,0,9,18,17,8,0,0,10,62,84,1044,5426,11580,6965,1361,218,692,27374
SED10080,3,47,75,123,86,26,6,19,392,7,100,256,191,43,11,3,6,624,57,562,1840,2559,993,171,46,184,6412,63,663,2096,2756,1039,179,51,190,7036,96,544,441,103,18,7,7,110,1318,387,1426,994,220,20,3,8,64,3121,1786,10412,11118,3031,176,22,27,737,27309,0,3,3,0,0,0,0,0,11,2268,12388,12556,3362,211,30,46,908,31758,19,53,38,25,8,0,5,26,164,15,52,61,24,9,3,3,91,259,2361,13206,14819,6286,1362,237,112,1227,39612
SED10081,44,328,2381,11514,8153,1514,296,642,24874,12,211,967,283,28,0,0,114,1612,0,71,217,55,7,0,0,18,373,13,285,1179,337,37,0,3,134,1989,15,165,349,49,8,0,0,40,632,0,3,38,3,0,0,0,0,39,3,7,38,3,0,0,0,4,57,0,3,0,0,0,0,0,0,4,14,181,423,57,5,3,0,45,729,30,66,57,242,59,3,0,25,480,3,17,29,68,35,9,11,17,193,105,877,4068,12215,8285,1533,318,874,28267
SED10082,26,347,2379,7966,8109,2242,461,401,21938,0,90,1049,468,25,3,3,79,1717,0,71,334,501,82,5,3,27,1024,0,163,1380,970,107,11,10,105,2739,3,60,424,613,94,13,7,31,1236,0,11,150,106,10,3,0,11,296,0,3,14,13,3,0,0,0,33,0,3,4,3,3,0,0,0,16,4,82,593,732,111,12,7,46,1586,0,19,74,21,3,0,0,4,127,0,18,16,16,23,0,3,14,95,35,627,4444,9707,8351,2270,473,570,26482
SED10083,22,217,1707,9038,6681,1576,352,389,19978,13,298,1454,888,36,6,5,165,2860,6,188,470,1024,123,8,4,53,1872,13,482,1921,1910,161,19,12,217,4732,4,78,337,186,16,0,0,31,654,0,43,306,76,0,0,0,22,443,0,63,443,97,3,0,0,16,625,0,9,8,5,0,0,0,0,20,0,185,1098,369,20,3,3,71,1747,14,47,53,62,37,3,0,10,226,10,26,27,20,12,5,0,18,107,57,958,4795,11405,6906,1602,362,697,26785
SED10084,38,273,2036,7741,6253,1178,234,368,18125,9,220,1493,2091,61,8,5,175,4066,7,127,639,1239,106,18,7,48,2184,13,355,2132,3332,165,24,12,223,6250,28,248,936,353,24,4,0,73,1672,0,96,865,304,5,0,3,79,1349,0,64,446,205,7,0,0,31,751,0,3,3,0,0,0,0,0,5,31,413,2248,869,36,5,3,182,3778,80,471,422,65,16,0,0,71,1121,6,40,108,43,15,0,8,19,236,171,1554,6941,12046,6480,1211,260,861,29512
SED10085,69,368,2551,10876,8428,1459,325,530,24608,3,112,381,368,44,6,3,43,951,0,43,174,99,9,0,0,5,335,6,152,558,466,52,11,3,48,1292,11,154,358,143,14,3,0,47,734,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,11,156,358,146,16,3,0,47,738,31,91,68,36,19,0,3,12,268,3,14,37,63,52,15,5,19,203,118,786,3569,11585,8563,1485,339,659,27104
SED10086,9,36,336,1721,2596,1397,367,128,6586,4,19,531,678,154,37,0,33,1458,7,24,301,981,733,145,16,44,2256,8,43,834,1662,887,186,21,76,3712,30,596,1979,851,140,26,11,106,3733,150,1581,5400,1693,158,18,12,273,9285,149,1149,3504,1559,96,4,3,189,6654,0,8,24,27,8,0,3,0,70,322,3335,10905,4127,398,52,28,568,19742,0,47,59,41,14,0,0,5,172,0,13,48,43,21,14,6,18,159,346,3486,12187,7598,3914,1645,414,793,30375
SED10087,33,164,2108,11108,8256,1487,252,535,23944,7,87,558,124,11,0,0,44,833,0,10,115,67,3,0,0,3,200,7,102,677,190,11,0,0,47,1038,24,298,1597,200,13,0,3,101,2234,0,24,39,12,3,0,0,4,81,3,11,13,6,0,0,0,0,35,0,0,3,3,3,0,0,0,7,26,335,1652,220,21,0,3,101,2355,8,32,41,60,61,10,5,19,235,0,7,15,40,29,4,6,11,104,74,637,4481,11617,8375,1509,257,715,27671
SED10088,15,159,877,6030,6265,2371,569,269,16561,44,81,97,105,24,3,0,20,374,17,160,347,615,139,16,11,46,1348,60,242,446,715,160,16,11,66,1726,58,764,771,183,33,11,4,75,1893,50,771,2990,268,13,3,0,105,4194,19,500,1494,285,3,3,3,49,2352,0,17,10,11,3,0,0,3,45,121,2049,5272,745,46,13,9,236,8486,0,13,31,12,4,3,0,0,72,0,22,26,19,7,3,0,27,106,206,2483,6646,7526,6488,2413,587,594,26951
SED10089,23,218,3346,12280,6426,1245,364,424,24322,3,195,1347,638,27,8,3,69,2292,0,124,531,418,33,13,6,32,1154,4,315,1879,1063,60,20,10,100,3447,19,529,465,122,12,5,8,65,1226,14,110,181,4,0,0,5,12,325,3,7,19,0,0,0,0,0,31,7,37,29,7,3,3,3,3,92,41,683,692,132,17,10,15,83,1667,0,18,21,19,9,0,0,3,74,0,14,25,33,9,3,3,14,95,70,1245,5961,13525,6525,1273,388,624,29613
