SED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED10011,480,9,0,0,5,489,250,8,0,0,0,257,201,3,3,0,0,209,337,4,3,0,0,349,449,6,4,0,0,458,1322,20,9,4,0,1358,1790,34,7,3,4,1832,2614,24,6,3,4,2650,1270,7,5,0,4,1284,879,6,0,0,0,885,399,0,3,3,3,403,346,7,3,0,0,351,10330,126,45,10,18,10532
SED10012,374,40,38,0,0,449,147,25,17,0,0,184,99,21,16,0,0,135,184,24,28,0,0,237,257,53,52,0,0,361,739,114,113,3,3,973,798,146,92,0,3,1043,1392,153,34,0,4,1583,703,48,9,0,0,756,571,27,9,4,0,607,282,18,3,0,0,298,336,30,14,3,0,380,5886,685,425,10,9,7018
SED10013,410,4,0,0,0,416,124,7,0,0,0,133,114,3,0,0,0,113,189,5,0,0,0,201,310,10,0,0,0,317,970,41,3,0,0,1013,1449,68,0,0,0,1519,3382,121,7,7,3,3520,2619,51,5,0,5,2674,2145,19,0,0,3,2172,871,9,0,0,5,887,544,8,0,0,0,553,13136,351,20,6,17,13536
SED10014,314,15,15,0,0,345,143,11,0,0,0,158,127,8,7,0,0,144,206,22,10,0,0,239,374,28,10,0,0,413,1137,120,38,0,0,1296,1611,141,58,4,4,1819,2274,120,65,0,0,2462,935,16,17,3,0,974,609,14,10,0,3,636,256,8,5,0,0,271,339,20,7,0,0,370,8318,528,242,14,7,9117
SED10015,294,83,105,0,0,489,82,11,36,0,0,132,67,15,26,0,0,103,114,37,49,0,0,202,134,31,90,0,0,256,407,115,297,3,0,824,439,122,389,10,7,960,818,233,506,8,3,1571,625,175,198,9,5,1009,902,203,174,11,0,1283,712,92,76,0,0,894,308,61,76,7,0,450,4907,1179,2031,38,19,8172
SED10016,454,61,14,0,0,530,124,6,3,0,0,130,104,15,3,0,0,116,161,21,5,0,0,186,196,23,6,0,0,221,715,86,28,0,0,826,738,102,40,0,0,882,1576,210,88,0,3,1874,1309,170,49,0,3,1538,2183,239,39,0,3,2465,1847,118,22,0,3,1985,472,45,15,0,0,538,9879,1093,310,0,17,11298
SED10017,356,7,3,0,0,364,237,0,0,0,0,241,215,3,0,0,0,219,389,5,0,0,0,395,571,8,0,3,3,586,1918,27,12,3,3,1957,2145,27,0,4,9,2189,2203,16,3,3,11,2232,879,3,0,0,0,886,513,3,0,0,4,519,204,0,0,0,0,208,414,0,0,0,3,419,10045,101,21,11,32,10209
SED10018,401,28,12,0,0,438,199,15,0,0,0,210,159,14,3,0,0,169,262,25,7,0,0,288,392,19,3,3,0,410,1119,87,33,3,0,1245,1474,108,21,3,5,1614,2312,105,30,3,0,2447,1066,29,12,0,0,1108,788,13,10,0,0,815,379,3,0,0,0,380,318,17,3,0,0,329,8853,456,125,15,8,9455
SED10019,397,17,12,3,0,434,300,9,4,3,0,316,279,5,5,3,0,293,473,10,8,9,0,500,690,11,10,8,0,715,1775,39,24,9,4,1858,1417,25,7,11,8,1469,1011,20,5,8,9,1049,331,4,7,3,0,344,194,7,3,0,0,212,108,4,3,3,7,122,331,4,4,3,0,347,7314,149,89,73,37,7662
SED10020,363,27,16,0,3,411,182,15,8,0,0,205,168,19,5,0,3,200,283,32,27,3,4,348,420,35,38,0,0,497,1092,121,76,5,3,1303,1432,68,44,3,7,1555,1623,72,33,8,9,1736,595,22,3,0,0,626,361,21,3,0,4,392,183,3,5,0,3,194,254,20,12,0,0,283,6956,451,268,24,43,7751
SED10021,136,105,196,8,0,451,20,25,33,0,3,80,22,22,30,0,0,78,21,30,67,0,0,122,30,54,82,6,0,171,107,138,256,7,3,501,85,103,287,6,0,477,144,226,567,12,7,953,113,142,462,8,0,727,229,365,631,6,3,1235,873,937,458,15,10,2294,118,98,135,4,7,360,1909,2242,3195,68,38,7448
SED10022,530,9,0,0,7,548,347,3,5,3,7,367,355,3,0,0,3,365,674,8,4,3,3,694,910,7,3,0,3,925,1661,16,3,7,7,1699,1080,5,0,0,0,1092,758,3,0,3,4,768,251,0,0,0,0,253,169,0,0,3,0,169,127,0,0,0,3,139,430,6,0,0,11,445,7291,65,25,26,51,7455
SED10023,313,41,76,0,0,428,99,13,26,0,0,139,58,11,21,0,0,82,94,23,40,0,0,160,168,34,59,0,0,262,454,65,190,0,0,707,467,94,271,0,4,832,884,170,419,0,0,1476,766,150,255,3,3,1167,1385,191,192,0,4,1773,1745,132,106,0,3,1988,346,51,49,0,0,450,6770,963,1701,8,23,9459
SED10024,608,21,61,0,0,684,85,5,6,0,0,97,87,3,0,0,0,91,106,13,20,0,0,139,129,8,23,0,0,162,449,12,69,0,0,534,432,16,91,0,0,535,864,33,221,0,3,1124,705,25,174,0,0,907,1491,58,179,0,0,1732,3066,60,103,3,0,3231,438,13,34,0,0,491,8450,272,989,8,3,9722
SED10025,286,56,179,7,0,529,62,13,32,0,0,105,45,13,37,0,0,98,59,11,69,0,0,138,114,32,100,0,0,247,276,69,290,8,3,644,248,82,331,7,0,663,458,129,799,6,4,1394,343,120,600,12,0,1070,600,232,727,4,3,1567,1295,220,433,4,11,1957,214,38,129,0,0,380,4007,1007,3716,56,19,8805
SED10026,331,3,3,14,3,358,232,9,3,8,0,250,197,6,3,0,0,204,411,14,5,13,5,443,637,9,10,7,0,670,1754,35,15,21,8,1837,1729,27,17,13,9,1794,1657,8,3,17,5,1690,616,3,0,3,4,625,380,0,0,3,0,385,218,0,0,3,3,226,382,7,6,7,0,403,8550,120,62,112,39,8885
SED10027,305,110,0,3,3,423,101,28,0,0,0,124,102,20,6,0,0,122,143,51,0,0,0,196,188,72,0,0,0,260,578,218,3,3,0,799,616,292,20,0,0,927,1242,580,29,3,3,1852,924,435,11,3,4,1373,1076,434,7,0,6,1522,512,181,4,0,4,702,309,91,3,0,0,410,6091,2512,81,17,24,8716
SED10028,554,60,68,0,6,688,128,17,12,0,0,158,125,9,12,0,0,141,148,17,14,0,0,185,209,48,13,0,3,269,549,78,69,0,0,694,534,110,88,0,0,729,1019,205,186,0,3,1410,791,158,136,0,0,1092,1461,189,97,0,0,1748,1647,119,38,3,0,1806,337,33,13,0,3,391,7505,1039,749,10,16,9318
SED10029,309,58,49,3,0,417,110,28,21,0,0,152,89,15,17,0,0,116,151,30,28,0,3,211,209,37,55,0,0,309,627,154,175,0,3,952,731,202,177,6,0,1112,1152,311,99,13,3,1575,578,152,31,3,0,764,530,92,13,4,3,637,223,36,13,3,0,275,259,50,17,3,0,329,4961,1160,685,37,13,6856
SED10030,360,55,33,3,0,444,141,23,16,0,0,175,116,27,19,0,0,160,226,35,17,0,0,275,313,42,36,0,3,393,919,160,95,4,0,1183,1266,173,117,6,3,1564,1850,158,84,3,0,2104,871,39,33,0,0,946,564,38,25,0,0,636,293,6,10,0,0,313,268,31,26,0,0,325,7185,789,496,32,15,8517
SED10031,429,12,3,4,6,453,216,9,3,0,0,230,189,4,0,0,3,201,354,4,3,4,0,369,547,12,9,5,0,567,1431,38,6,13,3,1493,1727,26,3,6,5,1769,1858,21,10,7,11,1903,860,4,0,0,4,870,792,4,0,5,0,802,465,0,0,0,3,474,417,7,3,0,3,433,9287,152,33,48,46,9560
SED10032,268,81,76,0,0,430,67,21,16,0,0,104,69,18,26,0,0,117,115,29,52,0,0,190,141,46,73,0,0,265,427,145,333,0,0,913,531,235,438,0,5,1204,954,414,468,5,7,1852,597,231,163,4,3,1000,613,161,98,6,5,875,354,76,45,0,0,481,281,52,55,0,0,385,4421,1507,1848,15,24,7809
SED10033,404,11,0,3,3,416,127,7,3,0,0,131,133,3,0,0,0,141,224,18,8,3,0,254,320,19,3,0,0,346,926,68,4,0,4,1006,1178,108,10,4,7,1305,2202,109,11,5,7,2337,1298,28,5,3,9,1341,1269,12,3,3,3,1296,911,7,0,0,5,929,490,20,0,0,6,518,9488,402,50,24,43,10007
SED10034,380,23,38,0,0,440,137,16,10,0,0,166,125,11,21,0,0,157,177,19,36,0,0,234,274,29,51,0,0,352,760,74,149,0,0,983,809,98,220,0,3,1136,1742,226,380,0,5,2355,1527,197,193,3,3,1920,1990,159,106,0,6,2255,906,41,36,0,7,983,360,25,36,0,0,421,9180,918,1263,8,21,11395
SED10035,125,87,296,0,0,512,35,20,48,0,0,99,26,17,63,0,0,107,38,31,76,0,0,145,50,40,152,0,0,248,149,111,487,0,0,741,151,133,708,0,4,997,287,237,1391,3,11,1926,244,230,1017,3,3,1501,408,386,1076,3,5,1877,529,436,487,9,4,1470,137,67,154,3,0,363,2177,1797,5953,29,29,9986
SED10036,388,38,0,0,0,431,142,13,4,0,0,158,112,17,0,0,0,131,181,14,0,0,0,194,262,39,0,0,0,296,822,111,16,0,0,950,1150,224,18,3,6,1395,2248,339,22,7,5,2622,1625,170,3,3,4,1807,1577,85,5,3,6,1682,696,34,3,0,0,735,456,46,3,0,3,506,9647,1143,84,19,17,10907
SED10037,502,32,38,0,3,581,161,13,19,0,0,188,116,10,13,0,0,143,200,10,17,0,0,230,232,9,47,0,0,291,686,61,116,0,0,868,786,56,154,0,0,1004,1529,114,260,3,8,1915,1354,121,150,0,0,1625,1853,104,76,0,0,2027,1279,51,36,3,0,1363,360,18,16,0,0,405,9068,590,943,6,15,10625
SED10038,357,37,19,0,0,421,147,12,19,0,0,181,100,14,4,0,0,118,201,44,18,0,0,261,235,51,33,0,0,322,756,137,88,0,0,978,869,156,95,3,3,1124,1819,242,107,8,11,2182,1246,102,33,0,0,1383,1259,72,24,0,8,1359,608,31,9,0,0,650,297,29,11,0,0,344,7886,927,462,12,23,9311
SED10039,397,23,8,4,3,436,161,14,0,0,0,179,154,11,3,7,0,166,275,16,6,0,0,293,359,26,6,3,0,391,1085,84,14,3,3,1190,1305,96,27,3,3,1431,2015,130,12,0,5,2160,901,45,6,0,3,956,673,15,0,0,0,693,330,12,3,0,4,350,338,16,3,3,3,363,7991,485,90,19,26,8613
SED10040,282,69,219,0,0,571,76,16,56,0,0,148,59,14,36,0,0,115,94,17,89,0,0,201,142,43,123,0,0,302,357,107,390,3,0,863,342,122,515,0,6,987,739,234,896,4,3,1878,481,162,393,0,0,1043,743,161,245,0,3,1154,672,90,133,0,3,892,232,68,91,0,0,390,4227,1116,3185,11,9,8552
SED10041,489,18,86,0,0,592,86,8,18,0,0,117,87,3,25,0,0,116,96,9,32,0,0,138,131,7,53,0,0,195,385,22,211,0,0,620,400,29,253,0,0,688,870,51,568,0,3,1492,638,51,370,0,0,1061,1367,55,332,0,0,1756,2537,46,164,0,4,2754,354,10,63,0,0,425,7441,314,2178,3,9,9942
SED10042,405,20,3,0,5,433,215,9,0,0,0,225,173,6,0,0,0,177,301,12,4,3,0,319,457,14,0,0,0,469,1344,49,5,3,0,1404,1802,47,7,0,0,1858,2175,30,4,3,0,2222,817,12,3,0,0,832,562,4,0,0,0,575,270,5,0,0,0,273,358,4,0,0,0,364,8887,211,34,10,7,9159
SED10043,272,62,66,0,3,404,83,25,35,0,0,139,84,26,25,0,0,130,107,26,58,0,0,195,160,43,96,0,0,301,422,147,312,0,3,879,539,233,343,5,3,1127,924,338,302,6,3,1573,600,209,84,3,0,903,638,155,59,3,0,849,324,71,25,0,3,423,283,54,46,0,0,388,4430,1386,1459,23,17,7317
SED10044,385,33,126,0,3,542,71,8,32,0,0,112,54,12,31,0,0,99,79,13,43,0,0,137,121,21,72,0,0,220,339,58,268,0,0,668,246,58,384,0,3,692,645,129,643,0,3,1420,416,111,497,0,3,1028,833,154,532,0,4,1525,2160,202,230,0,3,2591,308,31,102,0,3,440,5659,846,2959,3,14,9479
SED10045,480,6,8,10,3,509,291,13,13,10,0,324,255,6,6,3,0,271,520,20,11,10,4,560,613,18,3,8,4,640,1543,61,19,12,8,1645,1576,46,11,16,4,1645,1340,12,3,9,10,1376,469,0,0,10,0,480,309,0,0,5,3,316,179,3,0,3,3,190,385,3,0,9,4,406,7953,191,70,98,46,8368
SED10046,336,17,49,0,0,402,108,4,21,0,0,138,107,5,20,0,0,133,152,16,48,0,0,210,259,27,77,0,0,365,858,81,249,0,3,1192,1038,118,290,0,3,1449,1814,195,227,0,0,2236,1102,68,56,0,0,1224,926,41,27,0,0,990,378,15,21,0,0,414,365,30,35,0,0,436,7449,631,1116,0,7,9196
SED10047,299,19,5,0,3,328,125,18,0,0,0,140,129,6,3,0,0,138,230,26,5,0,0,267,346,35,24,3,0,404,1025,142,41,3,3,1217,1489,220,44,7,4,1755,2466,265,32,0,9,2770,1352,66,10,3,5,1434,879,27,3,3,5,920,358,12,0,0,3,376,461,22,5,0,0,490,9157,868,173,17,30,10246
SED10048,384,53,0,0,3,442,148,26,0,0,0,176,136,30,3,0,0,168,229,52,3,0,0,292,346,80,3,0,0,429,1084,292,19,0,0,1391,1543,398,22,0,0,1967,2658,423,25,3,4,3110,1355,151,3,0,3,1514,993,51,3,0,3,1053,451,31,3,0,3,482,402,67,0,0,0,475,9729,1654,92,6,21,11500
SED10049,350,12,0,3,0,361,188,12,4,0,0,209,152,3,0,0,0,155,318,6,0,0,6,330,489,30,3,0,0,523,1537,68,6,3,3,1620,2081,66,4,3,0,2155,2690,39,0,4,3,2730,1073,3,0,0,9,1084,628,3,3,3,0,634,277,0,0,0,0,280,354,4,0,0,3,367,10134,257,29,22,27,10459
SED10050,284,56,137,0,3,486,50,9,35,0,0,97,56,15,40,0,0,107,75,10,56,0,0,145,73,19,79,0,0,169,280,47,260,0,0,585,246,49,318,0,0,613,491,79,683,3,3,1264,373,75,504,3,0,949,855,164,605,3,0,1634,2163,272,397,3,7,2845,290,43,113,0,3,447,5236,842,3226,15,20,9343
SED10051,204,98,110,0,3,410,54,30,26,3,0,115,46,18,27,0,0,90,57,29,30,0,0,121,93,65,54,3,0,211,244,128,181,0,0,557,210,119,257,5,0,596,449,275,501,5,0,1230,339,264,355,3,0,961,599,514,343,4,9,1463,1029,454,176,0,5,1663,218,91,79,0,0,385,3541,2085,2146,20,16,7808
SED10052,329,64,44,0,0,432,96,15,26,0,0,132,86,20,18,0,0,124,119,26,28,0,0,172,150,43,35,3,0,227,532,114,144,0,0,787,520,152,203,0,0,880,1109,284,330,0,0,1718,891,239,170,3,3,1309,1566,304,107,3,0,1983,1233,126,50,4,0,1420,335,43,41,0,0,424,6969,1413,1194,18,5,9599
SED10053,343,23,8,3,7,385,175,19,13,0,0,201,165,16,12,0,5,198,305,39,27,3,9,375,440,42,47,6,4,532,1105,89,155,3,4,1361,1162,221,80,0,9,1463,1861,260,48,4,10,2188,1182,66,12,3,10,1270,1229,53,20,3,0,1307,679,23,3,3,4,713,399,24,18,4,5,447,9047,857,440,38,67,10445
SED10054,334,30,12,0,0,374,147,11,6,0,0,165,116,9,0,0,0,127,224,23,9,0,0,259,317,28,8,0,0,358,1088,136,45,4,0,1268,1607,254,52,3,0,1923,2446,355,35,3,3,2842,1222,110,6,0,3,1341,886,47,4,4,3,947,334,25,0,0,0,362,384,42,10,0,0,436,9105,1075,195,14,11,10406
SED10055,401,10,0,0,0,421,172,0,0,0,0,175,150,6,0,0,0,156,215,4,0,0,0,216,329,5,0,0,0,339,1100,33,0,0,4,1136,1468,68,7,3,3,1546,2881,101,0,0,7,2986,1929,52,3,0,0,1980,1690,34,0,0,10,1730,768,4,0,0,3,774,544,13,0,3,3,558,11646,332,20,9,22,12021
SED10056,547,3,5,3,6,567,273,3,0,9,0,285,281,7,8,4,0,301,621,11,11,0,0,645,835,11,12,3,10,873,1769,24,25,4,8,1836,1360,9,13,9,3,1398,1100,3,3,4,8,1114,321,4,0,3,0,325,228,0,0,3,4,234,202,0,0,3,7,211,489,0,8,3,4,506,8034,82,96,41,43,8295
SED10057,384,26,16,3,3,435,230,17,3,0,0,252,190,12,7,3,0,211,433,24,19,3,8,474,550,33,12,7,8,611,1387,62,44,9,5,1507,1236,38,16,4,7,1301,1078,20,9,3,10,1125,332,5,5,0,3,353,238,3,3,0,0,243,122,0,3,0,3,126,315,10,3,0,3,332,6495,245,148,32,39,6964
SED10058,280,60,39,0,0,377,128,32,14,0,0,169,129,17,16,0,0,162,240,27,24,0,0,295,275,55,26,0,0,358,816,153,91,3,0,1065,1033,165,157,0,6,1366,1507,241,154,0,0,1902,765,117,61,0,0,946,599,100,47,0,0,749,453,75,58,0,0,587,228,35,32,0,0,299,6452,1073,711,14,23,8271
SED10059,49,213,122,4,0,388,15,38,25,0,0,77,8,29,32,0,0,76,14,59,46,0,0,120,17,90,79,0,0,188,52,230,244,3,5,531,69,256,324,3,0,648,102,496,616,3,3,1224,93,438,412,3,3,947,152,896,417,11,4,1482,219,1060,240,0,10,1522,33,148,72,8,3,260,812,3954,2623,32,28,7454
SED10060,187,85,250,0,0,515,24,17,59,0,0,94,18,10,50,0,0,87,7,8,63,0,0,79,28,29,118,0,0,177,96,75,330,0,0,496,60,58,364,0,0,484,153,131,726,0,0,1014,65,81,555,0,0,708,166,186,786,0,3,1144,949,442,712,0,9,2115,145,50,129,0,4,325,1897,1172,4150,5,14,7243
SED10061,482,13,3,7,4,510,260,4,3,0,0,264,287,0,4,0,0,295,561,11,3,3,3,581,719,11,6,5,6,749,1665,23,7,0,15,1722,1240,21,4,3,5,1278,969,15,4,3,8,1001,309,6,0,3,0,319,275,3,0,0,3,281,193,4,0,3,0,201,387,6,3,0,0,400,7355,124,39,28,56,7603
SED10062,391,82,74,3,0,557,104,25,18,0,0,143,70,15,17,0,0,108,117,18,30,0,0,165,163,32,60,0,0,265,436,125,151,0,3,715,478,120,245,0,0,851,988,227,341,4,3,1568,727,183,141,0,0,1056,1070,222,88,0,3,1396,1151,124,28,0,0,1307,308,49,32,0,0,390,6014,1223,1237,15,16,8509
SED10063,388,3,0,0,0,399,207,0,3,0,3,220,216,0,0,3,0,218,495,3,7,0,0,506,703,17,10,0,3,735,1800,34,15,5,7,1864,1668,27,7,3,7,1713,1581,6,3,7,5,1601,625,4,0,0,4,634,451,0,0,0,0,453,273,0,0,3,0,274,396,5,3,4,4,405,8807,111,47,26,33,9018
SED10064,403,14,4,3,0,424,300,6,8,0,0,314,243,4,4,5,3,261,454,10,11,3,3,476,618,12,6,3,4,643,1559,23,18,4,10,1603,1375,19,9,0,3,1401,1091,12,5,4,14,1127,355,3,0,0,6,366,224,0,0,0,0,227,130,0,0,3,6,143,371,5,3,0,0,384,7132,106,60,33,56,7382
SED10065,251,102,134,0,3,488,72,37,36,3,0,146,62,22,41,0,0,125,81,50,75,0,0,215,122,48,115,3,0,291,354,209,372,3,5,948,374,272,555,3,7,1208,784,574,760,8,3,2127,573,364,326,4,3,1275,807,374,186,4,5,1377,562,174,93,0,0,831,210,79,72,0,3,366,4257,2302,2764,37,29,9397
SED10066,325,29,8,0,0,366,153,11,4,0,0,162,131,9,4,0,0,147,226,30,14,0,0,266,290,51,30,0,0,366,943,129,103,0,0,1175,1347,195,73,0,3,1622,2493,229,44,0,4,2767,1463,64,15,0,0,1542,871,33,10,0,0,911,377,15,0,0,0,398,327,36,10,0,0,373,8943,818,313,3,9,10094
