SED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
SED10011,0,0,22,24,8,7,3,0,0,66,0,0,0,3,17,10,23,12,3,67,0,0,0,3,0,4,0,0,0,10,7,12,28,175,127,125,149,68,36,723,64,152,157,382,284,326,302,168,64,1898,1936,4403,3717,8076,5330,5793,4600,2108,1027,36980,0,0,0,0,3,0,0,0,0,7,3777,8424,6877,12570,7326,7748,5451,2325,979,55478,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,0,3,0,9,0,0,6,17,4,4,3,0,0,37,0,15,3,59,36,38,22,9,0,178,0,3,3,23,26,12,15,11,0,100,0,10,18,54,40,37,26,19,4,202,0,0,0,3,13,17,11,19,3,69,0,0,0,0,4,15,26,7,5,52,7,82,85,425,814,950,1050,480,199,4099,0,0,3,14,20,20,14,3,3,80,3,0,3,24,17,27,18,4,5,98,4,7,3,51,89,81,181,93,31,533
SED10012,45,157,681,3541,2192,1787,680,355,170,9611,0,0,0,0,0,0,0,0,0,4,3,3,0,3,3,0,0,0,0,10,20,115,202,689,589,629,365,212,100,2922,108,247,266,557,295,312,162,99,52,2103,2324,5102,6124,11138,5867,5493,2980,1771,837,41646,0,0,6,12,0,3,0,0,0,23,4331,8749,8667,6497,1715,1487,726,431,151,32755,0,0,3,14,0,0,0,0,0,17,0,0,18,78,77,72,37,45,16,336,16,60,241,1374,1058,847,443,170,82,4299,0,0,5,10,3,0,0,0,0,21,0,4,7,91,94,118,122,44,9,489,0,30,97,427,341,351,208,220,201,1885,0,0,22,129,113,196,218,216,86,987,0,0,5,19,14,22,30,14,3,120,3,18,5,36,60,73,95,53,20,361,0,8,39,183,124,129,46,24,3,554,0,3,6,16,9,7,3,0,0,43,0,3,13,10,10,16,80,24,19,175
SED10013,0,9,9,62,18,11,0,3,0,109,0,0,3,7,14,3,6,5,5,48,0,5,25,36,17,7,0,0,0,84,7,17,36,368,224,180,101,48,19,1001,158,268,285,719,299,279,203,131,82,2422,3516,6697,5750,13567,5690,4415,3023,1467,791,44913,0,0,11,51,23,9,3,4,0,96,6751,12566,10135,19869,7573,5294,3257,1432,650,67530,0,3,9,44,4,9,0,0,0,68,0,0,4,60,18,31,15,5,0,127,0,0,5,61,6,9,7,0,3,93,8,3,15,44,8,9,10,0,0,99,0,3,4,85,77,40,32,13,0,257,6,16,43,285,125,103,47,18,8,651,0,3,3,39,42,52,72,59,7,279,0,6,7,55,21,36,33,3,3,171,14,71,95,427,612,579,490,243,103,2634,0,14,44,296,120,61,34,0,0,578,0,3,3,22,11,10,3,0,0,56,0,3,13,35,38,46,112,27,16,300
SED10014,0,3,19,103,40,40,15,5,0,223,0,0,0,5,3,9,6,3,0,26,0,0,5,15,3,3,3,0,0,35,6,81,115,607,431,322,216,93,22,1895,160,339,383,784,343,360,299,136,111,2912,2692,5504,5755,11255,4954,4782,3458,1420,518,40331,0,0,14,68,21,20,15,0,0,140,5139,9786,9164,13670,5115,5003,3348,1203,390,52816,4,21,24,244,42,21,4,0,0,350,0,0,3,34,35,11,5,8,0,97,0,3,12,82,31,43,20,4,3,194,3,6,7,26,11,8,4,3,3,64,0,4,7,105,86,92,121,18,0,446,5,13,36,179,97,82,52,37,7,510,0,0,4,24,23,37,42,25,3,167,4,22,21,95,48,45,49,21,6,305,8,34,30,242,426,522,584,301,78,2213,0,13,46,372,181,130,79,25,5,854,0,0,0,11,10,6,8,3,0,45,0,4,13,19,35,39,88,43,6,252
SED10015,9,23,164,482,273,274,107,38,26,1406,0,0,0,0,0,0,0,0,0,4,0,0,8,16,3,0,0,0,0,24,19,78,142,826,448,435,337,203,56,2544,153,238,304,833,405,313,264,171,69,2758,2598,4808,5423,13483,6219,4887,3500,2490,1067,44467,0,0,0,8,5,0,3,0,0,20,4800,8424,7018,10897,4539,2341,1251,751,529,40548,28,34,122,807,68,27,3,0,0,1090,0,0,0,23,10,13,6,5,0,63,0,0,8,26,14,23,4,8,0,78,0,3,0,39,9,5,6,3,0,70,0,0,4,50,33,22,26,12,0,149,34,158,922,2747,1801,1541,587,450,200,8444,0,0,0,14,19,23,37,37,7,141,3,9,15,74,71,82,109,73,19,460,10,42,31,223,227,133,129,47,41,882,0,13,26,179,129,111,67,22,4,547,0,0,11,43,21,9,3,6,0,93,0,7,7,41,26,12,37,20,10,159
SED10016,0,6,3,51,39,22,12,0,0,134,0,0,0,11,10,7,4,3,0,30,0,0,3,19,20,11,4,0,0,62,7,70,83,350,236,166,124,60,30,1127,58,168,150,358,194,152,145,65,32,1322,2351,6254,5298,10594,6049,4660,3280,1375,614,40477,0,4,11,92,56,37,19,10,0,226,4527,11028,8633,11103,5841,4387,3122,1308,480,50421,0,0,4,62,24,18,7,0,0,120,0,0,0,15,19,6,0,6,0,49,0,0,0,21,12,5,0,0,0,34,0,15,16,53,25,18,3,3,0,133,0,0,3,31,35,23,24,5,4,124,33,113,176,1521,550,493,253,109,63,3312,0,0,0,12,52,42,46,33,6,187,0,19,16,99,65,64,61,25,3,356,30,200,254,495,679,453,445,205,76,2832,0,0,16,154,110,79,34,12,0,411,0,3,6,16,11,7,7,0,0,59,0,8,11,47,50,38,99,29,15,302
SED10017,0,0,5,12,0,0,0,0,0,19,0,0,0,0,3,4,4,0,0,20,0,0,0,4,4,0,0,0,0,10,0,3,4,52,22,24,48,20,19,192,148,274,248,686,370,414,384,202,119,2838,2714,5230,4592,10112,4806,4805,3665,1812,944,38684,0,0,0,6,0,0,0,0,0,6,5176,9840,8621,17342,7991,7721,5471,2553,1065,65786,0,0,0,10,0,0,0,0,0,13,0,0,0,3,8,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,25,8,11,6,0,0,63,0,0,0,6,5,3,0,0,0,23,0,5,17,52,16,18,3,8,0,117,0,4,0,5,4,7,3,6,0,29,0,0,0,3,0,3,4,0,0,17,9,36,32,173,287,304,352,187,82,1448,0,3,8,19,17,10,8,0,0,63,0,0,0,5,3,8,3,0,0,18,0,0,0,8,19,34,137,30,19,255
SED10018,0,3,5,19,9,4,0,0,0,37,0,0,7,3,9,8,5,3,4,39,0,0,0,15,0,4,0,0,0,19,7,27,13,144,70,43,63,45,28,441,58,123,120,378,208,216,254,179,110,1649,2167,4523,4062,9175,4934,4525,3846,2544,1281,37059,0,0,0,0,0,0,0,0,0,0,4318,8670,7736,15021,7941,7086,5448,3493,1528,61232,0,0,0,3,4,0,0,0,0,6,0,0,0,7,0,4,3,6,0,19,0,0,0,9,0,0,0,0,0,7,3,7,11,51,27,14,6,0,0,120,0,0,0,10,5,7,6,0,0,31,4,16,31,89,38,29,26,10,3,237,0,0,0,4,3,7,7,16,4,40,0,0,0,4,5,10,9,3,0,31,11,110,79,319,330,310,301,218,87,1775,0,3,0,17,13,5,3,3,3,53,0,6,3,23,5,5,4,0,0,46,0,10,7,41,31,32,155,35,29,341
SED10019,0,0,3,11,3,0,0,0,0,15,0,0,0,0,0,5,6,3,0,23,0,0,0,4,3,0,4,0,0,11,3,5,10,54,33,36,44,21,5,202,119,273,272,615,464,548,491,317,144,3241,1854,4234,3678,7069,4936,5896,5024,2947,1407,37036,0,0,0,0,0,0,0,0,0,0,3576,8118,6908,11667,7940,9423,7965,4459,1827,61878,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,4,22,11,12,16,0,3,76,0,0,0,0,6,3,5,0,0,11,0,0,3,24,22,14,10,0,0,76,0,0,0,3,0,3,3,0,0,7,0,0,0,0,0,0,11,0,0,18,4,24,15,141,240,377,489,272,92,1651,0,0,0,10,3,4,7,3,0,38,0,0,0,3,3,9,8,3,0,33,0,4,0,6,20,48,70,36,12,202
SED10020,0,0,0,21,3,7,0,0,0,33,0,0,0,3,12,4,12,7,3,33,0,0,5,3,0,6,7,0,0,17,13,96,63,195,98,79,63,25,14,649,129,251,272,560,411,430,364,284,223,2930,1998,4584,3917,8274,5167,5473,4328,2601,1284,37629,0,16,51,38,21,4,3,0,0,137,3699,8166,6755,12161,7357,8201,6100,3364,1356,57154,0,0,0,18,3,0,0,0,0,23,0,0,0,3,3,5,0,3,0,10,0,3,3,5,0,0,0,0,0,10,0,4,3,46,20,31,22,4,3,135,0,0,0,6,0,0,3,0,0,12,0,6,20,46,23,22,12,3,0,129,0,0,0,0,0,4,10,10,0,24,0,11,0,13,0,7,10,3,0,52,13,76,73,285,400,495,624,388,160,2509,0,0,3,24,22,20,4,3,0,77,0,0,5,10,14,11,11,4,3,56,0,6,8,43,42,57,113,78,26,374
SED10021,0,0,21,67,22,17,3,3,0,134,0,0,0,45,13,8,8,3,0,79,0,0,0,25,8,6,0,0,0,47,29,64,189,1475,320,342,339,218,175,3148,185,246,408,1571,482,340,283,249,260,4029,2580,4020,4412,17110,5427,3856,2900,1809,1317,43426,0,0,0,3,0,0,0,0,0,8,4516,6605,5288,14407,5538,3892,2559,1333,780,44922,0,4,11,44,0,0,0,0,0,61,0,0,0,19,4,4,0,0,0,31,0,0,0,3,3,4,0,0,0,13,7,12,22,274,60,37,13,5,0,437,3,3,16,162,30,28,33,8,3,279,15,52,548,582,177,142,91,53,28,1699,0,0,0,13,12,20,17,20,6,86,0,0,0,15,9,35,37,42,13,157,58,301,282,3009,984,481,355,148,87,5707,0,0,3,54,45,24,13,9,3,145,12,46,61,474,75,35,32,12,9,759,3,14,36,332,103,38,77,48,42,683
SED10022,0,0,0,9,3,5,0,0,0,21,0,0,0,3,0,0,7,0,3,13,0,0,0,5,0,3,0,0,0,10,5,11,7,45,18,28,37,14,12,185,125,299,325,677,468,530,489,344,203,3460,1996,4586,3676,7179,4701,4952,4493,2803,1448,35837,0,0,0,9,0,3,0,0,0,12,3782,8680,6746,12233,7763,8303,7255,4211,1827,60801,0,0,0,5,0,0,0,0,0,13,0,0,3,0,0,6,3,3,0,12,0,0,3,6,3,0,3,0,0,16,0,6,7,14,11,8,3,0,3,54,0,0,0,3,0,4,0,0,0,6,0,3,10,45,20,21,15,12,0,117,0,0,0,0,4,11,5,7,4,29,0,0,0,3,0,0,3,0,0,13,5,11,23,85,172,223,314,173,56,1063,0,0,4,10,6,4,0,0,0,29,0,0,3,3,0,0,3,0,0,21,0,0,8,16,11,27,63,21,14,157
