SED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SED10032,11435,3624,7471,75,88,22690,2265,736,1507,15,33,4549,481,158,333,8,40,1016,14186,4512,9309,95,156,28254
SED10033,18205,1549,335,105,128,20328,2277,568,138,81,31,3089,440,76,22,20,28,582,20919,2193,500,204,186,24002
SED10034,17204,2166,3694,87,57,23208,1243,287,635,56,11,2231,274,50,119,11,15,469,18726,2507,4448,151,81,25916
SED10035,5686,4477,23838,176,150,34331,1063,497,2404,21,20,4004,166,133,761,14,73,1143,6923,5108,26997,213,243,39483
SED10036,17892,2716,346,41,45,21031,2086,595,173,4,8,2866,529,147,33,4,6,722,20505,3461,544,51,63,24620
SED10037,18645,1476,3605,89,81,23889,1234,176,467,15,13,1908,330,43,95,7,31,497,20205,1695,4167,108,119,26292
SED10038,17320,3557,2123,107,79,23189,2503,1055,688,37,17,4300,388,143,92,4,19,648,20207,4754,2900,151,112,28130
SED10039,18039,1864,651,237,163,20955,2403,575,330,200,40,3548,422,79,39,28,28,599,20860,2523,1023,464,229,25098
SED10040,10905,2834,11439,157,70,25402,1820,461,1387,52,15,3727,346,96,379,7,43,864,13066,3393,13201,209,119,29993
SED10041,16117,1194,7249,17,46,24624,755,160,742,3,3,1667,221,36,171,3,17,442,17087,1392,8163,25,64,26732
SED10042,19494,1384,404,148,43,21474,3212,617,189,138,11,4170,495,74,22,33,16,640,23203,2074,622,316,71,26282
SED10043,10746,3300,6856,139,77,21115,2156,810,1985,32,15,4999,507,155,406,15,16,1098,13404,4262,9246,185,106,27208
SED10044,13105,2491,10897,35,99,26631,1017,248,1252,4,8,2531,229,55,258,3,13,559,14348,2797,12414,43,120,29721
SED10045,19030,1174,727,362,125,21418,4420,608,450,197,35,5705,647,77,89,40,18,870,24101,1851,1261,598,177,27995
SED10046,14119,1590,5110,18,32,20867,2266,467,1770,5,20,4534,603,82,307,3,7,1002,16991,2135,7191,26,70,26405
SED10047,19274,2358,988,136,105,22871,3831,614,588,81,33,5147,699,104,80,8,21,913,23810,3074,1660,229,157,28936
SED10048,18122,4005,285,35,144,22589,2323,1069,92,21,20,3526,510,178,17,3,10,721,20956,5252,395,55,175,26838
SED10049,20173,1675,346,67,156,22415,3138,695,229,31,119,4218,484,65,27,8,104,686,23793,2435,607,108,379,27320
SED10050,11231,2499,12419,86,73,26313,727,181,1345,13,12,2283,208,56,312,27,15,620,12166,2732,14077,128,104,29213
SED10051,9084,5123,8869,122,64,23266,1341,789,1931,15,8,4091,261,165,560,4,14,1007,10684,6086,11360,145,94,28358
SED10052,14681,3626,3873,100,37,22310,1354,676,935,37,8,3008,292,95,132,10,16,543,16325,4402,4933,146,59,25860
SED10053,17686,2474,2080,132,230,22596,2797,571,600,58,37,4071,505,113,113,13,50,807,20991,3164,2793,205,321,27475
SED10054,17115,2808,1091,39,34,21083,2427,585,293,11,9,3318,580,112,61,0,14,760,20126,3502,1438,45,53,25159
SED10055,20264,830,84,20,61,21261,1730,108,45,17,4,1915,457,26,3,3,9,499,22448,968,132,42,80,23674
SED10056,19311,574,1068,295,149,21398,5741,408,719,201,58,7135,819,52,131,46,23,1075,25877,1031,1920,544,228,29600
SED10057,17360,1841,1293,329,150,20967,4381,1125,811,182,50,6546,602,137,113,46,18,910,22342,3100,2210,556,217,28429
SED10058,15034,4429,4165,103,120,23855,2345,908,1442,34,25,4758,390,144,231,10,27,793,17769,5479,5841,143,177,29406
SED10059,2020,11177,15334,422,176,29137,248,920,2552,61,21,3799,71,362,626,33,63,1157,2338,12459,18511,517,265,34093
SED10060,5260,3761,21052,78,71,30231,206,142,1820,8,12,2185,78,63,495,3,14,650,5539,3972,23364,89,97,33061
SED10061,18527,946,809,177,193,20648,5791,393,602,97,75,6962,815,58,104,27,22,1026,25138,1396,1512,297,294,28630
SED10062,14090,3113,4463,98,52,21815,1732,691,767,11,6,3209,317,94,146,4,8,569,16139,3901,5375,113,71,25599
SED10063,19289,1046,528,106,110,21077,5036,583,462,59,50,6194,725,72,62,18,58,932,25055,1697,1054,183,215,28197
SED10064,18503,673,596,323,172,20270,5234,471,496,250,47,6496,709,48,59,37,27,883,24445,1190,1155,607,246,27646
SED10065,10904,5523,13035,185,130,29777,1410,684,1707,24,17,3837,331,150,495,9,32,1012,12640,6353,15240,214,179,34622
SED10066,17941,3164,1724,78,49,22954,2231,943,622,46,17,3862,406,229,96,20,4,758,20576,4336,2438,141,75,27568
SED10067,14980,2155,4912,198,121,22370,844,413,736,34,25,2053,299,77,195,17,14,604,16122,2652,5838,250,160,25021
SED10068,17554,2716,2064,406,111,22843,3044,1081,985,330,29,5476,512,151,138,46,29,879,21113,3950,3186,782,168,29200
SED10069,17422,2618,672,299,77,21095,2991,877,270,181,22,4337,520,117,65,132,23,861,20932,3610,1002,616,132,26292
SED10070,15849,3494,1277,172,69,20866,2431,574,305,66,22,3393,452,151,57,20,27,707,18732,4222,1646,246,116,24970
SED10071,16438,6529,696,79,89,23832,1098,324,56,24,10,1506,374,86,13,48,21,549,17910,6941,763,153,125,25887
SED10072,10429,3106,11346,181,80,25145,2000,588,1713,61,19,4387,370,115,439,9,16,957,12804,3812,13495,253,121,30485
SED10073,12546,4838,11308,79,130,28898,1374,646,1283,12,19,3336,297,142,294,3,30,768,14223,5621,12880,100,173,33004
SED10074,16894,3225,3922,30,56,24129,2009,554,679,3,10,3259,439,132,159,0,12,743,19342,3918,4759,36,78,28138
SED10075,19679,2467,704,181,57,23085,3209,970,428,161,14,4773,525,164,62,25,9,778,23404,3595,1186,365,78,28632
SED10076,18903,1006,376,351,103,20738,4561,530,178,220,49,5536,719,76,60,37,16,906,24182,1608,607,610,175,27179
SED10077,10162,3171,12505,200,175,26221,1466,404,1455,20,19,3362,293,93,581,13,37,1022,11921,3674,14542,235,233,30600
SED10078,8446,3397,12994,351,99,25291,1480,372,1832,50,20,3757,235,85,450,16,174,966,10157,3863,15272,424,300,30008
SED10079,19378,1174,809,140,47,21544,3822,558,551,119,11,5055,610,82,65,12,10,777,23805,1813,1417,266,62,27374
SED10080,355,6359,28113,114,148,35091,18,488,2694,20,23,3236,17,191,952,28,91,1279,392,7036,31758,164,259,39612
SED10081,18938,1115,347,264,132,20796,5207,751,332,192,36,6520,738,128,49,30,15,954,24874,1989,729,480,193,28267
SED10082,19229,1911,1288,85,68,22577,2263,724,246,42,9,3289,448,103,52,6,15,616,21938,2739,1586,127,95,26482
SED10083,17059,3098,1227,150,63,21595,2465,1409,442,64,37,4415,451,227,75,11,13,770,19978,4732,1747,226,107,26785
SED10084,15287,4450,2598,632,173,23139,2402,1548,1000,422,46,5409,445,255,183,65,18,962,18125,6250,3778,1121,236,29512
SED10085,19224,829,371,157,153,20730,4776,409,315,98,29,5633,609,47,49,12,19,739,24608,1292,738,268,203,27104
SED10086,6148,3422,17506,146,135,27357,287,207,1639,13,9,2157,152,81,603,7,18,861,6586,3712,19742,172,159,30375
SED10087,19217,651,1490,162,76,21600,4114,332,755,48,21,5270,606,49,108,23,11,799,23944,1038,2355,235,104,27671
SED10088,15116,1360,6962,61,69,23557,1147,304,1277,8,8,2741,302,62,246,0,26,651,16561,1726,8486,72,106,26951
SED10089,20164,2391,1067,60,73,23749,3645,936,528,12,10,5127,516,116,77,3,14,727,24322,3447,1667,74,95,29613
SED10090,11963,3236,12824,87,59,28164,779,194,1168,15,7,2167,217,67,302,7,13,608,12965,3500,14296,103,78,30938
SED10091,19817,983,215,102,96,21212,2550,343,102,69,20,3074,522,52,17,11,11,607,22893,1372,328,172,126,24890
SED10092,14203,2389,6747,188,147,23683,3657,843,1901,102,53,6565,505,111,347,27,104,1094,18365,3349,8995,326,310,31340
SED10093,18745,1492,919,109,51,21317,3339,671,653,103,20,4784,571,105,103,27,62,868,22654,2265,1674,240,133,26971
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
