region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
CED101,38,2167,537,350,1471,1.2,1264,2.8
CED102,37,2200,558,380,1481,1.2,1312,2.7
CED103,37,2349,624,375,1844,1.1,1498,2.7
CED104,40,2500,702,425,2254,1.1,2017,3.0
CED105,33,1935,385,300,1079,1.3,964,3.1
CED106,40,2817,775,453,2538,1.1,2145,2.8
CED107,38,1517,522,190,1328,1.1,1034,2.5
CED108,40,1733,522,260,1399,1.1,1150,2.6
CED109,32,1950,491,270,1291,1.2,1205,3.1
CED110,39,2470,724,370,1969,1.1,1571,2.6
CED111,44,1408,419,220,974,1.1,809,2.4
CED112,38,2000,529,260,1594,1.1,1200,2.5
CED113,39,1842,502,270,1294,1.1,1039,2.6
CED114,43,1650,553,225,1291,1.1,1022,2.4
CED115,42,1300,488,160,1156,1.1,900,2.4
CED116,34,1800,375,260,1078,1.2,1031,3.3
CED117,44,1645,457,231,1115,1.1,907,2.4
CED118,36,2427,738,375,1934,1.2,1580,2.4
CED119,33,2200,648,340,1739,1.1,1593,3.0
CED120,36,2200,659,330,1861,1.1,1647,2.9
CED121,41,1673,530,180,1336,1.1,1059,2.6
CED122,36,1733,534,235,1480,1.1,1221,2.6
CED123,35,2600,660,420,1848,1.2,1445,2.5
CED124,34,1962,615,290,1546,1.1,1347,2.8
CED125,47,1517,426,225,976,1.1,809,2.3
CED126,34,2000,611,297,1615,1.1,1452,3.0
CED127,40,2700,731,450,2048,1.1,1713,2.7
CED128,39,1950,605,280,1612,1.1,1323,2.6
CED129,35,2000,470,320,1357,1.2,1289,3.2
CED130,37,2505,731,450,2195,1.1,2029,3.1
CED131,40,1300,473,185,1113,1.1,893,2.4
CED132,37,1733,564,270,1516,1.1,1142,2.3
CED133,37,2800,992,470,2614,1.2,2114,2.4
CED134,44,1400,433,225,1002,1.1,824,2.4
CED135,39,1300,491,150,1158,1.1,926,2.5
CED136,33,2000,546,340,1405,1.2,1268,2.7
CED137,44,1650,474,240,1167,1.1,936,2.4
CED138,34,2300,593,420,1634,1.3,1493,2.7
CED139,44,1733,461,300,1075,1.1,878,2.4
CED140,37,1400,525,180,1272,1.1,1007,2.5
CED141,42,1941,527,280,1367,1.1,1052,2.4
CED142,42,1733,492,250,1285,1.1,991,2.5
CED143,33,2600,888,480,2367,1.2,1738,2.1
CED144,40,1800,468,234,1257,1.1,1016,2.6
CED145,38,2900,952,480,2572,1.1,2049,2.4
CED146,34,2000,411,310,1140,1.3,1044,3.0
CED147,36,3000,1062,496,2659,1.2,1964,2.1
CED148,33,2000,540,280,1418,1.1,1311,3.1
CED194,37,0,349,0,0,0,0,0
CED197,63,0,490,0,0,0,0,0
